pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.02	2111	189699	89.00
9.60	6.74	2178	197804	90.00
9.30	6.47	2347	213667	91.00
9.00	6.19	2437	224415	92.00
8.70	5.91	2536	236670	93.00
8.40	5.63	2637	250095	94.00
8.10	5.35	2729	262042	96.00
7.80	5.09	2990	287114	96.00
7.50	4.81	3120	304791	97.00
7.20	4.53	3272	323684	98.00
6.90	4.25	3401	342014	100.00
6.60	3.97	3513	360964	102.00
6.30	3.72	3973	406485	102.00
6.00	3.45	4153	434953	104.00
5.70	3.18	4350	465777	107.00
5.40	2.90	4541	497660	109.00
5.10	2.67	5298	581235	109.00
4.80	2.41	5644	636722	112.00
4.50	2.14	5997	695243	115.00
4.20	1.87	6345	756755	119.00
3.90	1.60	6681	824039	123.00
3.60	1.43	9027	1091443	120.00
3.30	1.18	9914	1244659	125.00
3.00	0.92	10661	1397401	131.00
2.70	0.66	11385	1556385	136.00
2.40	0.65	22608	2771130	122.00
2.10	0.42	25951	3326263	128.00
1.80	0.17	28819	3876524	134.00
1.50	0.00	177417	17020379	95.00
1.20	0.00	203069	21225532	104.00
0.90	0.00	218441	24500587	112.00
0.60	0.00	62801	118828455	1892.00
0.30	0.00	11453	121962383	10648.00
