Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	151.0	2387068	-0.209
miRNA	3.0	51758	-0.336
ncRNA	77.0	925379	0.186
TTS	1062.0	13498856	0.105
Exon	583.0	15458407	-0.956
Intron	2819.0	49840935	-0.371
Intergenic	1350.0	36634353	-0.989
Promoter	3914.0	19039859	1.491
5UTR	233.0	1504852	1.082
rRNA	0.0	7664	-13.315
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	151.0	2387068	-0.204
Other	1.0	33922	-1.306
RNA	0.0	13525	-13.315
miRNA	3.0	51758	-0.330
ncRNA	77.0	925379	0.191
TTS	1062.0	13498856	0.110
LINE	111.0	6096484	-2.001
RC	0.0	554	-13.315
DNA	25.0	1399719	-2.029
Exon	583.0	15458407	-0.950
Intron	2628.0	41370791	-0.198
Intergenic	1116.0	23808154	-0.637
Promoter	3914.0	19039859	1.496
5UTR	233.0	1504852	1.087
Low_complexity	15.0	801234	-1.961
LTR	166.0	10951629	-2.266
Simple_repeat	100.0	908926	0.594
Unknown	2.0	92061	-1.746
Satellite	3.0	1463755	-5.152
rRNA	3.0	49802	-0.275
