Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	17.0	2385260	-0.761
miRNA	0.0	51758	-10.712
ncRNA	12.0	924478	0.104
TTS	198.0	13481751	0.282
Exon	73.0	15416818	-1.351
Intron	398.0	49608662	-0.590
Intergenic	197.0	36459207	-1.160
Promoter	735.0	19016824	1.678
5UTR	47.0	1503915	1.372
rRNA	0.0	7664	-10.712
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	17.0	2385260	-0.756
Other	1.0	33922	1.292
RNA	0.0	13525	-10.712
miRNA	0.0	51758	-10.712
ncRNA	12.0	924478	0.109
TTS	198.0	13481751	0.287
LINE	6.0	5980645	-3.585
DNA	2.0	1380344	-3.055
Exon	73.0	15416818	-1.346
Intron	376.0	41227853	-0.401
Intergenic	167.0	23729170	-0.775
Promoter	735.0	19016824	1.683
5UTR	47.0	1503915	1.376
Low_complexity	1.0	791430	-3.252
LTR	16.0	10848328	-3.029
Simple_repeat	26.0	902166	1.259
Unknown	0.0	91586	-10.712
Satellite	0.0	1463755	-10.712
rRNA	0.0	44533	-10.712
