pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.58	4713	735450	156.00
9.60	7.30	5033	775379	154.00
9.30	7.01	5160	801775	155.00
9.00	6.72	5274	824118	156.00
8.70	6.44	5635	873135	154.00
8.40	6.16	5813	904895	155.00
8.10	5.87	5962	937094	157.00
7.80	5.58	6109	969492	158.00
7.50	5.31	6626	1042210	157.00
7.20	5.03	6837	1082330	158.00
6.90	4.74	7030	1124607	159.00
6.60	4.47	7709	1216150	157.00
6.30	4.19	7971	1273687	159.00
6.00	3.91	8220	1329429	161.00
5.70	3.64	9081	1458114	160.00
5.40	3.36	9406	1532231	162.00
5.10	3.08	9722	1610953	165.00
4.80	2.80	10042	1690663	168.00
4.50	2.55	11291	1898102	168.00
4.20	2.27	11761	2014272	171.00
3.90	2.00	13272	2286378	172.00
3.60	1.75	13884	2453706	176.00
3.30	1.48	14446	2626098	181.00
3.00	1.25	17053	3116905	182.00
2.70	0.98	17994	3389135	188.00
2.40	0.71	18804	3676058	195.00
2.10	0.52	24504	4760348	194.00
1.80	0.27	26148	5313538	203.00
1.50	0.12	44988	8269044	183.00
1.20	0.00	50536	9654792	191.00
0.90	0.00	125398	21929792	174.00
0.60	0.00	135787	26117585	192.00
0.30	0.00	219987	69517793	316.00
