Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	182.0	2387068	-0.925
miRNA	5.0	51758	-0.584
ncRNA	142.0	925379	0.084
TTS	1688.0	13498856	-0.211
Exon	495.0	15458407	-2.177
Intron	4844.0	49840935	-0.575
Intergenic	2162.0	36634353	-1.295
Promoter	10202.0	19039859	1.888
5UTR	453.0	1504852	1.056
rRNA	0.0	7664	-14.300
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	182.0	2387068	-0.920
Other	0.0	33922	-14.300
RNA	0.0	13525	-14.300
miRNA	5.0	51758	-0.578
ncRNA	142.0	925379	0.089
TTS	1688.0	13498856	-0.206
LINE	104.0	6096484	-3.080
RC	0.0	554	-14.300
DNA	45.0	1399719	-2.166
Exon	495.0	15458407	-2.171
Intron	4555.0	41370791	-0.390
Intergenic	1923.0	23808154	-0.837
Promoter	10202.0	19039859	1.893
5UTR	453.0	1504852	1.061
Low_complexity	58.0	801234	-0.995
LTR	183.0	10951629	-3.110
Simple_repeat	134.0	908926	0.031
Unknown	1.0	92061	-3.731
Satellite	4.0	1463755	-5.722
rRNA	0.0	49802	-14.300
