Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	62.0	2386302	-0.719
miRNA	1.0	51758	-1.147
ncRNA	36.0	925371	-0.137
TTS	635.0	13494677	0.138
Exon	138.0	15457409	-2.260
Intron	1322.0	49833741	-0.689
Intergenic	583.0	36483502	-1.420
Promoter	3033.0	19033775	1.897
5UTR	143.0	1504839	1.152
rRNA	0.0	7664	-12.539
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	62.0	2386302	-0.716
Other	0.0	33922	-12.539
RNA	0.0	13525	-12.539
miRNA	1.0	51758	-1.144
ncRNA	36.0	925371	-0.134
TTS	635.0	13494677	0.141
LINE	25.0	6026162	-3.363
RC	0.0	554	-12.539
DNA	13.0	1380510	-2.180
Exon	138.0	15457409	-2.257
Intron	1242.0	41366765	-0.508
Intergenic	527.0	23681150	-0.940
Promoter	3033.0	19033775	1.900
5UTR	143.0	1504839	1.155
Low_complexity	11.0	793395	-1.622
LTR	55.0	10806903	-3.068
Simple_repeat	32.0	905731	-0.273
Unknown	0.0	92061	-12.539
Satellite	0.0	1463755	-12.539
rRNA	0.0	49802	-12.539
