pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.89	2005	1270489	633.00
9.60	7.60	2050	1302109	635.00
9.30	7.31	2116	1341829	634.00
9.00	7.03	2166	1378232	636.00
8.70	6.74	2209	1416480	641.00
8.40	6.45	2252	1450299	644.00
8.10	6.16	2315	1496132	646.00
7.80	5.88	2370	1541493	650.00
7.50	5.59	2439	1586951	650.00
7.20	5.30	2512	1634288	650.00
6.90	5.02	2580	1688736	654.00
6.60	4.73	2639	1740908	659.00
6.30	4.45	2719	1801096	662.00
6.00	4.16	2822	1864214	660.00
5.70	3.88	2908	1932942	664.00
5.40	3.60	3030	2013857	664.00
5.10	3.31	3134	2094514	668.00
4.80	3.03	3285	2191556	667.00
4.50	2.76	3442	2290331	665.00
4.20	2.48	3627	2413135	665.00
3.90	2.20	3834	2548699	664.00
3.60	1.93	4095	2716281	663.00
3.30	1.66	4399	2891761	657.00
3.00	1.39	4757	3105012	652.00
2.70	1.13	5203	3363279	646.00
2.40	0.87	5744	3677043	640.00
2.10	0.62	6517	4073841	625.00
1.80	0.38	7397	4576639	618.00
1.50	0.15	8885	5353223	602.00
1.20	0.00	10881	6350918	583.00
0.90	0.00	14714	8181624	556.00
0.60	0.00	21597	11538076	534.00
0.30	0.00	40056	20392193	509.00
