pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.13	19	17894	941.00
9.60	5.84	21	18355	874.00
9.30	5.56	22	18636	847.00
9.00	5.27	26	19917	766.00
8.70	5.00	27	20870	772.00
8.40	4.71	26	21113	812.00
8.10	4.44	27	21711	804.00
7.80	4.16	29	22598	779.00
7.50	3.88	32	23593	737.00
7.20	3.61	35	24569	701.00
6.90	3.33	37	25584	691.00
6.60	3.07	43	27180	632.00
6.30	2.81	46	28158	612.00
6.00	2.55	47	28918	615.00
5.70	2.31	55	31460	572.00
5.40	2.06	63	34549	548.00
5.10	1.82	75	38467	512.00
4.80	1.61	87	42578	489.00
4.50	1.41	102	48482	475.00
4.20	1.19	115	53367	464.00
3.90	1.01	144	62734	435.00
3.60	0.85	191	76433	400.00
3.30	0.71	256	97201	379.00
3.00	0.52	395	134109	339.00
2.70	0.37	621	198069	318.00
2.40	0.25	888	276941	311.00
2.10	0.14	1486	444148	298.00
1.80	0.02	2600	765360	294.00
1.50	0.00	5999	1739906	290.00
1.20	0.00	10996	3255026	296.00
0.90	0.00	19612	6057835	308.00
0.60	0.00	41583	13931400	335.00
0.30	0.00	78088	30897026	395.00
