pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.68	1745	717525	411.00
9.60	7.39	1791	743094	414.00
9.30	7.12	1865	779484	417.00
9.00	6.84	1933	812635	420.00
8.70	6.55	2011	848830	422.00
8.40	6.27	2094	888639	424.00
8.10	5.99	2181	933180	427.00
7.80	5.71	2245	974124	433.00
7.50	5.44	2358	1030602	437.00
7.20	5.16	2482	1083814	436.00
6.90	4.88	2616	1145812	438.00
6.60	4.60	2769	1218938	440.00
6.30	4.33	2919	1295749	443.00
6.00	4.05	3059	1365997	446.00
5.70	3.78	3241	1454657	448.00
5.40	3.50	3425	1551223	452.00
5.10	3.23	3635	1654993	455.00
4.80	2.96	3894	1780435	457.00
4.50	2.69	4123	1906973	462.00
4.20	2.42	4385	2059162	469.00
3.90	2.16	4716	2228206	472.00
3.60	1.89	5093	2437638	478.00
3.30	1.63	5554	2678448	482.00
3.00	1.38	6098	2964093	486.00
2.70	1.12	6676	3280677	491.00
2.40	0.87	7341	3660026	498.00
2.10	0.63	8165	4153397	508.00
1.80	0.40	9372	4833483	515.00
1.50	0.19	11237	5843078	519.00
1.20	0.00	13831	7192986	520.00
0.90	0.00	18608	9598394	515.00
0.60	0.00	27062	13884444	513.00
0.30	0.00	45204	23659690	523.00
