pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.37	78	21278	272.00
9.60	6.10	84	22950	273.00
9.30	5.83	97	26715	275.00
9.00	5.57	106	29338	276.00
8.70	5.30	116	32414	279.00
8.40	5.03	120	34193	284.00
8.10	4.76	129	37038	287.00
7.80	4.50	142	41497	292.00
7.50	4.24	165	47938	290.00
7.20	3.96	173	50660	292.00
6.90	3.71	199	58509	294.00
6.60	3.44	211	62722	297.00
6.30	3.19	235	71027	302.00
6.00	2.91	247	75146	304.00
5.70	2.67	283	87011	307.00
5.40	2.40	302	93708	310.00
5.10	2.14	337	105412	312.00
4.80	1.89	368	116739	317.00
4.50	1.64	408	130839	320.00
4.20	1.39	465	150848	324.00
3.90	1.14	527	172041	326.00
3.60	0.90	610	200899	329.00
3.30	0.65	685	227225	331.00
3.00	0.44	821	276849	337.00
2.70	0.18	962	326416	339.00
2.40	0.00	1150	399114	347.00
2.10	0.00	1375	484736	352.00
1.80	0.00	1685	613946	364.00
1.50	0.00	2281	831259	364.00
1.20	0.00	4126	1433472	347.00
0.90	0.00	9487	3134540	330.00
0.60	0.00	25693	8524816	331.00
0.30	0.00	77326	30086186	389.00
