pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.51	87	29621	340.00
9.60	6.25	93	31662	340.00
9.30	5.99	112	36726	327.00
9.00	5.73	119	39115	328.00
8.70	5.47	128	42227	329.00
8.40	5.21	136	45772	336.00
8.10	4.95	153	50748	331.00
7.80	4.69	168	56051	333.00
7.50	4.44	178	59815	336.00
7.20	4.18	192	65549	341.00
6.90	3.93	206	72103	350.00
6.60	3.68	236	81811	346.00
6.30	3.43	264	90825	344.00
6.00	3.18	300	102906	343.00
5.70	2.93	335	115133	343.00
5.40	2.68	379	130114	343.00
5.10	2.44	431	148601	344.00
4.80	2.19	492	170499	346.00
4.50	1.95	587	200612	341.00
4.20	1.71	688	234853	341.00
3.90	1.48	820	277615	338.00
3.60	1.24	970	332885	343.00
3.30	1.01	1158	397983	343.00
3.00	0.78	1401	480771	343.00
2.70	0.56	1715	592654	345.00
2.40	0.34	2116	736683	348.00
2.10	0.14	2672	943259	353.00
1.80	0.00	3452	1226630	355.00
1.50	0.00	4581	1647010	359.00
1.20	0.00	6439	2357737	366.00
0.90	0.00	9286	3496533	376.00
0.60	0.00	15802	6084063	385.00
0.30	0.00	33166	13554903	408.00
