pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.85	1916	1144479	597.00
9.60	7.57	1963	1174685	598.00
9.30	7.28	2016	1208898	599.00
9.00	6.99	2068	1245296	602.00
8.70	6.70	2130	1288697	605.00
8.40	6.42	2181	1325966	607.00
8.10	6.13	2250	1372604	610.00
7.80	5.85	2319	1420947	612.00
7.50	5.56	2391	1470378	614.00
7.20	5.28	2450	1518246	619.00
6.90	4.99	2546	1577821	619.00
6.60	4.71	2643	1638958	620.00
6.30	4.43	2736	1702792	622.00
6.00	4.14	2823	1768450	626.00
5.70	3.86	2936	1845580	628.00
5.40	3.58	3048	1928602	632.00
5.10	3.30	3196	2019739	631.00
4.80	3.02	3347	2123109	634.00
4.50	2.75	3513	2231256	635.00
4.20	2.47	3717	2364331	636.00
3.90	2.20	3922	2507391	639.00
3.60	1.93	4229	2679956	633.00
3.30	1.66	4520	2865049	633.00
3.00	1.40	4947	3106990	628.00
2.70	1.13	5390	3370922	625.00
2.40	0.88	5969	3712323	621.00
2.10	0.62	6725	4116944	612.00
1.80	0.38	7661	4649361	606.00
1.50	0.15	9160	5453561	595.00
1.20	0.00	11041	6491874	587.00
0.90	0.00	14550	8293301	569.00
0.60	0.00	20758	11549074	556.00
0.30	0.00	38041	20380601	535.00
