TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr31B1-31B1	fly chr31B1-31B1	0.00163616877017341	-6.41539788586954	30	19	0.00325677065478231	5834	16508	34363,34360,64880,34354,34364,34352,34357,34371,34368,43991,34358,34361,34356,34359,34372,318914,34370,34367,34351	eEF1delta,CG4908,chico,CG5734,me31B,RpL7,CG4901,REPTOR-BP,CG5676,Pten,Npc1a,CG5708,CG5727,Prosalpha6,Mob3,mthl15,Rsf1,Ror,Ripalpha
fly chr31D9-31D9	fly chr31D9-31D9	0.00194495461871928	-6.24251663446194	6	6	0.00102845389098389	5834	16508	34396,34394,34395,34397,34398,318909	SamDC,CG5037,GATAd,Sps2,CG5022,CG31715
fly chr30B12-30B12	fly chr30B12-30B12	0.00194495461871928	-6.24251663446194	6	6	0.00102845389098389	5834	16508	14462732,261620,34275,12798311,34277,34276	CR44149,CG31709,CG3838,CR43621,gcm,Mtpalpha
fly chr37A1-37A1	fly chr37A1-37A1	0.00219739359772478	-6.12048334927015	11	9	0.00154268083647583	5834	16508	35128,35130,35129,35126,35127,35125,35122,35131,35123	Jwa,Grip71,Faf2,CG10376,CG10343,CG10341,CG10336,Irk3,CG10383
fly chr96F10-96F10|3-89.1 cM	fly chr96F10-96F10|3-89.1 cM	0.00515218181667502	-5.26833500029909	10	8	0.00137127185464518	5834	16508	43159,43160,43153,43155,43157,43162,43158,43161	E(spl)m6-BFM,E(spl)m7-HLH,E(spl)malpha-BFM,E(spl)m2-BFM,E(spl)m4-BFM,gro,E(spl)m5-HLH,E(spl)m8-HLH
fly chr96F10-96F10|3-89.1	fly chr96F10-96F10|3-89.1	0.00515218181667502	-5.26833500029909	10	8	0.00137127185464518	5834	16508	43153,43159,43160,43161,43158,43155,43162,43157	E(spl)malpha-BFM,E(spl)m6-BFM,E(spl)m7-HLH,E(spl)m8-HLH,E(spl)m5-HLH,E(spl)m2-BFM,gro,E(spl)m4-BFM
fly chr85D24-85D24	fly chr85D24-85D24	0.00550653389469643	-5.2018199109807	5	5	0.00085704490915324	5834	16508	41149,41151,41147,41148,41150	CG8199,MBD-like,RnpS1,CG9386,AP-1mu
fly chr7D6-7D6	fly chr7D6-7D6	0.00550653389469643	-5.2018199109807	5	5	0.00085704490915324	5834	16508	31728,53581,31732,31729,31731	UbcE2H,Gclc,CG2260,CG2258,CG1575
fly chr61C8-61C8	fly chr61C8-61C8	0.00671458187027263	-5.00347371896166	16	11	0.00188549880013713	5834	16508	38085,38084,38086,38082,38087,38080,38078,38081,38089,19834856,38083	Vti1a,RabX6,CG13894,ebd1,CG13895,CG17129,MED30,CG3386,CG13896,CR44514,CG3344
fly chr7B1-7B1	fly chr7B1-7B1	0.00949329261415478	-4.65716977035498	7	6	0.00102845389098389	5834	16508	31665,31666,31667,31664,31663,31668	brk,Atg5,Dok,unc-119,CG2059,CG18155
fly chr66F1-66F1	fly chr66F1-66F1	0.0118449013689844	-4.43585776821193	9	7	0.00119986287281454	5834	16508	39036,39037,39033,39031,39034,39032,39038	Doc3,CG5194,CG5280,Galk,smg,CG5068,Doc2
fly chr92C1-92C1	fly chr92C1-92C1	0.0118449013689844	-4.43585776821193	9	7	0.00119986287281454	5834	16508	42393,42391,42385,42382,42392,42389,42388	CG4936,CG4854,MED25,CG31213,trem,psidin,CG4433
fly chr11A1-11A1	fly chr11A1-11A1	0.0118449013689844	-4.43585776821193	9	7	0.00119986287281454	5834	16508	32160,32168,32165,32167,32163,32161,32166	tsg,Tango4,regucalcin,CG15735,CG1806,CG18130,Chrac-16
