TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	7.56812991309914e-13	-27.9096602112132	137	105	0.0476622787108488	2203	4678	37233,35715,34850,38879,33218,40327,39866,43916,39344,41163,37205,32028,39026,2768892,38928,38113,44052,38806,43041,34882,31667,45928,39158,41656,34398,43163,33268,37201,64880,40205,39907,36881,32569,34633,38418,38321,42981,41675,38945,40361,31031,34237,37858,35971,32698,34790,38488,33552,36915,32522,38050,35696,40704,43402,37767,36952,38978,34803,33003,36876,34354,38248,41144,31816,38406,41957,42672,42985,41219,41427,37707,33845,34263,36643,5740131,42203,43149,35306,43130,31815,40608,35237,33882,49968,32920,42050,37134,42412,37749,38017,34030,32601,32746,36028,35425,41425,42735,35783,33849,33445,35116,38059,43892,38785,31224	Fak,LRR,osp,pbl,ex,siz,Dab,Rok,Sprn,CG8312,cora,Myo10A,CG5026,CG42271,cert,CG9205,Shc,RhoGEF4,Nup358,ck,Dok,shi,RasGAP1,yrt,CG5022,Exo84,aru,ena,chico,CG42674,Fit2,CG5522,vap,Ced-12,kst,dos,CG11168,flfl,GAPcenA,CG7324,CG43867,CG32982,gek,ced-6,CG5004,Sos,Fit1,CG34394,RhoGEF2,Graf,RhoGEF3,scra,plx,WASp,Ssrp,cnk,rhea,CenG1A,pico,unc-104,CG5734,dre4,by,Moe,CG14968,Akt1,loco,Osbp,Art4,Sbf,CG3530,mtm,numb,Spred,CG34383,PKD,Nf1,RtGEF,Lnk,CG12075,Cdep,CG10188,Pez,Cadps,Vav,CG8907,GEFmeso,CG42668,CG30183,Pdk1,Ziz,sl,beta-Spec,CG1513,step,CG17360,CenB1A,Asap,CG12393,Drp1,MESR3,Ptpmeg,sif,melt,PsGEF
3.30.505.10	-	2.07473458527751e-06	-13.0856773231725	32	28	0.0127099409895597	2203	4678	36497,43775,33262,43584,38961,43130,41118,31987,44052,32202,33203,48973,44000,42428,32569,34132,41144,44353,38677,32601,41398,35085,45821,3885637,45278,32920,35524,32760	drk,Crk,dock,CG15529,Cbl,Lnk,FER,spri,Shc,CG43921,Pi3K21B,Src64B,Spt6,Stat92E,vap,Btk29A,by,Shark,PVRAP,sl,Csk,Socs36E,Abl,CG33993,csw,Vav,Src42A,Socs16D
3.30.70.330	-	4.05179457627227e-06	-12.4163506697356	152	99	0.0449387199273718	2203	4678	43467,43944,40369,47998,43385,48571,40529,40673,44095,38605,49895,39049,32851,37070,35305,33652,32293,48535,32587,37781,42026,33498,37838,33201,39018,38526,38208,31481,45840,42013,31000,34370,36605,33677,39527,250811,34648,49809,36981,35027,38937,42166,33968,19834761,33843,31442,40074,34667,41431,44271,32603,35756,38360,44205,33982,41147,42460,39919,31448,36619,41670,37681,42957,41294,38795,5740386,41666,42848,36984,47384,43087,32866,32245,41413,35235,31023,39119,42752,41138,37585,37411,34416,35924,40562,43808,32009,39198,38811,3355041,43764,3772180,38720,32602,31243,37254,43231,53443,5740811,33305	CG14506,sbr,barc,rin,Hrb98DE,heph,CG14641,CG2931,fus,shep,CG17018,bol,CG6540,pAbp,La,CG15440,Rbp1-like,Hrb87F,caz,TBPH,nonA-l,Rbp9,MAN1,U2af38,orb2,CG1316,RpL23A,CG4119,cpo,CG14891,elav,Rsf1,CG17386,CG3294,bru3,bru2,bru1,Rbp2,eIF3-S9,CG12288,CG7185,Cbp20,Hrb27C,CG44249,CG9107,snf,CG3808,Ref2,glo,xmas-2,nonA,nito,CG2162,spen,snRNP-U1-70K,RnpS1,Syp,Rbp6,Rnp4F,tra2,B52,LS2,CG5808,Rbp1,Neos,CG40813,sqd,Rox8,cyp33,sra,msi,CG18259,fne,CG14718,swm,fz3,CG3335,orb,rump,CG17807,CG4266,Cnot4,tsu,srl,gw,Imp,Rbfox1,lark,eIF-4B,mod,Sxl,CG13298,U2af50,eIF3ga,sm,Rb97D,SF2,CG34231,CG4896
1.25.40.20	-	3.38271856937952e-05	-10.2942457682923	84	58	0.0263277349069451	2203	4678	41816,40046,49070,3355072,39750,33303,34969,42735,36396,39159,38863,37433,35783,35974,42981,32718,34874,31293,36668,42447,35395,38055,39210,44353,37344,53573,2768995,39571,43387,42076,50070,39438,36139,36122,40032,50225,326173,318909,36427,42676,31826,34378,34803,30971,31351,35170,39160,37422,38865,39015,43298,43770,39368,36824,39747,37199,36696,41087	CG6966,CG14073,Mbs,CG41099,mib1,CG5118,cact,CenB1A,GLS,CG10809,Ank2,CG42672,Asap,Camta,CG11168,f,l(2)35Be,N,Kank,Lrrk,CG8679,Atac3,CG8003,Shark,Fem-1,Ilk,CG43980,nan,CG10011,m-cup,mask,sowah,dgo,Git,MYPT-75D,Prosap,CG44001,CG31715,Sans,wake,rdgA,CG5604,CenG1A,G9a,CG6428,mib2,iPLA2-VIA,ASPP,CG7457,TrpA1,CG42534,Ank,rols,CG8060,Hip14,CG15118,CG8152,Rel
3.30.40.10	-	5.04405719503114e-05	-9.89471470771076	214	129	0.0585565138447572	2203	4678	317987,43277,45775,35170,44235,35485,33458,38652,37395,37857,32532,31628,39753,31746,36748,37083,37859,43747,42397,41090,35397,33819,31118,38472,43476,3355072,41498,34416,43611,32330,33565,36425,41080,32461,33837,40133,35256,40144,318953,39313,36479,34699,41231,41737,37063,40509,36432,35331,37542,33488,39874,38961,39063,36990,44131,33938,37575,36131,42690,38181,39884,32765,43751,41085,43810,39551,43327,43793,34752,38367,41354,37923,40850,36241,37707,35927,36541,40336,36130,39217,33519,5740853,39193,43271,32881,43856,38006,31571,32533,35698,33015,31592,36986,38027,43718,45931,32853,39079,39818,43351,39735,32796,41145,31458,42738,33932,36246,44263,32965,36431,42302,31315,40556,3346167,40127,42140,31589,42858,35044,318246,38941,31014,40791,41524,40030,39750,40676,37069,38715	Vps11,CG31064,mei-P26,mib2,bon,d4,Hrs,Bre1,Rbpn-5,snama,CG8974,CG14435,Diap1,Traf6,Diap2,nopo,enok,sip3,mdlc,Kdm2,CG8677,bchs,dor,Mul1,Trc8,CG41099,MBD-R2,Cnot4,CG2218,CG9941,msl-2,CG17019,CG11982,HDAC6,lid,ash1,Hakai,CG8786,CG31807,TfIIEalpha,CG17048,CG9934,Fancl,trx,CG5098,Ssl1,Su(z)2,CG2617,ari-2,CG2991,CG13025,Cbl,PGRP-LC,POSH,Mkrn1,Nse1,dnr1,CG33144,CG4813,CG12099,sina,CG15814,Acf,neur,CG11360,upSET,Sce,bip2,CG9293,CG32486,CG17721,CG11414,Alh,tou,CG3530,Su(var)2-10,CG13344,park,Mat1,tna,CG17260,lmgA,CG12362,CG6051,Usp39,nej,gol,CG3815,CG15602,CG43340,Phf7,CG17717,MESR4,rno,pygo,spir,Ing3,CG4080,roq,NSD,elgi,ari-1,mura,Usp16-45,unk,CG11070,Roc2,Sara,e(y)3,Psc,CG5555,CG16781,CG9855,btsz,Ltn1,CG7379,dx,CG13605,CG15141,CG32850,Pex2,Roc1a,godzilla,pps,not,mib1,CG2926,Pcl,CG7376
1.25.10.10	-	5.06929524670783e-05	-9.88972366162329	97	65	0.029505220154335	2203	4678	43423,32970,3355040,38895,43312,37570,31075,31842,118436,41158,44819,44747,43034,32987,42169,192509,42871,43901,31151,38721,34338,40160,41068,41096,40950,318680,35340,3346238,33960,41943,37084,38675,43508,35016,33211,42171,32966,39858,31026,33235,31543,44642,41952,41094,53436,36440,40127,40596,35123,31793,43740,35664,42497,32820,47396,35939,37355,36732,40786,34378,31187,43449,35336,2768940,43978	CG1951,Ranbp21,CG17514,Ect4,wdb,CG4554,DAAM,AP-1gamma,Ranbp16,Kap-alpha3,g,msk,CG10420,AP-1-2beta,PP2A-B',CG12084,Apc2,chb,arm,Trn,Pen,Kap-alpha1,CG11964,Vps15,CG2747,HEATR2,dia,form3,l(2)k09022,Hel89B,CG5721,alphaKap4,yata,Cas,AP-2alpha,cdm,Rcd-1,Mo25,CG16989,CG2807,raptor,Apc,msps,pum,c11.1,Cap-G,Ltn1,ctrip,CG10383,IntS4,nero,CG11123,CG7044,betaCOP,Tor,Rme-8,insc,Ranbp11,CG10286,CG5604,wapl,Rpn2,Fs(2)Ket,Pp2A-29B,Plap
3.30.420.10	-	0.00044295896182825	-7.72203342916675	26	21	0.00953245574216977	2203	4678	38740,42758,39472,3355150,39366,42553,35385,34521,39559,42208,41571,34524,37511,42811,41374,39683,36544,35746,37757,31136,33503	CG8368,DNApol-epsilon255,CG11263,AGO3,Pop2,DNApol-alpha180,Nbr,piwi,CG6833,WRNexo,mus308,aub,Snp,CG10214,CG6744,AGO2,AGO1,rnh1,egl,prage,CG3165
3.30.1370.10	-	0.00247406351952746	-6.00189333051223	28	21	0.00953245574216977	2203	4678	33269,50070,31459,40959,43710,36044,43810,37562,37116,33401,36966,43862,40436,319033,42596,36889,43912,37528,32009,44258,33033	dbe,mask,spoon,CG7878,PNPase,CG12129,CG11360,qkr58E-2,Dp1,papi,qkr54B,HnRNP-K,mub,Rrp40,how,Psi,SF1,Fmr1,Imp,ps,l(1)G0004
2.130.10.10	-	0.00321590191981197	-5.73964742570138	199	113	0.0512936904221516	2203	4678	33819,39394,31881,35672,47900,32217,32526,31155,39955,35529,40386,31903,32168,34793,37329,36791,37801,35885,34192,34175,43905,36846,31680,31146,326115,39624,39505,39997,34070,41419,42750,35536,40653,34096,35596,41207,33399,34616,31557,34955,44250,41025,36914,38259,37462,42680,46091,44531,39457,41096,37535,31213,37467,40431,246538,45757,36038,40239,38282,33212,35374,42593,43490,32581,43162,42137,38957,42272,42504,39874,36981,37727,34153,31543,37066,42196,31608,47877,37007,36199,34488,31732,41226,33180,40698,45922,31744,39669,37036,41647,38199,41953,38516,43978,40252,43218,35130,37073,33854,36259,35396,32544,42209,46662,33710,34595,36144,3346176,39774,35877,33367,38505,43832	bchs,thoc6,CG16892,CG11141,Taf5,Tomosyn,CG33172,Rbcn-3B,U4-U6-60K,SCAP,CG7611,Lst8,Tango4,Arpc1,CG9945,Lis-1,CG2812,CG30349,Sema1a,U26,syd,Sema2a,Hira,CG14805,Atg16,CG5114,flr,CG14353,Rack1,CG14722,wda,l(2)k09848,PEK,Cka,coro,CG9467,mio,CG6734,Rbcn-3A,CG4935,Cpsf160,p,Dark,mv,mahj,Nup133,Nup214,rg,CG42588,Vps15,MED16,CG3071,Rae1,CG7414,Sema2b,beta'COP,CG12134,Rbbp5,Oseg2,ebi,l(2)05287,CG6015,Bub3,kat80,gro,CG43102,Oseg1,Smu1,slmb,CG13025,eIF3-S9,wmd,Wdr82,raptor,Sema5c,CG8064,CG3184,tws,Sema1b,CG9062,CG6724,CG2260,CG3909,CG3436,CG1109,rap,Gbeta5,CG7275,CG5033,CG9799,alphaCOP,CG10185,ago,Plap,CG33969,CG6420,Grip71,adp,Fbw5,CG13192,Atg18b,Gbeta13F,Nup43,l(2)09851,Trip1,esc,CG12325,U3-55K,l(3)72Dn,Sec31,Wdr62,CG43367,PlexA
1.25.40.90	-	0.00343179878192012	-5.67467072905188	14	12	0.00544711756695415	2203	4678	33458,3346235,38846,37411,38283,35109,31902,34505,36658,42632,40863,39093	Hrs,scaf6,lqf,CG4266,CG9018,CG15160,Gga,Stam,Pcf11,lqfR,lap,CG3529
