TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
41140	Ras85D (Ras oncogene at 85D)	8.73269617670821e-27	-60.0027233482672	232	189	0.0437702640111163	4318	9028	44205,33710,40813,33003,40661,41646,33281,32601,31535,46080,37461,40009,42620,31987,34790,32569,44801,35453,32813,36773,42501,31883,37924,45307,42393,36986,32941,40975,43991,41491,43901,43749,36775,32947,33210,34009,40428,44339,36926,35801,34993,40015,33392,32849,41094,33916,40664,39564,36606,40083,35924,32777,40620,40660,44448,38811,38208,37890,32547,31162,43654,49228,34096,35555,32256,38168,35425,3354888,45278,42130,31310,34665,38516,36057,42186,33496,42822,42743,36826,38160,34432,33834,31567,38144,43466,37149,38657,32792,36497,36054,38961,40958,50070,41107,43558,37851,38494,39659,53560,47998,37455,34127,31118,32624,32724,48973,45959,33262,39104,34132,34924,39765,34622,35253,37142,38059,40081,42428,44030,45976,48317,41398,31490,43875,34170,43149,36990,38027,42160,32817,33775,44672,31618,64880,40858,33814,43481,33619,44115,34284,34024,37873,32981,35998,42446,42499,44531,34754,40987,36746,33139,35524,43673,43039,33185,36543,31293,42900,39645,36382,42757,36555,36952,37655,38424,33881,37451,32321,31221,3772082,32703,31429,39158,42672,34610,40712,42127,41431,33819,42734,39833,33432,47396,32976,31239,42737,39228,35116,32083	spen,Trip1,Taf1,pico,CG31550,Droj2,S,sl,rux,Sec61beta,PTP-ER,hid,PyK,spri,Sos,vap,bsk,RpL21,upd1,Dg,Rab11,lz,uri,fz,CG4936,MESR4,CoRest,ato,Pten,svp,chb,faf,Rho1,car,RpI135,wg,eg,imd,CG6984,pnut,grp,rpr,aop,wgn,pum,eya,Itp-r83A,btl,phyl,MESR6,tsu,Vps4,cno,ksr,scrib,lark,RpL23A,bs,tay,Hr4,cindr,mod(mdg4),Cka,jing,hep,rho,step,rl,csw,osa,Myc,bun,ago,Jra,14-3-3epsilon,lilli,TfIIA-S,cnc,Vha44,Ptp61F,holn1,chic,Rpt4,Rabex-5,stg,edl,vn,Taf8,drk,egr,Cbl,puc,mask,Vps16A,Tace,yki,Ras64B,Tak1,cic,rin,Egfr,Pvr,dor,Pp2B-14D,B-H1,Src64B,mts,dock,pall,Btk29A,CycE,Taf4,Plzf,spi,Sec6,Ptpmeg,Mkp3,Stat92E,msn,retn,ttk,Csk,CG4096,Ret,Akap200,Nf1,POSH,rno,htl,CrebB,CG6907,Lk6,C3G,chico,gfzf,rau,alph,ed,Rgl,Pka-C1,santa-maria,Nop60B,Cdc42,Uba1,Pi3K92E,Sec15,rg,RpL24,eIF4AIII,sli,S6kII,Src42A,dco,RpS27,kis,DJ-1alpha,N,Dis3,CTPsyn,Sin3A,pnt,mam,cnk,twi,sty,PDZ-GEF,MESK2,NFAT,Raf,kay,baz,ovo,RasGAP1,loco,dgt2,Sec8,alt,glo,bchs,Rassf,aos,dpp,Tor,dome,egh,hh,klu,MESR3,dlg1
31293	N (Notch)	4.00490500602321e-23	-51.5719372774697	282	215	0.0497915701713756	4318	9028	34881,3355136,43153,41602,40620,38811,44548,33392,31157,45343,33212,33346,36606,44703,34772,41957,37201,41550,43160,35135,42175,34009,32078,34735,40232,38070,41446,36986,31248,31746,42549,32508,48448,32813,38890,44801,53554,45307,43275,34790,43951,43724,12798412,44205,32556,33281,34930,42034,32748,39440,40835,33753,43869,36377,37455,38863,47998,42693,32724,35527,42964,37355,38657,33211,39157,318206,35800,35509,40657,35851,43151,39866,43466,37886,40675,36967,3355072,40848,31607,41694,42467,39750,31151,326234,31310,46068,41062,42572,37702,34665,41840,326173,33445,32846,43162,38168,32537,39418,37890,37386,40314,32805,45821,39620,32123,43999,38846,37573,43428,44039,37476,35998,39198,37254,33379,32981,40398,34263,43150,53579,34903,38500,44115,33619,33343,40562,44672,41868,43161,31331,36242,49297,36678,42226,326197,41085,49636,42896,43087,40295,45655,43157,43862,37859,31589,37554,37781,44030,32762,33983,38652,32700,43718,31801,117353,32536,42445,34132,40351,31762,34924,34377,39228,34927,40687,33837,192509,32919,34636,326122,36421,33432,44289,33424,42707,39744,39873,35110,41158,31379,44263,39964,39858,37272,2768852,3354977,39018,43152,43402,36555,37857,38424,39453,33835,32877,33185,32273,39329,36382,31293,326152,33441,35173,42757,33716,36271,44129,33467,41343,40217,42499,318559,44540,43812,35483	Su(H),Nipped-B,E(spl)malpha-BFM,CtBP,cno,lark,lola,aop,Ocrl,pk,ebi,cpb,phyl,lolal,kuz,Akt1,ena,Vha55,E(spl)m7-HLH,ham,MED17,wg,dsh,Uvrag,polo,Hipk,aurA,MESR4,sgg,Traf6,InR,CG9281,CkIIalpha,upd1,nmo,bsk,krz,fz,Ser,Sos,e(r),CycG,mir-2c,spen,Stim,S,Ku80,Ubx,chas,caup,Antp,tkv,amx,fra,Egfr,Ank2,rin,Dcr-1,B-H1,Pngl,nct,insc,vn,AP-2alpha,Cdk8,Tlk,dpn,ap,Snr1,ptc,E(spl)mgamma-HLH,Dab,stg,nvy,CRMP,insb,CG41099,alphaTub84B,Pink1,Nsf2,Synd,mib1,arm,l(1)G0320,Myc,Acsl,pyd,lsn,Golgin245,bun,Hsc70-4,CG44001,Drp1,Bx,gro,rho,Chc,toe,bs,shg,fng,upd2,Abl,Brd,Amun,trbl,lqf,px,Pkc98E,Pak,Tbp,Uba1,Rbfox1,sm,Su(dx),Cdc42,TfAP-2,numb,E(spl)mdelta-HLH,Dlip3,esg,Ero1L,Rgl,ed,chinmo,srl,Lk6,Atg4b,E(spl)m8-HLH,Mnt,Egm,SERCA,chn,fru,Ndfip,neur,hrg,crb,msi,CG11399,dom,E(spl)m4-BFM,HnRNP-K,enok,dx,Rtf1,TBPH,msn,e(y)1,uif,Bre1,RpS5a,pygo,Caf1-180,Cct1,sd,H,Btk29A,pzg,ND-75,CycE,Utx,klu,Gli,RpL13A,lid,CG12084,rictor,Rab6,rumi,vg,dpp,flw,Eogt,klg,brm,Nrt,amos,Kap-alpha3,bi,Sara,Vps60,Mo25,Toll-7,par-1,MED21,orb2,E(spl)mbeta-HLH,WASp,mam,snama,sty,CG42709,eIF-4a,htk,kis,sno,Pi3K68D,Sin3A,N,erm,insv,Acn,pnt,Gmd,Ef1alpha48D,hbs,aph-1,RpS25,Su(var)3-3,Sec15,spdo,ct,ey,Nipped-A
40201	gig (gigas)	5.02833762029188e-15	-32.9236869584076	206	153	0.0354330708661417	4318	9028	44326,42127,42595,38983,34952,36321,34070,36028,33514,46662,40687,37205,43517,46020,35003,35386,32603,32009,37475,39744,47396,39683,32168,34684,39749,33139,41343,32510,39106,35539,36059,44747,36087,48971,31588,39160,33835,33854,39408,33185,40739,36981,35173,33214,37580,37462,38199,39088,31355,34328,117332,35223,43041,42869,38542,31243,40562,35678,40546,39218,32700,38113,37528,38327,36365,35523,37628,43349,39955,53567,36466,31943,40351,31557,39454,31097,43862,32568,36268,38397,37554,39846,41262,44030,36538,31405,41138,36390,38418,38895,41666,326206,41367,38515,47998,38231,36160,42412,40607,50070,37146,43385,37662,40563,43654,39119,34184,35988,46243,37005,42186,37203,31846,34665,39108,40508,41957,34287,33966,32630,37798,42183,34183,32119,33210,31009,38824,34526,35112,39764,35100,41798,42060,39377,39768,39877,36304,41290,42862,34885,40661,40060,33710,43839,43749,41071,44059,53569,35793,36855,48448,36915,38654	mRpL12,alt,pit,RpL14,PRL-1,RpS11,Rack1,CG1513,CG3605,l(2)09851,RpL13A,cora,ncd,NAT1,LSm7,CG9246,nonA,Imp,CG10306,brm,Tor,AGO2,Tango4,CG5787,mRpS31,S6kII,RpS25,CG8184,path,Ars2,14-3-3zeta,msk,CG12909,Atpalpha,RpL7A,iPLA2-VIA,eIF-4a,Fbw5,CG10418,kis,Rm62,eIF3-S9,Acn,RpLP1,RpS16,mahj,alphaCOP,RpS17,CG6379,Dref,Rheb,RanGAP,Nup358,CG6182,CG15019,eIF3ga,srl,CG1620,CG9776,CG6418,RpS5a,CG9205,Fmr1,MEP-1,CG8545,mle,RpL23,RpL4,U4-U6-60K,larp,CG4679,CG2972,pzg,Rbcn-3A,Atg1,Ns3,HnRNP-K,CG8939,CG13185,RpL28,Rtf1,UQCR-C2,sle,msn,tum,ctp,rump,Iswi,kst,Ect4,sqd,CG11583,Ranbp9,pav,rin,alpha-Spec,Rpb5,CG42668,Gnf1,mask,CG30122,Hrb98DE,Fib,eIF3-S10,cindr,CG3335,CG13097,RpL31,poe,eIF3-S8,14-3-3epsilon,hppy,Bap111,bun,RpS9,Chro,Akt1,CG4364,nop5,Nup153,Nap1,Non3,CG13096,bif,RpI135,RpL36,smid,RpL9,CG10333,Zn72D,bsf,Rrp6,Ns1,yps,SsRbeta,Int6,Prp8,TfIIFbeta,Tsc1,vig,CG31550,RpL26,Trip1,eIF4G,faf,RagA-B,RpL30,pins,RagC-D,RpLP2,CkIIalpha,RhoGEF2,S6k
37455	Egfr (Epidermal growth factor receptor)	1.1684174581036e-14	-32.0805410686074	154	120	0.0277906438165818	4318	9028	36118,40975,42936,33203,43991,37233,41491,44235,38059,35563,38890,42428,40081,38047,44030,45307,43130,42620,40009,34790,117353,32569,35253,33003,44205,33262,33281,42445,42034,34132,34924,49070,32601,36791,37573,44448,53437,33392,38580,41094,33212,43775,39536,33619,33916,39567,40287,43829,31490,43856,42160,31792,36057,33881,38424,31221,3772082,37203,33496,34982,35478,31151,45278,39329,31293,32920,31364,35173,34665,35524,45318,35555,3354888,35425,38168,43162,44531,32547,37890,44390,44275,31391,40314,36746,45821,32115,39228,33753,47877,34127,37455,37205,32724,44052,48973,41718,38389,38657,36587,36421,42000,41749,36497,33432,39833,38961,40240,40657,32976,39744,37247,42737,42037,38144,41666,3885637,39158,31429,38752,38160	psq,ato,ash2,Pi3K21B,Pten,Fak,svp,bon,Ptpmeg,geminin,nmo,Stat92E,Mkp3,miple1,msn,fz,Lnk,PyK,hid,Sos,Cct1,vap,spi,pico,spen,dock,S,H,Ubx,Btk29A,CycE,Mbs,sl,Lis-1,px,scrib,Sulf1,aop,Dhc64C,pum,ebi,Crk,DCTN1-p150,ed,eya,Sox21a,kni,ATPsynbeta,CG4096,nej,htl,Nrg,Jra,PDZ-GEF,sty,Raf,kay,hppy,lilli,dac,gus,arm,csw,Pi3K68D,N,Vav,Fas2,Acn,bun,Src42A,kn,jing,rl,step,rho,gro,rg,tay,bs,RFeSP,SoxN,peb,fng,sli,Abl,Ptp10D,klu,tkv,tws,Pvr,Egfr,cora,B-H1,Shc,Src64B,Abi,Hsp83,vn,SelD,vg,CSN5,cv-c,drk,dpp,aos,Cbl,eRF1,Snr1,dome,brm,hpo,hh,abd-A,Rabex-5,sqd,CG33993,RasGAP1,ovo,vvl,Ptp61F
42445	H (Hairless)	1.30162702067e-14	-31.9725762656289	140	111	0.0257063455303381	4318	9028	32256,43162,38168,32846,40863,41840,39620,43812,31162,33905,37890,42828,30983,44531,35932,32703,33496,37546,33059,3772082,39453,38424,43402,36555,36059,36952,33441,42897,31293,36382,32273,43916,34961,35662,32661,35110,47065,41783,37355,42059,42971,34910,37455,192509,33837,33753,39228,34927,39744,36001,35780,40958,35509,40657,33432,39833,318206,32009,38657,33819,43724,35731,38831,43275,40345,39753,40351,33281,32536,44205,31589,43157,117294,36775,36986,34021,31883,43312,44030,32221,44801,38890,34908,43161,32275,41868,42298,40683,34772,44703,37618,49636,41085,32078,43856,34263,33379,40620,41602,46015,37573,34881,43999,32123,32999,33619,34903,33627,44548,30977,33392	hep,gro,rho,Bx,lap,Hsc70-4,Brd,ey,Hr4,Sec61alpha,bs,Rpt2,l(1)sc,rg,CG8788,baz,lilli,dve,run,kay,CG42709,sty,WASp,mam,14-3-3zeta,cnk,insv,Nab2,N,Sin3A,sno,Rok,heix,so,if,amos,qsm,kibra,insc,Dad,CycB3,lace,Egfr,CG12084,lid,tkv,klu,Gli,brm,dap,Cul4,puc,ap,Snr1,dpp,aos,Tlk,Imp,vn,bchs,CycG,sax,Rac2,Ser,Eip78C,Diap1,pzg,S,sd,spen,dx,E(spl)m4-BFM,Dsp1,Rho1,MESR4,muc,lz,wdb,msn,CkIalpha,bsk,nmo,sna,E(spl)m8-HLH,mew,Atg4b,CG11779,Rga,kuz,lolal,CycB,hrg,neur,dsh,nej,numb,Su(dx),cno,CtBP,tutl,px,Su(H),trbl,Amun,amn,ed,esg,ft,lola,CG12470,aop
32919	rictor (rapamycin-insensitive companion of Tor)	6.37885606950177e-14	-30.3832025200871	208	152	0.0352014821676702	4318	9028	37411,44261,326205,40165,45757,37462,34170,117332,41995,37873,43041,42446,39218,35596,38819,31801,32700,38492,38327,37528,35422,40092,36365,37628,36956,40351,36466,53567,31557,40624,39138,39846,38397,37554,36268,44005,32566,44030,41262,38983,41158,46662,33514,37617,34070,37205,42874,45894,31903,46020,44238,32009,32603,47396,39744,34684,39749,39683,32510,40506,34363,41883,44747,36059,34329,33458,33835,40785,32045,31588,43912,34608,35127,33185,31293,33214,35173,36981,42298,37798,32630,40508,41957,32119,34183,43103,31009,39331,38824,43764,45249,38208,34526,35100,42060,42620,39561,39768,39377,33710,40813,40514,43839,49070,44059,43991,43749,42789,36855,40654,32593,35453,32540,42632,37116,31567,31405,41138,36390,38418,42985,41666,38895,33834,47998,41367,38231,31838,37146,40607,5740252,41709,50070,42412,40563,46194,34429,32537,43654,33043,34541,43864,37888,46243,34686,35988,31607,42186,37005,32132,43354,37482	CG4266,eIF5B,Claspin,trc,beta'COP,mahj,Akap200,Rheb,Pak3,Nop60B,Nup358,Pi3K92E,CG6418,coro,Sec63,Caf1-180,RpS5a,RfC4,MEP-1,Fmr1,EF2,rept,CG8545,RpL23,Bap55,pzg,CG4679,larp,Rbcn-3A,Vps37B,CG18178,UQCR-C2,RpL28,Rtf1,CG13185,NHP2,eIF5,msn,sle,RpL14,Kap-alpha3,l(2)09851,CG3605,blw,Rack1,cora,CHORD,lds,Lst8,NAT1,sip1,Imp,nonA,Tor,brm,CG5787,mRpS31,AGO2,CG8184,Arf79F,eEF1delta,Atx2,msk,14-3-3zeta,RpL13,Hrs,eIF-4a,CG42724,Hsp60A,RpL7A,SF1,CG6686,CG10343,kis,N,RpLP1,Acn,eIF3-S9,CG11779,Nap1,Nup153,Chro,Akt1,bif,CG13096,RpL27,RpL36,CG10907,smid,mod,Ef1beta,RpL23A,RpL9,bsf,Ns1,PyK,Frl,SsRbeta,yps,Trip1,Taf1,Mes2,eIF4G,Mbs,RpL30,Pten,faf,eIF-3p66,RpLP2,RpL35A,CG9915,RpL21,CG8578,lqfR,Dp1,Rpt4,ctp,rump,Iswi,kst,Osbp,sqd,Ect4,chic,rin,Ranbp9,alpha-Spec,CG7033,CG30122,Gnf1,Not1,foxo,mask,CG42668,eIF3-S10,Spn,Bug22,Chc,cindr,cactin,Ge-1,RpL10,betaTub60D,poe,MRP,RpL31,Pink1,14-3-3epsilon,eIF3-S8,CkIIbeta,Gp93,LBR
41709	foxo (forkhead box, sub-group O)	1.89707734963268e-13	-29.2932917440869	180	134	0.031032885595183	4318	9028	36981,42757,33214,45682,33185,40739,31588,36059,43812,39106,33905,39683,39744,31239,32603,32919,37475,46020,45894,40687,37205,36028,33514,36321,41431,42127,38983,42595,41262,43312,44030,37781,43769,32770,36914,40014,39454,35098,53567,35559,42982,31762,40351,37628,35523,45959,32700,40562,35678,44115,39218,42446,43041,38542,37873,41995,43999,39821,117332,39088,45757,38199,326205,64880,31151,32771,37005,42186,31607,34686,37481,43864,43654,39119,32537,37662,40563,42828,43385,32256,31363,40960,40958,37146,40248,38231,41367,38515,38494,38895,41666,38418,5740544,36390,38159,41138,31567,36915,38654,40654,36855,44801,42549,37562,43991,43839,41290,36304,42862,34885,40661,40060,33710,39377,39877,37330,35100,39764,42460,34526,40015,38208,33569,42447,40336,43652,33210,34183,44817,48552,32119,41957,34287,39108	eIF3-S9,pnt,RpLP1,eIF-3p40,kis,Rm62,RpL7A,14-3-3zeta,ey,path,Sec61alpha,AGO2,brm,egh,nonA,rictor,CG10306,NAT1,lds,RpL13A,cora,CG1513,CG3605,RpS11,glo,alt,RpL14,pit,sle,wdb,msn,TBPH,pan,CG6769,Dark,grim,Atg1,RpS26,larp,Trap1,Mink,ND-75,pzg,RpL23,mle,mts,RpS5a,srl,CG1620,Rgl,CG6418,Pi3K92E,Nup358,CG15019,Nop60B,Pak3,trbl,RAF2,Rheb,RpS17,beta'COP,alphaCOP,Claspin,chico,arm,mnb,eIF3-S8,14-3-3epsilon,Pink1,MRP,HmgD,RpL10,cindr,CG3335,Chc,Fib,eIF3-S10,Rpt2,Hrb98DE,hep,tyf,CG9667,puc,CG30122,Ide,alpha-Spec,Ranbp9,pav,Ras64B,Ect4,sqd,kst,futsch,Iswi,CG2199,rump,Rpt4,RhoGEF2,S6k,RpL35A,RpLP2,bsk,InR,qkr58E-2,Pten,eIF4G,TfIIFbeta,Prp8,Tsc1,vig,CG31550,RpL26,Trip1,yps,Int6,CG11180,bsf,Zn72D,Syp,RpL9,rpr,RpL23A,Thor,Lrrk,park,dj-1beta,RpI135,CG13096,for,Sam-S,bif,Akt1,CG4364,RpS9
34924	CycE (Cyclin E)	2.67236695589526e-13	-28.9506416288845	161	122	0.0282538212135248	4318	9028	43466,42037,35364,44915,35070,41783,36571,38719,34411,42379,39158,33837,37455,42693,192509,41363,42059,39013,32083,40704,44052,35584,43565,32009,33218,36497,38005,39340,33432,38942,42000,43825,36001,37247,39744,42737,35780,40657,35851,40133,47396,49228,41840,33959,41181,42453,37386,42571,44540,45922,36854,45821,31391,40314,38424,38879,40653,41341,38516,34982,32977,39453,32321,41694,33721,31293,31151,42130,41273,41062,42757,36032,44543,39480,37723,34009,32078,2768677,42896,39439,44448,36238,42446,44830,38244,33627,39564,36606,39764,2768981,40843,40009,43718,38831,40833,35253,38492,35731,40548,44205,40835,31535,41612,34132,41737,40351,39440,36775,31746,42936,36461,34592,36171,37859,43906,48317,42550,39884,37589,40990,40358,36538	stg,abd-A,RPA2,DNApol-alpha60,CadN,kibra,cg,CG7386,Cdk1,mira,RasGAP1,lid,Egfr,Dcr-1,CG12084,pros,Dad,dally,dlg1,plx,Shc,Eb1,Axn,Imp,ex,drk,gsb,CycA,dpp,DNApol-alpha50,CSN5,sv,dap,hpo,brm,hh,Cul4,Snr1,ptc,ash1,Tor,mod(mdg4),Hsc70-4,Rca1,hyd,Cdk2,shg,glec,ct,rap,Cdk4,Abl,peb,fng,sty,pbl,PEK,Tctp,ago,dac,Ubqn,CG42709,NFAT,Nsf2,Rtnl1,N,arm,osa,hth,pyd,pnt,Mef2,enc,RpS12,mi,wg,dsh,p53,crb,ara,scrib,E(Pc),Pi3K92E,kto,Rap1,ft,btl,phyl,Zn72D,Trl,Ufl1,hid,pygo,Rac2,Scr,spi,RfC4,sax,Skp2,spen,Antp,rux,sim,Btk29A,trx,pzg,caup,Rho1,Traf6,ash2,Dp,crol,shn,enok,skd,ttk,E2f1,sina,RpS24,Poxm,Pc,tum
38879	pbl (pebble)	2.67794467813391e-13	-28.9485566197707	145	112	0.0259379342288096	4318	9028	34924,31722,49070,39753,35047,33500,39266,42735,35253,42392,46006,40429,34192,38831,36538,37116,43312,31424,32207,38059,42550,47220,48317,47594,31659,34592,36171,41675,41446,36775,43749,43873,44059,39293,49701,42160,31678,42306,31289,39429,44817,34993,40459,44339,39505,44672,42093,34032,35596,32999,38819,44548,34445,41094,38244,45280,40292,34263,32981,37734,43999,36395,34067,40640,40314,38001,33991,36854,32838,36329,35555,32743,31074,45374,35340,31425,38489,39572,31151,33185,318825,33694,43832,35693,39160,31816,38488,43936,31429,43229,39861,43916,39504,35966,43466,42707,31596,32938,39212,36542,34767,40248,318206,42971,41145,38017,32340,48973,42059,44238,38186,38515	CycE,fs(1)h,Mbs,Diap1,dl,Rrp1,Ube3a,CenB1A,spi,trem,east,CycH,Sema1a,Rac2,tum,Dp1,wdb,CG44774,LIMK1,Ptpmeg,E2f1,Fur1,ttk,aPKC,fz4,crol,shn,flfl,aurA,Rho1,faf,ras,RpL30,Mob2,gish,htl,CHES-1-like,vib,CG3603,sti,for,grp,Csp,imd,flr,Lk6,Sur-8,RapGAP1,coro,amn,Sec63,lola,Myo31DF,pum,Rap1,cv-2,Pitslre,numb,Cdc42,apt,trbl,nemy,cdc14,Cerk,fng,zip,Mnn1,Cdk4,Wnt5,Cam,jing,RhoGAPp190,CG32812,fwd,dia,Ptp4E,Ack,nuf,arm,kis,mRpL27,CG15625,PlexA,Vps13,iPLA2-VIA,Moe,Fit1,Men-b,ovo,His2Av,Galphaf,Rok,CG10222,wun,stg,klg,pigs,Pfrx,simj,shot,B4,Ide,Tlk,CycB3,mura,Pdk1,rdgB,Src64B,Dad,sip1,CG13917,pav
40358	Pc (Polycomb)	7.53252120585109e-13	-27.9143764016568	101	83	0.0192218619731357	4318	9028	38168,44505,35555,41840,37069,41090,40793,34595,41694,32100,43651,34569,42130,33185,40739,31869,43327,47763,38637,36571,37038,38389,39551,39203,44013,43928,39744,37247,32976,32169,36241,39765,31801,36612,40833,40835,41785,34377,34924,31722,41737,42034,32536,41743,43788,37859,43906,35197,36431,117294,45655,36118,32762,34277,42550,53562,40616,31181,48552,41550,37973,44703,37065,41168,45830,47900,34009,43856,36238,44830,32627,37476,37601,3355136,42853,44889,39564,36432,34430,2768981,33212,39217,41704	rho,br,jing,Hsc70-4,Pcl,Kdm2,gpp,esc,Nsf2,RpII215,wts,salm,osa,kis,Rm62,mxc,Sce,Abd-B,Eaf6,cg,grh,Hsp83,upSET,E(z),sls,chm,brm,hpo,dome,Usp7,tou,Taf4,Caf1-180,Asx,Scr,Antp,eff,Utx,CycE,fs(1)h,trx,Ubx,sd,PR-Set7,Hcf,enok,skd,brat,Psc,Dsp1,dom,psq,e(y)1,gcm,E2f1,tara,corto,ph-p,Sam-S,Vha55,Dll,lolal,stau,Scm,bur,Taf5,wg,nej,E(Pc),kto,SMC3,Tbp,RYBP,Nipped-B,SMC1,ph-d,btl,Su(z)2,TfIIB,Trl,ebi,tna,rdx
