TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH-like_dom_sf	1.02102260136881e-15	-34.5179717194709	137	105	0.0216049382716049	4860	11265	33268,31031,38806,38928,38488,31815,37201,33882,38418,2768892,36915,35783,34633,39344,39158,43041,40327,33849,42735,34030,35425,32028,34882,32746,39907,32698,35971,42672,34398,41656,45928,40205,34263,41144,38059,34850,49968,41675,38248,42050,64880,38050,38321,38945,41425,42985,31224,42203,32569,33552,36952,41427,38879,40608,40361,42981,31816,41163,38406,5740131,35237,36876,41957,37134,31667,43163,41219,38017,37749,37233,37858,39866,37767,37707,42412,33845,43149,34354,32601,36643,34790,44052,38113,35306,43130,34237,32522,35715,43916,33445,38978,38785,40704,33003,35696,37205,39026,35116,43402,32920,34803,36028,33218,43892,36881	aru,CG43867,RhoGEF4,cert,Fit1,CG12075,ena,Pez,kst,CG42271,RhoGEF2,Asap,Ced-12,Sprn,RasGAP1,Nup358,siz,CG12393,CenB1A,Ziz,step,Myo10A,ck,beta-Spec,Fit2,CG5004,ced-6,loco,CG5022,yrt,shi,CG42674,numb,by,Ptpmeg,osp,Cadps,flfl,dre4,CG8907,chico,RhoGEF3,dos,GAPcenA,CG17360,Osbp,PsGEF,PKD,vap,CG34394,cnk,Sbf,pbl,Cdep,CG7324,CG11168,Moe,CG8312,CG14968,CG34383,CG10188,unc-104,Akt1,GEFmeso,Dok,Exo84,Art4,Pdk1,CG30183,Fak,gek,Dab,Ssrp,CG3530,CG42668,mtm,Nf1,CG5734,sl,Spred,Sos,Shc,CG9205,RtGEF,Lnk,CG32982,Graf,LRR,Rok,Drp1,rhea,melt,plx,pico,scra,cora,CG5026,MESR3,WASp,Vav,CenG1A,CG1513,ex,sif,CG5522
IPR016024	ARM-type_fold	1.99320187775501e-13	-29.2438638794173	196	135	0.0277777777777778	4860	11265	31543,41189,36913,192509,37708,40127,44409,35483,37462,35209,33819,43312,44531,42632,31724,118436,39329,40786,43839,36440,35336,41096,41158,318680,38721,37840,38895,41952,31187,34633,42446,31026,35053,32987,35155,40950,35016,38785,39858,31842,39122,32966,32820,43508,31793,32510,40174,3355040,47396,37733,44819,35865,40680,32608,39240,38303,38675,42169,41068,34338,33001,37084,35939,2768951,42517,35123,39034,35895,41675,31151,35099,33235,3346238,34378,40160,44642,41094,33974,40596,35925,42171,43449,246445,43423,37475,34514,37570,32566,43749,43392,31874,42871,34785,39413,39164,42497,41367,33489,33398,40201,39141,43034,40626,31625,46020,43242,43901,39561,37355,32970,35664,33960,36286,43149,32537,42130,42819,35386,33778,3355136,32919,31731,31075,35340,44747,31142,31247,36732,2768940,40581,38167,53436,33211,41943,43740	raptor,CG16908,CG8963,CG12084,CG3520,Ltn1,Cbp80,Nipped-A,mahj,CG17349,bchs,wdb,rg,lqfR,Upf2,Ranbp16,Pi3K68D,CG10286,eIF4G,Cap-G,Fs(2)Ket,Vps15,Kap-alpha3,HEATR2,Trn,IntS1,Ect4,msps,wapl,Ced-12,Pi3K92E,CG16989,Aac11,AP-1-2beta,Tango6,CG2747,Cas,melt,Mo25,AP-1gamma,fry,Rcd-1,betaCOP,yata,IntS4,CG8184,Rpn1,CG17514,Tor,Pi3K59F,g,stmA,kra,mei-41,CG7839,CG9004,alphaKap4,PP2A-B',CG11964,Pen,CG15618,CG5721,Rme-8,CG33217,Smyd5,CG10383,smg,FANCI,flfl,arm,ncm,CG2807,form3,CG5604,Kap-alpha1,Apc,pum,SA,ctrip,Mys45A,cdm,Rpn2,Rif1,CG1951,CG10306,CG33129,CG4554,eIF5,faf,htt,ric8a,Apc2,Sec71,CG32104,Taf2,CG7044,Ranbp9,CG31694,CG10880,gig,defl,CG10420,Mms19,nonC,NAT1,CG5521,chb,Frl,insc,Ranbp21,CG11123,l(2)k09022,pds5,Nf1,Chc,osa,eIF4G2,CG9246,Cap-D3,Nipped-B,rictor,CG1575,DAAM,dia,msk,CG14803,PI4KIIIalpha,Ranbp11,Pp2A-29B,Karybeta3,SA-2,c11.1,AP-2alpha,Hel89B,nero
IPR001452	SH3_domain	1.41236059498618e-12	-27.2857586305757	64	55	0.0113168724279835	4860	11265	37014,42467,31729,32601,34882,42491,35306,34132,32522,36383,37218,38231,42601,44111,42840,36990,39520,5740318,32920,35267,42050,39258,39864,38050,36176,50225,43775,37422,35524,34505,33268,41718,32569,47260,33262,42265,38534,38418,36497,35783,38021,36442,43404,44013,35378,44861,45821,36462,39052,42817,43654,48973,32083,41062,8673992	CG10933,Synd,CG2258,sl,ck,Cortactin,RtGEF,Btk29A,Graf,Amph,EndoB,alpha-Spec,SKIP,slpr,CG13604,POSH,Abp1,CG43729,Vav,CdGAPr,CG8907,IRSp53,Lasp,RhoGEF3,metro,Prosap,Crk,ASPP,Src42A,Stam,aru,Abi,vap,l(3)05822,dock,EndoA,Cip4,kst,drk,Asap,p130CAS,Ack-like,spg,sls,Dap160,sdt,Abl,Pex13,nwk,mbc,cindr,Src64B,dlg1,pyd,Nost
IPR036236	Znf_C2H2_sf	2.69646791261701e-12	-26.6390783798456	265	170	0.0349794238683128	4860	11265	36171,34592,42144,34568,34903,38660,40242,36571,49638,40414,40594,36170,48785,33657,40061,37730,41848,48317,34908,40605,40789,31429,34303,38436,35445,39456,44272,40309,34784,35157,37818,33639,43566,39721,42162,42145,41981,41041,33957,34177,32224,35198,43795,2768719,41837,34906,39095,36024,326152,35682,41345,31743,44505,39947,37992,36678,39549,31735,37464,42300,43070,34887,42057,31391,14462577,32613,43398,41423,41768,45871,38717,31912,39764,3772396,33606,35260,33692,38817,42143,36156,39697,41355,37155,35430,40643,38063,38159,41040,34292,35135,33861,35770,43727,33224,32663,31070,39228,39548,36679,43694,31523,38638,42237,37785,41038,31420,43572,32994,36087,319028,42226,35427,36763,33225,33975,32770,41831,43531,41404,36603,31977,40375,32353,38520,41194,34622,31572,45961,33602,59239,31577,31430,43924,34483,40351,32104,42736,38719,31648,31600,38733,35843,33343,43570,32517,32014,31265,44786,41395,42393,38718,37379,36986,38713,31611,34569,31660,44548,40795,33581,2768685,42392,35555,34328,33077,42413,42391,39539,41042,318709	shn,crol,CG17801,salr,esg,CG13287,kin17,cg,drm,CG11247,CG14655,CG12391,wek,CG15436,arx,pita,Cp190,ttk,sna,opa,CG1024,ovo,CG13123,dar1,Clamp,CG10754,tio,CG11456,CG16863,CG10431,CG3065,CG17612,ZIPIC,CkIIalpha-i1,sr,CG7357,pad,ranshi,sens-2,fu2,CG15725,CG17568,zfh2,luna,Art3,wor,phol,CG12744,erm,az2,CG6689,CG10959,br,CG18265,CG2790,chn,CG17359,CG2116,CG10321,sqz,CG11902,CG15269,CG3995,peb,pre-lola-G,hang,wdn,l(3)neo38,CG7987,grau,D19B,btd,Zn72D,seq,CG3407,CG10462,Cf2,CTCF,CG17802,CG30020,CG7372,CG31388,CG15073,tsh,CG14667,CG1233,CG2199,CG8159,zf30C,ham,Kr-h1,CG12769,CG1792,cbt,CG9609,CG11398,klu,CG17361,CG8089,CG12054,CG12236,Blimp-1,CG31224,ken,nom,CG32772,Sry-delta,zld,CG12909,CG31922,fru,CG31612,CG8388,ush,CG13775,CG6769,CG6654,CG15514,CG18476,CG17385,CG2889,Neu2,mamo,CG11586,CG8478,Plzf,CG12219,Pep,bowl,CG18764,CG3847,CG32767,jim,CG12299,pzg,CG11696,CG31365,CG7386,CG3032,CG3224,CG10147,rgr,chinmo,Sry-beta,CG8944,CG2202,dwg,nerfin-1,CG14711,CG4936,D19A,CG10543,MESR4,CG13296,CG14441,salm,CG9650,lola,Zif,sob,mld,trem,jing,Dref,CG1529,CG4360,CG4854,Meics,M1BP,CG42726
IPR000719	Prot_kinase_dom	3.5240922989615e-12	-26.3713982166648	221	146	0.0300411522633745	4860	11265	33139,38489,34127,44353,43875,40461,53425,32221,3354888,34780,43423,8674026,43792,39686,32538,32771,41361,38433,44030,34411,41256,42187,42549,31607,42289,37152,40143,49701,35731,34284,36302,44801,42126,37893,43673,37938,42203,37858,32120,37455,35154,45821,43415,48448,33753,31248,41957,42160,34993,34831,34132,43916,39157,31221,37203,35329,32631,40292,39659,40384,39516,40391,37586,43828,34705,44111,40560,41118,40653,32257,318206,44817,41096,41020,48973,35900,42453,41446,42447,31696,36579,318600,42366,31877,43794,34504,36854,48311,38070,36404,34348,43651,43904,33965,44573,44672,39564,43999,2768852,38890,32753,38654,32256,35288,37376,36442,31598,37247,45970,41673,32948,32097,33758,3355135,41995,35950,41398,35207,38649,37233,44355,45969,47594,3355134,53573,38017,40385,40660,43508,39429,40232,32207,44039,36706,39241,42358,35524,43428,41772,35758,36283,42866,39454,40165,42233,34367	S6kII,Ack,Pvr,Shark,Ret,Srpk79D,Alk,CkIalpha,rl,p38b,CG1951,Gyc76C,CaMKI,dop,CG8565,mnb,KP78b,Eip63E,msn,Cdk1,CG43143,CG7156,InR,Pink1,cdi,Sik3,wnd,gish,sax,Pka-C1,CG8878,bsk,Mps1,Slik,dco,Adck,PKD,gek,PhKgamma,Egfr,Nak,Abl,Doa,CkIIalpha,tkv,sgg,Akt1,htl,grp,Dyrk2,Btk29A,Rok,Cdk8,Raf,hppy,IKKepsilon,mbt,Pitslre,Tak1,SAK,CG10738,Wnk,Cdk9,CaMKII,Pk34A,slpr,CG32944,FER,PEK,lic,Tlk,for,Vps15,Mkk4,Src64B,babo,Cdk2,aurA,Lrrk,Nek2,CG8485,Wsck,Ask1,Erk7,Asator,aurB,Cdk4,Pkc53E,Hipk,Mos,CG4839,wts,AMPKalpha,Wee1,MAPk-Ak2,Lk6,btl,trbl,par-1,nmo,CG8173,S6k,hep,lok,CG3216,Ack-like,Cdc7,hpo,S6KL,Lkb1,Tao,Drak,Bub1,Stlk,Pak3,Pkn,Csk,dnt,Myt1,Fak,drl,gwl,aPKC,CG17528,Ilk,Pdk1,Cdk12,ksr,yata,sti,polo,LIMK1,Pak,SRPK,JIL-1,Ire1,Src42A,Pkc98E,put,CG8726,otk,p38a,Atg1,trc,CG14305,Ror
IPR001849	PH_domain	4.28113753914223e-12	-26.1768023614747	71	59	0.0121399176954733	4860	11265	35425,32601,34030,32522,34237,34132,45928,43916,39907,32746,32698,38113,34790,35306,43130,35696,32686,38785,33003,49968,34850,34803,38321,42985,41425,36028,36881,43892,32920,32729,64880,38928,38488,41427,36952,32569,42203,31031,38806,36915,35783,5740131,5740235,35237,34633,40608,38418,2768892,36876,41957,37134,31667,43163,37858,33849,42412,42735,37749,39158	step,sl,Ziz,Graf,CG32982,Btk29A,shi,Rok,Fit2,beta-Spec,CG5004,CG9205,Sos,RtGEF,Lnk,scra,RhoGAP15B,melt,pico,Cadps,osp,CenG1A,dos,Osbp,CG17360,CG1513,CG5522,sif,Vav,CG43658,chico,cert,Fit1,Sbf,cnk,vap,PKD,CG43867,RhoGEF4,RhoGEF2,Asap,CG34383,RhoGAP1A,CG10188,Ced-12,Cdep,kst,CG42271,unc-104,Akt1,GEFmeso,Dok,Exo84,gek,CG12393,CG42668,CenB1A,CG30183,RasGAP1
IPR036028	SH3-like_dom_sf	3.1124004708015e-11	-24.1930417389075	68	56	0.011522633744856	4860	11265	36497,38418,36442,38021,35783,32569,47260,41718,33268,38534,42265,33262,41062,43654,48973,32083,32122,8673992,44013,43404,35378,44861,39052,36462,42817,45821,35306,34882,42491,37218,34132,32522,36383,42467,31729,37014,32601,39258,42050,32920,35267,35524,34505,36176,38050,39864,37422,43775,50225,38231,42601,39520,5740318,44111,36990,42840	drk,kst,Ack-like,p130CAS,Asap,vap,l(3)05822,Abi,aru,Cip4,EndoA,dock,pyd,cindr,Src64B,dlg1,FucT6,Nost,sls,spg,Dap160,sdt,nwk,Pex13,mbc,Abl,RtGEF,ck,Cortactin,EndoB,Btk29A,Graf,Amph,Synd,CG2258,CG10933,sl,IRSp53,CG8907,Vav,CdGAPr,Src42A,Stam,metro,RhoGEF3,Lasp,ASPP,Crk,Prosap,alpha-Spec,SKIP,Abp1,CG43729,slpr,POSH,CG13604
IPR013087	Znf_C2H2_type	1.46632625061985e-10	-22.6430908064743	297	182	0.0374485596707819	4860	11265	40309,41498,37818,35157,40789,31429,40509,40605,35445,44272,34303,38436,48317,34908,37730,41848,38660,34903,41073,36171,34592,42144,34568,36170,48785,33657,36571,49638,40594,40414,43795,35198,39095,36024,326152,2768719,34906,41041,34992,42145,41981,32224,32579,34177,33957,43401,42162,34560,39721,33639,43566,43398,31391,14462577,32613,41768,45871,41423,38327,37464,31735,42300,39613,39549,40021,43070,34887,44505,35682,41345,31743,36678,37209,39947,37992,35135,33861,35770,35430,40643,34292,38159,38063,41040,42143,38817,33692,36156,33606,35260,41355,37155,39697,43676,38717,39764,3772396,64875,31912,41404,36603,41831,31977,40375,36685,42226,35427,32994,33225,36763,32770,37923,42237,41038,37785,43694,36679,38638,31523,43572,31420,43727,31070,32663,33224,39548,39228,2768981,31577,31430,59239,45961,40720,31572,33602,41391,41194,34622,38888,32353,38718,44786,44027,42393,41395,36986,37379,43570,31265,32014,32517,42736,32104,38719,40351,35843,31600,38733,33343,31648,34483,42322,43924,42413,32046,42391,318709,41042,39539,42392,35555,33581,2768685,33077,41217,40693,40795,31660,44548,31611,38713,34569	CG11456,MBD-R2,CG3065,CG10431,CG1024,ovo,Ssl1,opa,Clamp,tio,CG13123,dar1,ttk,sna,pita,Cp190,CG13287,esg,E(var)3-9,shn,crol,CG17801,salr,CG12391,wek,CG15436,cg,drm,CG14655,CG11247,zfh2,CG17568,phol,CG12744,erm,luna,wor,ranshi,her,CG7357,pad,CG15725,disco,fu2,sens-2,CG1647,sr,ab,CkIIalpha-i1,CG17612,ZIPIC,wdn,peb,pre-lola-G,hang,CG7987,grau,l(3)neo38,MEP-1,CG10321,CG2116,sqz,CG9425,CG17359,CG7271,CG11902,CG15269,br,az2,CG6689,CG10959,chn,CG11906,CG18265,CG2790,ham,Kr-h1,CG12769,tsh,CG14667,zf30C,CG2199,CG1233,CG8159,CG17802,CTCF,Cf2,CG30020,CG3407,CG10462,CG31388,CG15073,CG7372,CG11317,D19B,Zn72D,seq,disco-r,btd,CG18476,CG17385,CG6654,CG2889,Neu2,row,fru,CG31612,zld,ush,CG8388,CG6769,CG11414,CG31224,nom,ken,CG12054,CG8089,Blimp-1,CG12236,Sry-delta,CG32772,CG1792,CG11398,CG9609,cbt,CG17361,klu,Trl,CG3847,CG32767,CG18764,Pep,CG10979,CG12219,bowl,CG6791,CG8478,Plzf,CG8209,mamo,D19A,nerfin-1,sbb,CG4936,CG14711,MESR4,CG10543,Sry-beta,dwg,CG2202,CG8944,CG31365,CG11696,CG7386,pzg,rgr,CG3224,CG10147,chinmo,CG3032,CG12299,CG5316,jim,CG4360,CG11122,CG4854,CG42726,M1BP,Meics,trem,jing,sob,mld,CG1529,Glut4EF,MTA1-like,Zif,CG9650,lola,CG14441,CG13296,salm
IPR017441	Protein_kinase_ATP_BS	4.20841192886357e-10	-21.5887655674559	164	110	0.0226337448559671	4860	11265	32771,36854,32538,38070,36404,41361,48311,43792,36579,34504,43794,42366,38654,35731,49701,36302,35288,34284,32256,44573,34411,33965,41256,43904,44030,43651,38433,37152,42289,2768852,42549,38890,39564,44672,40461,34780,3354888,32221,318206,53425,34127,33139,38489,41118,40653,43875,44353,42453,42447,41446,41020,44817,35900,48973,39659,44039,32207,39157,31221,43916,40660,34132,34831,32631,37203,35329,39429,42866,40560,34367,42233,40165,39454,43828,43428,35524,37586,40384,39241,36706,34705,33758,43673,32948,41673,35950,42203,41995,36442,37247,42126,37893,31598,43415,47594,45821,34993,38017,42160,40385,33753,48448,41957,31248,3355134,32120,37858,38649,41398,37455	mnb,Cdk4,CG8565,Hipk,Mos,KP78b,Pkc53E,CaMKI,CG8485,aurB,Asator,Ask1,S6k,sax,gish,CG8878,lok,Pka-C1,hep,MAPk-Ak2,Cdk1,Wee1,CG43143,AMPKalpha,msn,wts,Eip63E,Sik3,cdi,par-1,InR,nmo,btl,Lk6,Srpk79D,p38b,rl,CkIalpha,Tlk,Alk,Pvr,S6kII,Ack,FER,PEK,Ret,Shark,Cdk2,Lrrk,aurA,Mkk4,for,babo,Src64B,Tak1,Pak,LIMK1,Cdk8,Raf,Rok,ksr,Btk29A,Dyrk2,mbt,hppy,IKKepsilon,sti,p38a,CG32944,Ror,CG14305,trc,Atg1,CaMKII,Pkc98E,Src42A,Cdk9,SAK,JIL-1,SRPK,Pk34A,Bub1,dco,Tao,Lkb1,Pkn,PKD,Pak3,Ack-like,hpo,Mps1,Slik,Cdc7,Doa,aPKC,Abl,grp,Pdk1,htl,Cdk12,tkv,CkIIalpha,Akt1,sgg,CG17528,PhKgamma,gek,Myt1,Csk,Egfr
IPR035979	RBD_domain_sf	3.62973631303555e-09	-19.4341058323452	157	104	0.0213991769547325	4860	11265	35305,39119,33305,31000,41138,31442,31023,42752,44095,40562,48571,45840,32587,31481,33652,42026,43944,38795,34370,38811,37781,39049,32866,19834761,53443,41147,42166,39198,49809,43087,40369,39527,44205,39919,42848,32009,39138,32851,31448,41413,32293,32602,5740386,38360,43467,33201,38526,44271,43764,39018,49895,42013,47384,36605,38605,36981,42836,34416,35756,38937,48535,42958,31243,40529,37411,3355041,37070,41431,41294,35235,38399,37585,35027,43385,43231,32603,42957,5740811,36619,250811,37681,38720,47998,33843,36984,43808,33968,37254,40673,42460,35173,3772180,41670,37838,35378,33498,35924,33982,40074,32245,41666,34667,34648,33677	La,CG3335,CG4896,elav,rump,snf,fz3,orb,fus,srl,heph,cpo,caz,CG4119,CG15440,nonA-l,sbr,Neos,Rsf1,lark,TBPH,bol,CG18259,CG44249,SF2,RnpS1,Cbp20,Rbfox1,Rbp2,msi,barc,bru3,spen,Rbp6,Rox8,Imp,CG18178,CG6540,Rnp4F,CG14718,Rbp1-like,U2af50,CG40813,CG2162,CG14506,U2af38,CG1316,xmas-2,mod,orb2,CG17018,CG14891,sra,CG17386,shep,eIF3-S9,CG31140,Cnot4,nito,CG7185,Hrb87F,Saf-B,eIF3ga,CG14641,CG4266,eIF-4B,pAbp,glo,Rbp1,swm,CG11505,CG17807,CG12288,Hrb98DE,Rb97D,nonA,CG5808,CG34231,tra2,bru2,LS2,CG13298,rin,CG9107,cyp33,gw,Hrb27C,sm,CG2931,Syp,Acn,Sxl,B52,MAN1,Dap160,Rbp9,tsu,snRNP-U1-70K,CG3808,fne,sqd,Ref2,bru1,CG3294
