TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04013	MAPK signaling pathway - fly	1.85454793434999e-07	-15.5004546857579	93	71	0.0460440985732815	1542	3056	38424,44747,43481,33753,43656,31746,37978,33432,33392,44353,43319,32256,39833,43162,39158,41020,3354888,42866,38657,3772082,44801,31379,44851,42366,40009,34096,34780,32257,36606,33212,37461,34132,53560,36032,34380,37149,31391,40958,35524,44052,45959,41363,40660,33834,41785,42757,36059,48317,36952,45278,31667,36497,45994,41136,44030,34790,44111,36057,39659,37216,32849,32569,38831,39884,37455,31883,31221,36054,38321,48973,35253	sty,msk,alph,tkv,tll,Traf6,Atf-2,dpp,aop,Shark,Mtl,hep,aos,gro,RasGAP1,Mkk4,rl,p38a,vn,kay,bsk,bi,raw,Ask1,hid,Cka,p38b,lic,phyl,ebi,PTP-ER,Btk29A,cic,Mef2,CYLD,edl,peb,puc,Src42A,Shc,mts,pros,ksr,chic,eff,pnt,14-3-3zeta,ttk,cnk,csw,Dok,drk,fs(1)M3,RhoL,msn,Sos,slpr,Jra,Tak1,Tab2,wgn,vap,Rac2,sina,Egfr,lz,Raf,egr,dos,Src64B,spi
dme04013	MAPK signaling pathway - fly	1.85454793434999e-07	-15.5004546857579	93	71	0.0460440985732815	1542	3056	33392,43319,44353,37978,33432,39833,41020,43162,39158,32256,43481,38424,44747,31746,33753,43656,44851,42366,44801,31379,40009,3354888,42866,38657,3772082,36606,32257,37461,34132,53560,36032,33212,34096,34780,35524,40958,44052,37149,31391,34380,42757,36059,41363,45959,41785,40660,33834,36057,34790,44111,39659,45278,48317,36952,31667,41136,44030,45994,36497,39884,37455,38831,32569,31883,32849,37216,35253,36054,31221,38321,48973	aop,Mtl,Shark,Atf-2,dpp,aos,Mkk4,gro,RasGAP1,hep,alph,sty,msk,Traf6,tkv,tll,raw,Ask1,bsk,bi,hid,rl,p38a,vn,kay,phyl,lic,PTP-ER,Btk29A,cic,Mef2,ebi,Cka,p38b,Src42A,puc,Shc,edl,peb,CYLD,pnt,14-3-3zeta,pros,mts,eff,ksr,chic,Jra,Sos,slpr,Tak1,csw,ttk,cnk,Dok,RhoL,msn,fs(1)M3,drk,sina,Egfr,Rac2,vap,lz,wgn,Tab2,spi,egr,Raf,dos,Src64B
ko04391	Hippo signaling pathway - fly	1.11357613803582e-06	-13.7079339753654	61	49	0.0317769130998703	1542	3056	2768940,44861,34009,252554,33218,48632,32813,44448,33627,43673,32849,35526,42186,34924,37368,32536,41783,37247,41885,34179,47594,32351,36054,32083,37851,41273,32703,32805,36059,39013,47877,33245,42634,33529,42734,39399,33619,46156,45959,34405,35340,44100,31310,44801,43651,2768677,38657,42896,35430	Pp2A-29B,sdt,wg,sav,ex,Act87E,upd1,scrib,ft,dco,wgn,Act42A,14-3-3epsilon,CycE,Act57B,sd,kibra,hpo,Act88F,d,aPKC,jub,egr,dlg1,yki,hth,baz,upd2,14-3-3zeta,dally,tws,ds,mats,Mad,Rassf,app,ed,Gug,mts,lft,dia,Patj,Myc,bsk,wts,p53,vn,crb,tsh
dme04391	Hippo signaling pathway - fly	1.11357613803582e-06	-13.7079339753654	61	49	0.0317769130998703	1542	3056	38657,2768677,35430,42896,34405,43651,44801,31310,44100,35340,33619,39399,42734,33529,42634,33245,45959,46156,36059,32805,47877,39013,47594,34179,41273,32703,37851,36054,32351,32083,37368,34924,41885,37247,41783,32536,44448,42186,35526,32849,43673,33627,44861,2768940,32813,33218,48632,252554,34009	vn,p53,tsh,crb,lft,wts,bsk,Myc,Patj,dia,ed,app,Rassf,Mad,mats,ds,mts,Gug,14-3-3zeta,upd2,tws,dally,aPKC,d,hth,baz,yki,egr,jub,dlg1,Act57B,CycE,Act88F,hpo,kibra,sd,scrib,14-3-3epsilon,Act42A,wgn,dco,ft,sdt,Pp2A-29B,upd1,ex,Act87E,sav,wg
ko04320	Dorso-ventral axis formation	0.000101777981258922	-9.19271677135948	28	24	0.0155642023346304	1542	3056	31293,34790,47781,31221,3354888,45931,3355150,34521,44543,36497,31239,34648,38168,33692,42757,37455,33392,34524,31358,39833,41666,42752,44505,39018	N,Sos,fs(1)K10,Raf,rl,spir,AGO3,piwi,enc,drk,egh,bru1,rho,Cf2,pnt,Egfr,aop,aub,brn,aos,sqd,orb,br,orb2
dme04320	Dorso-ventral axis formation	0.000101777981258922	-9.19271677135948	28	24	0.0155642023346304	1542	3056	42752,44505,39018,33692,33392,37455,42757,31358,34524,39833,41666,45931,31221,3354888,34521,3355150,34648,31239,44543,36497,38168,34790,31293,47781	orb,br,orb2,Cf2,aop,Egfr,pnt,brn,aub,aos,sqd,spir,Raf,rl,piwi,AGO3,bru1,egh,enc,drk,rho,Sos,N,fs(1)K10
ko04392	Hippo signaling pathway -multiple species	0.000286432798431363	-8.15800660977208	16	15	0.00972762645914397	1542	3056	42634,33245,42734,37851,32351,33627,43673,44039,41783,41995,37247,33218,32536,252554,43651	mats,ds,Rassf,yki,jub,ft,dco,Pak,kibra,Pak3,hpo,ex,sd,sav,wts
dme04392	Hippo signaling pathway -multiple species	0.000286432798431363	-8.15800660977208	16	15	0.00972762645914397	1542	3056	33245,42634,42734,32351,43673,33627,37851,44039,32536,252554,41995,33218,41783,37247,43651	ds,mats,Rassf,jub,dco,ft,yki,Pak,sd,sav,Pak3,ex,kibra,hpo,wts
dme04144	Endocytosis	0.000464078868820368	-7.67545604427632	124	81	0.0525291828793774	1542	3056	37218,34127,48973,42265,47594,33346,31144,42852,42841,32981,32703,40542,33458,36383,33418,34803,43223,47408,38750,42642,37455,40327,39564,34785,40250,34505,33014,42572,31738,41917,36337,34793,39766,35933,42501,36775,36699,38599,42735,39881,42549,41840,39417,32850,32537,35900,37356,35311,35783,45928,39735,42509,37387,44263,36122,37395,37521,38204,43875,53554,43402,39572,38961,32594,33211,35425,36810,32777,36999,33379,40506,31746,39866,40624,38846,39964,33295,42160,36311,40036,40168	EndoB,Pvr,Src64B,EndoA,aPKC,cpb,Vps26,Hsp68,Rab7,Cdc42,baz,Vps24,Hrs,Amph,Rab5,CenG1A,Lerp,Vps28,CG10103,AP-2mu,Egfr,siz,btl,Sec71,CG5498,Stam,Rab35,lsn,Smox,Arpc3A,garz,Arpc1,Strumpellin,shrb,Rab11,Rho1,Arf51F,CHMP2B,CenB1A,TSG101,InR,Hsc70-4,ArfGAP1,Rip11,Chc,babo,sktl,Arpc2,Asap,shi,elgi,Usp8,cpa,Sara,Git,Rbpn-5,Vrp1,Vta1,Ret,krz,WASp,nuf,Cbl,SWIP,AP-2alpha,step,Khc,Vps4,Smurf,Su(dx),Arf79F,Traf6,Dab,Vps37B,lqf,Vps60,Vps29,htl,wash,Chmp1,Rab8
ko04144	Endocytosis	0.000464078868820368	-7.67545604427632	124	81	0.0525291828793774	1542	3056	43223,47408,38750,42642,37455,39564,40327,42265,37218,34127,48973,31144,33346,47594,42852,32703,32981,42841,36383,33418,33458,40542,34803,41917,36337,31738,34793,39766,42501,35933,36699,36775,42735,39881,38599,34785,40250,34505,42572,33014,37356,35783,35311,45928,39735,44263,36122,37395,37387,42509,53554,43875,37521,38204,43402,38961,39572,33211,32594,42549,41840,39417,32850,32537,35900,39866,31746,40624,39964,38846,42160,33295,36311,40168,40036,35425,36810,32777,36999,33379,40506	Lerp,Vps28,CG10103,AP-2mu,Egfr,btl,siz,EndoA,EndoB,Pvr,Src64B,Vps26,cpb,aPKC,Hsp68,baz,Cdc42,Rab7,Amph,Rab5,Hrs,Vps24,CenG1A,Arpc3A,garz,Smox,Arpc1,Strumpellin,Rab11,shrb,Arf51F,Rho1,CenB1A,TSG101,CHMP2B,Sec71,CG5498,Stam,lsn,Rab35,sktl,Asap,Arpc2,shi,elgi,Sara,Git,Rbpn-5,cpa,Usp8,krz,Ret,Vrp1,Vta1,WASp,Cbl,nuf,AP-2alpha,SWIP,InR,Hsc70-4,ArfGAP1,Rip11,Chc,babo,Dab,Traf6,Vps37B,Vps60,lqf,htl,Vps29,wash,Rab8,Chmp1,step,Khc,Vps4,Smurf,Su(dx),Arf79F
