TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00069	Pkinase	3.06179303036334e-09	-19.6042651349532	168	110	0.024808299503834	4434	10296	38654,43792,45970,31248,43673,38649,41446,32256,43999,41957,44817,32753,318206,44039,33753,41361,34504,35154,37893,39429,32257,44030,34780,3354888,40653,33139,41020,37203,39454,31598,34831,43916,35758,35950,43415,3355135,36579,40292,32771,45969,32538,42187,37858,42126,49701,32207,48311,41772,41673,33965,43828,31877,36706,39686,35288,42453,42233,37247,36854,32097,38017,38433,40165,43423,34284,38890,42366,31696,34348,47594,40391,42203,34411,42447,32948,32221,44672,41096,41995,40560,43428,48448,37586,36404,34993,3355134,33758,42358,41256,39157,2768852,32120,40461,43904,38070,31607,40384,43794,42866,43651,39241,40232,34705,44801,44573,37152,35329,40385,32631,43508	S6k,CaMKI,S6KL,sgg,dco,Myt1,aurA,hep,trbl,Akt1,for,CG8173,Tlk,Pak,tkv,KP78b,aurB,Nak,Slik,sti,lic,msn,p38b,rl,PEK,S6kII,Mkk4,hppy,Atg1,Cdc7,Dyrk2,Rok,CG8726,Pkn,Doa,Stlk,CG8485,Pitslre,mnb,gwl,CG8565,CG7156,gek,Mps1,gish,LIMK1,Pkc53E,put,Lkb1,Wee1,CaMKII,Erk7,SRPK,dop,lok,Cdk2,CG14305,hpo,Cdk4,Drak,Pdk1,Eip63E,trc,CG1951,Pka-C1,nmo,Ask1,Nek2,CG4839,aPKC,Wnk,PKD,Cdk1,Lrrk,Tao,CkIalpha,Lk6,Vps15,Pak3,CG32944,Pkc98E,CkIIalpha,Cdk9,Mos,grp,CG17528,Bub1,Ire1,CG43143,Cdk8,par-1,PhKgamma,Srpk79D,AMPKalpha,Hipk,Pink1,SAK,Asator,p38a,wts,JIL-1,polo,Pk34A,bsk,MAPk-Ak2,Sik3,IKKepsilon,Cdk12,mbt,yata
PF00018	SH3_1	5.1259261732848e-09	-19.0889546115107	34	31	0.0069914298601714	4434	10296	34505,43654,33268,39052,47260,42050,37422,43775,32569,33262,36990,38050,38534,34132,38021,39258,42467,39864,35524,38231,32601,31729,42265,36497,44111,45821,32083,48973,44013,5740318,37014	Stam,cindr,aru,nwk,l(3)05822,CG8907,ASPP,Crk,vap,dock,POSH,RhoGEF3,Cip4,Btk29A,p130CAS,IRSp53,Synd,Lasp,Src42A,alpha-Spec,sl,CG2258,EndoA,drk,slpr,Abl,dlg1,Src64B,sls,CG43729,CG10933
PF00169	PH	1.18514072710231e-08	-18.250819219368	45	38	0.0085701398285972	4434	10296	38113,43130,36876,34030,32569,40608,49968,32698,41427,36952,37749,42985,36028,34132,42735,33003,32522,36881,42412,38321,31031,41957,34850,34790,35696,45928,39158,39907,38488,33849,41425,43892,35425,5740131,35783,2768892,31667,38928	CG9205,Lnk,unc-104,Ziz,vap,Cdep,Cadps,CG5004,Sbf,cnk,CG30183,Osbp,CG1513,Btk29A,CenB1A,pico,Graf,CG5522,CG42668,dos,CG43867,Akt1,osp,Sos,scra,shi,RasGAP1,Fit2,Fit1,CG12393,CG17360,sif,step,CG34383,Asap,CG42271,Dok,cert
PF12796	Ank_2	2.28476257207911e-07	-15.2918335391973	71	52	0.0117275597654488	4434	10296	43387,39571,42447,41087,37344,34969,50070,3355072,37199,36396,34874,40046,37422,39160,39015,38863,42076,35395,36696,43770,38865,35783,50225,31351,38055,44353,326173,49070,32718,33303,36824,2768995,35170,41816,36668,40032,37433,39750,34378,42981,31826,36139,31293,42735,30971,318909,36427,43298,39159,53573,39368,39747	CG10011,nan,Lrrk,Rel,Fem-1,cact,mask,CG41099,CG15118,GLS,l(2)35Be,CG14073,ASPP,iPLA2-VIA,TrpA1,Ank2,m-cup,CG8679,CG8152,Ank,CG7457,Asap,Prosap,CG6428,Atac3,Shark,CG44001,Mbs,f,CG5118,CG8060,CG43980,mib2,CG6966,Kank,MYPT-75D,CG42672,mib1,CG5604,CG11168,rdgA,dgo,N,CenB1A,G9a,CG31715,Sans,CG42534,CG10809,Ilk,rols,Hip14
PF00017	SH2	9.59944806329915e-07	-13.8563900475437	30	26	0.0058637798827244	4434	10296	43584,45278,32760,33203,31987,48973,42428,45821,35085,41118,36497,32601,44353,35524,3885637,38677,41398,34132,32920,33262,32569,43775,41144,43130,32202,44052	CG15529,csw,Socs16D,Pi3K21B,spri,Src64B,Stat92E,Abl,Socs36E,FER,drk,sl,Shark,Src42A,CG33993,PVRAP,Csk,Btk29A,Vav,dock,vap,Crk,by,Lnk,CG43921,Shc
PF00271	Helicase_C	9.69443911716998e-07	-13.8465432167304	73	52	0.0117275597654488	4434	10296	53438,32373,42543,33709,42595,35112,32715,40543,37296,31707,45655,33835,44087,40739,31205,40974,42314,39594,40530,32742,34357,38756,34311,34364,32933,33185,33680,39744,39218,43080,40987,37860,38715,45894,39871,38905,41943,33118,326208,36993,48782,45826,36390,35523,35192,42693,35917,32725,40959,40457,35339,41571	RecQ4,l(1)G0007,Fancm,Marcal1,pit,CG10333,CG8915,Suv3,CG9143,mahe,dom,eIF-4a,Rs1,Rm62,kz,CG9630,Ino80,RecQ5,abs,CG5800,CG4901,CG10077,Etl1,me31B,CG32533,kis,CG3225,brm,CG6418,XNP,eIF4AIII,CG4049,CG7376,lds,Dbp73D,mus301,Hel89B,Hlc,CG32344,Dcr-2,Mtr4,bel,Iswi,mle,l(2)37Cb,Dcr-1,Dbp45A,CG8611,CG7878,Ddx1,CG9323,mus308
PF00076	RRM_1	4.27947848761565e-06	-12.3616794044827	127	80	0.018042399639152	4434	10296	32602,38720,48571,45840,33498,36981,37254,43087,41413,37781,49809,53443,32009,40562,33677,33201,31448,34648,39919,31023,41670,34667,250811,38811,35027,40369,31442,5740386,42957,42026,31481,32587,40673,35756,32866,41294,36984,42166,38795,33652,37411,41431,41666,42848,33968,34370,35924,42958,47998,39198,19834761,37681,44205,33305,39049,41147,43764,36619,33982,38605,3355041,38937,31243,43231,38526,39119,31000,40529,41138,39527,3772180,34416,43385,32603,42460,32245,48535,37070,32293,43467	U2af50,CG13298,heph,cpo,Rbp9,eIF3-S9,sm,msi,CG14718,TBPH,Rbp2,SF2,Imp,srl,CG3294,U2af38,Rnp4F,bru1,Rbp6,fz3,B52,Ref2,bru2,lark,CG12288,barc,snf,CG40813,CG5808,nonA-l,CG4119,caz,CG2931,nito,CG18259,Rbp1,cyp33,Cbp20,Neos,CG15440,CG4266,glo,sqd,Rox8,Hrb27C,Rsf1,tsu,Saf-B,rin,Rbfox1,CG44249,LS2,spen,CG4896,bol,RnpS1,mod,tra2,snRNP-U1-70K,shep,eIF-4B,CG7185,eIF3ga,Rb97D,CG1316,CG3335,elav,CG14641,rump,bru3,Sxl,Cnot4,Hrb98DE,nonA,Syp,fne,Hrb87F,pAbp,Rbp1-like,CG14506
PF00400	WD40	2.22157612763702e-05	-10.7147085535896	129	79	0.0178168696436626	4434	10296	43978,41226,326115,33819,39955,45922,38505,39624,34955,41419,39505,3346176,42196,37036,37801,36791,46662,43162,34616,31557,33399,31881,35529,34488,31146,33367,39394,36150,37727,33854,34793,42750,39669,44531,32526,33180,37329,43218,42593,41647,47900,39997,36199,34153,45757,38199,37073,33710,33212,43490,40698,32544,36259,35596,36144,32581,34096,40239,42272,38516,40386,34540,34595,31680,47877,33862,31903,37467,34070,318566,42504,31155,38957,32168,31213,41096,31744,36038,39774	Plap,CG3909,Atg16,bchs,U4-U6-60K,rap,CG43367,CG5114,CG4935,CG14722,flr,U3-55K,CG8064,CG5033,CG2812,Lis-1,l(2)09851,gro,CG6734,Rbcn-3A,mio,CG16892,SCAP,CG6724,CG14805,Wdr62,thoc6,nclb,wmd,Fbw5,Arpc1,wda,CG7275,rg,CG33172,CG3436,CG9945,CG6420,CG6015,CG9799,Taf5,CG14353,CG9062,Wdr82,beta'COP,alphaCOP,adp,Trip1,ebi,Bub3,CG1109,Gbeta13F,CG13192,coro,CG12325,kat80,Cka,Rbbp5,Smu1,ago,CG7611,Wdr59,esc,Hira,tws,CG9175,Lst8,Rae1,Rack1,CG34133,slmb,Rbcn-3B,Oseg1,Tango4,CG3071,Vps15,Gbeta5,CG12134,l(3)72Dn
PF07776	zf-AD	3.52309847903335e-05	-10.2535846128274	92	59	0.0133062697338746	4434	10296	32014,48785,39549,41041,31265,37464,39548,35157,31572,43727,326142,38717,42736,41042,31648,36170,41073,34177,35198,42393,41395,32613,59239,2768685,40375,43001,40795,40643,41831,41038,38719,32104,36763,41355,39539,38718,33077,37730,41981,41345,31977,42392,31611,41404,38733,42145,45871,36156,34303,43401,42144,42391,41040,42143,43070,34395,33639,37155,33657	CG2202,wek,CG17359,ranshi,dwg,CG10321,CG17361,CG10431,CG12219,CG1792,CG31457,D19B,CG31365,M1BP,CG3032,CG12391,E(var)3-9,fu2,CG17568,CG4936,CG14711,hang,CG18764,mld,Neu2,CG31109,Zif,CG14667,CG6654,nom,CG7386,CG11696,CG8388,CG31388,Meics,D19A,CG1529,pita,pad,CG6689,CG2889,trem,CG14441,CG18476,CG10147,CG7357,grau,CG30020,CG13123,CG1647,CG17801,CG4854,CG8159,CG17802,CG11902,GATAd,CG17612,CG15073,CG15436
PF00046	Homeobox	5.90210487929369e-05	-9.73761641847967	95	60	0.013531799729364	4434	10296	41697,43795,33239,35184,2768974,32567,36239,42544,31802,38752,32723,35266,43812,40817,38451,40835,35341,35147,32724,37322,37973,35942,43664,40297,31003,47285,50392,3355151,36240,33240,42542,34669,34673,38254,42110,35509,39418,35662,40834,31470,40833,45396,38005,37367,32757,42541,40830,42536,42034,44108,47894,37546,42537,33208,53446,44540,47763,32213,31469,42037	ems,zfh2,Pph13,Lim3,ind,exd,inv,C15,oc,vvl,B-H2,bsh,ey,lab,Awh,Antp,cad,tup,B-H1,lms,Dll,unpg,Ptx1,Six4,vnd,repo,schlank,scro,en,Gsc,lbe,nub,pdm2,Dbx,Hmx,ap,toe,so,ftz,Vsx1,Scr,E5,gsb,Rx,unc-4,lbl,bcd,tin,Ubx,Optix,hbn,dve,bap,al,HGTX,ct,Abd-B,CG11085,Vsx2,abd-A
