TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP537	Translation Factors	0.034287198816719	-3.37298320681186	38	29	0.0947712418300654	306	498	3355041,35422,44791,36913,40653,31256,36981,43839,32617,36037,40563,43736,45249,45525,43549,45682,33710,36271,32566,49809,40240,39433,44261,34363,37846,37070,33835,39877,42789	eIF-4B,EF2,Ef1gamma,CG8963,PEK,eIF2B-beta,eIF3-S9,eIF4G,eIF-2alpha,Adam,eIF3-S10,Ef1alpha100E,Ef1beta,eIF-4E,eIF2B-alpha,eIF-3p40,Trip1,Ef1alpha48D,eIF5,Rbp2,eRF1,eIF-2beta,eIF5B,eEF1delta,eIF-5A,pAbp,eIF-4a,Int6,eIF-3p66
WP142	mRNA processing	0.072794282647296	-2.62011786192815	84	58	0.189542483660131	306	498	42240,33964,32602,39456,42693,33645,31442,41670,39527,43426,36494,42048,36306,32373,42853,44668,35713,33909,41294,34432,32379,36304,39408,43415,48571,33180,33259,44409,43944,35523,43358,41704,32100,32587,35003,250811,42460,48535,49636,36314,42937,53443,44250,34648,41138,34080,50007,33305,39483,42593,33235,35192,37254,33514,33982,39377,39955,40457	Cpsf73,Rat1,U2af50,CG10754,Dcr-1,Dim1,snf,B52,bru3,Cpsf100,cbc,CG16941,SmD3,l(1)G0007,SMC1,SmD1,U2A,CG9548,Rbp1,holn1,mRNA-cap,Prp8,CG10418,Doa,heph,CG3436,Clp,Cbp80,sbr,mle,CG4849,rdx,RpII215,caz,LSm7,bru2,Syp,Hrb87F,hrg,SmF,CG6695,SF2,Cpsf160,bru1,rump,SmE,CG11985,CG4896,SRm160,CG6015,CG2807,l(2)37Cb,sm,CG3605,snRNP-U1-70K,yps,U4-U6-60K,Ddx1
WP1204	Mismatch Repair	0.0864858115560555	-2.4477749067521	5	5	0.0163398692810458	306	498	35119,35796,39654,34842,40607	tos,Mlh1,Msh6,spel1,Gnf1
WP97	Wnt Signaling Pathway	0.112304184192104	-2.18654415887481	18	14	0.0457516339869281	306	498	42504,31669,31404,42871,43565,33196,42169,31151,31248,35851,34284,39013,34009,42737	slmb,CBP,Pp2C1,Apc2,Axn,smo,PP2A-B',arm,sgg,ptc,Pka-C1,dally,wg,hh
WP208	Notch Signaling Pathway	0.136522460325409	-1.99126613338459	11	9	0.0294117647058824	306	498	30982,34263,42445,43275,31589,40314,32078,36421,43162	sc,numb,H,Ser,dx,fng,dsh,vg,gro
WP177	Eukaryotic Transcription Initiation	0.139900936104491	-1.96682070609298	35	25	0.0816993464052288	306	498	41741,39310,37414,40325,32100,261631,40934,34430,40429,39313,47900,38527,53573,34796,39688,37476,41290,48312,35297,36289,42822,33210,39202,36160,36130	RpII15,CG7339,Xpd,Sin,RpII215,Rpb7,Taf7,TfIIB,CycH,TfIIEalpha,Taf5,TfIIEbeta,Ilk,RpII33,mrn,Tbp,TfIIFbeta,RpII18,Taf13,RpIII128,TfIIA-S,RpI135,hay,Rpb5,Mat1
WP565	DNA Replication	0.139900936104491	-1.96682070609298	35	25	0.0816993464052288	306	498	35686,31598,40973,36017,42553,38942,40607,44915,40972,38456,41296,31052,38661,38492,47121,41703,35679,38989,35364,39014,31603,37970,42758,32763,34423	Orc1,Cdc7,Mcm2,Orc6,DNApol-alpha180,DNApol-alpha50,Gnf1,DNApol-alpha60,RpA-70,Ubi-p63E,Mcm5,CDC45L,DNApol-epsilon58,RfC4,dup,Orc2,dpa,Cdc6,RPA2,Mcm7,Mcm6,Orc4,DNApol-epsilon255,CG8142,RfC3
WP492	Hedgehog Signaling Pathway	0.18909830261982	-1.66548827945627	10	8	0.0261437908496732	306	498	40701,33196,34411,41965,36382,35851,37618,42737	Rab23,smo,Cdk1,Bin1,Sin3A,ptc,CycB,hh
WP3873	RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis	0.257745823796339	-1.35578135875236	9	7	0.0228758169934641	306	498	37455,42446,2768677,41709,41957,37235,43991	Egfr,Pi3K92E,p53,foxo,Akt1,RpL11,Pten
WP281	Proteasome Degradation	0.315393801197739	-1.15393325842649	36	24	0.0784313725490196	306	498	40717,42828,31567,43449,35998,41531,36638,42802,37894,38456,40388,42805,36951,36018,34359,35176,34999,41785,2768916,40174,40639,35701,32274,33105	Rpn5,Rpt2,Rpt4,Rpn2,Uba1,Prosalpha2,Rpn6,Rpn9,Rpn8,Ubi-p63E,Rpn10,Rpt5,Prosalpha5,Prosalpha7,Prosalpha6,Rpn3,Prosbeta4,eff,CG33303,Rpn1,Prosbeta7,Rpt1,REG,Rpt6
WP269	Heme Biosynthesis	0.344775625643226	-1.06486143398129	8	6	0.0196078431372549	306	498	39402,37815,44701,31817,35986,43757	Pbgs,Alas,Coprox,CG1885,Updo,FeCH
WP279	Triacylglyceride Synthesis	0.370560087394862	-0.992739668192214	16	11	0.0359477124183007	306	498	53586,33824,39819,32230,44887,43563,39820,37289,43350,35966,39611	Dhap-at,Gpdh,CG4753,CG3812,mdy,Mgat2,CG4729,Hsl,mino,wun,bmm
WP3653	Equilibrium Signalling Pathway of Differentiated Cells	0.451032941851589	-0.79621490034735	7	5	0.0163398692810458	306	498	43532,42737,42428,34127,42816	RpS8,hh,Stat92E,Pvr,Nup98-96
WP551	TCA Cycle	0.614410297119708	-0.487092337654174	23	14	0.0457516339869281	306	498	36020,34414,44149,35590,44001,38447,35970,34021,31605,43102,42586,32940,39988,31579	PCB,Mdh1,Acon,SdhB,Sucb,Scsalpha,Pdk,muc,l(1)G0255,CG5028,CG6439,l(1)G0156,CG7430,kdn
WP568	Fatty Acid Biosynthesis	0.704728306492729	-0.349942931309534	12	7	0.0228758169934641	306	498	35761,46068,36536,40348,36020,36926,34313	ACC,Acsl,CG6543,AcCoAS,PCB,CG6984,yip2
WP542	Electron Transport Chain	0.73481968491314	-0.308130136515594	48	28	0.0915032679738562	306	498	32434,40272,42808,35590,41845,36159,46069,32936,39846,39143,32764,39950,43829,32989,43798,32740,33744,37617,44228,43693,31762,31950,44390,37809,39214,32008,37728,37946	ND-B18,ND-39,SdhD,SdhB,ATPsynO,ND-B14,ATPsynG,ND-18,UQCR-C2,ATPsynB,Ucp4A,UQCR-Q,ATPsynbeta,COX6B,ND-49,ND-24,ND-13A,blw,ND-PDSW,ATPsynC,ND-75,ATPsyndelta,RFeSP,CG3803,ND-13B,Ant2,levy,ND-19
WP25	Fatty Acid Beta Oxidation 3	0.738959775509666	-0.302511790490096	7	4	0.0130718954248366	306	498	36536,39988,34276,31695	CG6543,CG7430,Mtpalpha,CG10932
WP1201	Non-homologous End joining	0.837984057405883	-0.176756203256342	4	2	0.0065359477124183	306	498	37564,34930	rad50,Ku80
WP39	Fatty Acid Beta Oxidation 1	0.895476614036082	-0.110399172801622	18	9	0.0294117647058824	306	498	37289,36536,37217,46068,36109,39611,40348,34276,40787	Hsl,CG6543,CG7461,Acsl,whd,bmm,AcCoAS,Mtpalpha,CRAT
WP406	Mitochondrial LC-Fatty Acid Beta-Oxidation	0.919667333442652	-0.0837432684140301	11	5	0.0163398692810458	306	498	36109,34276,37217,44183,46068	whd,Mtpalpha,CG7461,ScpX,Acsl
WP187	Fatty Acid Beta Oxidation 2	0.924634323004022	-0.0783569461139644	5	2	0.0065359477124183	306	498	34276,36536	Mtpalpha,CG6543
WP443	Beta Oxidation Meta MAPP	0.942811341398753	-0.0588890785072013	23	11	0.0359477124183007	306	498	40348,39988,31695,34276,40787,37289,36536,37217,46068,36109,39611	AcCoAS,CG7430,CG10932,Mtpalpha,CRAT,Hsl,CG6543,CG7461,Acsl,whd,bmm
WP101	Synthesis and Degradation of Ketone Bodies	0.943242822655248	-0.0584315293315246	3	1	0.00326797385620915	306	498	31695	CG10932
WP1203	One Carbon Metabolism	0.955906146907127	-0.0450955434412792	12	5	0.0163398692810458	306	498	38342,43699,47895,42973,32471	AhcyL1,CG1750,Nmdmc,CG11089,Ahcy
WP421	Pentose Phosphate Pathway	0.966157903629105	-0.0344279968141904	6	2	0.0065359477124183	306	498	37804,35692	Taldo,CG30499
WP249	Beta Oxidation of Unsaturated Fatty Acids	0.978329077745017	-0.0219091852322456	4	1	0.00326797385620915	306	498	34276	Mtpalpha
WP3830	Toll, IMD, JAK/STAT Pathways for Immune Response to Pathogens	0.988380594340424	-0.0116874384675185	45	21	0.0686274509803922	306	498	32805,34969,32976,35927,42428,31746,32534,32358,41087,39659,43222,44801,35047,40554,42821,32760,37216,44339,45908,38613,39063	upd2,cact,dome,Su(var)2-10,Stat92E,Traf6,PGRP-LE,ben,Rel,Tak1,Tl,bsk,dl,tub,Pli,Socs16D,Tab2,imd,nec,Uev1A,PGRP-LC
WP3660	Humoral Immune Response to Fungal and Bacterial Pathogens	0.995911743240709	-0.00409663652785119	30	12	0.0392156862745098	306	498	39063,41087,39659,37216,44339,36748,42428,35047,40554,43222,34969,32976	PGRP-LC,Rel,Tak1,Tab2,imd,Diap2,Stat92E,dl,tub,Tl,cact,dome
WP1205	Homologous Recombination	0.9968717390006	-0.0031331642362465	6	1	0.00326797385620915	306	498	37564	rad50
WP144	Glycolysis and Gluconeogenesis	0.998940595140012	-0.00105996642596935	24	8	0.0261437908496732	306	498	39988,42620,34021,43447,34414,36020,36782,35886	CG7430,PyK,muc,Pglym78,Mdh1,PCB,Got1,Pgi
WP125	Biogenic Amine Synthesis	1.00000000001827	1.82711484830733e-11	9	0	0	306	498
