Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	146.0	2386947	-1.092
miRNA	12.0	51758	0.830
ncRNA	132.0	925379	0.130
TTS	1908.0	13492230	0.117
Exon	1018.0	15425453	-0.982
Intron	3932.0	49637983	-0.719
Intergenic	1518.0	36576041	-1.651
Promoter	8916.0	19033253	1.845
5UTR	546.0	1504827	1.477
rRNA	0.0	7664	-14.146
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	146.0	2386947	-1.087
Other	0.0	33922	-14.146
RNA	0.0	13525	-14.146
miRNA	12.0	51758	0.835
ncRNA	132.0	925379	0.134
TTS	1908.0	13492230	0.122
LINE	54.0	6055896	-3.865
RC	0.0	554	-14.146
DNA	28.0	1386585	-2.686
Exon	1018.0	15425453	-0.978
Intron	3752.0	41247020	-0.515
Intergenic	1370.0	23755817	-1.172
Promoter	8916.0	19033253	1.850
5UTR	546.0	1504827	1.481
Low_complexity	32.0	792954	-1.687
LTR	86.0	10874789	-4.039
Simple_repeat	128.0	905955	0.121
Unknown	0.0	91752	-14.146
Satellite	0.0	1463755	-14.146
rRNA	0.0	49802	-14.146
