TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr61F6-61F6	fly chr61F6-61F6	0.00114345716347032	-6.77369900609483	8	8	0.00112978392882361	7081	16508	38153,38151,38152,38155,19834774,38154,38150,38156	Myo61F,Sherpa,CG9184,msd1,CR45166,ND-ACP,CG9186,msd5
fly chr61C8-61C8	fly chr61C8-61C8	0.00203528826073108	-6.1971178186543	16	13	0.00183589888433837	7081	16508	38085,38084,38081,38086,38082,38083,38089,38078,38079,38088,318050,19834856,38080	Vti1a,RabX6,CG3386,CG13894,ebd1,CG3344,CG13896,MED30,Rev1,CkIIalpha-i3,CG32483,CR44514,CG17129
fly chr31B1-31B1	fly chr31B1-31B1	0.00246301396972143	-6.00636948802814	30	21	0.00296568281316198	7081	16508	34371,34351,34367,34363,34361,34368,34352,318914,34354,34364,34350,34372,34357,34356,34362,34370,34360,64880,43991,34359,34358	REPTOR-BP,Ripalpha,Ror,eEF1delta,CG5708,CG5676,RpL7,mthl15,CG5734,me31B,Sur,Mob3,CG4901,CG5727,CG5694,Rsf1,CG4908,chico,Pten,Prosalpha6,Npc1a
fly chr30F2-30F2	fly chr30F2-30F2	0.0026672585036089	-5.92670411174186	7	7	0.000988560937720661	7081	16508	14462735,34326,19835321,34325,34327,34323,34324	CR43683,CG5846,CR44872,CG4658,CG5850,CG13126,CG4709
fly chr96F10-96F10|3-89.1 cM	fly chr96F10-96F10|3-89.1 cM	0.00301072758580755	-5.80557350657196	10	9	0.00127100691992656	7081	16508	43161,43159,43153,43155,43158,43160,43156,43157,43162	E(spl)m8-HLH,E(spl)m6-BFM,E(spl)malpha-BFM,E(spl)m2-BFM,E(spl)m5-HLH,E(spl)m7-HLH,E(spl)m3-HLH,E(spl)m4-BFM,gro
fly chr96F10-96F10|3-89.1	fly chr96F10-96F10|3-89.1	0.00301072758580755	-5.80557350657196	10	9	0.00127100691992656	7081	16508	43153,43155,43158,43160,43156,43162,43157,43161,43159	E(spl)malpha-BFM,E(spl)m2-BFM,E(spl)m5-HLH,E(spl)m7-HLH,E(spl)m3-HLH,gro,E(spl)m4-BFM,E(spl)m8-HLH,E(spl)m6-BFM
fly chr49F11-49F11	fly chr49F11-49F11	0.00622121552331803	-5.07978996956808	6	6	0.000847337946617709	7081	16508	36465,36466,14462583,36463,36462,36464	CG4676,CG4679,CR43918,fsd,Pex13,CG4670
fly chr30B12-30B12	fly chr30B12-30B12	0.00622121552331803	-5.07978996956808	6	6	0.000847337946617709	7081	16508	34276,261620,34275,14462732,12798311,34277	Mtpalpha,CG31709,CG3838,CR44149,CR43621,gcm
fly chr31D9-31D9	fly chr31D9-31D9	0.00622121552331803	-5.07978996956808	6	6	0.000847337946617709	7081	16508	34395,34394,34396,34397,318909,34398	GATAd,CG5037,SamDC,Sps2,CG31715,CG5022
fly chr37A1-37A1	fly chr37A1-37A1	0.0102112523432433	-4.58426499583159	11	9	0.00127100691992656	7081	16508	35125,35122,35129,35131,35128,35123,35127,35126,35130	CG10341,CG10336,Faf2,Irk3,Jwa,CG10383,CG10343,CG10376,Grip71
fly chr94E9-94E9	fly chr94E9-94E9	0.0133338678845319	-4.31744802300005	8	7	0.000988560937720661	7081	16508	42750,42756,42755,42753,42752,42751,42749	wda,CG4434,CG17083,Cdc16,orb,CG13827,EloA
fly chr31F1-31F1	fly chr31F1-31F1	0.0145094290247382	-4.2329565633263	5	5	0.000706114955514758	7081	16508	34442,34441,34444,34440,34443	CG7456,Grip75,CG13144,RluA-2,CG6144
fly chr7D6-7D6	fly chr7D6-7D6	0.0145094290247382	-4.2329565633263	5	5	0.000706114955514758	7081	16508	31728,31729,53581,31732,31731	UbcE2H,CG2258,Gclc,CG2260,CG1575
fly chr36F7-36F7	fly chr36F7-36F7	0.0145094290247382	-4.2329565633263	5	5	0.000706114955514758	7081	16508	35113,35112,35114,35111,318943	Atac2,CG10333,CG15161,CG10413,CG31789
fly chr60C7-60C7	fly chr60C7-60C7	0.0145094290247382	-4.2329565633263	5	5	0.000706114955514758	7081	16508	19835181,37892,37891,19835734,19834874	CG44812,mAChR-A,CG13578,CR44811,CR44813
fly chr35C5-35C5	fly chr35C5-35C5	0.0145094290247382	-4.2329565633263	5	5	0.000706114955514758	7081	16508	34893,34894,34892,34891,34896	l(2)35Cc,yuri,Pol32,dao,Cul3
