TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	2.59991633456198e-13	-28.9781269434275	137	115	0.0447993767043241	2567	4678	3355013,32028,42672,49968,44052,39158,43163,38059,31031,43041,38406,33003,34803,31815,43130,35425,2768892,38050,64880,38488,37790,33849,36598,41163,40327,38017,43916,35306,42981,38978,37201,42985,43149,34850,31224,34030,37707,35116,35715,39344,41219,32698,40361,42665,35237,40608,39907,34398,33845,41957,33218,35783,36915,36643,40704,32920,35971,37749,38321,34237,37767,33268,42735,31816,32746,42804,37134,41425,42050,41144,38806,36876,35696,5740131,31667,41656,43402,34263,37858,37205,34633,40205,38879,33882,39026,43892,33445,252671,32601,42412,38248,38945,36028,36952,39523,35554,45928,34790,31105,35694,38785,32522,41427,36881,34354,38418,38113,38928,41675,32569,33552,34882,3346201,42203,39866	Gprk1,Myo10A,loco,Cadps,Shc,RasGAP1,Exo84,Ptpmeg,CG43867,Nup358,CG14968,pico,CenG1A,CG12075,Lnk,step,CG42271,RhoGEF3,chico,Fit1,DCP1,CG12393,Tfb1,CG8312,siz,Pdk1,Rok,RtGEF,CG11168,rhea,ena,Osbp,Nf1,osp,PsGEF,Ziz,CG3530,MESR3,LRR,Sprn,Art4,CG5004,CG7324,Efa6,CG10188,Cdep,Fit2,CG5022,mtm,Akt1,ex,Asap,RhoGEF2,Spred,plx,Vav,ced-6,CG30183,dos,CG32982,Ssrp,aru,CenB1A,Moe,beta-Spec,RanBP3,GEFmeso,CG17360,CG8907,by,RhoGEF4,unc-104,scra,CG34383,Dok,yrt,WASp,numb,gek,cora,Ced-12,CG42674,pbl,Pez,CG5026,sif,Drp1,X11L,sl,CG42668,dre4,GAPcenA,CG1513,cnk,Vps36,Pld,shi,Sos,rush,blow,melt,Graf,Sbf,CG5522,CG5734,kst,CG9205,cert,flfl,vap,CG34394,ck,Unc-89,PKD,Dab
3.30.505.10	-	1.15634110806477e-07	-15.9728348480539	32	31	0.0120763537202961	2567	4678	35085,32202,33262,33840,32920,38677,41398,32601,43584,32569,3885637,45821,31987,44000,48973,35786,43775,44052,36497,32760,41118,44353,38674,38961,43130,35524,45278,42428,41144,33203,34132	Socs36E,CG43921,dock,CG9098,Vav,PVRAP,Csk,sl,CG15529,vap,CG33993,Abl,spri,Spt6,Src64B,Socs44A,Crk,Shc,drk,Socs16D,FER,Shark,CG10479,Cbl,Lnk,Src42A,csw,Stat92E,by,Pi3K21B,Btk29A
3.30.70.330	-	1.12154068435834e-05	-11.3982221139151	152	109	0.0424620179197507	2567	4678	32602,33498,41294,44205,42026,33652,32293,37838,42848,41670,42752,43231,35756,38173,37964,48535,40529,37947,38605,40074,43944,38208,42460,44029,32603,39049,37517,43808,31023,48571,32587,5740386,35305,37411,42013,47998,37070,41892,38982,35924,34648,34667,3772180,36619,36605,33305,3355041,41666,36984,38811,33982,47384,34370,31243,31448,37254,43764,43087,43467,38795,33843,38360,36981,40369,39018,42957,32245,34416,44095,5740811,53443,39198,250811,53444,32866,41431,39919,43385,40562,49895,32851,41147,38937,39119,32394,41413,37781,19834761,35027,38720,37585,5740411,35235,33175,32009,31481,33201,33677,39527,33968,44271,37681,37948,41138,31442,31000,40673,45840,49809	U2af50,Rbp9,Rbp1,spen,nonA-l,CG15440,Rbp1-like,MAN1,Rox8,B52,orb,Rb97D,nito,hfp,CG3594,Hrb87F,CG14641,Pof,shep,CG3808,sbr,RpL23A,Syp,Ref1,nonA,bol,Synj,gw,fz3,heph,caz,CG40813,La,CG4266,CG14891,rin,pAbp,CG5213,Nelf-E,tsu,bru1,Ref2,Sxl,tra2,CG17386,CG4896,eIF-4B,sqd,cyp33,lark,snRNP-U1-70K,sra,Rsf1,eIF3ga,Rnp4F,sm,mod,msi,CG14506,Neos,CG9107,CG2162,eIF3-S9,barc,orb2,CG5808,fne,Cnot4,fus,CG34231,SF2,Rbfox1,bru2,SC35,CG18259,glo,Rbp6,Hrb98DE,srl,CG17018,CG6540,RnpS1,CG7185,CG3335,CG14414,CG14718,TBPH,CG44249,CG12288,CG13298,CG17807,CG41562,swm,CG11454,Imp,CG4119,U2af38,CG3294,bru3,Hrb27C,xmas-2,LS2,CG4806,rump,snf,elav,CG2931,cpo,Rbp2
3.30.40.10	-	3.16036987330378e-05	-10.3622363957072	214	146	0.0568757304246202	2567	4678	40144,318245,39750,39313,43611,33015,41090,31458,43856,31315,31118,3355072,39753,33938,35331,43810,39079,38367,32533,33519,33932,31589,31628,35256,37923,37063,41524,41370,38006,40676,38941,33837,36131,36748,39193,40850,44263,318572,42230,37795,33819,32796,39735,40170,43730,44811,39874,45931,39551,37857,42397,32589,32853,45775,32765,37395,31014,43751,37542,43351,41498,40133,38652,48903,36246,3346167,39884,32461,41354,38337,44235,31105,42302,35044,36479,42738,43271,5740483,34416,43793,40556,318953,35485,36986,35170,41231,31592,317987,43279,318246,40111,38472,37083,40030,39217,38027,35698,37859,36130,37123,31571,44131,32881,41080,41145,34752,42858,38961,43476,37069,39818,33488,32532,39063,5740853,41737,32330,37707,41420,40336,40791,35397,31149,37575,36990,32965,35927,36431,43718,36425,40509,36541,36432,41085,33458,34699,43277,43747,42690,40040,38715,43327,38181,32429,36241,34110	CG8786,CG32847,mib1,TfIIEalpha,CG2218,Phf7,Kdm2,Usp16-45,nej,CG16781,dor,CG41099,Diap1,Nse1,CG2617,CG11360,CG4080,CG32486,CG15602,CG17260,CG11070,dx,CG14435,Hakai,CG11414,CG5098,pps,CG5270,gol,CG2926,Pex2,lid,CG33144,Diap2,CG12362,Alh,Sara,CG31053,CG7694,Lpt,bchs,ari-1,elgi,Mi-2,CG1815,E(bx),CG13025,spir,upSET,snama,mdlc,CG3632,Ing3,mei-P26,CG15814,Rbpn-5,Roc1a,Acf,ari-2,NSD,MBD-R2,ash1,Bre1,l(3)73Ah,Roc2,btsz,sina,HDAC6,CG17721,Fife,bon,rush,CG5555,CG15141,CG17048,unk,CG6051,CG34308,Cnot4,bip2,CG9855,CG31807,d4,MESR4,mib2,Fancl,CG17717,Vps11,CG17991,CG32850,Chd3,Mul1,nopo,not,tna,rno,CG43340,enok,Mat1,Prp19,CG3815,Mkrn1,Usp39,CG11982,mura,CG9293,CG13605,Cbl,Trc8,Pcl,roq,CG2991,CG8974,PGRP-LC,lmgA,trx,CG9941,CG3530,CG6923,park,godzilla,CG8677,trr,dnr1,POSH,e(y)3,Su(var)2-10,Psc,pygo,CG17019,Ssl1,CG13344,Su(z)2,neur,Hrs,CG9934,CG31064,sip3,CG4813,CG12477,CG7376,Sce,CG12099,hiw,tou,Rbsn-5
1.25.40.20	-	0.000244843688952682	-8.31489055530565	84	62	0.0241527074405921	2567	4678	43298,32718,44353,34378,246518,3355072,40032,38863,39210,41816,36396,49070,36139,38037,39747,37433,35783,40046,36668,39750,39571,2768995,41087,36427,34326,53573,37344,42735,35170,43095,326173,39159,39368,31826,38055,42447,37422,37199,36824,39015,31293,35974,38865,34803,34634,43387,33303,31351,42676,34969,30971,35395,50070,50225,41208,318909,39438,36696,42076,42981,34874,43770	CG42534,f,Shark,CG5604,CG30271,CG41099,MYPT-75D,Ank2,CG8003,CG6966,GLS,Mbs,dgo,pyx,Hip14,CG42672,Asap,CG14073,Kank,mib1,nan,CG43980,Rel,Sans,CG5846,Ilk,Fem-1,CenB1A,mib2,Tnks,CG44001,CG10809,rols,rdgA,Atac3,Lrrk,ASPP,CG15118,CG8060,TrpA1,N,Camta,CG7457,CenG1A,Patsas,CG10011,CG5118,CG6428,wake,cact,G9a,CG8679,mask,Prosap,CG8526,CG31715,sowah,CG8152,m-cup,CG11168,l(2)35Be,Ank
3.30.420.10	-	0.000273554751078397	-8.20400876937863	26	23	0.00895987534086482	2567	4678	39366,31136,36544,35385,41571,37757,39472,42208,41374,38740,42553,37511,33503,42811,35746,34524,35893,3355150,39683,47186,42758,34521,39559	Pop2,prage,AGO1,Nbr,mus308,egl,CG11263,WRNexo,CG6744,CG8368,DNApol-alpha180,Snp,CG3165,CG10214,rnh1,aub,PAN2,AGO3,AGO2,mus205,DNApol-epsilon255,piwi,CG6833
2.130.10.10	-	0.000518162043383448	-7.56522253955978	199	132	0.0514218932606155	2567	4678	40653,33399,36914,34153,42593,40252,42680,36259,31146,37462,36981,42504,37329,3346176,33349,37007,43218,34595,39394,40431,37123,34192,35349,34616,38994,39997,39669,32544,36107,35374,38199,36123,31744,37036,47900,36038,44250,38957,43400,246538,43162,41226,35885,36831,34096,37073,31213,36144,46662,34175,43832,42196,37066,37926,33854,31557,34955,39774,33710,39955,40386,38020,45922,34488,40239,36846,33212,35893,33234,31155,31608,42272,42209,40698,33180,42281,31543,39457,36791,32526,38282,47877,38210,35529,35596,36199,31732,38505,33865,41096,43490,31903,39426,35672,326115,35130,41419,41953,44531,39874,37727,43734,39624,33819,33156,33230,41207,45757,38093,39502,37801,39505,43978,31680,31881,35536,32168,34070,38516,45432,32581,32217,43505,41647,42750,42137,33367,43905,37467,44160,41025,41611	PEK,mio,Dark,Wdr82,CG6015,CG33969,Nup133,CG13192,CG14805,mahj,eIF3-S9,slmb,CG9945,U3-55K,frtz,Sema1b,CG6420,esc,thoc6,CG7414,Prp19,Sema1a,Oseg5,CG6734,Pex7,CG14353,CG7275,Gbeta13F,Caf1-105,l(2)05287,alphaCOP,Elp2,Gbeta5,CG5033,Taf5,CG12134,Cpsf160,Oseg1,CG1523,Sema2b,gro,CG3909,CG30349,wcd,Cka,adp,CG3071,CG12325,l(2)09851,U26,PlexA,CG8064,Sema5c,CG3511,Fbw5,Rbcn-3A,CG4935,l(3)72Dn,Trip1,U4-U6-60K,CG7611,Dic61B,rap,CG6724,Rbbp5,Sema2a,ebi,PAN2,Nle,Rbcn-3B,CG3184,Smu1,Nup43,CG1109,CG3436,CG14285,raptor,CG42588,Lis-1,CG33172,Oseg2,tws,CG13930,SCAP,coro,CG9062,CG2260,CG43367,WDR79,Vps15,Bub3,Lst8,CG10646,CG11141,Atg16,Grip71,CG14722,CG10185,rg,CG13025,wmd,CstF-50,CG5114,bchs,l(2)gl,rempA,CG9467,beta'COP,CG13900,Poc1,CG2812,flr,Plap,Hira,CG16892,l(2)k09848,Tango4,Rack1,ago,can,kat80,Tomosyn,Wdr24,CG9799,wda,CG43102,Wdr62,syd,Rae1,sw,p,pic
1.25.10.10	-	0.000677152889013362	-7.29761347744157	97	69	0.0268796260225945	2567	4678	41990,34997,53436,35016,35939,3355040,43762,318680,36732,43978,31187,31151,40786,118436,42497,37570,5740442,3346238,40596,44819,41068,32966,31842,41094,43034,41943,34378,43449,35664,38895,31075,31793,32820,38131,42171,43312,47396,32970,39004,37355,43901,35336,41096,34338,38721,42169,33960,35340,40160,43508,35123,32987,43717,31026,41952,42871,31543,39858,192509,41158,33211,37084,38675,34229,2768940,36440,40950,44642,44747	CG14881,VhaSFD,c11.1,Cas,Rme-8,CG17514,CG2053,HEATR2,Ranbp11,Plap,wapl,arm,CG10286,Ranbp16,CG7044,CG4554,bma,form3,ctrip,g,CG11964,Rcd-1,AP-1gamma,pum,CG10420,Hel89B,CG5604,Rpn2,CG11123,Ect4,DAAM,IntS4,betaCOP,mwh,cdm,wdb,Tor,Ranbp21,Fhos,insc,chb,Fs(2)Ket,Vps15,Pen,Trn,PP2A-B',l(2)k09022,dia,Kap-alpha1,yata,CG10383,AP-1-2beta,gammaCOP,CG16989,msps,Apc2,raptor,Mo25,CG12084,Kap-alpha3,AP-2alpha,CG5721,alphaKap4,Rcd-1r,Pp2A-29B,Cap-G,CG2747,Apc,msk
1.20.1270.60	-	0.00116395151312935	-6.75593458592766	23	20	0.00779119594857811	2567	4678	34654,2768716,34126,41118,39136,34677,39052,5740318,37218,8673992,38534,42467,33560,32522,35783,42735,36383,39258,42265,261329	CG6405,mim,Snx6,FER,SH3PX1,PICK1,nwk,CG43729,EndoB,Nost,Cip4,Synd,Snx1,Graf,Asap,CenB1A,Amph,IRSp53,EndoA,CG8176
3.90.190.10	-	0.00554085928916097	-5.19560568390394	29	23	0.00895987534086482	2567	4678	39610,32379,38160,35259,43469,34952,39443,32115,45278,42986,40958,33882,33277,31907,40527,32963,41401,43991,34067,40081,31425,36253,42807	mop,mRNA-cap,Ptp61F,Lar,Ptp99A,PRL-1,Ptp69D,Ptp10D,csw,ssh,puc,Pez,IA-2,Ptpmeg2,aux,MKP-4,CG42327,Pten,cdc14,Mkp3,Ptp4E,CG13197,PTPMT1
