TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
31293	N (Notch)	3.58218447382965e-23	-51.683484336319	282	234	0.0466600199401795	5015	9028	192509,34636,33234,49636,42499,37272,33212,46068,37254,37837,44030,45343,34930,31204,43402,40675,43275,38652,44205,34132,33281,34263,42572,38500,33379,43151,38657,43869,34735,48448,32805,38070,43428,33424,40835,33835,326197,32919,35483,32813,31248,36411,31293,32536,37890,43951,37355,36967,39453,41062,39418,36377,31379,38863,44263,39419,34009,45655,34330,39329,40217,31157,31607,117353,33343,37781,37455,43161,39964,35527,42467,53554,43087,32762,39157,34903,326173,34420,44289,43812,39744,318559,39873,45307,318206,33837,39440,38811,33441,42175,42757,39018,43160,41840,33346,42896,39620,40657,37702,38424,38168,41158,32556,39198,44129,40620,36382,43724,41957,38846,31151,34665,44672,32123,33445,12798547,37857,35851,33467,35173,42707,40232,45821,44540,32877,40527,42693,45880,42549,41550,33753,34924,33619,3355072,39750,35135,326234,34927,53579,34772,41602,36564,31801,40687,32724,40848,43153,33512,326122,33185,36555,44039,33392,33211,3354977,12798412,37201,44548,33432,41868,34881,40398,36421,37573,36271,31762,42226,39628,42964,37476,41140,43150,326152,41446,42844,43862,36606,37185,41569,32273,43466,3355136,43999,2768852,40351,35998,44115,35847,33716,32508,40295,32537,37859,40562,42034,37549,31331,37386,34790,35800,36107,36678,32078,40314,38890,42445,41343,43020,31589,43157,49297,35509,32981,41085,34377,35110,37886,34830,39858,37554,43162,32700,36986,33983,44703,44801,36242,47998,43718,32748,41694,39228,39866,32846	CG12084,Rab6,Nle,hrg,Sec15,Toll-7,ebi,Acsl,sm,Chi,msn,pk,Ku80,pcx,WASp,CRMP,Ser,Bre1,spen,Btk29A,S,numb,lsn,Ero1L,Su(dx),E(spl)mgamma-HLH,vn,amx,Uvrag,CkIIalpha,upd2,Hipk,Pkc98E,Eogt,Antp,eIF-4a,Ndfip,rictor,Nipped-A,upd1,sgg,sca,N,sd,bs,e(r),insc,insb,CG42709,pyd,toe,fra,bi,Ank2,Sara,eyg,wg,dom,bib,Pi3K68D,Su(var)3-3,Ocrl,Pink1,Cct1,chinmo,TBPH,Egfr,E(spl)m8-HLH,Vps60,Pngl,Synd,krz,msi,e(y)1,Cdk8,esg,CG44001,RpS27A,flw,ey,brm,spdo,Nrt,fz,Tlk,lid,caup,lark,insv,MED17,pnt,orb2,E(spl)m7-HLH,Hsc70-4,cpb,crb,Brd,Snr1,Golgin245,sty,rho,Kap-alpha3,Stim,Rbfox1,hbs,cno,Sin3A,CycG,Akt1,lqf,arm,bun,Lk6,Amun,Drp1,ban,snama,ptc,aph-1,Acn,klg,polo,Abl,ct,htk,aux,Dcr-1,ImpL3,InR,Vha55,tkv,CycE,ed,CG41099,mib1,ham,l(1)G0320,Gli,Dlip3,kuz,CtBP,O-fut1,Caf1-180,RpL13A,B-H1,alphaTub84B,E(spl)malpha-BFM,alpha4GT1,rumi,kis,mam,Pak,aop,AP-2alpha,MED21,mir-2c,ena,lola,dpp,Atg4b,Su(H),TfAP-2,vg,px,Ef1alpha48D,ND-75,fru,Prosbeta2,nct,Tbp,Ras85D,E(spl)mdelta-HLH,erm,aurA,Ime4,HnRNP-K,phyl,sano,Past1,sno,stg,Nipped-B,trbl,par-1,pzg,Uba1,Rgl,Vps25,Gmd,CG9281,CG11399,Chc,enok,srl,Ubx,Gp150,Mnt,shg,Sos,dpn,Caf1-105,chn,dsh,fng,nmo,H,RpS25,danr,dx,E(spl)m4-BFM,SERCA,ap,Cdc42,neur,Utx,amos,nvy,CG43333,Mo25,Rtf1,gro,RpS5a,MESR4,uif,lolal,bsk,Egm,rin,pygo,chas,Nsf2,klu,Dab,Bx
41140	Ras85D (Ras oncogene at 85D)	1.93078337965609e-21	-47.6963611361169	232	196	0.0390827517447657	5015	9028	46080,33775,32321,34309,38208,40858,44115,31162,43901,37451,32256,40081,34096,35253,41491,35998,34170,43466,42734,31221,33710,36746,34790,39104,33262,45959,36926,33139,40661,43875,42160,45976,34432,40009,32981,34622,36057,42186,33916,35555,39228,42446,41398,47998,41107,64880,33834,40987,36986,44801,31987,34127,32817,39158,33814,34665,44672,33881,40620,40170,36382,44339,35248,33496,36054,33619,44531,39659,34924,32947,42130,33392,38961,32777,31535,40975,36555,33185,37873,33210,32724,36543,34610,36606,41646,35524,38160,38059,43039,37142,48973,40712,36497,40083,48317,31429,33432,34629,35786,34009,32083,37655,39419,43558,42393,42501,43481,37455,49228,32703,32792,33819,35924,45278,33003,47396,36990,53560,42620,37149,43991,39645,41431,33156,38811,37461,40664,37851,45307,43149,32976,38144,32941,37123,41094,43673,42428,38424,32547,34024,38168,3772082,42127,40428,42900,40660,35801,35116,40958,3354888,44448,42757,44030,35425,36826,41770,35453,38027,40813,42499,42743,32624,38657,36952,42822,33281,43723,32569,39833,31490,43749,44205,32849,34132,31618,39564,31883,36773,31239,32601,31118,42737,34993,43654,36775,42672,38516,39765,34284,50070,37924,38291,37890,31293,32813,40015	Sec61beta,CG6907,NFAT,RpS2,RpL23A,gfzf,Rgl,Hr4,chb,MESK2,hep,Mkp3,Cka,spi,svp,Uba1,Akap200,stg,Rassf,Raf,Trip1,sli,Sos,pall,dock,mts,CG6984,S6kII,CG31550,Ret,htl,retn,holn1,hid,Cdc42,Plzf,Jra,14-3-3epsilon,eya,jing,klu,Pi3K92E,Csk,rin,Vps16A,chico,chic,eIF4AIII,MESR4,bsk,spri,Pvr,CrebB,RasGAP1,rau,bun,Lk6,PDZ-GEF,cno,Mi-2,Sin3A,imd,Tep4,lilli,egr,ed,rg,Tak1,CycE,car,osa,aop,Cbl,Vps4,rux,ato,mam,kis,Nop60B,RpI135,B-H1,DJ-1alpha,dgt2,phyl,Droj2,Src42A,Ptp61F,Ptpmeg,RpS27,Sec6,Src64B,Sec8,drk,MESR6,ttk,ovo,dpp,prd,Socs44A,wg,dlg1,twi,eyg,Tace,CG4936,Rab11,alph,Egfr,mod(mdg4),baz,Taf8,bchs,tsu,csw,pico,Tor,POSH,cic,PyK,edl,Pten,CTPsyn,glo,l(2)gl,lark,PTP-ER,Itp-r83A,yki,fz,Nf1,dome,Rabex-5,CoRest,Prp19,pum,dco,Stat92E,sty,tay,santa-maria,rho,kay,alt,eg,Dis3,ksr,pnut,MESR3,puc,rl,scrib,pnt,msn,step,Vha44,stumps,RpL21,rno,Taf1,Sec15,cnc,Pp2B-14D,vn,cnk,TfIIA-S,S,RpL6,vap,aos,CG4096,faf,spen,wgn,Btk29A,C3G,btl,lz,Dg,egh,sl,dor,hh,grp,cindr,Rho1,loco,ago,Taf4,Pka-C1,mask,uri,ecd,bs,N,upd1,rpr
34924	CycE (Cyclin E)	8.4705027710792e-13	-27.7970163429791	161	132	0.026321036889332	5015	9028	33721,40704,32078,40314,37589,37386,40990,37859,44052,35780,32321,43466,39884,39480,38719,40653,43906,40351,35253,42446,41694,41341,43718,35742,34411,44915,40009,43825,40342,44540,40548,45821,42130,42693,35851,35584,41181,12798547,39158,36538,33047,36001,38831,37723,38005,42379,31391,31151,38492,41140,33959,39439,36606,33432,48317,42571,36497,42059,44543,42037,31535,43565,41363,33218,49228,37455,39013,38942,41273,47396,42000,42453,36571,32977,34009,32083,39340,38244,34629,45922,35731,41062,40358,40657,35364,42896,32009,38424,41783,42757,44448,41840,42936,38879,33156,2768981,33837,39440,41612,41942,39744,37247,39764,44830,39564,34132,44205,40833,34982,2768677,36041,35070,41737,192509,40133,33627,36032,246653,39453,31293,42550,35771,36854,42737,36238,36692,34592,38516,40835,36171,36775,36461	Rtnl1,plx,dsh,fng,RpS24,shg,Poxm,enok,Shc,Cul4,NFAT,stg,sina,RpS12,CG7386,PEK,skd,pzg,spi,Pi3K92E,Nsf2,Tctp,pygo,Cul1,Cdk1,DNApol-alpha60,hid,sv,CG10508,ct,Skp2,Abl,osa,Dcr-1,ptc,Eb1,hyd,ban,RasGAP1,tum,GstT3,dap,Rac2,mi,gsb,mira,peb,arm,RfC4,Ras85D,Rca1,ara,phyl,dpp,ttk,glec,drk,Dad,enc,abd-A,rux,Axn,pros,ex,mod(mdg4),Egfr,dally,DNApol-alpha50,hth,Tor,CSN5,Cdk2,cg,Ubqn,wg,dlg1,CycA,Rap1,prd,rap,sax,pyd,Pc,Snr1,RPA2,crb,Imp,sty,kibra,pnt,scrib,Hsc70-4,ash2,pbl,l(2)gl,Trl,lid,caup,sim,mor,brm,hpo,Zn72D,kto,btl,Btk29A,spen,Scr,dac,p53,Pka-R2,CadN,trx,CG12084,ash1,ft,Mef2,CG30497,CG42709,N,E2f1,lig,Cdk4,hh,E(Pc),scb,crol,ago,Antp,shn,Rho1,Dp
42445	H (Hairless)	1.2999069566016e-12	-27.3687284258674	140	117	0.0233300099700897	5015	9028	31589,34903,35509,41085,43157,43812,39744,33059,35110,43162,33441,318206,33837,42971,41783,44703,44801,36986,40958,41840,40657,39620,42897,39228,38168,3772082,32009,32846,38424,35731,43999,32273,34961,117294,47173,32256,40351,31162,39419,32999,35780,33819,43161,32661,32703,42828,36107,37455,42298,38890,32078,43916,41602,34927,34772,36775,36555,42059,40826,35662,37546,40683,33392,34910,36059,43856,33432,44548,31293,37573,32536,34881,41868,32221,37890,39628,37355,33627,39453,40863,41569,37618,38831,36382,32275,36001,43724,192509,40620,42567,49636,30983,47065,32123,33905,34908,44030,46015,31883,43402,30977,43312,44205,33753,39833,43275,33379,44531,33619,33281,34263,39753,40345,33496,34021,36952,38657	dx,esg,ap,neur,E(spl)m4-BFM,ey,brm,run,amos,gro,insv,Tlk,lid,CycB3,kibra,lolal,bsk,MESR4,puc,Hsc70-4,Snr1,Brd,Nab2,klu,rho,kay,Imp,Bx,sty,sax,trbl,sno,heix,Dsp1,Men,hep,pzg,Hr4,eyg,amn,Cul4,bchs,E(spl)m8-HLH,if,baz,Rpt2,Caf1-105,Egfr,CG11779,nmo,dsh,Rok,CtBP,Gli,kuz,Rho1,mam,Dad,pb,so,dve,Rga,aop,lace,14-3-3zeta,nej,dpp,lola,N,px,sd,Su(H),Atg4b,CkIalpha,bs,Prosbeta2,insc,ft,CG42709,lap,Past1,CycB,Rac2,Sin3A,mew,dap,CycG,CG12084,cno,CASK,hrg,l(1)sc,qsm,Amun,Sec61alpha,sna,msn,tutl,lz,WASp,CG12470,wdb,spen,tkv,aos,Ser,Su(dx),rg,ed,S,numb,Diap1,Eip78C,lilli,muc,cnk,vn
40201	gig (gigas)	2.13098687842512e-12	-26.874435920304	206	162	0.0323030907278165	5015	9028	40562,35223,38515,34070,34684,33710,37005,53567,40351,35100,43517,38327,36466,326206,47998,32700,39218,40739,42060,42186,39956,38654,31009,31355,39454,41343,37146,32630,33139,37554,40661,38824,38397,35173,41666,40563,40060,37203,31405,41957,39106,40170,41262,37475,36538,37528,38199,44747,44326,35793,36390,34665,34287,33966,34526,34952,46662,36059,37205,43862,38895,33854,40172,37462,44029,43385,39088,40687,36915,44059,39683,33185,31097,33210,46243,47251,41798,43016,47396,40607,42412,39119,34184,39955,41071,34183,41138,36268,41367,40508,35523,46020,36365,36981,42869,43041,41290,31521,36851,36855,32168,39768,32133,32009,42127,31588,37628,43839,39744,117332,39377,37123,33514,34420,35539,31846,32510,39846,35112,43349,32119,43749,40546,35003,39764,38113,37662,33214,53569,32603,38418,41611,31557,39877,39408,31943,36321,44030,39749,36304,39108,35386,42595,37580,34885,48971,36028,35678,35988,42183,31243,50070,38542,37798,48448,33835,34328,32568,53435,53442,43654,36160	srl,RanGAP,pav,Rack1,CG5787,Trip1,eIF3-S8,larp,pzg,bsf,ncd,MEP-1,CG4679,CG11583,rin,RpS5a,CG6418,Rm62,Ns1,14-3-3epsilon,CG7564,S6k,RpL36,CG6379,Atg1,RpS25,CG30122,Nup153,S6kII,Rtf1,CG31550,smid,RpL28,Acn,sqd,eIF3-S10,RpL26,hppy,ctp,Akt1,path,Mi-2,sle,CG10306,tum,Fmr1,alphaCOP,msk,mRpL12,RagC-D,Iswi,bun,CG4364,nop5,RpL9,PRL-1,l(2)09851,14-3-3zeta,cora,HnRNP-K,Ect4,Fbw5,Prp3,mahj,Ref1,Hrb98DE,RpS17,RpL13A,RhoGEF2,RpL30,AGO2,kis,Ns3,RpI135,poe,Gtp-bp,Rrp6,vig2,Tor,Gnf1,CG42668,CG3335,CG13097,U4-U6-60K,RagA-B,CG13096,rump,CG13185,Ranbp9,Chro,mle,NAT1,CG8545,eIF3-S9,CG6182,Nup358,TfIIFbeta,Act5C,RpS15,RpLP2,Tango4,SsRbeta,Hsc70-3,Imp,alt,RpL7A,RpL23,eIF4G,brm,Rheb,yps,Prp19,CG3605,RpS27A,Ars2,Bap111,CG8184,UQCR-C2,CG10333,RpL4,bif,faf,CG9776,LSm7,Zn72D,CG9205,Fib,RpLP1,pins,nonA,kst,pic,Rbcn-3A,Int6,CG10418,CG2972,RpS11,msn,mRpS31,Prp8,RpS9,CG9246,pit,RpS16,vig,Atpalpha,CG1513,CG1620,RpL31,Non3,eIF3ga,mask,CG15019,Nap1,CkIIalpha,eIF-4a,Dref,CG8939,c12.1,Spt5,cindr,Rpb5
34009	wg (wingless)	3.46691010773594e-12	-26.3877573775295	117	100	0.0199401794616152	5015	9028	33432,39212,31248,31429,31293,32536,36271,36421,33627,41140,37762,246653,34669,33458,44843,34284,41602,38070,45380,33245,43565,34527,40090,33218,35430,44029,35756,37873,43791,38760,36555,39259,40975,42737,31023,44849,36773,44279,44540,40232,35677,44205,34924,39485,30982,42871,43275,43825,34007,36054,44275,41179,2768677,33770,40170,38005,31151,40240,36575,37757,39375,42327,12797869,36538,42115,37412,40958,43718,32435,33607,39173,41694,35555,45928,33608,42428,34658,43769,35509,41551,43812,41168,45307,33529,43162,37785,36571,43827,39013,32078,31221,32273,40358,31379,35253,32256,37655,33861,39340,39596	dpp,simj,sgg,ovo,N,sd,Ef1alpha48D,vg,ft,Ras85D,CG9850,CG30497,nub,Hrs,nkd,Pka-C1,CtBP,Hipk,spin,ds,Axn,Nup154,fz2,ex,tsh,Ref1,nito,Nop60B,lgs,sgl,mam,wls,ato,hh,fz3,pnr,Dg,arr,ct,polo,Coop,spen,CycE,Syx13,sc,Apc2,Ser,sv,Wnt4,egr,SoxN,trbd,p53,mid,Mi-2,gsb,arm,eRF1,Sox15,egl,ssp,Dys,mir-965,tum,sll,hng1,puc,pygo,opm,slp1,Dronc,Nsf2,jing,shi,slp2,Stat92E,Elf,pan,ap,Snx3,ey,Scm,fz,Mad,gro,ken,cg,apolpp,dally,dsh,Raf,sno,Pc,bi,spi,hep,twi,Kr-h1,CycA,dlp
32919	rictor (rapamycin-insensitive companion of Tor)	9.17185792614322e-12	-25.4148812410067	208	162	0.0323030907278165	5015	9028	31524,38397,31903,44005,35422,35173,41666,40654,36578,34608,40563,37587,31405,41957,40170,41262,37528,34329,43354,44747,36390,46194,43103,34526,46662,37482,5740252,36059,37205,33458,41569,38492,38895,37462,44029,40514,32045,31801,44059,39683,33185,37873,32593,32132,34070,32566,34684,42298,37005,33710,31349,45249,40351,53567,35100,34170,38327,32537,36466,38208,47998,45757,33834,42649,32700,39218,42060,42186,34256,39956,43864,31009,42446,34541,37146,32630,326205,37554,37617,49070,38824,32119,43749,43912,33214,32603,43764,38418,31105,32464,33043,41883,31557,31838,44030,39749,37116,35453,40813,31293,35988,35127,50070,34363,37888,37798,34686,33835,40165,41995,53435,37411,43654,46243,42874,47251,42632,41709,47396,40607,31607,42412,40785,34183,41138,36268,40092,41367,44238,40508,35596,46020,36365,45894,36981,43041,40624,36855,39768,32133,42789,39138,32009,39331,41158,42985,31588,37628,117332,43839,39744,40506,39377,37123,41942,33514,34429,42620,43991,32510,39846,44261	CG3011,RpL28,Lst8,NHP2,EF2,Acn,sqd,RpL35A,Opa1,CG6686,eIF3-S10,bonsai,ctp,Akt1,Mi-2,sle,Fmr1,RpL13,Gp93,msk,Iswi,Spn,RpL27,RpL9,l(2)09851,LBR,Not1,14-3-3zeta,cora,Hrs,Past1,RfC4,Ect4,mahj,Ref1,Mes2,Hsp60A,Caf1-180,RpL30,AGO2,kis,Nop60B,CG9915,CkIIbeta,Rack1,eIF5,CG5787,CG11779,eIF3-S8,Trip1,Vap33,Ef1beta,pzg,larp,bsf,Akap200,MEP-1,Chc,CG4679,RpL23A,rin,beta'COP,chic,T-cp1,RpS5a,CG6418,Ns1,14-3-3epsilon,Aldh,CG7564,RpL10,RpL36,Pi3K92E,Ge-1,CG30122,Nup153,Claspin,Rtf1,blw,Mbs,smid,bif,faf,SF1,RpLP1,nonA,mod,kst,rush,CG6227,cactin,Atx2,Rbcn-3A,CG7033,msn,mRpS31,Dp1,RpL21,Taf1,N,RpL31,CG10343,mask,eEF1delta,betaTub60D,Nap1,MRP,eIF-4a,trc,Pak3,c12.1,CG4266,cindr,poe,CHORD,Gtp-bp,lqfR,foxo,Tor,Gnf1,Pink1,CG42668,CG42724,CG13096,rump,CG13185,rept,Ranbp9,sip1,Chro,coro,NAT1,CG8545,lds,eIF3-S9,Nup358,Vps37B,RpLP2,SsRbeta,Hsc70-3,eIF-3p66,CG18178,Imp,CG10907,Kap-alpha3,Osbp,RpL7A,RpL23,Rheb,eIF4G,brm,Arf79F,yps,Prp19,mor,CG3605,Bug22,PyK,Pten,CG8184,UQCR-C2,eIF5B
31310	Myc (Myc)	1.16041719881999e-11	-25.1796564283211	164	132	0.026321036889332	5015	9028	41612,31106,39744,36146,37123,41942,39377,41772,32299,35246,37851,42936,43349,38055,37144,33837,33156,32274,40958,36855,32133,3772180,31588,40657,42985,41138,40092,34629,326148,42632,39202,47396,37781,39720,48448,33245,38516,34592,36461,36432,326214,43654,32813,31293,43808,33418,37580,36032,33627,35678,31554,50070,42743,43236,37733,2768677,31665,36576,39108,34982,41549,44030,32119,38795,43723,38033,38418,32001,33214,37146,33203,43788,33059,40661,38824,38103,43162,42649,43828,47998,32751,37368,39454,3355136,53567,32256,40653,40990,38208,40700,31331,35340,37386,32068,4379884,42935,12798452,49809,39088,40687,42062,33218,42087,31097,35756,33210,59172,44059,32613,33432,47121,46662,41140,38895,40679,44207,38005,117369,36382,12798547,41181,2768992,36612,38397,30982,42693,33753,31350,43825,35197,38173,39753	sim,sta,brm,LTV1,Prp19,mor,yps,put,GstT4,ref(2)P,yki,ash2,RpL4,Atac3,CG5482,lid,l(2)gl,REG,puc,RpLP2,Hsc70-3,Sxl,RpL7A,Snr1,Osbp,rump,rept,prd,CG31523,lqfR,hay,Tor,TBPH,fwe,CkIIalpha,ds,ago,crol,Dp,Su(z)2,vito,cindr,upd1,N,gw,Rab5,RpS16,Mef2,ft,CG1620,sqh,mask,cnc,Ets97D,Pi3K59F,p53,brk,RpS23,RpS9,dac,Octbeta2R,msn,bif,Neos,RpL6,thoc7,kst,Atg8a,RpLP1,CG30122,Pi3K21B,Hcf,run,CG31550,smid,Usp10,gro,T-cp1,CaMKII,rin,CG8188,Act57B,Atg1,Nipped-B,larp,hep,PEK,Poxm,RpL23A,Atg17,Mnt,dia,shg,sisA,CG34132,puf,mir-308,Rbp2,RpS17,RpL13A,Keap1,ex,Brf,Ns3,nito,RpI135,Capr,RpL30,hang,dpp,dup,l(2)09851,Ras85D,Ect4,Vha26,ND-23,gsb,Desat1,Sin3A,ban,hyd,Ilp5,Asx,RpL28,sc,Dcr-1,tkv,lva,sv,brat,hfp,Diap1
41957	Akt1 (Akt1)	1.78741727549494e-11	-24.7476643078628	197	154	0.0307078763708873	5015	9028	36545,40074,43577,44326,41013,38199,43724,117369,38005,37230,48571,37203,36054,326234,43507,40717,41666,35422,35173,43312,33675,45880,31524,37729,38065,36543,39122,39088,42931,32045,39919,38160,34674,41646,39970,39922,34803,37201,38385,35882,32518,36271,46662,31762,34526,32508,44150,39826,35478,32537,38017,43999,34170,33781,42828,45268,40014,34070,44001,41082,40388,45250,37617,38824,35742,41801,32205,40599,49297,42446,48552,37368,35904,41341,38292,38654,42649,40174,32257,43222,41398,39569,35426,40273,39434,39108,41027,31838,48844,45396,43829,33234,42802,36793,32358,38493,41611,35540,33214,37177,40201,41641,33105,32601,36020,31239,32919,33835,34328,35056,37798,49816,39547,37888,2768940,41020,35988,43950,31293,48971,36252,37580,43514,41054,35701,41367,32617,39899,42493,31849,33223,37147,37290,31406,33569,41709,42504,39846,38093,43991,42620,33827,39377,2768916,40506,43839,37628,36583,34361,41158,37387,39768,32133,33346	Rpn13,CG3808,spn-A,mRpL12,pch2,alphaCOP,CycG,Desat1,gsb,hts,heph,hppy,egr,l(1)G0320,ATPsyngamma,Rpn5,sqd,EF2,Acn,wdb,CG15631,ImpL3,CG3011,Dcp-1,trh,DJ-1alpha,fry,RpS17,CG13625,Hsp60A,Rbp6,Ptp61F,CG5525,Droj2,Crtc,CG6512,CenG1A,ena,Girdin,CG8258,Tcp-1zeta,Ef1alpha48D,l(2)09851,ND-75,RpL9,CG9281,RpS15Aa,fax,gus,Chc,Pdk1,trbl,Akap200,Hel25E,Rpt2,cathD,grim,Rack1,Sucb,CG11984,Rpn10,deltaCOP,blw,smid,Cul1,CycC,CG11138,CG1129,SERCA,Pi3K92E,Sam-S,Act57B,Np,Tctp,CG13806,S6k,T-cp1,Rpn1,lic,Tl,Csk,Sox21b,CG1416,CG32425,nst,RpS9,CG8036,CG7033,l(2)tid,E5,ATPsynbeta,Nle,Rpn9,clu,ben,Rop,pic,EcR,RpLP1,MetRS,gig,poly,Rpt6,sl,PCB,egh,rictor,eIF-4a,Dref,GCS2beta,Nap1,CycK,26-29-p,betaTub60D,Pp2A-29B,Mkk4,RpL31,CdsA,N,Atpalpha,wal,RpS16,Drice,Tcp-1eta,Rpt1,Ranbp9,eIF-2alpha,Nc73EF,r-l,Ost48,MED15,SP2637,PCNA,l(1)G0334,Thor,foxo,slmb,UQCR-C2,CG13900,Pten,PyK,Vm26Ab,yps,CG33303,Arf79F,eIF4G,RpL23,Hsc70-5,CG5708,Kap-alpha3,cpa,SsRbeta,Hsc70-3,cpb
41709	foxo (forkhead box, sub-group O)	3.26745483860812e-11	-24.1444246779038	180	142	0.0283150548354935	5015	9028	43312,42549,41666,42447,40654,40060,40563,31151,41957,39106,42460,37475,40170,41262,38159,38199,34287,36390,33905,31762,5740544,34526,36059,32518,37205,38895,43385,44029,36915,40687,39088,37873,33210,33185,39683,40014,38515,40562,37005,33710,31363,42828,32770,45682,35100,40351,32256,53567,43999,32537,43493,44115,38208,35098,45757,64880,40960,42982,44801,39218,40739,42649,32700,32771,38654,34256,39956,42186,39454,42446,48552,43864,37146,326205,45959,44817,40661,32119,33214,39764,37662,41611,39821,38418,32603,36576,39877,40248,44030,36321,39108,36304,42595,40015,36028,40336,34885,36914,35678,37481,34686,38542,31239,41995,32919,43654,33569,31607,43016,37781,39119,41138,34183,46020,35523,41367,43041,36981,45894,32133,31521,36855,36851,40958,37330,41290,42757,37628,31588,42127,37123,39377,39744,43839,117332,43812,43769,33514,41431,43991,37562,35559	wdb,InR,sqd,Lrrk,RpL35A,RpL26,eIF3-S10,arm,Akt1,path,Syp,CG10306,Mi-2,sle,CG2199,alphaCOP,CG4364,Iswi,Sec61alpha,ND-75,futsch,RpL9,14-3-3zeta,Tcp-1zeta,cora,Ect4,Hrb98DE,Ref1,RhoGEF2,RpL13A,RpS17,Nop60B,RpI135,kis,AGO2,grim,pav,srl,eIF3-S8,Trip1,tyf,Rpt2,CG6769,eIF-3p40,bsf,pzg,hep,larp,trbl,Chc,Gycalpha99B,Rgl,RpL23A,RpS26,beta'COP,chico,CG9667,Mink,bsk,CG6418,Rm62,T-cp1,RpS5a,mnb,S6k,Aldh,CG7564,14-3-3epsilon,Atg1,Pi3K92E,Sam-S,RpL10,CG30122,Claspin,mts,for,CG31550,bif,RpLP1,Zn72D,Fib,pic,RAF2,kst,nonA,RpS23,Int6,Ide,msn,RpS11,RpS9,Prp8,pit,rpr,CG1513,park,vig,Dark,CG1620,HmgD,MRP,CG15019,egh,Pak3,rictor,cindr,Thor,Pink1,vig2,TBPH,CG3335,rump,CG13096,NAT1,mle,Ranbp9,Nup358,eIF3-S9,lds,Hsc70-3,Act5C,RpLP2,RpS15,puc,CG11180,TfIIFbeta,pnt,RpL23,RpL7A,alt,Prp19,yps,brm,eIF4G,Rheb,ey,pan,CG3605,glo,Pten,qkr58E-2,Trap1
