TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH-like_dom_sf	6.11121769816129e-16	-35.0312354386433	137	115	0.0199618121853845	5761	11265	42665,5740131,44052,31224,38785,33552,41675,42981,39523,41144,32569,41163,43892,40361,36881,38418,35425,3355013,31667,31816,38248,31815,32920,34030,42672,37707,38321,43163,34263,37134,37767,41427,33882,35971,35783,42203,35694,49968,32601,40327,38806,43041,34803,38050,34354,37790,40704,34882,38945,33445,39907,39866,39344,42050,35696,33268,42412,33218,35116,38113,36598,43916,45928,33845,31031,32522,3346201,32028,40205,37858,36643,42985,43149,252671,43402,64880,38406,32746,43130,34633,38928,32698,34237,35715,40608,35554,42735,41957,41219,38017,37201,37205,36876,36952,41425,38879,42804,38488,2768892,33849,39158,34790,39026,35306,31105,34850,38059,36915,34398,35237,36028,33003,41656,37749,38978	Efa6,CG34383,Shc,PsGEF,melt,CG34394,flfl,CG11168,Vps36,by,vap,CG8312,sif,CG7324,CG5522,kst,step,Gprk1,Dok,Moe,dre4,CG12075,Vav,Ziz,loco,CG3530,dos,Exo84,numb,GEFmeso,Ssrp,Sbf,Pez,ced-6,Asap,PKD,blow,Cadps,sl,siz,RhoGEF4,Nup358,CenG1A,RhoGEF3,CG5734,DCP1,plx,ck,GAPcenA,Drp1,Fit2,Dab,Sprn,CG8907,scra,aru,CG42668,ex,MESR3,CG9205,Tfb1,Rok,shi,mtm,CG43867,Graf,Unc-89,Myo10A,CG42674,gek,Spred,Osbp,Nf1,X11L,WASp,chico,CG14968,beta-Spec,Lnk,Ced-12,cert,CG5004,CG32982,LRR,Cdep,Pld,CenB1A,Akt1,Art4,Pdk1,ena,cora,unc-104,cnk,CG17360,pbl,RanBP3,Fit1,CG42271,CG12393,RasGAP1,Sos,CG5026,RtGEF,rush,osp,Ptpmeg,RhoGEF2,CG5022,CG10188,CG1513,pico,yrt,CG30183,rhea
IPR001849	PH_domain	1.99382391320027e-12	-26.9409667566132	71	64	0.0111091824336053	5761	11265	31031,45928,43916,5740235,32522,34132,35696,39907,38113,42412,34237,38928,32698,34633,43130,32746,42985,37858,64880,41425,36952,36876,33849,2768892,38488,42735,41957,40608,33003,35237,36028,36915,37749,35306,38578,34790,39158,34850,31105,38785,42665,5740131,43892,32569,32686,36881,34030,32920,41427,37134,43163,38321,3355013,35425,38418,31667,34803,38806,32729,35694,42203,35783,32601,49968	CG43867,shi,Rok,RhoGAP1A,Graf,Btk29A,scra,Fit2,CG9205,CG42668,CG32982,cert,CG5004,Ced-12,Lnk,beta-Spec,Osbp,gek,chico,CG17360,cnk,unc-104,CG12393,CG42271,Fit1,CenB1A,Akt1,Cdep,pico,CG10188,CG1513,RhoGEF2,CG30183,RtGEF,RhoGEF64C,Sos,RasGAP1,osp,rush,melt,Efa6,CG34383,sif,vap,RhoGAP15B,CG5522,Ziz,Vav,Sbf,GEFmeso,Exo84,dos,Gprk1,step,kst,Dok,CenG1A,RhoGEF4,CG43658,blow,PKD,Asap,sl,Cadps
IPR001452	SH3_domain	1.30642410409845e-11	-25.061142309651	64	58	0.0100676965804548	5761	11265	42491,34557,45821,34882,41718,44861,38050,37422,32601,44111,43404,35783,36462,35306,35524,36176,35378,32920,35267,42265,42817,39520,42601,36990,33262,42467,32083,38418,31729,36442,37014,32569,36383,41062,43775,39052,39864,8673992,42840,39136,37218,38021,39258,43654,47260,32522,44013,38534,48973,5740318,35343,36497,34505,33268,50225,42567,34132,42050	Cortactin,Ca-beta,Abl,ck,Abi,sdt,RhoGEF3,ASPP,sl,slpr,spg,Asap,Pex13,RtGEF,Src42A,metro,Dap160,Vav,CdGAPr,EndoA,mbc,Abp1,SKIP,POSH,dock,Synd,dlg1,kst,CG2258,Ack-like,CG10933,vap,Amph,pyd,Crk,nwk,Lasp,Nost,CG13604,SH3PX1,EndoB,p130CAS,IRSp53,cindr,l(3)05822,Graf,sls,Cip4,Src64B,CG43729,vari,drk,Stam,aru,Prosap,CASK,Btk29A,CG8907
IPR036028	SH3-like_dom_sf	8.32351841971482e-11	-23.2093509705079	68	60	0.0104148585315049	5761	11265	50225,34505,33268,42050,34132,42567,3346201,32522,47260,38534,44013,35343,36497,48973,5740318,8673992,39052,39864,39258,43654,39136,37218,42840,38021,37014,36442,43775,32569,41062,36383,42601,39520,42467,33262,36990,42265,42817,38418,32083,31729,36176,35378,35267,32920,32601,37422,35306,36462,35524,44111,43404,35783,45821,34882,41718,42491,34557,32122,38050,44861	Prosap,Stam,aru,CG8907,Btk29A,CASK,Unc-89,Graf,l(3)05822,Cip4,sls,vari,drk,Src64B,CG43729,Nost,nwk,Lasp,IRSp53,cindr,SH3PX1,EndoB,CG13604,p130CAS,CG10933,Ack-like,Crk,vap,pyd,Amph,SKIP,Abp1,Synd,dock,POSH,EndoA,mbc,kst,dlg1,CG2258,metro,Dap160,CdGAPr,Vav,sl,ASPP,RtGEF,Pex13,Src42A,slpr,spg,Asap,Abl,ck,Abi,Cortactin,Ca-beta,FucT6,RhoGEF3,sdt
IPR000719	Prot_kinase_dom	1.58227392844118e-10	-22.5669879223345	221	159	0.0275993751084881	5761	11265	41673,34411,48311,318600,37247,43792,41772,31248,35524,3355064,31598,39241,38433,40461,43415,38654,40165,53573,43651,41957,40385,44233,44039,5740442,35731,37376,34705,39429,32256,34127,43916,42366,36283,41118,8674026,42447,41398,3885567,43803,44111,42203,32855,42453,3354888,3355013,38070,53425,39454,32753,44817,40143,36051,31607,42866,39732,32771,39659,35329,43999,42126,36302,47594,41995,38890,32207,36579,43794,33753,31877,42567,34831,43828,36753,45821,41256,41020,34993,32631,36854,44355,43904,32120,35154,33139,39516,42289,40391,35207,37203,42358,39564,44353,38017,3355135,40384,41446,37858,34348,3346201,40560,33758,37893,45970,36404,43875,36706,33965,40232,35950,34132,37938,40292,44672,38032,49701,38649,44573,37152,32257,42549,3355134,41361,31221,42253,35288,43673,37455,44801,43709,42160,48448,34780,41096,36442,32948,44030,31696,43428,38489,40527,40653,35900,34367,42187,45969,32097,318206,2768852,40660,42233,32538,48973,39157,32221,34284,34504,43508,39686,42959	Lkb1,Cdk1,Pkc53E,Wsck,hpo,CaMKI,put,sgg,Src42A,Haspin,Cdc7,JIL-1,Eip63E,Srpk79D,Doa,S6k,trc,Ilk,wts,Akt1,Cdk12,fray,Pak,bma,sax,CG3216,Pk34A,sti,hep,Pvr,Rok,Ask1,otk,FER,Gyc76C,Lrrk,Csk,Dyrk3,Eph,slpr,PKD,fu,Cdk2,rl,Gprk1,Hipk,Alk,Atg1,CG8173,for,wnd,Cdc2rk,Pink1,p38a,sff,mnb,Tak1,IKKepsilon,trbl,Mps1,CG8878,aPKC,Pak3,nmo,LIMK1,CG8485,Asator,tkv,Erk7,CASK,Dyrk2,CaMKII,Strn-Mlck,Abl,CG43143,Mkk4,grp,mbt,Cdk4,drl,AMPKalpha,PhKgamma,Nak,S6kII,CG10738,cdi,Wnk,dnt,hppy,Ire1,btl,Shark,Pdk1,Stlk,SAK,aurA,gek,CG4839,Unc-89,CG32944,Bub1,Slik,S6KL,Mos,Ret,SRPK,Wee1,polo,Pkn,Btk29A,Adck,Pitslre,Lk6,CG7028,gish,Myt1,MAPk-Ak2,Sik3,lic,InR,CG17528,KP78b,Raf,Mekk1,lok,dco,Egfr,bsk,Gcn2,htl,CkIIalpha,p38b,Vps15,Ack-like,Tao,msn,Nek2,Pkc98E,Ack,aux,PEK,babo,Ror,CG7156,gwl,Drak,Tlk,par-1,ksr,CG14305,CG8565,Src64B,Cdk8,CkIalpha,Pka-C1,aurB,yata,dop,niki
IPR016024	ARM-type_fold	6.8653810739694e-10	-21.0993593825788	196	142	0.0246484985245617	5761	11265	32566,31151,43149,33960,36440,31731,47396,32966,3346238,35386,31625,40950,35895,41158,31026,2768951,31142,46020,53436,31075,41094,38721,33778,43242,43312,40160,37355,35664,37840,43749,35155,36732,34338,36913,35209,246445,40581,32510,42632,41096,39004,31187,37570,43508,36286,38675,43449,41943,34514,35483,40680,37462,44409,39858,35340,43717,42169,39240,43901,118436,326157,34997,31874,31247,37084,42517,3355040,44531,5740442,38131,34378,32970,43034,31793,34633,2768940,35016,35053,32919,318680,35925,35336,192509,40174,42446,40596,35099,39034,39164,31543,38895,39122,41189,35865,40786,37708,31842,42935,34785,35939,43392,32337,32537,41952,43762,40201,44747,41990,3355136,43839,41675,42497,35146,43180,39413,37733,32608,42171,38167,34229,33974,38785,33819,41068,33211,35123,33489,44819,32820,40626,39141,33398,31724,37475,32987,33001,41367,42130,39329,42871,44642,38303	eIF5,arm,Nf1,l(2)k09022,Cap-G,CG1575,Tor,Rcd-1,form3,CG9246,nonC,CG2747,FANCI,Kap-alpha3,CG16989,CG33217,CG14803,NAT1,c11.1,DAAM,pum,Trn,Cap-D3,CG5521,wdb,Kap-alpha1,insc,CG11123,IntS1,faf,Tango6,Ranbp11,Pen,CG8963,CG17349,Rif1,Karybeta3,CG8184,lqfR,Vps15,Fhos,wapl,CG4554,yata,pds5,alphaKap4,Rpn2,Hel89B,CG33129,Nipped-A,kra,mahj,Cbp80,Mo25,dia,gammaCOP,PP2A-B',CG7839,chb,Ranbp16,mon2,VhaSFD,ric8a,PI4KIIIalpha,CG5721,Smyd5,CG17514,rg,bma,mwh,CG5604,Ranbp21,CG10420,IntS4,Ced-12,Pp2A-29B,Cas,Aac11,rictor,HEATR2,Mys45A,Fs(2)Ket,CG12084,Rpn1,Pi3K92E,ctrip,ncm,smg,Taf2,raptor,Ect4,fry,CG16908,stmA,CG10286,CG3520,AP-1gamma,puf,Sec71,Rme-8,htt,Pdcd4,Chc,msps,CG2053,gig,msk,CG14881,Nipped-B,eIF4G,flfl,CG7044,CG10602,CG6073,CG32104,Pi3K59F,mei-41,cdm,SA-2,Rcd-1r,SA,melt,bchs,CG11964,AP-2alpha,CG10383,CG31694,g,betaCOP,Mms19,defl,CG10880,Upf2,CG10306,AP-1-2beta,CG15618,Ranbp9,osa,Pi3K68D,Apc2,Apc,CG9004
IPR036236	Znf_C2H2_sf	7.30941348146234e-10	-21.0366878944918	265	184	0.0319388994966152	5761	11265	43727,33225,47718,36068,2768685,37155,35427,41355,43531,31420,35198,34303,44272,33861,40375,34177,45871,38660,42145,42237,41345,33957,42144,40309,41848,34569,34903,43398,42390,36171,45961,34483,32663,34908,36012,31745,38716,40795,36825,326152,31577,33581,41837,36603,35555,43694,35770,38063,33975,59239,39089,40351,31600,35260,40414,39228,42057,31070,36609,32353,39721,37464,33343,33657,38713,41038,38159,36763,40643,34292,41244,39697,49638,38717,36679,37785,39539,39947,43795,34568,35430,37379,5740817,31912,42143,37730,34906,32104,39095,14462577,318709,31523,36024,39456,35157,39548,31743,41041,43650,38436,48317,40242,41768,41042,39549,34592,34328,34784,42226,31741,32014,42393,34622,42300,38638,33077,38971,37818,33639,2768719,42767,31572,38520,41165,38718,41423,40605,32994,33692,31391,39764,36156,40594,36678,40789,31977,36170,37659,42392,31735,32770,35682,31660,41194,31742,32613,38817,31648,38733,43070,44505,36571,41404,44548,34962,43924,42736,43566,31265,41040,41395,35445,42162,43572,42413,31611,44786,40061,41831,48785,34887,32224,33606,35135,36986,31429,33602,31430,246618,42717,38719,33224,37992,36645	CG1792,ush,CG17829,CG18011,mld,CG15073,CG31612,CG31388,CG15514,CG32772,CG17568,CG13123,tio,Kr-h1,Neu2,fu2,grau,CG13287,CG7357,CG31224,CG6689,sens-2,CG17801,CG11456,Cp190,salm,esg,wdn,CG4424,shn,Pep,CG12299,CG9609,sna,CG1663,CG18262,CG10274,Zif,CG4282,erm,CG3847,sob,Art3,CG17385,jing,CG12054,CG12769,CG1233,CG13775,CG18764,MTF-1,pzg,CG3224,CG10462,CG11247,klu,CG3995,CG11398,Oaz,mamo,CkIIalpha-i1,CG10321,chinmo,CG15436,CG13296,nom,CG2199,CG8388,CG14667,zf30C,CG6254,CG7372,drm,D19B,CG8089,ken,Meics,CG18265,zfh2,salr,tsh,CG10543,CG34283,btd,CG17802,pita,wor,CG11696,phol,pre-lola-G,CG42726,CG12236,CG12744,CG10754,CG10431,CG17361,CG10959,ranshi,zfh1,dar1,ttk,kin17,CG7987,M1BP,CG17359,crol,Dref,CG16863,fru,CG2129,CG2202,CG4936,Plzf,sqz,Blimp-1,CG1529,CG6765,CG3065,CG17612,luna,CG4374,CG12219,CG11586,CG8319,D19A,l(3)neo38,opa,zld,Cf2,peb,Zn72D,CG30020,CG14655,chn,CG1024,CG2889,CG12391,CG9890,trem,CG2116,CG6769,az2,CG9650,CG8478,CG15336,hang,CTCF,CG3032,CG10147,CG11902,br,cg,CG18476,lola,CG17328,jim,CG31365,ZIPIC,dwg,CG8159,CG14711,Clamp,sr,Sry-delta,CG4360,CG14441,nerfin-1,arx,CG6654,wek,CG15269,CG15725,CG3407,ham,MESR4,ovo,bowl,CG32767,Opbp,lmd,CG7386,cbt,CG2790,BEAF-32
IPR027417	P-loop_NTPase	1.17519632815098e-09	-20.5618306155198	507	325	0.0564138170456518	5761	11265	32646,42877,39871,38593,32107,44172,31240,33418,44433,35686,39307,38421,36384,43165,33544,37296,37860,36176,35277,31271,326208,40359,32777,33105,38905,117365,40104,40168,41953,47251,36494,36390,31945,39332,36357,44072,34179,36914,43736,40993,43772,32057,35343,40987,44870,36288,34573,39504,32742,39068,40701,42697,42975,44261,37564,38515,42060,41190,41891,45894,42343,326161,38084,38411,3771934,35801,40733,33103,40974,37636,32312,44861,32464,34803,40457,34557,44637,41943,42580,42595,38244,43517,34262,42524,43310,36578,44438,31684,34423,37119,38427,41694,38765,33835,42934,32021,37617,40961,39218,36561,31993,42369,36992,36810,41688,117332,38736,37563,34331,42745,39014,318579,43080,35255,32992,53561,32273,42273,34636,3771960,34794,36268,261626,41387,38930,34658,31914,42889,42846,44360,42501,39027,40607,45826,32933,43450,41013,33803,41071,48782,32083,31097,35681,33114,42693,35523,39744,38153,41779,35000,42894,40530,53566,33254,318910,32195,34686,45928,32047,40282,39613,47283,33185,40846,34307,36699,31497,40167,33118,42380,39971,41955,36104,32153,41437,40170,35001,39195,42543,38001,35937,43382,35061,42438,36271,39368,35690,53565,36653,39594,38586,34360,40543,34311,32743,38756,39904,33781,35422,37146,32627,41062,38824,326215,35112,32981,36993,39202,45655,44021,34422,41925,31603,31344,35653,34004,45460,35667,34882,31707,33680,33541,38831,42382,36775,32178,41136,42466,42828,38580,42485,32028,41550,37062,38715,31841,40131,36681,32725,35221,35793,32049,31043,42615,35680,34357,45668,36876,41569,40959,39213,34364,41296,39645,43319,36379,39861,40973,34148,38492,40448,35577,32508,33567,32938,36776,34680,39654,40506,35679,34783,33014,42314,38989,38931,37970,37834,42567,35339,47216,41746,40192,40857,41571,35963,42845,40092,35007,40652,34350,31934,33709,31449,35701,39922,36127,35974,33914,33636,53438,31942,41140,35917,41279,40111,43358,36718,32373,40739,35192,34842,43635,42853,43577,43990,33988,32715,33445,42976,43829,42906,37805,42447,42928,42876	Sep4,CG6204,Dbp73D,Srp54k,nod,RabX1,Klp3A,Rab5,Hs2st,Orc1,CG32091,CG12010,Galphaq,Dak1,CG3326,CG9143,CG4049,metro,sick,w,CG32344,Rab26,Vps4,Rpt6,mus301,HBS1,pip,Rab8,CG10185,Gtp-bp,cbc,Iswi,RhoU,Klp68D,CG8520,Ran,d,Dark,Ef1alpha100E,Arl2,CG2316,Dlic,vari,eIF4AIII,sub,128up,Dlg5,CG10222,CG5800,Klp67A,Rab23,CG17141,CG31121,eIF5B,rad50,pav,Ns1,Rpt3R,obe,lds,CG6195,CG31793,RabX6,CG12016,cana,pnut,CG2017,CG1718,CG9630,CG3499,Tango13,sdt,CG6227,CenG1A,Ddx1,Ca-beta,cutlet,Hel89B,dnd,pit,Rap1,ncd,CG3769,Rab1,Klp98A,Opa1,EfTuM,Rab39,RfC3,Ttd14,armi,Nsf2,Galphai,eIF-4a,atl,CG1582,blw,Gie,CG6418,pea,Rab9Db,CG4538,Rab4,Khc,CG9297,Rheb,sfl,mRpS29,SoYb,fzo,Mcm7,spn-D,XNP,CG10268,Pmp70,cmet,sno,dnk,Rab6,waw,Orc5,CG13185,CG31495,Mrp4,Rab19,Elf,CG1354,jar,spas,Rab18,Rab11,pix,Gnf1,bel,CG32533,CG11897,pch2,CG11147,RagA-B,Mtr4,dlg1,Ns3,CG12736,Sep1,Dcr-1,mle,brm,Myo61F,Rad17,CG17904,CG6364,abs,Kat60,Dbp21E2,CG43672,Rab40,MRP,shi,Rpt3,CG4858,CG9425,SrpRbeta,kis,Dpck,mtDNA-helicase,Arf51F,CG4078,Papss,Hlc,Hs6st,CG6052,Mhcl,Galphao,Upf1,CG31368,Mi-2,glu,Gem3,Fancm,zip,Rad51D,CG12413,Dhc36C,Sep2,Ef1alpha48D,rols,CG1598,bor,SMC2,RecQ5,Dnah3,CG4908,Suv3,Etl1,RhoGAPp190,CG10077,CG7728,Hel25E,EF2,CG30122,SMC3,pyd,smid,SMC5,CG10333,Cdc42,Dcr-2,hay,dom,nmd,Klp31E,Hmt-1,Mcm6,CG42541,cos,ico,Pex1,kappaB-Ras,ck,mahe,CG3225,CG9663,Rac2,CG31213,Rho1,CG11356,RhoL,AdSS,Rpt2,Dhc64C,Dhc93AB,Myo10A,Vha55,CG5757,CG7376,Arfrp1,CG9330,igl,CG8611,Rab9,RagC-D,Klp10A,CG3704,Sar1,didum,CG4901,Vha68-1,unc-104,Past1,CG7878,CG11811,me31B,Mcm5,CTPsyn,Mtl,Ak6,Galphaf,Mcm2,CG7627,RfC4,CG7139,Rab2,CG9281,CG3238,Pfrx,Ric,CG5776,Msh6,Arf79F,dpa,CG31731,Rab35,Ino80,Cdc6,Arl5,Orc4,Adk2,CASK,CG9323,Klp54D,spn-B,CG14183,CG2656,mus308,Non1,Miro,rept,Mhc,CG14669,Sur,CG2990,Marcal1,Mcm3,Rpt1,CG6512,Rab3,Camta,CG31637,Atet,RecQ4,ZAP3,Ras85D,Dbp45A,pug,Chd3,CG4849,Khc-73,l(1)G0007,Rm62,l(2)37Cb,spel1,Rpt6R,SMC1,spn-A,Sep5,Rab30,CG8915,Drp1,CG11069,ATPsynbeta,CG18528,Galphas,Lrrk,CG5789,jnj
IPR017441	Protein_kinase_ATP_BS	1.99766204690697e-09	-20.031288316719	164	121	0.021003298038535	5761	11265	3354888,42160,3355013,38070,48448,43709,35288,42453,31221,42253,37455,43673,41361,32855,3355134,42549,42203,41398,42447,43803,3885567,37152,44672,38649,44573,49701,42959,34831,34284,32221,33753,34504,43794,48973,32207,39157,36579,38890,40660,42233,47594,36302,32538,41995,35329,39659,34367,318206,2768852,42126,38489,32771,35900,40653,42866,36051,39732,43428,44817,36442,32948,53425,34780,39454,44030,37203,41957,38017,44353,40385,39564,40165,38654,43651,43415,33139,40461,42289,38433,39241,32120,31598,31248,32631,43904,3355064,35524,36854,43792,34993,41020,37247,41256,34411,43828,41673,45821,48311,36753,35950,33965,34132,36706,36404,43875,41118,42366,43916,40560,34127,33758,37893,39429,32256,34705,37858,41446,35731,44039,40384,44233	rl,htl,Gprk1,Hipk,CkIIalpha,Gcn2,lok,Cdk2,Raf,Mekk1,Egfr,dco,KP78b,fu,CG17528,InR,PKD,Csk,Lrrk,Eph,Dyrk3,Sik3,Lk6,Myt1,MAPk-Ak2,gish,niki,Dyrk2,Pka-C1,CkIalpha,tkv,aurB,Asator,Src64B,LIMK1,Cdk8,CG8485,nmo,ksr,CG14305,aPKC,CG8878,CG8565,Pak3,IKKepsilon,Tak1,Ror,Tlk,par-1,Mps1,Ack,mnb,babo,PEK,p38a,Cdc2rk,sff,Pkc98E,for,Ack-like,Tao,Alk,p38b,Atg1,msn,hppy,Akt1,Pdk1,Shark,Cdk12,btl,trc,S6k,wts,Doa,S6kII,Srpk79D,cdi,Eip63E,JIL-1,PhKgamma,Cdc7,sgg,mbt,AMPKalpha,Haspin,Src42A,Cdk4,CaMKI,grp,Mkk4,hpo,CG43143,Cdk1,CaMKII,Lkb1,Abl,Pkc53E,Strn-Mlck,Pkn,Wee1,Btk29A,SRPK,Mos,Ret,FER,Ask1,Rok,CG32944,Pvr,Bub1,Slik,sti,hep,Pk34A,gek,aurA,sax,Pak,SAK,fray
IPR009057	Homeobox-like_sf	6.7485909337667e-09	-18.8139321044065	142	106	0.0183995834056587	5761	11265	43825,326128,35509,31003,36240,37546,35147,38086,32567,43650,47894,40835,38376,33977,31802,41697,53446,3355151,34629,40297,32213,40966,32723,39418,41363,31470,35266,46156,33208,40217,38752,37367,36239,44540,42537,41942,42037,35942,44108,3772186,31469,40833,2768974,40332,45396,40363,35678,35813,42536,35184,39419,39441,34673,40990,32941,44254,39439,37322,40834,32543,36039,44855,38451,43664,43812,33240,38254,35341,37668,41273,45285,32724,34748,38007,38005,37973,38379,40817,40826,36118,42542,42541,32757,40828,5740176,35662,43795,43020,34669,36390,40830,33183,42495,33239,38082,39440,32943,31525,42544,42110,40693,50392,47285,47763,42034,36157	sv,Ada2a,ap,vnd,en,dve,tup,CG13894,exd,zfh1,hbn,Antp,BtbVII,Atac1,oc,ems,HGTX,scro,prd,Six4,CG11085,Ada2b,B-H2,toe,pros,Vsx1,bsh,Gug,al,Su(var)3-3,vvl,Rx,inv,ct,bap,mor,abd-A,unpg,Optix,CG33695,Vsx2,Scr,ind,CG10565,E5,ebd2,CG1620,pdm3,tin,Lim3,eyg,mirr,pdm2,Poxm,CoRest,bab2,ara,lms,ftz,Myb,eve,rib,Awh,Ptx1,ey,Gsc,Dbx,cad,CG9876,hth,Dr,B-H1,CG9305,lov,gsb,Dll,CG15812,lab,pb,psq,lbe,lbl,unc-4,zen,Drgx,so,zfh2,danr,nub,Iswi,bcd,CG11617,HHEX,Pph13,ebd1,caup,CG32532,CG3726,C15,Hmx,MTA1-like,schlank,repo,Abd-B,Ubx,cag
