TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04391	Hippo signaling pathway - fly	5.63584883905559e-06	-12.0863627848951	61	52	0.0290502793296089	1790	3056	39013,32805,32083,37851,31521,35526,35340,41273,43673,36054,42634,47594,33156,34009,44100,42186,48632,37247,33529,2768677,46156,34405,33245,2768940,33218,43651,34924,36059,32536,32703,44801,42896,42734,41885,32813,35430,33619,39399,45959,32351,37368,12798547,38657,44448,33627,252554,47877,40444,44861,41783,32849,34179	dally,upd2,dlg1,yki,Act5C,Act42A,dia,hth,dco,egr,mats,aPKC,l(2)gl,wg,Patj,14-3-3epsilon,Act87E,hpo,Mad,p53,Gug,lft,ds,Pp2A-29B,ex,wts,CycE,14-3-3zeta,sd,baz,bsk,crb,Rassf,Act88F,upd1,tsh,ed,app,mts,jub,Act57B,ban,vn,scrib,ft,sav,tws,Act79B,sdt,kibra,wgn,d
dme04391	Hippo signaling pathway - fly	5.63584883905559e-06	-12.0863627848951	61	52	0.0290502793296089	1790	3056	42634,47594,33156,34009,44100,48632,42186,37247,33529,2768677,46156,34405,2768940,33245,32083,39013,32805,31521,35526,37851,35340,41273,43673,36054,37368,12798547,38657,44448,33627,252554,47877,40444,44861,41783,32849,34179,33218,43651,34924,36059,32536,44801,32703,42896,42734,41885,32813,33619,39399,35430,45959,32351	mats,aPKC,l(2)gl,wg,Patj,Act87E,14-3-3epsilon,hpo,Mad,p53,Gug,lft,Pp2A-29B,ds,dlg1,dally,upd2,Act5C,Act42A,yki,dia,hth,dco,egr,Act57B,ban,vn,scrib,ft,sav,tws,Act79B,sdt,kibra,wgn,d,ex,wts,CycE,14-3-3zeta,sd,bsk,baz,crb,Rassf,Act88F,upd1,ed,app,tsh,mts,jub
ko04013	MAPK signaling pathway - fly	3.23812588857647e-05	-10.3379307319726	93	73	0.0407821229050279	1790	3056	40958,43481,45959,45994,37149,31883,44111,40660,42253,43656,43319,41140,38321,34780,32569,41136,45278,35524,31221,33432,42564,36057,48317,36054,38831,36032,35253,44353,42757,44747,36952,42866,36606,36059,44801,39884,32849,41020,34380,31391,42366,39659,34096,41785,39158,38657,44851,31379,37461,32257,33834,48973,37216,33392,39833,44030,41363,3772082,40009,53560,31667,34790,32256,37978,38424,37455,3354888,34132,33753,43162,44052,33212,36497	puc,alph,mts,fs(1)M3,edl,lz,slpr,ksr,Mekk1,tll,Mtl,Ras85D,dos,p38b,vap,RhoL,csw,Src42A,Raf,dpp,tsl,Jra,ttk,egr,Rac2,Mef2,spi,Shark,pnt,msk,cnk,p38a,phyl,14-3-3zeta,bsk,sina,wgn,Mkk4,CYLD,peb,Ask1,Tak1,Cka,eff,RasGAP1,vn,raw,bi,PTP-ER,lic,chic,Src64B,Tab2,aop,aos,msn,pros,kay,hid,cic,Dok,Sos,hep,Atf-2,sty,Egfr,rl,Btk29A,tkv,gro,Shc,ebi,drk
dme04013	MAPK signaling pathway - fly	3.23812588857647e-05	-10.3379307319726	93	73	0.0407821229050279	1790	3056	3772082,40009,53560,44030,41363,37216,33392,39833,48973,36497,33212,3354888,34132,33753,43162,44052,38424,37455,31667,34790,32256,37978,36059,44801,36606,36952,42866,31379,37461,32257,33834,38657,44851,34380,31391,39659,42366,34096,39158,41785,39884,32849,41020,36032,35253,36057,36054,48317,38831,44747,44353,42757,41140,42253,43319,43656,44111,40660,40958,43481,45959,45994,37149,31883,33432,42564,41136,45278,31221,35524,32569,38321,34780	kay,hid,cic,msn,pros,Tab2,aop,aos,Src64B,drk,ebi,rl,Btk29A,tkv,gro,Shc,sty,Egfr,Dok,Sos,hep,Atf-2,14-3-3zeta,bsk,phyl,cnk,p38a,bi,PTP-ER,lic,chic,vn,raw,CYLD,peb,Tak1,Ask1,Cka,RasGAP1,eff,sina,wgn,Mkk4,Mef2,spi,Jra,egr,ttk,Rac2,msk,Shark,pnt,Ras85D,Mekk1,Mtl,tll,slpr,ksr,puc,alph,mts,fs(1)M3,edl,lz,dpp,tsl,RhoL,csw,Raf,Src42A,vap,dos,p38b
dme00510	N-Glycan biosynthesis	0.000228897553935913	-8.38223601723186	37	32	0.017877094972067	1790	3056	318981,34134,43563,34711,43005,31849,43031,43443,32073,2768916,39608,37754,326193,41126,34409,42146,32479,34159,3885575,33082,40402,49953,34137,39609,37323,31957,32122,36856,37029,35240,41191,38374	CG31849,wol,Mgat2,CG5287,OstStt3,Ost48,CG11851,CG14512,GCS1,CG33303,CG9384,l(2)not,Alg10,alpha-Man-IIa,gny,CG18012,CG6308,l(2)k12914,CG33977,CG1518,CG11306,GCS2alpha,Ostgamma,CG17173,Mgat1,alpha-Man-Ia,FucT6,CG8311,OstDelta,CG10166,CG8412,CG1291
ko00510	N-Glycan biosynthesis	0.000228897553935913	-8.38223601723186	37	32	0.017877094972067	1790	3056	39608,2768916,37754,326193,41126,34409,34134,318981,43563,34711,43005,43031,31849,43443,32073,31957,37323,32122,36856,37029,35240,38374,41191,34159,32479,42146,33082,3885575,49953,40402,34137,39609	CG9384,CG33303,l(2)not,Alg10,alpha-Man-IIa,gny,wol,CG31849,Mgat2,CG5287,OstStt3,CG11851,Ost48,CG14512,GCS1,alpha-Man-Ia,Mgat1,FucT6,CG8311,OstDelta,CG10166,CG1291,CG8412,l(2)k12914,CG6308,CG18012,CG1518,CG33977,GCS2alpha,CG11306,Ostgamma,CG17173
ko04320	Dorso-ventral axis formation	0.000408101842371417	-7.80399380105298	28	25	0.0139664804469274	1790	3056	41140,31358,42752,39018,34524,33392,3355150,34648,39833,38168,36497,31293,44505,3354888,31221,33692,34521,47781,41666,37455,42757,31239,45931,34790,44543	Ras85D,brn,orb,orb2,aub,aop,AGO3,bru1,aos,rho,drk,N,br,rl,Raf,Cf2,piwi,fs(1)K10,sqd,Egfr,pnt,egh,spir,Sos,enc
dme04320	Dorso-ventral axis formation	0.000408101842371417	-7.80399380105298	28	25	0.0139664804469274	1790	3056	31358,41140,34524,39018,42752,34648,33392,3355150,39833,31293,38168,36497,44505,3354888,34521,31221,33692,41666,47781,42757,31239,37455,34790,45931,44543	brn,Ras85D,aub,orb2,orb,bru1,aop,AGO3,aos,N,rho,drk,br,rl,piwi,Raf,Cf2,sqd,fs(1)K10,pnt,egh,Egfr,Sos,spir,enc
dme03018	RNA degradation	0.000647285327915058	-7.34272335926161	58	46	0.0256983240223464	1790	3056	43710,39366,3772012,32966,48782,34541,34229,37372,41798,32045,41226,38693,35339,34901,31795,319033,35382,40173,5740252,38369,37731,42842,39957,33964,34364,37413,41552,36060,39408,35003,36583,34416,33351,32574,39722,32558,37070,42983,40711,35893,34721,40683,37790,42880,42900,32665	PNPase,Pop2,CG17768,Rcd-1,Mtr4,Ge-1,Rcd-1r,CG9344,Rrp6,Hsp60A,CG3909,CG6610,CG9323,CG15262,Trf4-1,Rrp40,Mpp6,Mtr3,Not1,CG11486,Rrp4,LSm3,Edc3,Rat1,me31B,LSm1,Not10,Pfk,CG10418,LSm7,Hsc70-5,Cnot4,Eno,Tob,DCP2,Rrp47,pAbp,Trf4-2,CG2091,PAN2,Ski6,Rga,DCP1,twin,Dis3,Rrp45
ko03018	RNA degradation	0.000647285327915058	-7.34272335926161	58	46	0.0256983240223464	1790	3056	34721,40683,37790,42880,42900,32665,36583,34416,32574,33351,39722,32558,37070,42983,40711,35893,319033,35382,40173,5740252,38369,37731,39957,42842,33964,34364,37413,41552,36060,39408,35003,39366,43710,32966,3772012,48782,34229,34541,41798,37372,34901,38693,32045,35339,41226,31795	Ski6,Rga,DCP1,twin,Dis3,Rrp45,Hsc70-5,Cnot4,Tob,Eno,DCP2,Rrp47,pAbp,Trf4-2,CG2091,PAN2,Rrp40,Mpp6,Mtr3,Not1,CG11486,Rrp4,Edc3,LSm3,Rat1,me31B,LSm1,Not10,Pfk,CG10418,LSm7,Pop2,PNPase,Rcd-1,CG17768,Mtr4,Rcd-1r,Ge-1,Rrp6,CG9344,CG15262,CG6610,Hsp60A,CG9323,CG3909,Trf4-1
