TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00069	Pkinase	8.52406916657399e-09	-18.58037200841	168	122	0.02316748955564	5266	10296	44801,42233,43709,41673,49701,43508,48311,33965,35288,44233,43828,39732,32538,44573,3346201,33758,43904,41446,34411,39454,40560,31607,34284,32948,37203,45970,33139,38433,43428,42567,3355134,41096,38654,47594,42959,318206,42366,42126,42253,44672,2768852,32771,43651,40527,43673,40384,39157,40385,38032,38649,34993,40232,42358,44817,35329,41256,37152,42866,39429,42187,32257,34780,36753,34831,36051,40165,41772,31696,3885567,41957,48448,41020,32855,40461,41995,34504,37247,38017,41361,34705,32207,3355013,36854,35950,40391,32120,39241,43415,31877,32753,45969,33753,31598,32221,38890,43999,36706,37893,43916,32631,43792,40292,34348,44039,42203,5740442,31248,35154,43794,42453,32097,42447,36404,37858,38070,40653,36579,3355135,44030,39686,32256,3354888	bsk,CG14305,Gcn2,Lkb1,gish,yata,Pkc53E,Wee1,lok,fray,CaMKII,sff,CG8565,MAPk-Ak2,Unc-89,Bub1,AMPKalpha,aurA,Cdk1,Atg1,CG32944,Pink1,Pka-C1,Tao,hppy,S6KL,S6kII,Eip63E,Pkc98E,CASK,CG17528,Vps15,S6k,aPKC,niki,Tlk,Ask1,Mps1,Mekk1,Lk6,par-1,mnb,wts,aux,dco,SAK,Cdk8,Cdk12,CG7028,Myt1,grp,polo,Ire1,for,IKKepsilon,CG43143,Sik3,p38a,sti,CG7156,lic,p38b,Strn-Mlck,Dyrk2,Cdc2rk,trc,put,Nek2,Dyrk3,Akt1,CkIIalpha,Mkk4,fu,Srpk79D,Pak3,aurB,hpo,Pdk1,KP78b,Pk34A,LIMK1,Gprk1,Cdk4,Pkn,Wnk,PhKgamma,JIL-1,Doa,Erk7,CG8173,gwl,tkv,Cdc7,CkIalpha,nmo,trbl,SRPK,Slik,Rok,mbt,CaMKI,Pitslre,CG4839,Pak,PKD,bma,sgg,Nak,Asator,Cdk2,Drak,Lrrk,Mos,gek,Hipk,PEK,CG8485,Stlk,msn,dop,hep,rl
PF00169	PH	1.01749224148622e-08	-18.4033397307218	45	41	0.00778579567033802	5266	10296	38113,36881,32522,39907,35694,41425,35425,31105,42735,32698,34030,2768892,42985,43892,36952,38928,38321,31031,5740131,40608,38488,36028,34850,3355013,36876,45928,33849,33003,34132,43130,42412,35783,35696,32569,34790,39158,31667,41957,49968,37749,41427	CG9205,CG5522,Graf,Fit2,blow,CG17360,step,rush,CenB1A,CG5004,Ziz,CG42271,Osbp,sif,cnk,cert,dos,CG43867,CG34383,Cdep,Fit1,CG1513,osp,Gprk1,unc-104,shi,CG12393,pico,Btk29A,Lnk,CG42668,Asap,scra,vap,Sos,RasGAP1,Dok,Akt1,Cadps,CG30183,Sbf
PF00017	SH2	5.26280012080658e-08	-16.760017516488	30	29	0.00550702620584884	5266	10296	41144,32202,36497,45821,44353,35524,43775,41118,32569,33840,32760,44052,42428,32601,45278,43584,32920,38677,48973,31987,33203,41398,33262,38674,35786,34132,35085,43130,3885637	by,CG43921,drk,Abl,Shark,Src42A,Crk,FER,vap,CG9098,Socs16D,Shc,Stat92E,sl,csw,CG15529,Vav,PVRAP,Src64B,spri,Pi3K21B,Csk,dock,CG10479,Socs44A,Btk29A,Socs36E,Lnk,CG33993
PF00271	Helicase_C	1.2908763460623e-07	-15.8627743251976	73	59	0.0112039498670718	5266	10296	34357,36390,34311,41891,36993,31707,37296,42543,33835,33118,42595,40959,48782,43080,32933,32021,35339,35112,45655,42693,39744,33185,40974,33709,326208,40543,41943,41571,32742,33680,36561,39594,45894,40530,39195,38756,40111,35917,38715,34364,35523,32725,39871,40739,38905,40987,32373,40170,32464,33781,37860,32715,42314,39218,35192,40457,45826,33254,53438	CG4901,Iswi,Etl1,obe,Dcr-2,mahe,CG9143,Fancm,eIF-4a,Hlc,pit,CG7878,Mtr4,XNP,CG32533,CG1582,CG9323,CG10333,dom,Dcr-1,brm,kis,CG9630,Marcal1,CG32344,Suv3,Hel89B,mus308,CG5800,CG3225,pea,RecQ5,lds,abs,Gem3,CG10077,Chd3,Dbp45A,CG7376,me31B,mle,CG8611,Dbp73D,Rm62,mus301,eIF4AIII,l(1)G0007,Mi-2,CG6227,Hel25E,CG4049,CG8915,Ino80,CG6418,l(2)37Cb,Ddx1,bel,Dbp21E2,RecQ4
PF12796	Ank_2	3.27259770926502e-07	-14.9325115749199	71	57	0.0108241549563236	5266	10296	38863,37199,33303,39368,318909,38055,35783,39159,38037,36696,53573,42076,2768995,41816,50070,35395,39571,44353,50225,41087,34634,36396,43770,39747,34326,36427,43095,34378,30971,32718,40046,42735,37422,31351,49070,40032,326173,34969,35170,37433,42981,31293,43387,38865,246518,36824,42447,31826,36139,37344,36668,41208,3355072,39750,39015,34874,43298	Ank2,CG15118,CG5118,rols,CG31715,Atac3,Asap,CG10809,pyx,CG8152,Ilk,m-cup,CG43980,CG6966,mask,CG8679,nan,Shark,Prosap,Rel,Patsas,GLS,Ank,Hip14,CG5846,Sans,Tnks,CG5604,G9a,f,CG14073,CenB1A,ASPP,CG6428,Mbs,MYPT-75D,CG44001,cact,mib2,CG42672,CG11168,N,CG10011,CG7457,CG30271,CG8060,Lrrk,rdgA,dgo,Fem-1,Kank,CG8526,CG41099,mib1,TrpA1,l(2)35Be,CG42534
PF00046	Homeobox	6.54026861673887e-07	-14.2401174134368	95	72	0.0136726167869351	5266	10296	5740176,33240,43650,35813,32724,45396,2768974,40828,47285,34669,40834,36240,32757,40297,43795,45285,39418,35942,42544,37322,35662,34673,42110,53446,42495,33239,35266,38254,42034,36239,35184,31470,42541,32213,35147,37973,33208,40817,44108,47763,32943,32723,47894,41697,35509,50392,36039,35341,37367,31469,40830,40826,38451,31003,32567,34629,42537,43812,37546,40833,40835,44540,31802,38752,3355151,42037,38005,39419,42536,43664,37668,42542	Drgx,Gsc,zfh1,pdm3,B-H1,E5,ind,zen,repo,nub,ftz,en,unc-4,Six4,zfh2,Dr,toe,unpg,C15,lms,so,pdm2,Hmx,HGTX,HHEX,Pph13,bsh,Dbx,Ubx,inv,Lim3,Vsx1,lbl,CG11085,tup,Dll,al,lab,Optix,Abd-B,CG32532,B-H2,hbn,ems,ap,schlank,eve,cad,Rx,Vsx2,bcd,pb,Awh,vnd,exd,prd,bap,ey,dve,Scr,Antp,ct,oc,vvl,scro,abd-A,gsb,eyg,tin,Ptx1,CG9876,lbe
PF00018	SH3_1	6.99567913119369e-07	-14.172802959463	34	31	0.00588682111659704	5266	10296	36990,38050,32569,43775,35524,39258,43654,39864,45821,36497,5740318,42050,39136,38021,31729,38534,34132,33262,44111,42467,47260,44013,48973,37422,34505,39052,42265,32083,33268,37014,32601	POSH,RhoGEF3,vap,Crk,Src42A,IRSp53,cindr,Lasp,Abl,drk,CG43729,CG8907,SH3PX1,p130CAS,CG2258,Cip4,Btk29A,dock,slpr,Synd,l(3)05822,sls,Src64B,ASPP,Stam,nwk,EndoA,dlg1,aru,CG10933,sl
PF00400	WD40	2.14560404261817e-06	-13.0520894402773	129	92	0.017470565894417	5266	10296	34070,37727,41419,31903,42750,43218,41647,33212,37801,318566,35349,39505,38505,32544,31744,37467,34153,44531,31881,38516,42272,39669,36199,39997,34096,31155,31557,42196,43490,39624,37036,32581,45922,32168,35529,33854,34540,46662,33819,39955,36791,31146,35596,38199,39394,37926,47900,41096,34616,34955,36107,45757,43400,36038,43162,42504,33367,37123,33862,43734,39426,45432,38994,47877,39502,38957,43978,31680,39774,36123,37073,33234,41226,37329,40386,36144,3346176,40239,33399,36150,33180,36259,42593,31213,42281,40698,33710,43505,34595,34488,32526,326115	Rack1,wmd,CG14722,Lst8,wda,CG6420,CG9799,ebi,CG2812,CG34133,Oseg5,flr,CG43367,Gbeta13F,Gbeta5,Rae1,Wdr82,rg,CG16892,ago,Smu1,CG7275,CG9062,CG14353,Cka,Rbcn-3B,Rbcn-3A,CG8064,Bub3,CG5114,CG5033,kat80,rap,Tango4,SCAP,Fbw5,Wdr59,l(2)09851,bchs,U4-U6-60K,Lis-1,CG14805,coro,alphaCOP,thoc6,CG3511,Taf5,Vps15,CG6734,CG4935,Caf1-105,beta'COP,CG1523,CG12134,gro,slmb,Wdr62,Prp19,CG9175,CstF-50,CG10646,can,Pex7,tws,Poc1,Oseg1,Plap,Hira,l(3)72Dn,Elp2,adp,Nle,CG3909,CG9945,CG7611,CG12325,U3-55K,Rbbp5,mio,nclb,CG3436,CG13192,CG6015,CG3071,CG14285,CG1109,Trip1,Wdr24,esc,CG6724,CG33172,Atg16
PF00076	RRM_1	9.99471075411222e-06	-11.513454529489	127	89	0.0169008735282947	5266	10296	39527,31448,49809,41670,45840,37070,37254,32587,38173,34370,41892,39119,33968,53444,37948,31023,47998,38982,32866,32603,3772180,39049,42957,39919,5740386,19834761,44029,37964,41413,31000,32245,35027,38937,3355041,33201,41431,48535,37781,41138,31243,32293,250811,41666,33305,41147,42460,31481,39198,43231,38720,43764,38605,33175,33652,37681,37411,48571,36981,40673,42848,34648,34667,32394,31442,35924,33982,32009,43467,5740411,37947,33498,43087,40562,35756,36984,43385,44205,42958,36619,40529,41294,40369,38795,42026,53443,32602,38811,33677,34416	bru3,Rnp4F,Rbp2,B52,cpo,pAbp,sm,caz,hfp,Rsf1,CG5213,CG3335,Hrb27C,SC35,CG4806,fz3,rin,Nelf-E,CG18259,nonA,Sxl,bol,CG5808,Rbp6,CG40813,CG44249,Ref1,CG3594,CG14718,elav,fne,CG12288,CG7185,eIF-4B,U2af38,glo,Hrb87F,TBPH,rump,eIF3ga,Rbp1-like,bru2,sqd,CG4896,RnpS1,Syp,CG4119,Rbfox1,Rb97D,CG13298,mod,shep,CG11454,CG15440,LS2,CG4266,heph,eIF3-S9,CG2931,Rox8,bru1,Ref2,CG14414,snf,tsu,snRNP-U1-70K,Imp,CG14506,CG41562,Pof,Rbp9,msi,srl,nito,cyp33,Hrb98DE,spen,Saf-B,tra2,CG14641,Rbp1,barc,Neos,nonA-l,SF2,U2af50,lark,CG3294,Cnot4
PF00270	DEAD	0.000128108780678449	-8.96263080591151	49	38	0.00721610330421572	5266	10296	53438,33254,45826,40457,32715,39218,33781,32464,32373,38905,40987,40739,39871,32725,35523,34364,35917,38756,40530,39195,39594,32742,41571,326208,40974,35112,35339,32021,48782,40959,33118,42595,33835,36993,31707,37296,41891,34357	RecQ4,Dbp21E2,bel,Ddx1,CG8915,CG6418,Hel25E,CG6227,l(1)G0007,mus301,eIF4AIII,Rm62,Dbp73D,CG8611,mle,me31B,Dbp45A,CG10077,abs,Gem3,RecQ5,CG5800,mus308,CG32344,CG9630,CG10333,CG9323,CG1582,Mtr4,CG7878,Hlc,pit,eIF-4a,Dcr-2,mahe,CG9143,obe,CG4901
