TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00401	SH2DOMAIN	5.22504911953675e-07	-14.4646314522834	19	19	0.0185728250244379	1023	2180	32569,32202,34132,32601,45821,48973,38677,35786,33203,35524,44353,41398,3885637,36497,45278,43775,44052,43130,33262	vap,CG43921,Btk29A,sl,Abl,Src64B,PVRAP,Socs44A,Pi3K21B,Src42A,Shark,Csk,CG33993,drk,csw,Crk,Shc,Lnk,dock
PR00452	SH3DOMAIN	5.64284736348641e-06	-12.0851217681671	27	24	0.0234604105571848	1023	2180	42265,5740318,47260,43775,41718,42491,33262,44111,39136,35306,35524,39520,42467,36497,48973,45821,36990,43654,35378,34505,39864,39052,8673992,35783	EndoA,CG43729,l(3)05822,Crk,Abi,Cortactin,dock,slpr,SH3PX1,RtGEF,Src42A,Abp1,Synd,drk,Src64B,Abl,POSH,cindr,Dap160,Stam,Lasp,nwk,Nost,Asap
PR00320	GPROTEINBRPT	8.63407836295481e-06	-11.6597935847829	57	43	0.0420332355816227	1023	2180	37727,36791,42196,34070,33180,37123,42750,32581,43978,34488,41096,318566,36199,45432,34096,38994,40386,39502,46662,34153,36144,38516,42504,43490,37467,31744,33234,32544,38199,34955,33212,47900,326115,42272,41226,32168,42593,43734,45757,40698,39955,31680,31903	wmd,Lis-1,CG8064,Rack1,CG3436,Prp19,wda,kat80,Plap,CG6724,Vps15,CG34133,CG9062,can,Cka,Pex7,CG7611,Poc1,l(2)09851,Wdr82,CG12325,ago,slmb,Bub3,Rae1,Gbeta5,Nle,Gbeta13F,alphaCOP,CG4935,ebi,Taf5,Atg16,Smu1,CG3909,Tango4,CG6015,CstF-50,beta'COP,CG1109,U4-U6-60K,Hira,Lst8
PR00024	HOMEOBOX	0.000192537950923006	-8.5552172760155	38	29	0.0283479960899316	1023	2180	36039,37322,35942,42034,35266,40833,36239,47763,42037,45285,40826,42537,31003,40835,42544,32724,40834,37973,53446,42495,40828,32723,3355151,36240,42110,40817,2768974,32213,35341	eve,lms,unpg,Ubx,bsh,Scr,inv,Abd-B,abd-A,Dr,pb,bap,vnd,Antp,C15,B-H1,ftz,Dll,HGTX,HHEX,zen,B-H2,scro,en,Hmx,lab,ind,CG11085,cad
PR00700	PRTYPHPHTASE	0.000920145894910443	-6.9909783190695	16	14	0.0136852394916911	1023	2180	31907,38059,39610,37461,31425,43469,32115,38160,41401,33277,39443,35259,33882,45278	Ptpmeg2,Ptpmeg,mop,PTP-ER,Ptp4E,Ptp99A,Ptp10D,Ptp61F,CG42327,IA-2,Ptp69D,Lar,Pez,csw
PR00109	TYRKINASE	0.0010925717692171	-6.81922094050496	32	24	0.0234604105571848	1023	2180	45821,36442,48973,38489,318600,35207,39564,34367,53425,43875,34132,42549,44111,44355,37455,41118,42160,43803,36283,35524,40143,44353,39659,41398	Abl,Ack-like,Src64B,Ack,Wsck,dnt,btl,Ror,Alk,Ret,Btk29A,InR,slpr,drl,Egfr,FER,htl,Eph,otk,Src42A,wnd,Shark,Tak1,Csk
PR01415	ANKYRIN	0.00227265145071887	-6.08680808915252	28	21	0.0205278592375367	1023	2180	43387,34874,34969,3355072,34326,41816,38865,30971,38037,43095,39015,42981,43298,37344,43770,40032,36668,38863,50070,318909,39750	CG10011,l(2)35Be,cact,CG41099,CG5846,CG6966,CG7457,G9a,pyx,Tnks,TrpA1,CG11168,CG42534,Fem-1,Ank,MYPT-75D,Kank,Ank2,mask,CG31715,mib1
PR00205	CADHERIN	0.00935022357652679	-4.67235502403943	15	12	0.0117302052785924	1023	2180	39936,36125,41774,35071,41441,41302,35070,33627,37386,43824,33245,40191	Cad74A,stan,Cad88C,CadN2,Cad87A,Cad86C,CadN,ft,shg,Cals,ds,kug
PR00031	HTHREPRESSR	0.0111085275931967	-4.50004221397874	12	10	0.00977517106549365	1023	2180	36240,36239,53446,33208,42542,35266,37973,38254,35341,38005	en,inv,HGTX,al,lbe,bsh,Dll,Dbx,cad,gsb
PR00380	KINESINHEAVY	0.0151489492781098	-4.18982410401211	24	17	0.0166177908113392	1023	2180	47216,39068,32107,44870,43517,31240,53561,34422,43310,39332,3771934,36876,35653,36810,36718,38515,32049	Klp54D,Klp67A,nod,sub,ncd,Klp3A,cmet,Klp31E,Klp98A,Klp68D,cana,unc-104,cos,Khc,Khc-73,pav,Klp10A
