TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	2.26798543817682e-10	-22.2069589646525	66	60	0.0174469322477464	3439	6231	39158,49968,42412,31031,33003,36028,5740235,32746,38113,45928,37749,34132,35425,33849,42985,36876,2768892,41425,38321,37134,3355013,34237,38578,36952,43163,38488,31667,38928,39907,35237,43892,34803,43916,42735,41427,34850,32698,38785,40608,32522,32920,36881,32601,41957,64880,35694,42203,37858,31105,42665,34790,38418,34030,35306,38806,32569,43130,35783,35696,5740131	RasGAP1,Cadps,CG42668,CG43867,pico,CG1513,RhoGAP1A,beta-Spec,CG9205,shi,CG30183,Btk29A,step,CG12393,Osbp,unc-104,CG42271,CG17360,dos,GEFmeso,Gprk1,CG32982,RhoGEF64C,cnk,Exo84,Fit1,Dok,cert,Fit2,CG10188,sif,CenG1A,Rok,CenB1A,Sbf,osp,CG5004,melt,Cdep,Graf,Vav,CG5522,sl,Akt1,chico,blow,PKD,gek,rush,Efa6,Sos,kst,Ziz,RtGEF,RhoGEF4,vap,Lnk,Asap,scra,CG34383
PS50002	SH3	1.03623928507556e-09	-20.6876677496285	63	57	0.0165745856353591	3439	6231	32522,31729,39864,32920,5740318,39258,32601,39520,8673992,33262,33930,37422,45821,35378,36497,42050,43654,36442,36383,35306,47260,32569,35783,38050,33268,44111,39136,41718,35524,38534,36462,38418,43775,42817,34132,44861,3346201,34557,36990,44013,42567,43404,42840,32083,35343,32122,38021,37014,39052,42491,34882,35267,36176,48973,42265,34505,42467	Graf,CG2258,Lasp,Vav,CG43729,IRSp53,sl,Abp1,Nost,dock,Tango1,ASPP,Abl,Dap160,drk,CG8907,cindr,Ack-like,Amph,RtGEF,l(3)05822,vap,Asap,RhoGEF3,aru,slpr,SH3PX1,Abi,Src42A,Cip4,Pex13,kst,Crk,mbc,Btk29A,sdt,Unc-89,Ca-beta,POSH,sls,CASK,spg,CG13604,dlg1,vari,FucT6,p130CAS,CG10933,nwk,Cortactin,ck,CdGAPr,metro,Src64B,EndoA,Stam,Synd
PS50011	PROTEIN_KINASE_DOM	1.41342253297508e-07	-15.77208155942	221	159	0.0462343704565281	3439	6231	32753,31221,31248,34780,38654,37376,41256,39454,48311,44233,39429,34993,43875,39686,40653,43428,39659,48973,36706,48448,44030,41020,33965,36302,41995,43803,40527,3355134,37152,34127,42253,41361,36753,37203,34284,38433,40143,41772,3355135,5740442,43673,39241,3885567,34348,40391,42160,41118,33758,49701,41446,32631,44353,44573,39564,41398,33753,3355013,32855,31877,44817,40560,318206,43651,318600,43828,32948,35288,42549,39516,53573,34831,47594,37247,43916,42366,34504,45821,31598,43792,42447,3354888,42233,41096,42203,40385,35329,44039,35524,38032,40165,42358,34411,43904,37455,40461,42959,36854,43508,38649,40660,44355,37938,45970,36579,34367,38489,40292,31696,35207,39732,42866,41957,42126,41673,32256,40232,35950,44801,2768852,36442,34705,42289,44672,40384,32538,34132,32097,8674026,3346201,45969,37893,32257,42567,38017,43794,32207,36283,43415,35900,43999,31607,32120,32221,36051,35731,42453,43709,38890,53425,39157,3355064,36404,33139,32771,44111,37858,35154,38070,42187	CG8173,Raf,sgg,p38b,S6k,CG3216,CG43143,Atg1,Pkc53E,fray,sti,grp,Ret,dop,PEK,Pkc98E,Tak1,Src64B,SRPK,CkIIalpha,msn,Mkk4,Wee1,CG8878,Pak3,Eph,aux,CG17528,Sik3,Pvr,Mekk1,KP78b,Strn-Mlck,hppy,Pka-C1,Eip63E,wnd,put,Stlk,bma,dco,JIL-1,Dyrk3,CG4839,Wnk,htl,FER,Bub1,gish,aurA,mbt,Shark,MAPk-Ak2,btl,Csk,tkv,Gprk1,fu,Erk7,for,CG32944,Tlk,wts,Wsck,CaMKII,Tao,lok,InR,CG10738,Ilk,Dyrk2,aPKC,hpo,Rok,Ask1,aurB,Abl,Cdc7,CaMKI,Lrrk,rl,CG14305,Vps15,PKD,Cdk12,IKKepsilon,Pak,Src42A,CG7028,trc,Ire1,Cdk1,AMPKalpha,Egfr,Srpk79D,niki,Cdk4,yata,Myt1,ksr,drl,Adck,S6KL,CG8485,Ror,Ack,Pitslre,Nek2,dnt,sff,p38a,Akt1,Mps1,Lkb1,hep,polo,Pkn,bsk,par-1,Ack-like,Pk34A,cdi,Lk6,SAK,CG8565,Btk29A,Drak,Gyc76C,Unc-89,gwl,Slik,lic,CASK,Pdk1,Asator,LIMK1,otk,Doa,babo,trbl,Pink1,PhKgamma,CkIalpha,Cdc2rk,sax,Cdk2,Gcn2,nmo,Alk,Cdk8,Haspin,Mos,S6kII,mnb,slpr,gek,Nak,Hipk,CG7156
PS50001	SH2	4.35632885174741e-07	-14.6464659547639	30	29	0.00843268391974411	3439	6231	32601,32760,32920,34132,43775,45821,36497,33262,32202,44353,45278,38674,38677,41118,31987,33203,48973,42428,3885637,43130,32569,43584,44052,41398,35786,33840,35524,35085,41144	sl,Socs16D,Vav,Btk29A,Crk,Abl,drk,dock,CG43921,Shark,csw,CG10479,PVRAP,FER,spri,Pi3K21B,Src64B,Stat92E,CG33993,Lnk,vap,CG15529,Shc,Csk,Socs44A,CG9098,Src42A,Socs36E,by
PS00107	PROTEIN_KINASE_ATP	5.09626322007353e-07	-14.4895880817317	164	121	0.035184646699622	3439	6231	35288,36051,43828,32948,32221,32120,318206,43651,40560,44817,35900,32855,33753,41398,3355013,39564,43415,44353,44573,32631,49701,41446,43794,32207,38017,33758,41118,37893,42160,34132,3885567,32538,35524,38070,44039,37858,35329,40385,42203,32771,33139,36404,3355064,39157,3354888,42233,43792,42447,45821,31598,53425,38890,34504,43709,42453,42366,43916,35731,37247,47594,34831,42549,43803,41995,36302,41020,33965,44030,36706,48448,38489,36579,34367,48973,39659,43428,40653,40660,43875,34993,44233,39429,36854,38649,48311,42959,40461,37455,39454,34411,43904,41256,38654,34780,31248,40165,31221,39241,43673,40384,44672,42289,34705,36442,2768852,38433,34284,35950,37203,36753,32256,41673,41361,41957,42126,42253,34127,37152,42866,3355134,39732	lok,Cdc2rk,CaMKII,Tao,CkIalpha,PhKgamma,Tlk,wts,CG32944,for,babo,fu,tkv,Csk,Gprk1,btl,Doa,Shark,MAPk-Ak2,mbt,gish,aurA,Asator,LIMK1,Pdk1,Bub1,FER,Slik,htl,Btk29A,Dyrk3,CG8565,Src42A,Hipk,Pak,gek,IKKepsilon,Cdk12,PKD,mnb,S6kII,Mos,Haspin,Cdk8,rl,CG14305,CaMKI,Lrrk,Abl,Cdc7,Alk,nmo,aurB,Gcn2,Cdk2,Ask1,Rok,sax,hpo,aPKC,Dyrk2,InR,Eph,Pak3,CG8878,Mkk4,Wee1,msn,SRPK,CkIIalpha,Ack,CG8485,Ror,Src64B,Tak1,Pkc98E,PEK,ksr,Ret,grp,fray,sti,Cdk4,Myt1,Pkc53E,niki,Srpk79D,Egfr,Atg1,Cdk1,AMPKalpha,CG43143,S6k,p38b,sgg,trc,Raf,JIL-1,dco,SAK,Lk6,cdi,Pk34A,Ack-like,par-1,Eip63E,Pka-C1,Pkn,hppy,Strn-Mlck,hep,Lkb1,KP78b,Akt1,Mps1,Mekk1,Pvr,Sik3,p38a,CG17528,sff
PS51194	HELICASE_CTER	2.38458070457349e-06	-12.9464872542898	74	60	0.0174469322477464	3439	6231	34364,36561,36993,33680,34357,33254,40739,40457,33185,41943,34311,35339,40543,35112,45894,45826,32464,41571,33118,42314,33835,37860,40959,38905,39594,53438,40530,40170,42543,42693,35192,42595,41891,38756,33781,38715,45655,35523,32021,43080,37296,32742,39202,39871,40111,32933,39195,31707,326208,39218,35917,48782,40987,36390,32373,40974,32725,33709,39744,32715	me31B,pea,Dcr-2,CG3225,CG4901,Dbp21E2,Rm62,Ddx1,kis,Hel89B,Etl1,CG9323,Suv3,CG10333,lds,bel,CG6227,mus308,Hlc,Ino80,eIF-4a,CG4049,CG7878,mus301,RecQ5,RecQ4,abs,Mi-2,Fancm,Dcr-1,l(2)37Cb,pit,obe,CG10077,Hel25E,CG7376,dom,mle,CG1582,XNP,CG9143,CG5800,hay,Dbp73D,Chd3,CG32533,Gem3,mahe,CG32344,CG6418,Dbp45A,Mtr4,eIF4AIII,Iswi,l(1)G0007,CG9630,CG8611,Marcal1,brm,CG8915
PS00028	ZINC_FINGER_C2H2_1	2.42020474259948e-06	-12.9316584169945	287	196	0.056993312009305	3439	6231	41627,35555,43650,34303,34292,42717,31648,42226,31912,64875,39289,39089,31070,31741,31745,33224,41040,39721,36024,39549,42300,36679,246618,34569,39095,37659,43795,37464,41345,39228,39613,40375,45961,36068,42390,42392,35427,31743,38327,32224,40414,34887,41041,43070,42143,38638,33602,41073,35770,33639,34908,32663,48317,41404,41244,47718,41194,33861,31391,31420,35430,34483,31742,41768,44505,36825,2768981,34962,41042,41165,42767,32770,41355,31611,34568,42736,38717,36156,39764,35260,34560,42237,33077,38817,41395,31600,36678,33957,42413,36603,43398,38660,37209,38603,41391,44027,35445,36012,44548,38888,48785,32353,35135,40720,32046,38716,40594,36609,33692,32104,39697,39539,2768719,38713,35198,43572,40795,37785,40351,34906,31523,39947,31577,43694,43401,44786,36763,38718,49638,59239,34622,38436,36571,42162,36986,42393,38733,33581,37155,40605,36171,31735,40309,34903,37992,38159,33606,31429,44272,41217,41848,32994,31977,37730,326152,34110,43566,31430,41831,2768685,42145,38719,35157,45871,43924,33657,32613,32579,38971,34592,32014,37923,42144,41498,40789,43676,36170,35682,31660,40509,318709,40643,48071,33343,41038,38063,43727,37379,36920,31572,40693,41423,31265,39548,34177,37818	Su(var)3-7,jing,zfh1,CG13123,zf30C,lmd,CG3032,fru,btd,disco-r,CG7512,MTF-1,CG11398,CG2129,CG18262,cbt,CG8159,CkIIalpha-i1,CG12744,CG17359,sqz,CG8089,Opbp,salm,phol,CG9890,zfh2,CG10321,CG6689,klu,CG9425,Neu2,Pep,CG18011,CG4424,trem,CG31612,CG10959,MEP-1,CG15725,CG11247,CG15269,ranshi,CG11902,CG17802,Blimp-1,bowl,E(var)3-9,CG12769,CG17612,sna,CG9609,ttk,CG18476,CG6254,CG17829,CG8478,Kr-h1,peb,CG32772,tsh,CG12299,CG15336,CG7987,br,CG4282,Trl,CG17328,M1BP,CG8319,CG4374,CG6769,CG31388,CG14441,salr,CG31365,D19B,CG30020,Zn72D,CG10462,ab,CG31224,CG1529,CTCF,CG14711,CG3224,chn,sens-2,CG4360,CG17385,wdn,CG13287,CG11906,CG4603,CG6791,sbb,Clamp,CG1663,lola,CG8209,wek,mamo,ham,CG10979,CG11122,CG10274,CG14655,Oaz,Cf2,CG11696,CG7372,Meics,luna,CG13296,CG17568,Sry-delta,Zif,ken,pzg,wor,CG12236,CG18265,CG3847,CG12054,CG1647,nerfin-1,CG8388,D19A,drm,CG18764,Plzf,dar1,cg,sr,MESR4,CG4936,CG10147,sob,CG15073,opa,shn,CG2116,CG11456,esg,CG2790,CG2199,CG3407,ovo,tio,Glut4EF,Cp190,zld,CG2889,pita,erm,Rbsn-5,ZIPIC,CG32767,CG6654,mld,CG7357,CG7386,CG10431,grau,jim,CG15436,hang,disco,CG6765,crol,CG2202,CG11414,CG17801,MBD-R2,CG1024,CG11317,CG12391,az2,CG9650,Ssl1,CG42726,CG14667,Su(z)12,chinmo,nom,CG1233,CG1792,CG10543,tef,CG12219,MTA1-like,l(3)neo38,dwg,CG17361,fu2,CG3065
PS00108	PROTEIN_KINASE_ST	2.95096680355969e-06	-12.7333777112841	147	108	0.0314044780459436	3439	6231	32538,3885567,34348,32097,40391,45969,37893,33758,32257,38017,49701,41446,44573,43415,3355013,33753,32855,35900,31877,40560,44817,43651,318206,31607,32120,32221,43828,36051,35288,34831,47594,35731,43916,42366,42453,34504,43709,38890,31598,42447,43792,42233,3354888,39157,36404,33139,41096,32771,42203,44111,40385,37858,44039,38070,38032,32753,40165,31221,31248,38654,42358,41256,34411,43904,39454,40461,42959,48311,38649,36854,39429,34993,39686,40653,43428,39659,36579,48448,36706,31696,44030,40292,41020,36302,41995,40527,39732,3355134,37152,42253,42126,41957,41361,41673,32256,40232,36753,40143,38433,34284,35950,44801,2768852,41772,34705,44672,43673,39241	CG8565,Dyrk3,CG4839,Drak,Wnk,gwl,Slik,Bub1,lic,Pdk1,gish,aurA,MAPk-Ak2,Doa,Gprk1,tkv,fu,babo,Erk7,CG32944,for,wts,Tlk,Pink1,PhKgamma,CkIalpha,CaMKII,Cdc2rk,lok,Dyrk2,aPKC,sax,Rok,Ask1,Cdk2,aurB,Gcn2,nmo,Cdc7,Lrrk,CaMKI,CG14305,rl,Cdk8,Mos,S6kII,Vps15,mnb,PKD,slpr,Cdk12,gek,Pak,Hipk,CG7028,CG8173,trc,Raf,sgg,S6k,Ire1,CG43143,Cdk1,AMPKalpha,Atg1,Srpk79D,niki,Pkc53E,Myt1,Cdk4,sti,grp,dop,PEK,Pkc98E,Tak1,CG8485,CkIIalpha,SRPK,Nek2,msn,Pitslre,Mkk4,CG8878,Pak3,aux,sff,CG17528,Sik3,Mekk1,Mps1,Akt1,KP78b,Lkb1,hep,polo,Strn-Mlck,wnd,Eip63E,Pka-C1,Pkn,bsk,par-1,put,Pk34A,Lk6,dco,JIL-1
PS50157	ZINC_FINGER_C2H2_2	5.57151444942898e-06	-12.0978436470087	273	186	0.054085489968014	3439	6231	31429,44272,37155,40605,40309,36171,31735,34903,38159,33606,34622,38436,36571,42162,36986,33581,38733,42393,43694,43401,36763,44786,38718,49638,59239,37785,40351,31523,34906,39947,31577,40594,32046,38716,40720,36609,33692,32104,39697,38713,2768719,35198,39539,43572,40795,35445,36012,44548,48785,32353,35135,42413,36603,43398,40021,38660,37209,44027,41391,39548,34177,37818,43727,37379,31572,34992,36920,40693,31265,41423,33343,41038,38063,14462577,36170,35682,31660,318709,40643,41498,40789,43676,45871,35157,33657,43924,32613,38971,32579,34592,32014,42144,31430,41831,2768685,38719,42145,41848,32994,31977,37730,326152,43566,43070,42143,33602,38638,42390,35427,42392,31743,32224,40414,41041,34887,41345,39228,40375,45961,36068,36679,42300,34569,246618,39095,37659,43795,37464,39089,31741,31070,31745,33224,41040,39721,39549,36024,64875,31648,42226,31912,43650,35555,34303,34292,42717,41395,31600,36678,33957,33077,38817,35260,42237,34560,41165,42767,41042,41355,31611,34568,42736,36156,38717,34483,31742,41768,44505,36825,36685,34962,41194,31391,33861,35430,31420,32663,48317,41404,33225,47718,41244,41073,33639,35770,34908	ovo,tio,CG15073,opa,CG11456,shn,CG2116,esg,CG2199,CG3407,Plzf,dar1,cg,sr,MESR4,sob,CG10147,CG4936,CG12054,CG1647,CG8388,nerfin-1,D19A,drm,CG18764,ken,pzg,CG12236,wor,CG18265,CG3847,CG14655,CG11122,CG10274,CG10979,Oaz,Cf2,CG11696,CG7372,CG13296,luna,CG17568,Meics,Sry-delta,Zif,Clamp,CG1663,lola,wek,mamo,ham,CG4360,CG17385,wdn,CG7271,CG13287,CG11906,sbb,CG6791,CG17361,fu2,CG3065,CG1792,CG10543,CG12219,her,tef,MTA1-like,dwg,l(3)neo38,chinmo,nom,CG1233,pre-lola-G,CG12391,az2,CG9650,CG42726,CG14667,MBD-R2,CG1024,CG11317,grau,CG10431,CG15436,jim,hang,CG6765,disco,crol,CG2202,CG17801,CG32767,CG6654,mld,CG7386,CG7357,Cp190,zld,CG2889,pita,erm,ZIPIC,CG11902,CG17802,bowl,Blimp-1,CG4424,CG31612,trem,CG10959,CG15725,CG11247,ranshi,CG15269,CG6689,klu,Neu2,Pep,CG18011,CG8089,sqz,salm,Opbp,phol,CG9890,zfh2,CG10321,MTF-1,CG2129,CG11398,CG18262,cbt,CG8159,CkIIalpha-i1,CG17359,CG12744,disco-r,CG3032,fru,btd,zfh1,jing,CG13123,zf30C,lmd,CG14711,CG3224,chn,sens-2,CG1529,CTCF,CG10462,CG31224,ab,CG8319,CG4374,M1BP,CG31388,CG14441,salr,CG31365,CG30020,D19B,CG12299,CG15336,CG7987,br,CG4282,row,CG17328,CG8478,peb,Kr-h1,tsh,CG32772,CG9609,ttk,CG18476,ush,CG17829,CG6254,E(var)3-9,CG17612,CG12769,sna
PS51192	HELICASE_ATP_BIND_1	8.10350391955463e-06	-11.7232140071617	74	59	0.0171561500436173	3439	6231	35917,48782,326208,39218,32373,40987,36390,32715,39744,33709,40974,32725,32742,45655,35523,32021,43080,37296,39202,39871,31707,32933,40111,39195,42314,33118,33835,37860,41571,53438,39594,40959,38905,35192,40530,40170,42543,38715,42595,38756,33781,41891,36561,36993,34364,33254,40739,40457,33680,34357,35339,35112,40543,45894,33185,34311,41943,45826,32464	Dbp45A,Mtr4,CG32344,CG6418,l(1)G0007,eIF4AIII,Iswi,CG8915,brm,Marcal1,CG9630,CG8611,CG5800,dom,mle,CG1582,XNP,CG9143,hay,Dbp73D,mahe,CG32533,Chd3,Gem3,Ino80,Hlc,eIF-4a,CG4049,mus308,RecQ4,RecQ5,CG7878,mus301,l(2)37Cb,abs,Mi-2,Fancm,CG7376,pit,CG10077,Hel25E,obe,pea,Dcr-2,me31B,Dbp21E2,Rm62,Ddx1,CG3225,CG4901,CG9323,CG10333,Suv3,lds,kis,Etl1,Hel89B,bel,CG6227
