TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	9.31662067696273e-10	-20.7940509553027	67	60	0.0214056368176953	2803	5082	35696,43130,35306,32746,31105,37858,32920,38928,35694,34030,34132,3355013,42412,37134,36028,49968,38488,43916,32569,36876,37749,32522,42735,5740131,34803,38113,33849,39907,35425,32729,31667,38806,2768892,36952,32698,64880,43892,32601,36915,39158,38785,34850,38321,34790,32686,42665,41427,45928,34237,33003,41957,35783,41425,36881,38418,40608,42985,35237,31031,5740235	scra,Lnk,RtGEF,beta-Spec,rush,gek,Vav,cert,blow,Ziz,Btk29A,Gprk1,CG42668,GEFmeso,CG1513,Cadps,Fit1,Rok,vap,unc-104,CG30183,Graf,CenB1A,CG34383,CenG1A,CG9205,CG12393,Fit2,step,CG43658,Dok,RhoGEF4,CG42271,cnk,CG5004,chico,sif,sl,RhoGEF2,RasGAP1,melt,osp,dos,Sos,RhoGAP15B,Efa6,Sbf,shi,CG32982,pico,Akt1,Asap,CG17360,CG5522,kst,Cdep,Osbp,CG10188,CG43867,RhoGAP1A
SM00326	SH3	2.65004268338007e-09	-19.7486900901421	61	55	0.019621833749554	2803	5082	38418,35783,36442,8673992,38534,41718,39520,37218,43654,39052,44013,32083,37422,39864,34505,44111,34882,50225,39136,48973,31729,36383,36497,33262,37014,32601,35343,42467,38021,42601,45821,35378,47260,42567,42491,32522,32569,35267,43775,36176,42265,38050,44861,34132,32920,43404,36462,33268,35524,42050,39258,36990,42817,5740318,35306	kst,Asap,Ack-like,Nost,Cip4,Abi,Abp1,EndoB,cindr,nwk,sls,dlg1,ASPP,Lasp,Stam,slpr,ck,Prosap,SH3PX1,Src64B,CG2258,Amph,drk,dock,CG10933,sl,vari,Synd,p130CAS,SKIP,Abl,Dap160,l(3)05822,CASK,Cortactin,Graf,vap,CdGAPr,Crk,metro,EndoA,RhoGEF3,sdt,Btk29A,Vav,spg,Pex13,aru,Src42A,CG8907,IRSp53,POSH,mbc,CG43729,RtGEF
SM00220	S_TKc	1.77087849914149e-07	-15.5466199003036	167	124	0.0442383160899037	2803	5082	38070,43904,31598,48448,43792,34831,318206,40527,40385,36302,44233,39429,34284,35154,38433,33758,2768852,32538,42126,40461,41957,44801,42253,32097,36404,43651,32221,41020,42358,43709,31607,42366,44573,38890,44672,32753,42187,37152,36051,40232,41256,44039,47594,37858,43508,3885567,39157,37247,38017,43794,38649,35288,36854,48311,43916,41673,34504,33965,33753,37938,41446,44030,42233,33139,31248,35731,36753,43673,42447,35900,35329,44817,37203,36706,31221,32771,40292,34411,44111,34993,32256,34348,39659,49701,5740442,45969,40653,41995,42866,36579,39241,3354888,41096,31877,43828,42203,43999,3355134,32948,43415,32120,31696,40391,41361,37893,39732,40143,34705,35950,3355013,40165,43428,39686,32257,42453,39516,38654,34367,42959,39454,34780,40560,38032,32855	Hipk,AMPKalpha,Cdc7,CkIIalpha,CaMKI,Dyrk2,Tlk,aux,Cdk12,CG8878,fray,sti,Pka-C1,Nak,Eip63E,Bub1,par-1,CG8565,Mps1,Srpk79D,Akt1,bsk,Mekk1,Drak,Mos,wts,CkIalpha,Mkk4,Ire1,Gcn2,Pink1,Ask1,MAPk-Ak2,nmo,Lk6,CG8173,CG7156,Sik3,Cdc2rk,polo,CG43143,Pak,aPKC,gek,yata,Dyrk3,Cdk8,hpo,Pdk1,Asator,Myt1,lok,Cdk4,Pkc53E,Rok,Lkb1,aurB,Wee1,tkv,Adck,aurA,msn,CG14305,S6kII,sgg,sax,Strn-Mlck,dco,Lrrk,babo,IKKepsilon,for,hppy,SRPK,Raf,mnb,Pitslre,Cdk1,slpr,grp,hep,CG4839,Tak1,gish,bma,gwl,PEK,Pak3,p38a,CG8485,JIL-1,rl,Vps15,Erk7,CaMKII,PKD,trbl,CG17528,Tao,Doa,PhKgamma,Nek2,Wnk,KP78b,Slik,sff,wnd,Pk34A,Pkn,Gprk1,trc,Pkc98E,dop,lic,Cdk2,CG10738,S6k,Ror,niki,Atg1,p38b,CG32944,CG7028,fu
SM00355	ZnF_C2H2	6.21742191239019e-07	-14.2907403136678	271	188	0.067070995362112	2803	5082	38717,32104,40414,39095,43398,39764,14462577,32224,38327,31420,38719,31660,37785,44505,42392,38159,38716,41165,42322,34568,32579,36024,36012,43572,33343,36170,35770,34560,39289,36825,40594,42736,40351,36679,41423,40375,35260,35682,44272,31741,42143,41848,31577,41042,42237,38971,43566,32014,33225,42144,43694,36609,41768,34622,37923,39947,41244,44548,36678,33581,31391,31648,35157,43070,39697,47718,35135,41038,33606,38713,37992,33639,45871,39089,35427,40795,38638,36763,34592,40605,33657,31430,42162,38718,43650,34177,33861,41345,34292,36171,31070,246618,37209,41831,35430,40720,41041,33077,36920,36603,31735,41073,36068,33957,32663,31572,43401,43676,318709,42390,40789,31912,48785,32994,41395,44786,39228,33602,42767,34906,37155,45961,59239,48317,37464,32046,42393,36571,42226,41040,34908,64875,31429,34903,31611,33692,39548,37818,36986,39549,43727,43924,35198,38660,38733,39721,41194,31743,34569,42717,34887,2768719,37379,38817,32353,31523,36156,35445,41404,36685,31977,42413,33224,32613,31745,41391,37730,35555,49638,41355,326152,34992,34962,2768685,38063,32770,31742,42145,40643,39539,42300,43795,40309,37659,38436,34483,34303,31265	D19B,CG11696,CG11247,phol,wdn,Zn72D,pre-lola-G,CG15725,MEP-1,CG32772,CG7386,CG9650,ken,br,trem,CG2199,CG10274,CG8319,CG5316,salr,disco,CG12744,CG1663,Sry-delta,chinmo,CG12391,CG12769,ab,CG7512,CG4282,CG14655,CG31365,pzg,CG8089,l(3)neo38,Neu2,CG10462,az2,tio,CG2129,CG17802,Cp190,CG3847,M1BP,CG31224,CG6765,ZIPIC,CG2202,ush,CG17801,CG12054,Oaz,CG7987,Plzf,CG11414,CG18265,CG6254,lola,chn,sob,peb,CG3032,CG10431,CG11902,CG7372,CG17829,ham,nom,CG3407,CG13296,CG2790,CG17612,grau,MTF-1,CG31612,Zif,Blimp-1,CG8388,crol,opa,CG15436,CG32767,sr,D19A,zfh1,fu2,Kr-h1,CG6689,zf30C,shn,CG11398,Opbp,CG11906,CG6654,tsh,CG10979,ranshi,CG1529,tef,CG17385,CG2116,E(var)3-9,CG18011,sens-2,CG9609,CG12219,CG1647,CG11317,CG42726,CG4424,CG1024,btd,wek,zld,CG14711,nerfin-1,klu,bowl,CG4374,wor,CG15073,Pep,CG18764,ttk,CG10321,CG11122,CG4936,cg,fru,CG8159,sna,disco-r,ovo,esg,CG14441,Cf2,CG17361,CG3065,MESR4,CG17359,CG1792,jim,CG17568,CG13287,CG10147,CkIIalpha-i1,CG8478,CG10959,salm,lmd,CG15269,luna,CG10543,CTCF,mamo,CG12236,CG30020,Clamp,CG18476,row,CG2889,CG4360,cbt,hang,CG18262,CG6791,pita,jing,drm,CG31388,erm,her,CG17328,mld,CG1233,CG6769,CG15336,CG7357,CG14667,Meics,sqz,zfh2,CG11456,CG9890,dar1,CG12299,CG13123,dwg
SM00252	SH2	7.45500083272189e-07	-14.1092105910418	29	28	0.00998929718159115	2803	5082	45278,43130,33203,33262,32760,32601,3885637,35524,41144,36497,34132,32202,48973,35085,32920,33840,31987,43775,43584,32569,41398,38677,44353,38674,44052,35786,45821,41118	csw,Lnk,Pi3K21B,dock,Socs16D,sl,CG33993,Src42A,by,drk,Btk29A,CG43921,Src64B,Socs36E,Vav,CG9098,spri,Crk,CG15529,vap,Csk,PVRAP,Shark,CG10479,Shc,Socs44A,Abl,FER
SM00490	HELICc	3.35544368837527e-06	-12.6049265493768	73	59	0.0210488762040671	2803	5082	39744,36390,40457,39202,32373,40739,33781,40974,43080,33254,40111,38905,41943,37296,45655,39594,45826,35112,40170,32021,33709,35339,42543,53438,32464,40530,36993,39218,36561,42693,38756,42314,48782,31707,39195,32933,34364,41571,35192,42595,32742,32715,33118,33835,45894,39871,326208,35523,34357,35917,37860,34311,40543,40959,40987,33185,41891,32725,33680	brm,Iswi,Ddx1,hay,l(1)G0007,Rm62,Hel25E,CG9630,XNP,Dbp21E2,Chd3,mus301,Hel89B,CG9143,dom,RecQ5,bel,CG10333,Mi-2,CG1582,Marcal1,CG9323,Fancm,RecQ4,CG6227,abs,Dcr-2,CG6418,pea,Dcr-1,CG10077,Ino80,Mtr4,mahe,Gem3,CG32533,me31B,mus308,l(2)37Cb,pit,CG5800,CG8915,Hlc,eIF-4a,lds,Dbp73D,CG32344,mle,CG4901,Dbp45A,CG4049,Etl1,Suv3,CG7878,eIF4AIII,kis,obe,CG8611,CG3225
SM00487	DEXDc	4.98066412370244e-06	-12.2099473176459	72	58	0.0206921155904388	2803	5082	38756,42314,48782,31707,39195,34364,32933,42595,41571,35192,32742,33835,32715,33118,326208,39871,45894,35523,34357,34311,37860,35917,40959,33680,32725,33185,41891,40987,40457,36390,39744,39202,32373,40739,40974,33781,43080,33254,38715,41943,40111,38905,45655,37296,45826,35112,39594,32021,40170,35339,33709,42543,32464,53438,40530,39218,36561,36993	CG10077,Ino80,Mtr4,mahe,Gem3,me31B,CG32533,pit,mus308,l(2)37Cb,CG5800,eIF-4a,CG8915,Hlc,CG32344,Dbp73D,lds,mle,CG4901,Etl1,CG4049,Dbp45A,CG7878,CG3225,CG8611,kis,obe,eIF4AIII,Ddx1,Iswi,brm,hay,l(1)G0007,Rm62,CG9630,Hel25E,XNP,Dbp21E2,CG7376,Hel89B,Chd3,mus301,dom,CG9143,bel,CG10333,RecQ5,CG1582,Mi-2,CG9323,Marcal1,Fancm,CG6227,RecQ4,abs,CG6418,pea,Dcr-2
SM00389	HOX	1.43993770025719e-05	-11.1483256160285	102	77	0.0274705672493757	2803	5082	47894,40833,44540,36240,40830,47285,50392,42536,32213,32757,31470,37546,32943,33208,33183,40834,38451,38254,43664,32724,47763,39439,42495,42541,35341,42110,42537,31802,40297,38752,34673,35509,34669,40828,42037,39418,33240,37322,45285,5740176,35184,45396,39441,35942,44108,36239,53446,38005,35813,35266,39440,37668,43650,32723,40835,35662,42542,32567,42034,3355151,41697,42544,2768974,34629,43812,33239,40826,37973,31003,41273,43795,39419,35147,40817,31469,36039,37367	hbn,Scr,ct,en,bcd,repo,schlank,tin,CG11085,unc-4,Vsx1,dve,CG32532,al,CG11617,ftz,Awh,Dbx,Ptx1,B-H1,Abd-B,ara,HHEX,lbl,cad,Hmx,bap,oc,Six4,vvl,pdm2,ap,nub,zen,abd-A,toe,Gsc,lms,Dr,Drgx,Lim3,E5,mirr,unpg,Optix,inv,HGTX,gsb,pdm3,bsh,caup,CG9876,zfh1,B-H2,Antp,so,lbe,exd,Ubx,scro,ems,C15,ind,prd,ey,Pph13,pb,Dll,vnd,hth,zfh2,eyg,tup,lab,Vsx2,eve,Rx
SM00360	RRM	0.000143746953561382	-8.84745607112785	125	89	0.0317516946129147	2803	5082	3772180,43087,39018,31448,33498,48571,41294,36984,32587,33305,34370,41413,42957,19834761,37411,32293,42958,31243,43764,43231,38937,41138,32245,44205,33652,40673,32603,43467,38605,36981,39919,38173,39198,41431,41147,37070,33968,33175,37948,39119,42848,36619,44029,38982,45840,34648,48535,38795,42460,49809,3355041,35924,42026,250811,37254,44095,35305,40562,37947,37781,32602,31023,47998,39527,53444,38720,32394,39049,31000,43385,33982,41670,31442,31481,32866,33677,32009,37964,38811,41892,42752,34667,41666,35756,40369,37681,40529,35027,53443	Sxl,msi,orb2,Rnp4F,Rbp9,heph,Rbp1,cyp33,caz,CG4896,Rsf1,CG14718,CG5808,CG44249,CG4266,Rbp1-like,Saf-B,eIF3ga,mod,Rb97D,CG7185,rump,fne,spen,CG15440,CG2931,nonA,CG14506,shep,eIF3-S9,Rbp6,hfp,Rbfox1,glo,RnpS1,pAbp,Hrb27C,CG11454,CG4806,CG3335,Rox8,tra2,Ref1,Nelf-E,cpo,bru1,Hrb87F,Neos,Syp,Rbp2,eIF-4B,tsu,nonA-l,bru2,sm,fus,La,srl,Pof,TBPH,U2af50,fz3,rin,bru3,SC35,CG13298,CG14414,bol,elav,Hrb98DE,snRNP-U1-70K,B52,snf,CG4119,CG18259,CG3294,Imp,CG3594,lark,CG5213,orb,Ref2,sqd,nito,barc,LS2,CG14641,CG12288,SF2
SM00248	ANK	0.000432438286273282	-7.74607093247124	80	59	0.0210488762040671	2803	5082	41208,49070,2768995,50225,32718,37199,40032,42447,36824,35170,39210,50070,40046,36139,37344,39750,318909,33303,35783,43298,53573,36668,38863,37422,35395,39368,43095,31351,39015,43770,39438,37433,43387,34874,42076,34326,326173,31826,3355072,41816,42981,38055,38037,42676,34969,39571,36396,39747,39159,42735,38865,36427,30971,34378,36696,34634,41087,44353,31293	CG8526,Mbs,CG43980,Prosap,f,CG15118,MYPT-75D,Lrrk,CG8060,mib2,CG8003,mask,CG14073,dgo,Fem-1,mib1,CG31715,CG5118,Asap,CG42534,Ilk,Kank,Ank2,ASPP,CG8679,rols,Tnks,CG6428,TrpA1,Ank,sowah,CG42672,CG10011,l(2)35Be,m-cup,CG5846,CG44001,rdgA,CG41099,CG6966,CG11168,Atac3,pyx,wake,cact,nan,GLS,Hip14,CG10809,CenB1A,CG7457,Sans,G9a,CG5604,CG8152,Patsas,Rel,Shark,N
