TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP142	mRNA processing	0.0468411839452537	-3.06099246420029	84	66	0.188034188034188	351	498	36494,42937,48571,34648,33514,34080,39083,42048,33909,34426,41294,32587,40172,43415,36304,35713,36561,36314,32602,32373,44668,42853,39377,32636,33982,33259,53442,37254,250811,32100,39456,44250,39483,31442,39527,38032,39955,33180,36306,35192,49636,35523,34432,38093,44409,40457,42460,41138,35003,43358,33645,53444,41670,33964,48535,33305,41704,43734,43944,42693,53443,32379,39408,43426,34877,42593	cbc,CG6695,heph,bru1,CG3605,SmE,CG3689,CG16941,CG9548,SmB,Rbp1,caz,Prp3,Doa,Prp8,U2A,pea,SmF,U2af50,l(1)G0007,SmD1,SMC1,yps,SNRPG,snRNP-U1-70K,Clp,Spt5,sm,bru2,RpII215,CG10754,Cpsf160,SRm160,snf,bru3,CG7028,U4-U6-60K,CG3436,SmD3,l(2)37Cb,hrg,mle,holn1,CG13900,Cbp80,Ddx1,Syp,rump,LSm7,CG4849,Dim1,SC35,B52,Rat1,Hrb87F,CG4896,rdx,CstF-50,sbr,Dcr-1,SF2,mRNA-cap,CG10418,Cpsf100,l(2)35Bd,CG6015
WP281	Proteasome Degradation	0.11553225435405	-2.15820552952906	36	29	0.0826210826210826	351	498	34999,35701,42802,39628,46058,40717,34359,37894,41531,40388,40639,43449,35998,38456,36951,32047,35176,39845,40174,37029,42828,33105,36018,2768916,42641,41079,36638,32274,41785	Prosbeta4,Rpt1,Rpn9,Prosbeta2,Prosbeta1,Rpn5,Prosalpha6,Rpn8,Prosalpha2,Rpn10,Prosbeta7,Rpn2,Uba1,Ubi-p63E,Prosalpha5,Rpt3,Rpn3,Rpn12,Rpn1,OstDelta,Rpt2,Rpt6,Prosalpha7,CG33303,Rpn7,Prosbeta3,Rpn6,REG,eff
WP208	Notch Signaling Pathway	0.116809462453894	-2.14721119770943	11	10	0.0284900284900285	351	498	30982,31589,43162,40314,32078,30981,43275,34263,42445,36421	sc,dx,gro,fng,dsh,ac,Ser,numb,H,vg
WP565	DNA Replication	0.137055505688167	-1.987369284197	35	28	0.0797720797720798	351	498	34423,36017,44915,39014,38989,38456,31449,41703,38492,34794,35686,31603,40972,35679,37290,36454,37970,42553,42758,40607,38942,31598,38661,40973,47121,41296,35364,31052	RfC3,Orc6,DNApol-alpha60,Mcm7,Cdc6,Ubi-p63E,Mcm3,Orc2,RfC4,Orc5,Orc1,Mcm6,RpA-70,dpa,PCNA,Orc3,Orc4,DNApol-alpha180,DNApol-epsilon255,Gnf1,DNApol-alpha50,Cdc7,DNApol-epsilon58,Mcm2,dup,Mcm5,RPA2,CDC45L
WP537	Translation Factors	0.157197190401759	-1.8502542719091	38	30	0.0854700854700855	351	498	37070,49809,32617,44261,32566,40563,33710,45525,35422,36037,43839,39877,33835,31256,38398,36271,44791,39433,40240,45682,36913,37846,40653,42789,34363,45249,43549,43736,3355041,36981	pAbp,Rbp2,eIF-2alpha,eIF5B,eIF5,eIF3-S10,Trip1,eIF-4E,EF2,Adam,eIF4G,Int6,eIF-4a,eIF2B-beta,CG17737,Ef1alpha48D,Ef1gamma,eIF-2beta,eRF1,eIF-3p40,CG8963,eIF-5A,PEK,eIF-3p66,eEF1delta,Ef1beta,eIF2B-alpha,Ef1alpha100E,eIF-4B,eIF3-S9
WP1204	Mismatch Repair	0.172468485883657	-1.7575407497302	5	5	0.0142450142450142	351	498	35796,34842,40607,35119,39654	Mlh1,spel1,Gnf1,tos,Msh6
WP279	Triacylglyceride Synthesis	0.255088776577469	-1.36614365097052	16	13	0.037037037037037	351	498	38221,53586,37323,43350,39820,43563,32230,37289,44887,35966,33824,39819,39611	Gk2,Dhap-at,Mgat1,mino,CG4729,Mgat2,CG3812,Hsl,mdy,wun,Gpdh,CG4753,bmm
WP551	TCA Cycle	0.280087055287228	-1.27265481239583	23	18	0.0512820512820513	351	498	36020,35590,44149,31605,42185,43102,34021,38447,35970,39899,39988,32940,42586,31406,43437,44001,34414,31579	PCB,SdhB,Acon,l(1)G0255,Mdh2,CG5028,muc,Scsalpha,Pdk,Nc73EF,CG7430,l(1)G0156,CG6439,l(1)G0334,CG11876,Sucb,Mdh1,kdn
WP97	Wnt Signaling Pathway	0.345459167159736	-1.06288082753524	18	14	0.0398860398860399	351	498	42737,34009,42504,31151,31248,39013,31669,34284,35851,32855,42169,31404,43565,42871	hh,wg,slmb,arm,sgg,dally,CBP,Pka-C1,ptc,fu,PP2A-B',Pp2C1,Axn,Apc2
WP177	Eukaryotic Transcription Initiation	0.382827530000325	-0.960170704538058	35	26	0.0740740740740741	351	498	33294,40415,37476,36289,39688,40429,42822,40325,36130,39313,53573,40934,41741,33210,39202,47900,36598,39310,32100,36160,41290,38527,34430,261631,48312,35297	Tfb4,Rpb8,Tbp,RpIII128,mrn,CycH,TfIIA-S,Sin,Mat1,TfIIEalpha,Ilk,Taf7,RpII15,RpI135,hay,Taf5,Tfb1,CG7339,RpII215,Rpb5,TfIIFbeta,TfIIEbeta,TfIIB,Rpb7,RpII18,Taf13
WP421	Pentose Phosphate Pathway	0.429596958752581	-0.844907815066309	6	5	0.0142450142450142	351	498	37804,246599,35692,32013,32974	Taldo,Rpi,CG30499,CG17333,Zw
WP3873	RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis	0.474761202082961	-0.744943333816751	9	7	0.0199430199430199	351	498	43991,41709,37235,2768677,37455,41957,42446	Pten,foxo,RpL11,p53,Egfr,Akt1,Pi3K92E
WP269	Heme Biosynthesis	0.563864233448797	-0.572941777297455	8	6	0.0170940170940171	351	498	39402,31817,44701,35986,37815,43757	Pbgs,CG1885,Coprox,Updo,Alas,FeCH
WP406	Mitochondrial LC-Fatty Acid Beta-Oxidation	0.583853238377991	-0.538105631883364	11	8	0.0227920227920228	351	498	37217,44183,38355,36109,33470,34315,46068,34276	CG7461,ScpX,CPT2,whd,colt,CG4598,Acsl,Mtpalpha
WP3653	Equilibrium Signalling Pathway of Differentiated Cells	0.658504013873322	-0.41778466233777	7	5	0.0142450142450142	351	498	42816,42428,34127,43532,42737	Nup98-96,Stat92E,Pvr,RpS8,hh
WP492	Hedgehog Signaling Pathway	0.663353507739037	-0.410447236717255	10	7	0.0199430199430199	351	498	35851,40701,42737,41965,34411,37618,36382	ptc,Rab23,hh,Bin1,Cdk1,CycB,Sin3A
WP542	Electron Transport Chain	0.676343743758197	-0.391053835496078	48	33	0.094017094017094	351	498	37728,33852,44390,36159,44207,37617,43798,43829,39214,32008,39950,31950,32989,44498,39846,37946,41845,32434,32936,40272,32007,43507,35590,37809,33744,32740,39143,43693,46069,42808,44228,32764,31762	levy,ND-51,RFeSP,ND-B14,ND-23,blw,ND-49,ATPsynbeta,ND-13B,Ant2,UQCR-Q,ATPsyndelta,COX6B,Surf1,UQCR-C2,ND-19,ATPsynO,ND-B18,ND-18,ND-39,sesB,ATPsyngamma,SdhB,CG3803,ND-13A,ND-24,ATPsynB,ATPsynC,ATPsynG,SdhD,ND-PDSW,Ucp4A,ND-75
WP568	Fatty Acid Biosynthesis	0.738282919728822	-0.303428167779206	12	8	0.0227920227920228	351	498	46068,40348,36926,33016,36020,34313,36536,35761	Acsl,AcCoAS,CG6984,CG9577,PCB,yip2,CG6543,ACC
WP39	Fatty Acid Beta Oxidation 1	0.740192419767163	-0.300845099872626	18	12	0.0341880341880342	351	498	46068,40348,37289,34276,36109,38221,33470,39611,38355,37217,40787,36536	Acsl,AcCoAS,Hsl,Mtpalpha,whd,Gk2,colt,bmm,CPT2,CG7461,CRAT,CG6543
WP25	Fatty Acid Beta Oxidation 3	0.881693889902242	-0.125910346818756	7	4	0.0113960113960114	351	498	36536,39988,34276,31695	CG6543,CG7430,Mtpalpha,CG10932
WP443	Beta Oxidation Meta MAPP	0.895471131935338	-0.110405294812447	23	14	0.0398860398860399	351	498	37217,40787,36536,39611,31695,38355,39988,36109,38221,33470,40348,46068,37289,34276	CG7461,CRAT,CG6543,bmm,CG10932,CPT2,CG7430,whd,Gk2,colt,AcCoAS,Acsl,Hsl,Mtpalpha
WP1201	Non-homologous End joining	0.920724946792795	-0.0825939335924009	4	2	0.0056980056980057	351	498	37564,34930	rad50,Ku80
WP249	Beta Oxidation of Unsaturated Fatty Acids	0.920724946792795	-0.0825939335924009	4	2	0.0056980056980057	351	498	34315,34276	CG4598,Mtpalpha
WP1203	One Carbon Metabolism	0.966337094797914	-0.034242546223666	12	6	0.0170940170940171	351	498	33499,38342,41279,47895,31524,32471	Ts,AhcyL1,pug,Nmdmc,CG3011,Ahcy
WP187	Fatty Acid Beta Oxidation 2	0.971666688454383	-0.0287424464426182	5	2	0.0056980056980057	351	498	36536,34276	CG6543,Mtpalpha
WP101	Synthesis and Degradation of Ketone Bodies	0.974650419030181	-0.0256764168611975	3	1	0.00284900284900285	351	498	31695	CG10932
WP144	Glycolysis and Gluconeogenesis	0.97530327648486	-0.0250068035461994	24	13	0.037037037037037	351	498	39988,34414,31406,34021,43437,33351,36782,45880,42185,42620,35886,36020,36060	CG7430,Mdh1,l(1)G0334,muc,CG11876,Eno,Got1,ImpL3,Mdh2,PyK,Pgi,PCB,Pfk
WP1205	Homologous Recombination	0.990266107318105	-0.00978157670166493	6	2	0.0056980056980057	351	498	43577,37564	spn-A,rad50
WP125	Biogenic Amine Synthesis	0.996422668910999	-0.00358374503897858	9	3	0.00854700854700855	351	498	42249,36076,35190	ChAT,Hdc,Ddc
WP3660	Humoral Immune Response to Fungal and Bacterial Pathogens	0.998741137711511	-0.00125965532123553	30	14	0.0398860398860399	351	498	34969,37216,32976,43222,35045,35047,39659,37967,42428,41087,44339,36748,40554,39063	cact,Tab2,dome,Tl,Dif,dl,Tak1,key,Stat92E,Rel,imd,Diap2,tub,PGRP-LC
WP3830	Toll, IMD, JAK/STAT Pathways for Immune Response to Pathogens	0.999884126457651	-0.000115880256206882	45	21	0.0598290598290598	351	498	38613,32358,37216,34969,43222,32534,35047,35927,32805,42428,39063,32760,40554,45908,32976,35045,42821,39659,41087,44801,44339	Uev1A,ben,Tab2,cact,Tl,PGRP-LE,dl,Su(var)2-10,upd2,Stat92E,PGRP-LC,Socs16D,tub,nec,dome,Dif,Pli,Tak1,Rel,bsk,imd
