Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	236.0	2386947	-0.841
miRNA	12.0	51758	0.388
ncRNA	184.0	925379	0.167
TTS	2652.0	13492230	0.150
Exon	1970.0	15425453	-0.472
Intron	5552.0	49637983	-0.663
Intergenic	2472.0	36576041	-1.390
Promoter	10902.0	19033253	1.693
5UTR	652.0	1504827	1.290
rRNA	0.0	7664	-14.588
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	236.0	2386947	-0.837
Other	0.0	33922	-14.589
RNA	0.0	13525	-14.589
miRNA	12.0	51758	0.392
ncRNA	184.0	925379	0.171
TTS	2652.0	13492230	0.154
LINE	114.0	6055896	-3.230
RC	0.0	554	-14.589
DNA	40.0	1386585	-2.615
Exon	1970.0	15425453	-0.468
Intron	5288.0	41247020	-0.463
Intergenic	2260.0	23767212	-0.894
Promoter	10902.0	19033253	1.697
5UTR	652.0	1504827	1.294
Low_complexity	44.0	799079	-1.682
LTR	136.0	10874789	-3.820
Simple_repeat	158.0	907936	-0.022
Unknown	0.0	91752	-14.589
Satellite	0.0	1463755	-14.589
rRNA	0.0	49802	-14.589
