TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr31B1-31B1	fly chr31B1-31B1	0.000191078934843283	-8.56282394385996	30	22	0.0033587786259542	6550	16508	34372,64880,34361,34363,318995,34357,318914,34364,34358,34354,34356,34370,43991,34351,34349,34368,34359,34360,34367,19834829,34371,34352	Mob3,chico,CG5708,eEF1delta,CG31874,CG4901,mthl15,me31B,Npc1a,CG5734,CG5727,Rsf1,Pten,Ripalpha,CG13137,CG5676,Prosalpha6,CG4908,Ror,CR44845,REPTOR-BP,RpL7
fly chr30B12-30B12	fly chr30B12-30B12	0.0038965554277874	-5.54766233976261	6	6	0.000916030534351145	6550	16508	34277,261620,14462732,34276,34275,12798311	gcm,CG31709,CR44149,Mtpalpha,CG3838,CR43621
fly chr31D9-31D9	fly chr31D9-31D9	0.0038965554277874	-5.54766233976261	6	6	0.000916030534351145	6550	16508	318909,34395,34398,34396,34394,34397	CG31715,GATAd,CG5022,SamDC,CG5037,Sps2
fly chr61C8-61C8	fly chr61C8-61C8	0.00450879394483767	-5.4017255792262	16	12	0.00183206106870229	6550	16508	38080,38084,38083,38086,38087,38081,38078,38089,19834856,38085,38082,38077	CG17129,RabX6,CG3344,CG13894,CG13895,CG3386,MED30,CG13896,CR44514,Vti1a,ebd1,CG3402
fly chr37A1-37A1	fly chr37A1-37A1	0.00554455088912735	-5.19493965530537	11	9	0.00137404580152672	6550	16508	35129,35122,35126,35123,35127,35128,35130,35131,35125	Faf2,CG10336,CG10376,CG10383,CG10343,Jwa,Grip71,Irk3,CG10341
fly chr61C1-61C1	fly chr61C1-61C1	0.00980539497656775	-4.62482253696641	17	12	0.00183206106870229	6550	16508	38056,38063,3771973,326208,5740226,38059,45374,38055,38058,14462823,38066,38057	mthl9,CG1233,snmRNA:438,CG32344,CG34264,Ptpmeg,fwd,Atac3,mth,CR43969,CG13891,mthl10
fly chr85D24-85D24	fly chr85D24-85D24	0.00982503502280008	-4.62282155657158	5	5	0.000763358778625954	6550	16508	41151,41148,41147,41150,41149	MBD-like,CG9386,RnpS1,AP-1mu,CG8199
fly chr7D6-7D6	fly chr7D6-7D6	0.00982503502280008	-4.62282155657158	5	5	0.000763358778625954	6550	16508	31732,31728,31731,31729,53581	CG2260,UbcE2H,CG1575,CG2258,Gclc
fly chr96F10-96F10|3-89.1 cM	fly chr96F10-96F10|3-89.1 cM	0.0116046452561419	-4.45634980791409	10	8	0.00122137404580153	6550	16508	43155,43159,43162,43161,43157,43153,43160,43158	E(spl)m2-BFM,E(spl)m6-BFM,gro,E(spl)m8-HLH,E(spl)m4-BFM,E(spl)malpha-BFM,E(spl)m7-HLH,E(spl)m5-HLH
fly chr96F10-96F10|3-89.1	fly chr96F10-96F10|3-89.1	0.0116046452561419	-4.45634980791409	10	8	0.00122137404580153	6550	16508	43162,43161,43157,43155,43159,43158,43153,43160	gro,E(spl)m8-HLH,E(spl)m4-BFM,E(spl)m2-BFM,E(spl)m6-BFM,E(spl)m5-HLH,E(spl)malpha-BFM,E(spl)m7-HLH
fly chr7B1-7B1	fly chr7B1-7B1	0.0180046267945162	-4.01712650997637	7	6	0.000916030534351145	6550	16508	31666,31667,31668,31665,31664,31663	Atg5,Dok,CG18155,brk,unc-119,CG2059
fly chr66F1-66F1	fly chr66F1-66F1	0.0238289383175587	-3.73685454121149	9	7	0.00106870229007634	6550	16508	39034,39031,39038,39037,39033,39032,39036	smg,Galk,Doc2,CG5194,CG5280,CG5068,Doc3
fly chr92C1-92C1	fly chr92C1-92C1	0.0238289383175587	-3.73685454121149	9	7	0.00106870229007634	6550	16508	42393,42385,42391,42388,42382,42389,42392	CG4936,MED25,CG4854,CG4433,CG31213,psidin,trem
fly chr11A1-11A1	fly chr11A1-11A1	0.0238289383175587	-3.73685454121149	9	7	0.00106870229007634	6550	16508	32160,32168,32163,32165,32167,32166,32161	tsg,Tango4,CG1806,regucalcin,CG15735,Chrac-16,CG18130
fly chr44C2-44C2	fly chr44C2-44C2	0.0238289383175587	-3.73685454121149	9	7	0.00106870229007634	6550	16508	19835206,5740254,35801,19836225,35800,19835851,19835138	CR44276,CG34217,pnut,CR44446,dpn,CR44445,CG44439
fly chr73C4-73C4	fly chr73C4-73C4	0.0247712157070808	-3.69807295686769	4	4	0.000610687022900763	6550	16508	39874,39875,39877,39876	CG13025,CG9705,Int6,CG9706
fly chr64E8-64E8	fly chr64E8-64E8	0.0247712157070808	-3.69807295686769	4	4	0.000610687022900763	6550	16508	38653,318020,38652,38651	Tektin-C,CG42272,Bre1,Cralbp
