TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	9.77496113233632e-14	-29.9563671722847	137	111	0.0466975178796803	2377	4678	41427,32698,43916,5740131,39344,33218,42203,33845,38406,37767,42985,40205,38248,43163,42672,40608,32028,37749,39026,34237,43130,36952,37201,38488,31816,33552,39866,42412,38050,38785,35715,32569,36876,36915,42735,38017,39900,41144,41425,32746,44052,35783,34882,35496,39158,31224,37205,38978,34850,43402,37134,43041,38945,37233,41163,38879,36881,64880,38806,34633,40704,32920,38321,39907,33268,42050,35425,41656,38928,31031,41219,33849,41957,2768948,36643,37858,38418,35306,3355013,33882,33445,36598,31667,35696,45928,34030,38113,40327,31815,40361,34790,2768892,43892,35971,32601,34803,35116,36028,34354,41675,35237,32522,43149,33003,49968,34263,42981,38059,35554,37707,34398	Sbf,CG5004,Rok,CG34383,Sprn,ex,PKD,mtm,CG14968,Ssrp,Osbp,CG42674,dre4,Exo84,loco,Cdep,Myo10A,CG30183,CG5026,CG32982,Lnk,cnk,ena,Fit1,Moe,CG34394,Dab,CG42668,RhoGEF3,melt,LRR,vap,unc-104,RhoGEF2,CenB1A,Pdk1,Exn,by,CG17360,beta-Spec,Shc,Asap,ck,CG30440,RasGAP1,PsGEF,cora,rhea,osp,WASp,GEFmeso,Nup358,GAPcenA,Fak,CG8312,pbl,CG5522,chico,RhoGEF4,Ced-12,plx,Vav,dos,Fit2,aru,CG8907,step,yrt,cert,CG43867,Art4,CG12393,Akt1,Pura,Spred,gek,kst,RtGEF,Gprk1,Pez,Drp1,Tfb1,Dok,scra,shi,Ziz,CG9205,siz,CG12075,CG7324,Sos,CG42271,sif,ced-6,sl,CenG1A,MESR3,CG1513,CG5734,flfl,CG10188,Graf,Nf1,pico,Cadps,numb,CG11168,Ptpmeg,Pld,CG3530,CG5022
3.30.505.10	-	1.79044525970956e-07	-15.5356313135973	32	30	0.012620950778292	2377	4678	33262,44353,35524,32569,42428,38674,33203,36497,33840,45821,32202,32601,43775,44052,32920,41144,38961,44000,43130,43584,41398,41118,35085,31987,45278,34132,3885637,32760,48973,38677	dock,Shark,Src42A,vap,Stat92E,CG10479,Pi3K21B,drk,CG9098,Abl,CG43921,sl,Crk,Shc,Vav,by,Cbl,Spt6,Lnk,CG15529,Csk,FER,Socs36E,spri,csw,Btk29A,CG33993,Socs16D,Src64B,PVRAP
1.25.10.10	-	7.6112491348895e-05	-9.48329816269167	97	68	0.0286074884307951	2377	4678	40596,42497,3355040,43762,53436,31026,37570,41943,40160,42871,43901,47396,31842,43034,35123,40950,3355143,31151,43740,41068,44747,43449,39858,35016,44819,5740442,318680,32970,118436,36732,43423,35340,42169,3346238,32987,32820,35336,36440,33235,2768940,34378,43312,34338,41952,41158,44642,40127,38721,31075,33960,35939,31543,31187,37355,42171,43508,41096,35664,38675,41094,33211,37084,40786,31793,38895,32966,43978,192509	ctrip,CG7044,CG17514,CG2053,c11.1,CG16989,CG4554,Hel89B,Kap-alpha1,Apc2,chb,Tor,AP-1gamma,CG10420,CG10383,CG2747,p120ctn,arm,nero,CG11964,msk,Rpn2,Mo25,Cas,g,bma,HEATR2,Ranbp21,Ranbp16,Ranbp11,CG1951,dia,PP2A-B',form3,AP-1-2beta,betaCOP,Fs(2)Ket,Cap-G,CG2807,Pp2A-29B,CG5604,wdb,Pen,msps,Kap-alpha3,Apc,Ltn1,Trn,DAAM,l(2)k09022,Rme-8,raptor,wapl,insc,cdm,yata,Vps15,CG11123,alphaKap4,pum,AP-2alpha,CG5721,CG10286,IntS4,Ect4,Rcd-1,Plap,CG12084
3.30.70.330	-	0.000106813235762874	-9.14442870875292	152	100	0.0420698359276399	2377	4678	37681,43944,41892,33968,37838,42957,39198,40529,31442,39119,35027,49895,43385,38937,32851,5740811,250811,31243,32603,33305,40562,3355041,32245,42848,41431,38811,39049,36984,39919,35924,33498,33982,38720,35235,37411,40074,37070,34416,43467,33201,42460,42026,44095,49809,35756,31481,44271,31000,44205,47384,41138,48535,32602,47998,32394,45840,41670,48571,40673,35305,34648,37781,41666,41294,38526,32587,42166,38795,36619,43231,31023,34667,39275,41413,43764,3772180,43808,34370,38605,31448,42752,5740386,40369,33652,32866,37254,38208,42013,36605,37585,32009,33677,32293,36981,41147,53443,43087,33843,39527,38360	LS2,sbr,CG5213,Hrb27C,MAN1,CG5808,Rbfox1,CG14641,snf,CG3335,CG12288,CG17018,Hrb98DE,CG7185,CG6540,CG34231,bru2,eIF3ga,nonA,CG4896,srl,eIF-4B,fne,Rox8,glo,lark,bol,cyp33,Rbp6,tsu,Rbp9,snRNP-U1-70K,CG13298,swm,CG4266,CG3808,pAbp,Cnot4,CG14506,U2af38,Syp,nonA-l,fus,Rbp2,nito,CG4119,xmas-2,elav,spen,sra,rump,Hrb87F,U2af50,rin,CG14414,cpo,B52,heph,CG2931,La,bru1,TBPH,sqd,Rbp1,CG1316,caz,Cbp20,Neos,tra2,Rb97D,fz3,Ref2,CG11726,CG14718,mod,Sxl,gw,Rsf1,shep,Rnp4F,orb,CG40813,barc,CG15440,CG18259,sm,RpL23A,CG14891,CG17386,CG17807,Imp,CG3294,Rbp1-like,eIF3-S9,RnpS1,SF2,msi,CG9107,bru3,CG2162
3.30.40.10	-	0.000143960359314862	-8.84597257882115	214	135	0.0567942785023138	2377	4678	41231,42858,33932,43351,36990,36986,41090,42230,36431,37857,44811,32461,39884,32853,36246,37923,43856,37063,5740853,43271,40556,33488,31571,43476,39818,39753,38715,33015,41145,39313,44263,36131,31458,36130,35397,37395,33458,37083,35331,41498,43611,40850,32965,32765,42397,40676,39079,37859,35256,44235,31589,3355072,34699,40336,38367,31118,36432,38941,31628,35485,41080,41354,37069,32330,40030,40127,43810,42690,31746,34453,41085,32533,38472,40144,317987,40791,31592,43718,318246,43751,43747,42738,45775,35927,38027,34416,32796,39217,45931,36479,38961,33519,34118,3346167,35698,36425,37575,40509,39579,31315,39874,33819,35170,38181,36748,41737,32932,42302,44131,39735,33938,38006,42140,33565,34752,32532,43793,38652,39750,318953,43277,33837,39551,39193,36241,40133,41524,39063,37542,32881,35044,31014,36541,37707,43327	Fancl,CG13605,CG11070,NSD,POSH,MESR4,Kdm2,CG7694,Psc,snama,E(bx),HDAC6,sina,Ing3,Roc2,CG11414,nej,CG5098,lmgA,CG6051,CG9855,CG2991,CG3815,Trc8,roq,Diap1,CG7376,Phf7,mura,TfIIEalpha,Sara,CG33144,Usp16-45,Mat1,CG8677,Rbpn-5,Hrs,nopo,CG2617,MBD-R2,CG2218,Alh,e(y)3,CG15814,mdlc,CG2926,CG4080,enok,Hakai,bon,dx,CG41099,CG9934,park,CG32486,dor,Su(z)2,Pex2,CG14435,d4,CG11982,CG17721,Pcl,CG9941,not,Ltn1,CG11360,CG4813,Traf6,Trim9,neur,CG15602,Mul1,CG8786,Vps11,godzilla,CG17717,pygo,CG32850,Acf,sip3,unk,mei-P26,Su(var)2-10,rno,Cnot4,ari-1,tna,spir,CG17048,Cbl,CG17260,CG8419,btsz,CG43340,CG17019,dnr1,Ssl1,CG13481,CG16781,CG13025,bchs,mib2,CG12099,Diap2,trx,CG12200,CG5555,Mkrn1,elgi,Nse1,gol,CG7379,msl-2,CG9293,CG8974,bip2,Bre1,mib1,CG31807,CG31064,lid,upSET,CG12362,tou,ash1,pps,PGRP-LC,ari-2,Usp39,CG15141,Roc1a,CG13344,CG3530,Sce
1.25.40.20	-	0.000481909657538627	-7.63775389397381	84	58	0.0244005048380311	2377	4678	39015,42981,31293,37344,41816,38863,43387,37199,34969,41087,2768995,31826,50225,36427,43770,32718,35783,3355072,34803,37433,40046,36824,49070,36696,44353,37422,53573,39160,40032,39571,42735,36122,33303,35395,36396,36139,43298,318909,30971,39438,38865,39750,42076,42676,34874,31351,39159,39368,36668,246518,50070,34378,39210,42447,35170,38055,35974,39747	TrpA1,CG11168,N,Fem-1,CG6966,Ank2,CG10011,CG15118,cact,Rel,CG43980,rdgA,Prosap,Sans,Ank,f,Asap,CG41099,CenG1A,CG42672,CG14073,CG8060,Mbs,CG8152,Shark,ASPP,Ilk,iPLA2-VIA,MYPT-75D,nan,CenB1A,Git,CG5118,CG8679,GLS,dgo,CG42534,CG31715,G9a,sowah,CG7457,mib1,m-cup,wake,l(2)35Be,CG6428,CG10809,rols,Kank,CG30271,mask,CG5604,CG8003,Lrrk,mib2,Atac3,Camta,Hip14
1.25.40.90	-	0.00109778264505858	-6.81446291081059	14	13	0.00546907867059318	2377	4678	40863,38846,37411,31902,39093,34505,35109,39450,36658,33458,42632,3346235,38283	lap,lqf,CG4266,Gga,CG3529,Stam,CG15160,Hip1,Pcf11,Hrs,lqfR,scaf6,CG9018
3.30.420.10	-	0.00158466763127858	-6.44738058999646	26	21	0.00883466554480438	2377	4678	41374,33503,35746,41571,39559,42208,37511,37757,35385,34521,38740,39472,39683,42811,39366,31136,42553,42758,34524,3355150,36544	CG6744,CG3165,rnh1,mus308,CG6833,WRNexo,Snp,egl,Nbr,piwi,CG8368,CG11263,AGO2,CG10214,Pop2,prage,DNApol-alpha180,DNApol-epsilon255,aub,AGO3,AGO1
1.10.10.10	-	0.00536426023979916	-5.2279967987442	102	65	0.0273453933529659	2377	4678	41343,35420,42952,36461,38399,41266,31362,42757,31518,38527,37859,38005,36605,41709,43928,43334,32953,35364,39474,39418,40717,31678,43236,41265,38989,34294,33938,40294,42619,43843,35305,43010,32078,38004,37475,41780,37068,40794,43321,33608,53567,33010,43825,40374,34896,43812,41290,39252,33392,42572,39962,38645,33607,42516,43023,45906,43383,35759,40990,35780,35381,40217,42550,317817,39419	RpS25,Cul2,Ets96B,Dp,CG11505,Rfx,Tip60,pnt,mof,TfIIEbeta,enok,gsb,CG17386,foxo,chm,Ets98B,RpS10b,RPA2,CG11261,toe,Rpn5,CHES-1-like,Ets97D,jumu,Cdc6,und,Nse1,Pex14,CG5380,fd102C,La,fd96Ca,dsh,gsb-n,CG10306,BigH1,Hsf,CG9727,RpS10a,slp2,larp,fd19B,sv,croc,Cul3,ey,TfIIFbeta,FoxK,aop,lsn,Eip74EF,CG10576,slp1,CG5862,dan,mr,fkh,CSN4,Poxm,Cul4,E2f2,Su(var)3-3,E2f1,CG32006,eyg
1.20.900.10	-	0.00649640295751174	-5.03650664640998	23	18	0.00757257046697518	2377	4678	35496,40608,5740235,43892,32920,40205,34790,38806,39900,36915,35306,38879,42137,2768948,32729,37134,35237,31224	CG30440,Cdep,RhoGAP1A,sif,Vav,CG42674,Sos,RhoGEF4,Exn,RhoGEF2,RtGEF,pbl,CG43102,Pura,CG43658,GEFmeso,CG10188,PsGEF
