TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
41140	Ras85D (Ras oncogene at 85D)	1.49445178282786e-26	-59.4654529787032	232	196	0.0420871805883616	4657	9028	42127,42393,48317,3354888,31293,36826,36952,39419,40987,49228,46080,36926,32813,38961,31883,33210,43901,40660,33819,39104,33881,34610,44801,45976,44448,38168,39564,43481,45959,36497,40958,31618,38027,32703,36990,34284,38160,32941,38516,64880,33281,32624,34132,40858,41770,39228,35998,42757,36543,39645,42672,33392,34754,33262,33496,34096,37851,32256,42186,41646,42737,45307,37451,40712,31535,3355010,47396,42446,34009,33432,53560,31118,31239,40664,33710,44205,32792,43558,38424,326198,42900,42130,35555,34993,36057,40081,32724,31162,34790,37655,32083,35116,40620,40975,43875,36775,36606,34622,32849,33834,44531,37142,40009,32321,36555,31221,34924,42734,31987,32777,41094,50070,41107,38144,41491,41431,35253,35425,36054,40015,47998,36746,43723,42499,34170,44030,36382,33619,38059,42501,32947,34024,39765,38291,35924,44115,42620,32976,43149,33916,37455,41248,38494,33003,43991,38657,33814,32547,34309,33185,40428,43654,37873,45278,40661,39158,40083,35524,43039,42743,32817,44339,41398,34665,33775,35801,37149,33139,32981,34432,38811,31490,31567,40813,43749,43466,37461,38208,34127,42160,36773,42428,39659,42822,36986,32569,35453,3772082,31429,37924,43673,44672,37890,48973,32601,39833	alt,CG4936,ttk,rl,N,Vha44,cnk,eyg,eIF4AIII,mod(mdg4),Sec61beta,CG6984,upd1,Cbl,lz,RpI135,chb,ksr,bchs,pall,PDZ-GEF,dgt2,bsk,retn,scrib,rho,btl,alph,mts,drk,puc,C3G,rno,baz,POSH,Pka-C1,Ptp61F,CoRest,ago,chico,S,Pp2B-14D,Btk29A,gfzf,stumps,klu,Uba1,pnt,DJ-1alpha,CTPsyn,loco,aop,RpL24,dock,lilli,Cka,yki,hep,14-3-3epsilon,Droj2,hh,fz,MESK2,Sec8,rux,IntS3,Tor,Pi3K92E,wg,dpp,cic,dor,egh,Itp-r83A,Trip1,spen,Taf8,Tace,sty,Krn,Dis3,osa,jing,grp,Jra,Mkp3,B-H1,Hr4,Sos,twi,dlg1,MESR3,cno,ato,Ret,Rho1,phyl,Plzf,wgn,chic,rg,Sec6,hid,NFAT,mam,Raf,CycE,Rassf,spri,Vps4,pum,mask,Vps16A,Rabex-5,svp,glo,spi,step,egr,rpr,rin,sli,RpL6,Sec15,Akap200,msn,Sin3A,ed,Ptpmeg,Rab11,car,santa-maria,Taf4,ecd,tsu,Rgl,PyK,dome,Nf1,eya,Egfr,Timp,Ras64B,pico,Pten,vn,rau,tay,RpS2,kis,eg,cindr,Nop60B,csw,CG31550,RasGAP1,MESR6,Src42A,RpS27,cnc,CrebB,imd,Csk,bun,CG6907,pnut,edl,S6kII,Cdc42,holn1,lark,CG4096,Rpt4,Taf1,faf,stg,PTP-ER,RpL23A,Pvr,htl,Dg,Stat92E,Tak1,TfIIA-S,MESR4,vap,RpL21,kay,ovo,uri,dco,Lk6,bs,Src64B,sl,aos
31293	N (Notch)	9.8981533756292e-22	-48.3645238338411	282	222	0.0476701739317157	4657	9028	45821,37554,39866,44801,43869,35527,34881,40835,41158,43150,43151,41085,43428,31151,39198,37272,37549,32813,40687,43160,39419,31607,32537,33379,34263,31293,41602,43724,40295,38500,326234,43951,3354977,42757,35998,39228,34132,42175,42445,33281,31331,40232,34377,31379,34903,33211,35173,43162,31589,33346,38168,40675,39873,44205,41868,43153,34772,34009,33432,34830,37201,31762,40848,43161,39858,53554,32273,35851,42226,33445,40562,38863,40657,45307,33716,43152,33392,32508,42467,39329,40314,40620,49636,44289,32724,34790,42693,36967,43812,38846,48448,44129,3354896,32919,41957,41446,41062,32556,35800,42572,38424,36411,32877,32748,35110,37781,45343,53579,47998,33983,43087,37859,42707,37702,37886,36421,35509,34924,36555,43718,33343,36606,43402,32846,33441,39453,31157,44263,38657,41694,117353,33837,44548,39157,31801,37455,326152,43275,39450,45655,44115,39744,33619,34636,39620,36382,33424,42313,44030,42499,38890,37254,39964,38811,36678,32981,326122,43862,192509,38070,37386,37573,3355072,40398,32700,43999,32078,34665,32536,35135,39418,34927,36377,40351,49297,34930,42034,36242,12798412,36271,31248,35483,42549,38091,318206,33185,43157,41550,37355,34420,37089,42896,38652,44039,39750,37890,46068,3355136,33835,318559,44672,37185,32762,44703,33753,41343,36986,37476,40217,41840,34735,42964,37857,31746,44540,2768852,43466,32805,32123,33467,39440,33212	Abl,Rtf1,Dab,bsk,amx,Pngl,Su(H),Antp,Kap-alpha3,E(spl)mdelta-HLH,E(spl)mgamma-HLH,neur,Pkc98E,arm,Rbfox1,Toll-7,Gp150,upd1,RpL13A,E(spl)m7-HLH,eyg,Pink1,Chc,Su(dx),numb,N,CtBP,CycG,CG11399,Ero1L,l(1)G0320,e(r),MED21,pnt,Uba1,klu,Btk29A,MED17,H,S,Mnt,polo,Utx,bi,esg,AP-2alpha,Acn,gro,dx,cpb,rho,CRMP,Nrt,spen,Atg4b,E(spl)malpha-BFM,kuz,wg,dpp,CG43333,ena,ND-75,alphaTub84B,E(spl)m8-HLH,Mo25,krz,sno,ptc,fru,Drp1,srl,Ank2,Snr1,fz,Gmd,E(spl)mbeta-HLH,aop,CG9281,Synd,Pi3K68D,fng,cno,hrg,flw,B-H1,Sos,Dcr-1,insb,ey,lqf,CkIIalpha,hbs,vtd,rictor,Akt1,aurA,pyd,Stim,dpn,lsn,sty,sca,htk,chas,amos,TBPH,pk,Dlip3,rin,uif,msi,enok,klg,Golgin245,nvy,vg,ap,CycE,mam,pygo,chinmo,phyl,WASp,Bx,insv,CG42709,Ocrl,Sara,vn,Nsf2,Cct1,lid,lola,Cdk8,Caf1-180,Egfr,erm,Ser,Hip1,dom,Rgl,brm,ed,Rab6,Brd,Sin3A,Eogt,Dl,msn,Sec15,nmo,sm,Vps60,lark,chn,Cdc42,rumi,HnRNP-K,CG12084,Hipk,shg,px,CG41099,TfAP-2,RpS5a,trbl,dsh,bun,sd,ham,toe,Gli,fra,pzg,SERCA,Ku80,Ubx,Egm,mir-2c,Ef1alpha48D,sgg,Nipped-A,InR,emc,Tlk,kis,E(spl)m4-BFM,Vha55,insc,RpS27A,fj,crb,Bre1,Pak,mib1,bs,Acsl,Nipped-B,eIF-4a,spdo,Lk6,sano,e(y)1,lolal,tkv,RpS25,MESR4,Tbp,Su(var)3-3,Hsc70-4,Uvrag,nct,snama,Traf6,ct,par-1,stg,upd2,Amun,aph-1,caup,ebi
37455	Egfr (Epidermal growth factor receptor)	5.2764084234167e-14	-30.5729456584927	154	124	0.0266265836375349	4657	9028	3885637,3354888,31293,40009,44531,31221,36118,34924,37247,38961,41094,31151,36421,44052,31364,38144,33881,41491,35253,35425,44448,45821,38890,38168,36587,36746,45318,44275,36497,41718,44030,42313,43162,35173,33619,38059,38160,39744,33281,32115,37205,38389,32976,34500,42620,42445,42936,37455,33916,34132,39228,33003,117353,43130,53437,38657,42037,43991,33262,43775,32547,39329,33392,41749,42000,33496,37233,38091,31391,45278,42737,39158,45307,35478,35524,40657,42034,38752,44235,35563,40240,34665,37203,33432,37573,33203,44205,43829,33212,31490,40287,38580,38424,36791,42160,34127,31792,326198,42428,32569,39567,34982,47877,44390,35555,32920,39536,33753,3772082,40081,36057,49070,41666,31429,34790,43856,38047,32724,37890,48973,40314,40975,39833,32601	CG33993,rl,N,hid,rg,Raf,psq,CycE,hpo,Cbl,pum,arm,vg,Shc,Fas2,Rabex-5,PDZ-GEF,svp,spi,step,scrib,Abl,nmo,rho,SelD,sli,kn,SoxN,drk,Abi,msn,Dl,gro,Acn,ed,Ptpmeg,Ptp61F,brm,S,Ptp10D,cora,Hsp83,dome,porin,PyK,H,ash2,Egfr,eya,Btk29A,klu,pico,Cct1,Lnk,Sulf1,vn,abd-A,Pten,dock,Crk,tay,Pi3K68D,aop,cv-c,CSN5,lilli,Fak,emc,peb,csw,hh,RasGAP1,fz,gus,Src42A,Snr1,Ubx,vvl,bon,geminin,eRF1,bun,hppy,dpp,px,Pi3K21B,spen,ATPsynbeta,ebi,CG4096,kni,Dhc64C,sty,Lis-1,htl,Pvr,Nrg,Krn,Stat92E,vap,Sox21a,dac,tws,RFeSP,jing,Vav,DCTN1-p150,tkv,kay,Mkp3,Jra,Mbs,sqd,ovo,Sos,nej,miple1,B-H1,bs,Src64B,fng,ato,aos,sl
42445	H (Hairless)	1.26531330244665e-13	-29.6982864474899	140	114	0.0244792785054756	4657	9028	33819,32009,31883,41085,39753,35110,44801,34881,31293,43402,36775,34263,32846,33441,38402,39453,42298,41602,43724,34021,30977,35509,36555,39419,44531,33379,32999,34908,36952,37455,32221,43275,34910,33281,39744,43916,47065,38657,38831,41783,35731,37618,39228,44548,33837,42059,38890,36059,38168,32703,39620,30983,33619,34903,36382,44030,42313,31589,43162,40958,43312,43161,32078,43999,32273,32536,33059,44205,41868,34961,32275,117294,192509,34772,33432,37573,38091,32256,318206,43157,33496,37355,33392,35662,34927,46015,40351,40657,42828,42897,3772082,40863,43812,33753,44703,42971,32661,40345,37546,39833,36001,40620,49636,33627,37890,31162,43856,32123,38424,35780,33905,36986,40683,41840	bchs,Imp,lz,neur,Diap1,amos,bsk,Su(H),N,WASp,Rho1,numb,Bx,insv,ckd,CG42709,CG11779,CtBP,CycG,muc,CG12470,ap,mam,eyg,rg,Su(dx),amn,sna,cnk,Egfr,CkIalpha,Ser,lace,S,brm,Rok,qsm,vn,Rac2,kibra,sax,CycB,klu,lola,lid,Dad,nmo,14-3-3zeta,rho,baz,Brd,l(1)sc,ed,esg,Sin3A,msn,Dl,dx,gro,puc,wdb,E(spl)m8-HLH,dsh,trbl,sno,sd,run,spen,Atg4b,heix,mew,Dsp1,CG12084,kuz,dpp,px,emc,hep,Tlk,E(spl)m4-BFM,lilli,insc,aop,so,Gli,tutl,pzg,Snr1,Rpt2,Nab2,kay,lap,ey,tkv,lolal,CycB3,if,Eip78C,dve,aos,dap,cno,hrg,ft,bs,Hr4,nej,Amun,sty,Cul4,Sec61alpha,MESR4,Rga,Hsc70-4
40201	gig (gigas)	1.58600478136373e-12	-27.1698029779892	206	155	0.0332832295469186	4657	9028	40060,37005,32009,33210,37475,34184,31557,43839,39749,41290,53567,39955,37554,42127,39764,35678,35112,32510,34183,39106,39160,34287,42869,39454,33514,37580,40687,40739,37205,38542,32630,37798,42412,33966,31405,38418,35386,41138,42060,34885,40563,36915,37462,35173,37146,31009,36268,41798,38895,47396,37203,43385,44059,39408,33710,53569,36365,38983,41367,42186,40562,44747,43349,40607,48448,41666,39218,31243,38327,46243,36087,46020,42183,36466,32133,35523,31588,38199,40508,41957,36390,42862,43517,39683,50070,35793,31355,117332,38113,35100,47998,46662,38515,31846,39088,41071,36304,37662,39744,33214,41262,32119,36855,38231,34526,34952,36059,36160,44326,44030,38397,48971,34684,32568,35223,34665,43041,35003,32700,43862,39846,33139,34328,38654,34420,35988,37528,33185,43654,40661,326206,36981,40351,38824,41343,39377,39119,31097,36538,36321,33835,37628,40546,42595,34070,32168,43749,39768,32603,31943,39877,35539,36028,33854,39108	RpL26,eIF3-S8,Imp,RpI135,CG10306,CG13097,Rbcn-3A,eIF4G,mRpS31,TfIIFbeta,larp,U4-U6-60K,Rtf1,alt,Zn72D,CG1620,CG10333,CG8184,CG13096,path,iPLA2-VIA,CG4364,CG6182,Atg1,CG3605,RpS16,RpL13A,Rm62,cora,CG15019,Nup153,Nap1,CG42668,nop5,ctp,kst,CG9246,rump,Ns1,vig,eIF3-S10,RhoGEF2,mahj,Acn,CG30122,RpL36,CG13185,Rrp6,Ect4,Tor,hppy,Hrb98DE,RpL30,CG10418,Trip1,pins,CG8545,RpL14,Ranbp9,14-3-3epsilon,srl,msk,RpL4,Gnf1,CkIIalpha,sqd,CG6418,eIF3ga,MEP-1,poe,CG12909,NAT1,Non3,CG4679,Hsc70-3,mle,RpL7A,alphaCOP,Chro,Akt1,Iswi,Tsc1,ncd,AGO2,mask,RagC-D,CG6379,Rheb,CG9205,bsf,rin,l(2)09851,pav,Bap111,RpS17,RagA-B,Prp8,Fib,brm,RpLP1,sle,bif,RpLP2,alpha-Spec,RpL9,PRL-1,14-3-3zeta,Rpb5,mRpL12,msn,RpL28,Atpalpha,CG5787,CG8939,RanGAP,bun,Nup358,LSm7,RpS5a,HnRNP-K,UQCR-C2,S6kII,Dref,S6k,RpS27A,RpL31,Fmr1,kis,cindr,CG31550,CG11583,eIF3-S9,pzg,smid,RpS25,yps,CG3335,Ns3,tum,RpS11,eIF-4a,RpL23,CG9776,pit,Rack1,Tango4,faf,SsRbeta,nonA,CG2972,Int6,Ars2,CG1513,Fbw5,RpS9
34924	CycE (Cyclin E)	1.62299418672301e-12	-27.1467484092121	161	126	0.0270560446639467	4657	9028	40653,40835,44052,32009,34592,37723,31151,38244,33218,37247,45821,44448,40704,36854,37589,37859,35253,36775,36606,31293,43825,40833,38492,48317,39453,39764,38005,36692,35070,35584,49228,32321,40009,43718,42379,42453,246653,34132,37455,42936,38879,2768981,40133,38516,35364,39744,43906,35731,42757,2768677,42037,41694,38831,41783,33837,36497,42059,41612,39564,44915,39013,47396,32078,34411,38942,31535,38719,36571,44205,39884,192509,36238,37386,39480,34009,42446,39439,33432,38091,31391,43565,41737,41273,42000,44543,45922,41341,35851,32977,41363,40351,36041,40657,42737,39158,44830,42130,36001,36171,40314,42896,41181,32083,40843,33627,40990,36538,42693,42550,36461,39340,31746,44540,38424,33959,43466,40358,35780,42571,39440,34982,33721,36032,40548,41840,41062	PEK,Antp,Shc,Imp,crol,mi,arm,Rap1,ex,hpo,Abl,scrib,plx,Cdk4,RpS24,enok,spi,Rho1,phyl,N,sv,Scr,RfC4,ttk,CG42709,Zn72D,gsb,scb,CadN,Eb1,mod(mdg4),NFAT,hid,pygo,mira,Cdk2,CG30497,Btk29A,Egfr,ash2,pbl,Trl,ash1,ago,RPA2,brm,skd,sax,pnt,p53,abd-A,Nsf2,Rac2,kibra,lid,drk,Dad,sim,btl,DNApol-alpha60,dally,Tor,dsh,Cdk1,DNApol-alpha50,rux,CG7386,cg,spen,sina,CG12084,E(Pc),shg,RpS12,wg,Pi3K92E,ara,dpp,emc,peb,Axn,trx,hth,CSN5,enc,rap,Tctp,ptc,Ubqn,pros,pzg,Pka-R2,Snr1,hh,RasGAP1,kto,osa,dap,shn,fng,crb,hyd,dlg1,Ufl1,ft,Poxm,tum,Dcr-1,E2f1,Dp,CycA,Traf6,ct,sty,Rca1,stg,Pc,Cul4,glec,caup,dac,Rtnl1,Mef2,Skp2,Hsc70-4,pyd
38879	pbl (pebble)	3.05203312190947e-12	-26.5152131500392	145	115	0.0246940090186816	4657	9028	38489,44059,37116,32981,35693,32938,44339,35966,318825,43873,41145,38001,40640,43999,33500,43312,44238,39266,31722,47220,34192,40292,40429,33185,318206,31816,42392,34032,44672,31425,42093,36538,38017,48973,40314,36171,32838,35555,31289,43229,42971,39429,49070,34993,39572,40459,31429,39861,42160,34067,41446,35340,36542,38186,39293,39212,32340,42306,43466,43749,36411,38488,42550,43936,35253,33694,36854,35047,31596,39753,37734,47594,38244,31151,41094,34592,44817,42707,32999,35596,43832,39160,34924,34445,45280,48317,38515,36775,46006,34263,44548,42735,41675,38819,38831,33991,34118,43916,39505,39284,31659,32743,31678,31424,49701,39504,31074,38059,36329,34767,40248,45374,42059,32207,36395	Ack,RpL30,Dp1,Cdc42,Vps13,Pfrx,imd,wun,mRpL27,ras,mura,zip,Cerk,trbl,Rrp1,wdb,sip1,Ube3a,fs(1)h,Fur1,Sema1a,Pitslre,CycH,kis,Tlk,Moe,trem,RapGAP1,Lk6,Ptp4E,Sur-8,tum,Pdk1,Src64B,fng,shn,Wnt5,jing,CG3603,His2Av,CycB3,sti,Mbs,grp,nuf,Csp,ovo,Galphaf,htl,cdc14,aurA,dia,shot,CG13917,Mob2,simj,rdgB,vib,stg,faf,sca,Fit1,E2f1,Men-b,spi,CG15625,Cdk4,dl,pigs,Diap1,apt,aPKC,Rap1,arm,pum,crol,for,klg,amn,coro,PlexA,iPLA2-VIA,CycE,Myo31DF,cv-2,ttk,pav,Rho1,east,numb,lola,CenB1A,flfl,Sec63,Rac2,Mnn1,CG8419,Rok,flr,chrb,fz4,RhoGAPp190,CHES-1-like,CG44774,gish,CG10222,CG32812,Ptpmeg,Cam,B4,Ide,fwd,Dad,LIMK1,nemy
40358	Pc (Polycomb)	5.2117021731561e-12	-25.9801146008243	101	85	0.0182520936225038	4657	9028	40793,34924,36118,39551,40833,47900,36431,37859,40835,41090,37247,45830,44889,34377,43651,48552,34430,37601,40616,42853,41743,43819,38168,39564,37973,32100,37038,43906,53562,43788,41694,37065,36432,31181,31801,2768981,38389,32976,45655,39744,39765,40739,42034,31722,31869,43327,44830,33185,41737,35197,41550,36571,36238,117294,41168,34009,36612,34595,47763,32536,39217,38637,37476,44013,37069,41840,42550,34277,41785,32169,33212,36241,41704,3355136,43856,34569,43928,32762,39203,44703,32627,3354896,35555,42130,44505	gpp,CycE,psq,upSET,Scr,Taf5,Psc,enok,Antp,Kdm2,hpo,bur,ph-d,Utx,wts,Sam-S,TfIIB,RYBP,corto,SMC1,PR-Set7,pho,rho,btl,Dll,RpII215,grh,skd,tara,Hcf,Nsf2,stau,Su(z)2,ph-p,Caf1-180,Trl,Hsp83,dome,dom,brm,Taf4,Rm62,Ubx,fs(1)h,mxc,Sce,kto,kis,trx,brat,Vha55,cg,E(Pc),Dsp1,Scm,wg,Asx,esc,Abd-B,sd,tna,Eaf6,Tbp,sls,Pcl,Hsc70-4,E2f1,gcm,eff,Usp7,ebi,tou,rdx,Nipped-B,nej,salm,chm,e(y)1,E(z),lolal,SMC3,vtd,jing,osa,br
31151	arm (armadillo)	7.49827213183606e-12	-25.6163485043502	116	95	0.020399398754563	4657	9028	35761,38898,39659,42863,47877,42871,35780,43466,39340,42550,31425,36538,38047,43856,33627,40092,35430,32083,42896,43791,39833,44861,33753,31429,42889,31248,45307,35524,53439,42034,33529,33496,35197,43565,32256,33432,34009,38070,37386,41616,34519,44205,35756,41709,40240,34411,32078,39013,40958,43162,32703,44642,38890,38168,39375,42632,44843,42059,39228,3354977,40643,33245,39744,34910,42175,38879,37455,39157,38077,32221,43718,40009,41086,35070,36555,34924,37403,34445,41602,38082,41179,38515,31293,35253,39596,3355143,34881,36054,44801,3354987,45821,36390,43769,47594,34592	ACC,Arp3,Tak1,Sec10,tws,Apc2,Cul4,stg,CycA,E2f1,Ptp4E,tum,miple1,nej,ft,rept,tsh,dlg1,crb,lgs,aos,sdt,tkv,ovo,jar,sgg,fz,Src42A,pont,Ubx,Mad,lilli,brat,Axn,hep,dpp,wg,Hipk,shg,2mit,SCAR,spen,nito,foxo,eRF1,Cdk1,dsh,dally,puc,gro,baz,Apc,nmo,rho,ssp,lqfR,nkd,Dad,klu,MED21,CG14667,ds,brm,lace,MED17,pbl,Egfr,Cdk8,CG3402,CkIalpha,pygo,hid,hyx,CadN,mam,CycE,Magi,Myo31DF,CtBP,ebd1,trbd,pav,N,spi,dlp,p120ctn,Su(H),egr,bsk,tyn,Abl,Iswi,pan,aPKC,crol
31310	Myc (Myc)	1.68018867268177e-11	-24.8095299306574	164	126	0.0270560446639467	4657	9028	3772180,39720,36461,38208,31588,32299,32133,47121,43828,42985,35340,34982,39108,117369,36032,32068,48448,31097,33753,39377,41181,37368,42062,38055,30982,40990,3355136,42693,40092,33627,38033,35197,4379884,43654,37851,35246,32256,40661,43808,42743,32274,38824,43349,40700,53439,40657,38895,49809,47396,32001,33059,42935,35756,40679,36612,33432,39202,44059,33203,37386,42632,42086,41612,43723,37146,42087,38795,40958,43162,44030,36382,32613,38397,33214,326148,32119,36432,36855,42936,31106,38516,39744,31331,41138,43788,2768677,37733,33245,40411,12798452,33837,38231,38418,326214,31554,35678,31293,43825,32751,38103,31350,38005,31474,39454,39088,40687,37580,32813,37144,33418,39160,50070,40653,33218,34592,33210,53567,39753,37781,43236,46662,59172,41772,31665,47998,36146	Sxl,fwe,Dp,RpL23A,RpL7A,GstT4,Hsc70-3,dup,CaMKII,Osbp,dia,dac,RpS9,Desat1,Mef2,sisA,CkIIalpha,Ns3,tkv,yps,hyd,Act57B,Keap1,Atac3,sc,Poxm,Nipped-B,Dcr-1,rept,ft,thoc7,brat,CG34132,cindr,yki,ref(2)P,hep,CG31550,gw,cnc,REG,smid,RpL4,Atg17,pont,Snr1,Ect4,Rbp2,Tor,Atg8a,run,puf,nito,Vha26,Asx,dpp,hay,RpL30,Pi3K21B,shg,lqfR,beat-IIa,sim,RpL6,CG30122,Brf,Neos,puc,gro,msn,Sin3A,hang,RpL28,RpLP1,CG31523,bif,Su(z)2,RpLP2,ash2,sta,ago,brm,Mnt,rump,Hcf,p53,Pi3K59F,ds,CG11248,mir-308,lid,alpha-Spec,kst,vito,sqh,CG1620,N,sv,CG8188,Usp10,lva,gsb,Mlc-c,Atg1,RpS17,RpL13A,RpS16,upd1,CG5482,Rab5,iPLA2-VIA,mask,PEK,ex,crol,RpI135,larp,Diap1,TBPH,Ets97D,l(2)09851,Capr,put,brk,rin,LTV1
