TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
dme04013	MAPK signaling pathway - fly	1.05426596616953e-06	-13.7626657998582	93	72	0.0440906307409675	1633	3056	33432,36606,42757,3772082,32257,41136,32569,40660,42866,35524,44747,38657,39884,38831,33212,37216,326198,33392,39659,34096,37455,34380,41020,48317,37978,53560,35253,38321,44111,38424,37461,31883,36497,45994,42366,43656,33834,48973,31379,34132,36952,44030,40958,44052,34780,45278,44851,39833,43162,37149,36059,43319,36032,33753,34790,41363,32256,36054,36057,3354888,31667,31746,31221,41785,44353,32849,31391,39158,40009,44801,45959,43481	dpp,phyl,pnt,kay,lic,RhoL,vap,ksr,p38a,Src42A,msk,vn,sina,Rac2,ebi,Tab2,Krn,aop,Tak1,Cka,Egfr,CYLD,Mkk4,ttk,Atf-2,cic,spi,dos,slpr,sty,PTP-ER,lz,drk,fs(1)M3,Ask1,tll,chic,Src64B,bi,Btk29A,cnk,msn,puc,Shc,p38b,csw,raw,aos,gro,edl,14-3-3zeta,Mtl,Mef2,tkv,Sos,pros,hep,egr,Jra,rl,Dok,Traf6,Raf,eff,Shark,wgn,peb,RasGAP1,hid,bsk,mts,alph
ko04013	MAPK signaling pathway - fly	1.05426596616953e-06	-13.7626657998582	93	72	0.0440906307409675	1633	3056	43656,48973,33834,45994,42366,36497,31883,38424,37461,44111,38321,35253,53560,37978,48317,41020,34096,34380,37455,39659,37216,326198,33392,33212,39884,38831,38657,44747,40660,35524,42866,41136,32569,32257,3772082,42757,36606,33432,44801,40009,45959,43481,31391,39158,32849,41785,44353,31221,31746,31667,3354888,36057,36054,32256,41363,34790,33753,36032,43319,36059,37149,43162,39833,45278,34780,44052,44851,44030,40958,34132,36952,31379	tll,Src64B,chic,fs(1)M3,Ask1,drk,lz,sty,PTP-ER,slpr,dos,spi,cic,Atf-2,ttk,Mkk4,Cka,CYLD,Egfr,Tak1,Tab2,Krn,aop,ebi,sina,Rac2,vn,msk,ksr,Src42A,p38a,RhoL,vap,lic,kay,pnt,phyl,dpp,bsk,hid,mts,alph,peb,RasGAP1,wgn,eff,Shark,Raf,Traf6,Dok,rl,Jra,egr,hep,pros,Sos,tkv,Mef2,Mtl,14-3-3zeta,edl,gro,aos,csw,p38b,Shc,raw,msn,puc,Btk29A,cnk,bi
dme04391	Hippo signaling pathway - fly	2.47207506178737e-06	-12.9104526540291	61	50	0.0306184935701164	1633	3056	37247,33529,47594,32083,39013,39399,41783,36054,326198,34405,32351,44801,44861,48632,32703,45959,43673,32813,32849,33619,2768940,34924,33245,42734,252554,41885,47877,44448,2768677,37851,35430,37089,33218,37368,35340,42896,43651,32805,33627,44100,42186,41273,34179,32536,38657,34009,42634,36059,46156,35526	hpo,Mad,aPKC,dlg1,dally,app,kibra,egr,Krn,lft,jub,bsk,sdt,Act87E,baz,mts,dco,upd1,wgn,ed,Pp2A-29B,CycE,ds,Rassf,sav,Act88F,tws,scrib,p53,yki,tsh,fj,ex,Act57B,dia,crb,wts,upd2,ft,Patj,14-3-3epsilon,hth,d,sd,vn,wg,mats,14-3-3zeta,Gug,Act42A
ko04391	Hippo signaling pathway - fly	2.47207506178737e-06	-12.9104526540291	61	50	0.0306184935701164	1633	3056	39013,39399,32083,47594,33529,37247,32351,34405,326198,36054,41783,33245,34924,2768940,33619,32849,32813,43673,45959,44861,32703,44801,48632,41885,252554,42734,33218,37089,35430,37851,2768677,44448,47877,32805,33627,44100,43651,42896,35340,37368,38657,32536,34179,41273,42186,35526,36059,46156,42634,34009	dally,app,dlg1,aPKC,Mad,hpo,jub,lft,Krn,egr,kibra,ds,CycE,Pp2A-29B,ed,wgn,upd1,dco,mts,sdt,baz,bsk,Act87E,Act88F,sav,Rassf,ex,fj,tsh,yki,p53,scrib,tws,upd2,ft,Patj,wts,crb,dia,Act57B,vn,sd,d,hth,14-3-3epsilon,Act42A,14-3-3zeta,Gug,mats,wg
dme04144	Endocytosis	0.000167725950589794	-8.69317915698156	124	86	0.0526638089406001	1633	3056	42160,33014,40624,33458,32594,53554,34127,32850,37455,39881,40168,48973,32703,36383,40542,38961,32981,31144,43402,34505,42572,3355013,36999,41917,33379,34793,34785,40582,42265,33295,39735,42841,37356,37395,39564,38599,36775,40506,33418,36311,32537,42549,39766,43875,42642,47594,37387,35311,44263,35425,40036,40250,47408,39417,42509,33211,39964,37521,35783,42501,35900,36122,38750,31746,37581,41840,36699,43223,37218,37331,36337,33346,42852,35554,34803,31738,39866,38846,39572,38204,36810,42735,32777,45928,35933,40327	htl,Rab35,Vps37B,Hrs,SWIP,krz,Pvr,Rip11,Egfr,TSG101,Rab8,Src64B,baz,Amph,Vps24,Cbl,Cdc42,Vps26,WASp,Stam,lsn,Gprk1,Smurf,Arpc3A,Su(dx),Arpc1,Sec71,spartin,EndoA,Vps29,elgi,Rab7,sktl,Rbpn-5,btl,CHMP2B,Rho1,Arf79F,Rab5,wash,Chc,InR,Strumpellin,Ret,AP-2mu,aPKC,cpa,Arpc2,Sara,step,Chmp1,CG5498,Vps28,ArfGAP1,Usp8,AP-2alpha,Vps60,Vrp1,Asap,Rab11,babo,Git,CG10103,Traf6,Vps20,Hsc70-4,Arf51F,Lerp,EndoB,FAM21,garz,cpb,Hsp68,Pld,CenG1A,Smox,Dab,lqf,nuf,Vta1,Khc,CenB1A,Vps4,shi,shrb,siz
ko04144	Endocytosis	0.000167725950589794	-8.69317915698156	124	86	0.0526638089406001	1633	3056	33458,33014,42160,40624,39881,53554,32594,34127,32850,37455,40542,32981,31144,38961,40168,32703,36383,48973,42572,43402,34505,42265,40582,34785,33295,36999,3355013,33379,34793,41917,42841,39735,36775,38599,37395,37356,39564,33418,36311,32537,40506,47594,37387,43875,42642,44263,35311,42549,39766,42509,37521,33211,39964,40036,35425,40250,47408,39417,42501,35783,31746,41840,37581,38750,36122,35900,37331,37218,43223,36699,35554,42852,31738,34803,36337,33346,32777,38204,38846,39572,39866,42735,36810,35933,40327,45928	Hrs,Rab35,htl,Vps37B,TSG101,krz,SWIP,Pvr,Rip11,Egfr,Vps24,Cdc42,Vps26,Cbl,Rab8,baz,Amph,Src64B,lsn,WASp,Stam,EndoA,spartin,Sec71,Vps29,Smurf,Gprk1,Su(dx),Arpc1,Arpc3A,Rab7,elgi,Rho1,CHMP2B,Rbpn-5,sktl,btl,Rab5,wash,Chc,Arf79F,aPKC,cpa,Ret,AP-2mu,Sara,Arpc2,InR,Strumpellin,Usp8,Vrp1,AP-2alpha,Vps60,Chmp1,step,CG5498,Vps28,ArfGAP1,Rab11,Asap,Traf6,Hsc70-4,Vps20,CG10103,Git,babo,FAM21,EndoB,Lerp,Arf51F,Pld,Hsp68,Smox,CenG1A,garz,cpb,Vps4,Vta1,lqf,nuf,Dab,CenB1A,Khc,shrb,siz,shi
ko04320	Dorso-ventral axis formation	0.000324658506384561	-8.03273667764486	28	24	0.0146968769136558	1633	3056	44543,44505,33692,33392,38168,42752,37455,42757,3355150,39833,3354888,31358,45931,34524,31293,31221,31239,34521,47781,34648,41666,36497,34790,33611	enc,br,Cf2,aop,rho,orb,Egfr,pnt,AGO3,aos,rl,brn,spir,aub,N,Raf,egh,piwi,fs(1)K10,bru1,sqd,drk,Sos,capu
dme04320	Dorso-ventral axis formation	0.000324658506384561	-8.03273667764486	28	24	0.0146968769136558	1633	3056	42757,39833,3355150,3354888,31358,45931,34524,31293,44543,44505,33692,33392,38168,37455,42752,41666,36497,34790,33611,31221,31239,34521,47781,34648	pnt,aos,AGO3,rl,brn,spir,aub,N,enc,br,Cf2,aop,rho,Egfr,orb,sqd,drk,Sos,capu,Raf,egh,piwi,fs(1)K10,bru1
ko03018	RNA degradation	0.000327841430397048	-8.02298051038825	58	44	0.0269442743417024	1633	3056	33964,35339,40173,35003,31795,40711,32574,39722,42842,38693,39366,34541,39957,41226,37413,3772012,37372,32558,41552,42900,36766,36060,36583,43710,41798,32665,39408,32966,5740252,34364,42983,37070,40683,48782,34721,34901,37731,35382,35921,42880,34416,319033,38369,32045	Rat1,CG9323,Mtr3,LSm7,Trf4-1,CG2091,Tob,DCP2,LSm3,CG6610,Pop2,Ge-1,Edc3,CG3909,LSm1,CG17768,CG9344,Rrp47,Not10,Dis3,Rrp42,Pfk,Hsc70-5,PNPase,Rrp6,Rrp45,CG10418,Rcd-1,Not1,me31B,Trf4-2,pAbp,Rga,Mtr4,Ski6,CG15262,Rrp4,Mpp6,CG8777,twin,Cnot4,Rrp40,CG11486,Hsp60A
dme03018	RNA degradation	0.000327841430397048	-8.02298051038825	58	44	0.0269442743417024	1633	3056	35382,35921,34901,37731,319033,34416,32045,38369,42880,5740252,32966,32665,39408,48782,40683,37070,42983,34721,34364,41226,39957,37372,32558,37413,3772012,32574,39722,42842,34541,39366,38693,43710,36583,41798,36060,36766,41552,42900,35003,33964,40173,35339,40711,31795	Mpp6,CG8777,CG15262,Rrp4,Rrp40,Cnot4,Hsp60A,CG11486,twin,Not1,Rcd-1,Rrp45,CG10418,Mtr4,Rga,pAbp,Trf4-2,Ski6,me31B,CG3909,Edc3,CG9344,Rrp47,LSm1,CG17768,Tob,DCP2,LSm3,Ge-1,Pop2,CG6610,PNPase,Hsc70-5,Rrp6,Pfk,Rrp42,Not10,Dis3,LSm7,Rat1,Mtr3,CG9323,CG2091,Trf4-1
