TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00452	SH3DOMAIN	2.90410040431602e-09	-19.6571421660926	27	26	0.0280474649406688	927	2180	42491,5740318,35306,36084,8673992,36990,35783,39052,35378,35524,41718,36497,47260,39864,33262,34505,43775,42467,43654,45821,44111,48973,38231,42265,39136,39520	Cortactin,CG43729,RtGEF,CAP,Nost,POSH,Asap,nwk,Dap160,Src42A,Abi,drk,l(3)05822,Lasp,dock,Stam,Crk,Synd,cindr,Abl,slpr,Src64B,alpha-Spec,EndoA,SH3PX1,Abp1
PR00401	SH2DOMAIN	2.14668332723376e-06	-13.0515865454125	19	18	0.0194174757281553	927	2180	34132,32202,35524,32569,45278,44052,33203,36497,38677,44353,33262,3885637,45821,43130,43775,48973,32601,41398	Btk29A,CG43921,Src42A,vap,csw,Shc,Pi3K21B,drk,PVRAP,Shark,dock,CG33993,Abl,Lnk,Crk,Src64B,sl,Csk
PR00320	GPROTEINBRPT	0.000169217628787688	-8.68432492716692	57	38	0.0409924487594391	927	2180	41226,45432,47900,34153,32168,40698,34488,42272,318566,33212,34096,32581,33180,32544,38994,31903,34955,46662,36144,31744,42196,37467,31680,43490,41096,39955,45757,38199,42750,326115,38516,36199,42504,43978,34070,37727,36791,40386	CG3909,can,Taf5,Wdr82,Tango4,CG1109,CG6724,Smu1,CG34133,ebi,Cka,kat80,CG3436,Gbeta13F,Pex7,Lst8,CG4935,l(2)09851,CG12325,Gbeta5,CG8064,Rae1,Hira,Bub3,Vps15,U4-U6-60K,beta'COP,alphaCOP,wda,Atg16,ago,CG9062,slmb,Plap,Rack1,wmd,Lis-1,CG7611
PR00109	TYRKINASE	0.00017907601915414	-8.62770015426599	32	24	0.0258899676375405	927	2180	39659,37233,42160,45821,38489,40143,44353,39564,41398,34367,36442,53425,48973,44111,37455,42549,36283,41118,318600,34132,35207,43875,44355,35524	Tak1,Fak,htl,Abl,Ack,wnd,Shark,btl,Csk,Ror,Ack-like,Alk,Src64B,slpr,Egfr,InR,otk,FER,Wsck,Btk29A,dnt,Ret,drl,Src42A
PR00024	HOMEOBOX	0.00103326559883028	-6.87503100782669	38	26	0.0280474649406688	927	2180	40833,42110,32724,36239,37973,53446,31003,42037,40817,42544,35341,47763,32213,3355151,37322,2768974,35266,42537,32723,36039,36240,42547,40835,40834,35942,42034	Scr,Hmx,B-H1,inv,Dll,HGTX,vnd,abd-A,lab,C15,cad,Abd-B,CG11085,scro,lms,ind,bsh,bap,B-H2,eve,en,slou,Antp,ftz,unpg,Ubx
PR00031	HTHREPRESSR	0.00471876569685648	-5.35620801848633	12	10	0.0107874865156419	927	2180	33208,42542,36239,36240,37973,53446,35341,38005,35266,38254	al,lbe,inv,en,Dll,HGTX,cad,gsb,bsh,Dbx
PR00937	TBOX	0.0124969869047688	-4.38226771134903	8	7	0.0075512405609493	927	2180	39349,39039,33770,31379,39036,39038,33769	byn,Doc1,mid,bi,Doc3,Doc2,H15
PR00318	GPROTEINA	0.0124969869047688	-4.38226771134903	8	7	0.0075512405609493	927	2180	38765,37805,246420,3355131,36104,36384,39861	Galphai,Galphas,CG30054,cta,Galphao,Galphaq,Galphaf
PR00193	MYOSINHEAVY	0.0126714260104788	-4.3684057408262	13	10	0.0107874865156419	927	2180	34179,41955,35680,32028,42889,38001,35007,38153,34882,34445	d,Mhcl,didum,Myo10A,jar,zip,Mhc,Myo61F,ck,Myo31DF
PR00489	FRIZZLED	0.0138171097259879	-4.28184761956345	5	5	0.00539374325782093	927	2180	45307,40090,33196,31659,31023	fz,fz2,smo,fz4,fz3
