TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-DME-74160	Gene Expression	9.36344232252477e-17	-36.9071335885194	752	513	0.238382899628253	2152	3921	33991,42805,35196,36527,43231,32566,48782,31812,43385,45959,34488,43656,38248,42166,47900,39688,37662,42140,35713,43349,38878,44238,37589,3355109,33960,39999,39408,31022,36889,37859,32446,44392,44235,31442,32536,35374,36544,43426,37456,33111,47396,41531,42059,31881,44747,37467,41798,43103,31701,32910,42460,35408,38397,49816,33210,32587,32245,36913,43039,31903,37535,317878,3772012,33105,35176,31731,40436,36018,38033,33835,45432,38201,37430,41647,34149,35885,34184,42828,35660,37476,35099,44059,43449,35112,34411,39483,32257,319033,32617,117332,41343,33843,42693,33966,43481,32745,42880,39108,41226,40813,40060,32593,35454,33498,38369,44783,33909,41840,39313,34752,35571,31256,42048,41200,31681,41086,41552,31543,34721,36619,36142,35793,36321,32574,34416,42563,34526,39877,42816,39655,44150,37570,32153,39394,33305,39955,31000,37235,33259,39484,45525,46201,33952,31146,34430,38914,34549,38078,37292,31897,33837,34363,32953,42186,40173,38208,53443,31943,43427,37146,40960,43673,44250,42435,33300,33214,41670,45682,40174,43862,35453,41741,41147,32881,31567,33514,40193,44791,36638,32762,38073,42789,38637,40403,43284,37628,37036,39218,40617,42470,41758,326153,36766,34481,42994,5740468,43796,38283,36264,35512,40683,40201,34796,34484,39202,38937,36160,45329,33469,33953,43793,53578,41801,36951,35540,43906,37922,34608,40451,41138,31588,36130,34364,35539,37851,32851,35934,34669,39141,36360,40717,36387,42240,38693,33654,42520,39386,32665,41413,44409,48571,33235,39765,36396,39270,36059,37731,37840,31213,37554,39157,33982,44072,50007,41971,39774,39088,36702,31496,42825,41785,37849,41491,37413,34804,3771966,39433,36037,39957,35381,3346176,37769,42822,42196,40385,42515,34329,43358,43864,5740752,41290,37586,31130,31106,41804,31840,39331,35055,37925,33223,42761,2768973,44668,43331,36306,43728,37475,33712,38799,31732,35701,44728,33201,37254,35297,43532,5740252,36598,36886,3346235,39456,41498,39480,43169,43944,34432,43506,39961,47757,39669,32373,37803,2768940,41666,42209,46091,37414,40569,35098,42749,35109,40360,40240,42175,38983,32100,33738,44261,5740414,32966,42680,43904,36461,40987,31243,41437,36981,42464,41068,31059,40711,34287,40661,34658,39168,36855,32792,40529,42842,41807,31162,32663,35988,40378,48535,39763,44173,36314,34883,40639,33269,48312,42900,34754,32379,38593,36271,41957,37580,3885567,35931,35382,32222,48311,39366,41071,36658,39722,39164,35924,42802,40698,41475,43912,42385,41431,43723,31625,43549,34541,34999,33496,33569,43041,42342,44573,35886,39284,35422,32350,33033,38456,40593,36146,34359,36494,37618,40739,40687,37078,37684,319028,37767,3355041,44544,40563,40934,261631,3355010,43009,35003,31707,43808,33677,31205,45249,31009,42862,32168,34352,37305,39904,34527,43839,34090,47906,35192,40398,44830,34420,31012,31724,43749,36984,32700,43348,35523,43321,35921,36304,40654,32970,35926,37894,49636,41347,35787,35969,38454,35917,38720,37005,36144,39377,34673,36397,33513,44000,38912,41941,33180,42028,32338,34080,31483,33645,32274,37246,33964,37122,36999,40723,37372,33710,34309,36830,31738,31833,39658,40509,38527,32866,38756,33973,41674,31793,34370,32602,32630,40388,40429,49809,43816	Mnn1,Rpt5,l(2)37Cg,fl(2)d,Rb97D,eIF5,Mtr4,CG1789,Hrb98DE,mts,CG6724,tll,dre4,Cbp20,Taf5,mrn,Fib,CG7379,U2A,RpL4,eIF4E-5,sip1,RpS24,Parp,l(2)k09022,Eip75B,CG10418,RpL22,Psi,enok,RpL37a,Rpp30,bon,snf,sd,l(2)05287,AGO1,Cpsf100,twz,dod,Tor,Prosalpha2,Dad,CG16892,msk,Rae1,Rrp6,RpL27,bys,Ulp1,Syp,nrv3,RpL28,CycK,RpI135,caz,fne,CG8963,RpS27,Lst8,MED16,Nxf3,CG17768,Rpt6,Rpn3,CG1575,mub,Prosalpha7,thoc7,eIF-4a,can,CG17249,RpL29,CG9799,RpS13,CG30349,CG13097,Rpt2,Eaf,Tbp,ncm,RpL30,Rpn2,CG10333,Cdk1,SRm160,lic,Rrp40,eIF-2alpha,Rheb,RpS25,CG9107,Dcr-1,nop5,alph,IntS2,twin,RpS9,CG3909,Taf1,RpL26,CG9915,Tif-IA,Rbp9,CG11486,RpL37A,CG9548,Hsc70-4,TfIIEalpha,CG9293,CG17266,eIF2B-beta,CG16941,RpS29,NELF-B,hyx,Not10,raptor,Ski6,tra2,RpS15Ab,RagC-D,RpS11,Tob,Cnot4,RpI12,RpL9,Int6,Nup98-96,Prp31,RpS15Aa,CG4554,Upf1,thoc6,CG4896,U4-U6-60K,elav,RpL11,Clp,RpS4,eIF-4E,l(3)07882,nrv1,CG14805,TfIIB,MED24,Nup160,MED30,RpS18,RpS28b,lid,eEF1delta,RpS10b,14-3-3epsilon,Mtr3,RpL23A,SF2,CG2972,Slu7,CG30122,CG9667,dco,Cpsf160,EloB,IntS14,RpLP1,B52,eIF-3p40,Rpn1,HnRNP-K,RpL21,RpII15,RnpS1,Usp39,Rpt4,CG3605,CG14184,Ef1gamma,Rpn6,e(y)1,MED14,eIF-3p66,Eaf6,MED1,TfIIA-L,RpL23,CG5033,CG6418,CG12007,RpS30,CG8461,tho2,Rrp42,Nup107,Smg6,CG34213,Thd1,CG9018,Mtor,Gp210,Rga,gig,RpII33,CG6729,hay,CG7185,Rpb5,RpL12,Taf10,nrv2,bip2,Jafrac1,CycC,Prosalpha5,EcR,skd,Nurf-38,CG6686,RpLP0,rump,RpL7A,Mat1,me31B,Ars2,yki,CG6540,Prp38,nub,defl,Nup54,Rpn5,spt4,Cpsf73,CG6610,RpL27A,Nelf-A,CG5642,Rrp45,CG14718,Cbp80,heph,CG2807,Taf4,GLS,scyl,14-3-3zeta,Rrp4,IntS1,CG3071,Rtf1,Cdk8,snRNP-U1-70K,Ran,CG11985,asun,l(3)72Dn,RpS17,Hr51,IntS6,Ndc1,eff,RpL39,svp,LSm1,Smg5,CG9960,eIF-2beta,Adam,Edc3,E2f2,U3-55K,Nxt1,TfIIA-S,CG8064,Cdk12,SNF4Agamma,RpL13,CG4849,RpL10,CG34183,TfIIFbeta,Cdk9,Adar,sta,Nup93-2,Bx42,CG10907,CG5110,Fcp1,MED15,RpS3,Rpn12R,SmD1,btz,SmD3,pasha,CG10306,CG3756,MED4,CG2260,Rpt1,MED6,U2af38,sm,Taf13,RpS8,Not1,Tfb1,IntS8,scaf6,CG10754,MBD-R2,RpS12,RpL34a,sbr,holn1,IntS11,CycT,betaggt-II,CG7275,l(1)G0007,CG3735,Pp2A-29B,sqd,Nup43,Nup214,Xpd,Fip1,RpS26,EloA,CG15160,Tsr1,eRF1,MED17,RpL14,RpII215,Rpn11,eIF5B,Snoo,Rcd-1,Nup133,AMPKalpha,Dp,eIF4AIII,eIF3ga,CG31368,eIF3-S9,RpS20,CG11964,eIF4E-7,CG2091,CG4364,CG31550,Elf,CG6707,RpLP2,Taf8,CG14641,LSm3,RpS5b,Hr4,CG9609,RpL31,Hr78,Hrb87F,IntS9,hoip,SmF,TfIIS,Prosbeta7,dbe,RpII18,Dis3,RpL24,mRNA-cap,Srp54k,Ef1alpha48D,Akt1,RpS16,Dyrk3,alc,Mpp6,Tis11,Pkc53E,Pop2,RagA-B,Pcf11,DCP2,Taf2,tsu,Rpn9,CG1109,CG4810,SF1,MED25,glo,RpL6,nonC,eIF2B-alpha,Ge-1,Prosbeta4,lilli,Thor,Nup358,Nup58,MAPk-Ak2,Pgi,chrb,EF2,Nup93-1,l(1)G0004,Ubi-p63E,atms,LTV1,Prosalpha6,cbc,CycB,Rm62,RpL13A,Nup75,RpL22-like,CG31922,Ssrp,eIF-4B,Hnf4,eIF3-S10,Taf7,Rpb7,IntS3,CG11920,LSm7,mahe,gw,CG3294,kz,Ef1beta,RpL36,Tsc1,Tango4,RpL7,MED8,CG7728,Nup154,eIF4G,Wwox,Dek,l(2)37Cb,TfAP-2,kto,RpS27A,su(sable),Upf2,faf,cyp33,RpS5a,BCAS2,mle,RpS10a,CG8777,Prp8,RpL35A,Ranbp21,Phax,Rpn8,hrg,RpL3,Pbp49,prel,CG14977,Dbp45A,CG13298,eIF3-S8,CG12325,yps,pdm2,CG8771,CG3542,Spt6,ERR,Rbf2,CG3436,CG10324,Rtc1,SmE,RpL35,Dim1,REG,Rep,Rat1,CG5189,Smurf,Hpr1,CG9344,Trip1,RpS2,Nup62,Smox,CG7246,CG6888,Ssl1,TfIIEbeta,CG18259,CG10077,Gas41,omd,IntS4,Rsf1,U2af50,Nup153,Rpn10,CycH,Rbp2,MED26
R-DME-194315	Signaling by Rho GTPases	1.26398505173169e-06	-13.5812410884712	114	87	0.0404275092936803	2152	3921	44039,37233,34264,38017,37733,32207,39900,35526,37134,32531,38831,36775,49070,35237,32920,35340,36059,36497,42186,32083,31157,39429,3355131,33203,32016,35950,246497,3354888,43402,38898,38534,38338,31945,36329,32981,40205,42845,37890,32686,40462,42066,43319,41096,34519,32743,43892,39258,32623,43781,35311,38879,44013,32015,41917,35378,43916,5740235,37012,31729,42496,33048,36996,38695,43758,31554,38001,31075,43466,34790,41749,44289,33262,41718,42484,36538,38806,39561,34793,36915,42137,32078,45821,32522,35267,31474,35496,35306	Pak,Fak,Gdi,Pdk1,Pi3K59F,LIMK1,Exn,Act42A,GEFmeso,Rhp,Rac2,Rho1,Mbs,CG10188,Vav,dia,14-3-3zeta,drk,14-3-3epsilon,dlg1,Ocrl,sti,cta,Pi3K21B,sofe,Pkn,HSPC300,rl,WASp,Arp3,Cip4,Mrtf,RhoU,Cam,Cdc42,CG42674,Miro,bs,RhoGAP15B,Hem,cher,Mtl,Vps15,SCAR,RhoGAPp190,sif,IRSp53,Arp2,RhoGAP102A,Arpc2,pbl,sls,feo,Arpc3A,Dap160,Rok,RhoGAP1A,CG6424,CG2258,RhoGAP93B,RhoGAP19D,RhoGAP54D,CG13293,RhoGAP100F,sqh,zip,DAAM,stg,Sos,cv-c,flw,dock,Abi,Rlip,tum,RhoGEF4,Frl,Arpc1,RhoGEF2,CG43102,dsh,Abl,Graf,CdGAPr,Mlc-c,CG30440,RtGEF
R-DME-162582	Signal Transduction	1.47962909917824e-06	-13.4237191102592	717	450	0.20910780669145	2152	3921	44353,35701,31229,38831,43844,38244,53569,38957,32531,44275,38424,36041,38890,38654,35340,34166,35176,33105,42737,37822,34264,33204,35408,37741,38160,38765,49816,39900,31903,41709,43991,36109,39173,37733,39659,34882,45278,42265,35055,44274,34009,2768973,39198,33881,37890,39753,5740294,33432,43828,45343,42446,32083,43826,38321,43856,32624,37586,3354888,41602,32601,35309,41531,40664,47396,31309,44111,42059,31840,41398,44013,43654,44235,33534,34505,49779,33753,41290,140439,42066,35381,40462,32498,3355109,38285,32544,42515,34896,38503,36575,45959,42166,41785,44317,31144,35267,36966,38878,3355143,42805,33991,31554,39750,43758,43231,36992,36996,39157,33003,33048,37012,34772,43385,41718,42211,34633,41772,44289,36775,45247,42634,32746,36788,31364,41957,33529,31342,42848,41086,32920,35931,3355135,48311,40639,44279,43769,48312,36643,40081,43428,36670,38909,32981,35483,31945,38338,43481,36826,36298,41783,48535,32686,40333,39241,37455,117332,43775,33379,2768836,35970,41062,35950,31059,32016,36974,33721,44801,5740414,41917,38879,31826,42964,2768852,42739,42216,32623,43449,35944,31362,34411,34007,32275,31014,33185,43904,32115,43916,36461,44095,33295,38961,41601,3355013,40305,32569,44672,31425,43162,32202,35846,35851,33738,42828,32100,34284,53557,38021,32604,33474,39961,2768940,35496,35306,42169,41311,34969,31248,246420,34021,42865,42302,36018,42496,32919,33196,47594,31293,42341,33262,41704,41749,40144,39988,37400,31567,43839,38059,40193,36638,41550,34090,37134,35419,41673,43312,41770,42135,33165,37233,42160,40174,44642,35526,42862,41741,43718,64880,39259,38017,43838,3355041,32703,37805,48973,38846,38898,38651,38534,42935,43402,261631,38231,41144,47220,43673,44702,40679,44432,40205,42845,31016,34359,42186,36497,42509,33972,44307,43149,3355131,44885,32015,38657,35215,40180,38456,34636,35378,37562,44115,41096,33569,43275,45525,31151,39858,36748,33952,42313,36699,44573,39258,43892,53554,32078,42871,42802,36384,42137,33139,36915,34793,38978,38806,41431,36538,43651,31474,252554,31905,39564,34999,42936,40660,45821,39158,31075,38695,31543,34615,33467,41071,32754,35793,39751,34169,35045,34780,44263,32321,44409,36692,40388,48571,31902,43222,36059,35237,49070,32221,44039,40717,43999,34263,42866,40389,41087,32661,32207,35047,36329,35993,31738,49168,44098,41138,5740349,31589,39735,42428,42214,36104,37851,42817,8674098,34294,33953,31157,31169,41801,37356,33804,2768961,37727,36102,37122,34127,246497,32274,36951,42836,44052,32485,36999,40239,33203,43501,39429,10178880,40201,35311,34796,43781,40224,40090,38598,32817,42652,41941,45307,36160,34519,37894,42356,43319,43565,43662,31221,38454,32406,32743,35900,53439,39561,36411,41085,32838,31618,32522,35975,38001,43466,31729,34420,5740235,42484,39013,34955,37247,43749,34790,40575	Shark,Rpt1,boi,Rac2,Sox102F,Rap1,pins,Oseg1,Rhp,SoxN,sty,Pka-R2,nmo,S6k,dia,fy,Rpn3,Rpt6,hh,Sox14,Gdi,Plc21C,nrv3,Pde8,Ptp61F,Galphai,CycK,Exn,Lst8,foxo,Pten,whd,Dronc,Pi3K59F,Tak1,ck,csw,EndoA,CG5110,disp,wg,Rpn12R,Rbfox1,PDZ-GEF,bs,Diap1,CG41520,dpp,CaMKII,pk,Pi3K92E,dlg1,Actbeta,dos,nej,Pp2B-14D,Cdk9,rl,CtBP,sl,CG10947,Prosalpha2,Itp-r83A,Tor,dnc,slpr,Dad,Bx42,Csk,sls,cindr,bon,CG34393,Stam,PpD3,tkv,TfIIFbeta,Tre1,cher,E2f2,Hem,sog,Parp,CG32301,Gbeta13F,SNF4Agamma,Cul3,VhaM9.7-c,Sox15,mts,Cbp20,eff,CanB,Vps26,CdGAPr,qkr54B,eIF4E-5,p120ctn,Rpt5,Mnn1,sqh,mib1,RhoGAP100F,Rb97D,Rab4,RhoGAP54D,Cdk8,pico,RhoGAP19D,CG6424,kuz,Hrb98DE,Abi,CG7675,Ced-12,put,flw,Rho1,VhaPPA1-1,mats,beta-Spec,lbk,Fas2,Akt1,Mad,VhaAC39-1,Rox8,hyx,Vav,alc,Stlk,Pkc53E,Prosbeta7,arr,pan,RpII18,Spred,Mkp3,Pkc98E,Lap1,Nmt,Cdc42,Nipped-A,RhoU,Mrtf,alph,Vha44,SkpB,kibra,Hrb87F,RhoGAP15B,Ac78C,JIL-1,Egfr,Rheb,Crk,Su(dx),Fs,Pdk,pyd,Pkn,eIF4E-7,sofe,CG4853,Rtnl1,bsk,Snoo,Arpc3A,pbl,rdgA,nct,par-1,VhaAC39-2,Vha100-2,Arp2,Rpn2,VhaAC45,Tip60,Cdk1,Wnt4,mew,Roc1a,kis,AMPKalpha,Ptp10D,Rok,Dp,fus,Vps29,Cbl,CG8031,Gprk1,Pka-R1,vap,Lk6,Ptp4E,gro,CG43921,Cirl,ptc,Rpn11,Rpt2,RpII215,Pka-C1,esn,p130CAS,Fur2,daw,CycT,Pp2A-29B,CG30440,RtGEF,PP2A-B',Fdh,cact,sgg,CG30054,muc,Kal1,CG5555,Prosalpha7,RhoGAP93B,rictor,smo,aPKC,N,Vha13,dock,rdx,cv-c,CG8786,CG7430,ktub,Rpt4,eIF4G,Ptpmeg,CG14184,Rpn6,Vha55,Wwox,GEFmeso,Ac3,Lkb1,wdb,stumps,TyrRII,Zir,Fak,htl,Rpn1,Apc,Act42A,Tsc1,RpII15,pygo,chico,wls,Pdk1,mGluR,eIF-4B,baz,Galphas,Src64B,lqf,Arp3,Cralbp,Cip4,puf,WASp,Rpb7,alpha-Spec,by,Fur1,dco,Vha36-1,Vha26,IKKbeta,CG42674,Miro,SkpA,Prosalpha6,14-3-3epsilon,drk,Usp8,ihog,Vha16-1,Nf1,cta,mys,feo,vn,Pax,Ac76E,Ubi-p63E,Rab6,Dap160,qkr58E-2,Rgl,Vps15,Thor,Ser,eIF-4E,arm,Mo25,Diap2,nrv1,Dl,Arf51F,MAPk-Ak2,IRSp53,sif,krz,dsh,Apc2,Rpn9,Galphaq,CG43102,S6kII,RhoGEF2,Arpc1,rhea,RhoGEF4,glo,tum,wts,Mlc-c,sav,CG42797,btl,Prosbeta4,ash2,ksr,Abl,RasGAP1,DAAM,CG13293,raptor,Rh5,aph-1,RagA-B,CG42684,RagC-D,Notum,CG13398,Dif,p38b,Sara,NFAT,Cbp80,scb,Rpn10,heph,Gga,Tl,14-3-3zeta,CG10188,Mbs,CkIalpha,Pak,Rpn5,trbl,numb,p38a,VhaM9.7-b,Rel,if,LIMK1,dl,Cam,CG1902,Smox,l(2)37Cc,rasp,rump,CG34357,dx,elgi,Stat92E,Vha100-4,Galphao,yki,mbc,CanA-14F,und,nrv2,Ocrl,CG4313,CycC,sktl,CG11029,CG7369,wmd,RanBPM,CG5189,Pvr,HSPC300,REG,Prosalpha5,CG31140,Shc,Ac13E,Smurf,Rbbp5,Pi3K21B,Kul,sti,CG42853,gig,Arpc2,RpII33,RhoGAP102A,rdgC,fz2,CG10672,CrebB,Octbeta1R,Rbf2,fz,Rpb5,SCAR,Rpn8,bnl,Mtl,Axn,Sap-r,Raf,CG14977,rut,RhoGAPp190,babo,pont,Frl,sca,neur,Wnt5,C3G,Graf,Wnt2,zip,stg,CG2258,RpS27A,RhoGAP1A,Rlip,dally,CG4935,hpo,faf,Sos,5-HT2A
R-DME-212436	Generic Transcription Pathway	1.85660605139719e-06	-13.1967604405885	177	127	0.0590148698884758	2152	3921	40509,36130,37851,261631,39658,31162,40378,33223,31738,42880,43481,35055,37925,44544,39168,37767,43906,35540,31840,42059,33111,36999,47396,37456,37246,37122,37586,42186,33837,41801,33953,53578,37618,117332,43816,41552,36598,5740252,35931,39270,36059,38073,31681,3885567,41957,40429,36396,47906,34090,40193,44728,37535,37305,41741,42862,31903,34752,42520,38799,49816,33973,36387,35408,48312,42435,34883,42749,37414,42140,41491,39688,41785,40617,42385,38248,39961,43656,47757,36702,40403,43749,32574,34416,41498,34420,35793,41071,39157,39366,33991,31543,40398,38637,44830,36160,32257,38078,38912,41941,41290,36461,38456,43904,34411,32536,39202,38914,34796,44235,40201,37859,5740414,32966,40683,39284,35886,38454,42515,40385,32100,35969,33952,39999,42175,3355109,35381,5740468	Ssl1,Mat1,yki,Rpb7,CG6888,Hr4,Hr78,MED15,Smox,twin,alph,CG5110,Fcp1,Hnf4,CG6707,Ssrp,skd,EcR,Bx42,Dad,dod,Smurf,Tor,twz,Rep,CG5189,Cdk9,14-3-3epsilon,lid,CycC,nrv2,Jafrac1,CycB,Rheb,MED26,Not10,Tfb1,Not1,alc,scyl,14-3-3zeta,MED14,NELF-B,Dyrk3,Akt1,CycH,GLS,Dek,Wwox,CG14184,MED6,MED16,MED8,RpII15,Tsc1,Lst8,CG9293,Nelf-A,MED4,CycK,Gas41,spt4,nrv3,RpII18,EloB,TfIIS,EloA,Xpd,CG7379,svp,mrn,eff,CG12007,MED25,dre4,CycT,tll,betaggt-II,Hr51,MED1,faf,Tob,Cnot4,MBD-R2,RpS27A,RagC-D,RagA-B,Cdk8,Pop2,Mnn1,raptor,TfAP-2,Eaf6,kto,Rpb5,lic,MED30,ERR,Rbf2,TfIIFbeta,Dp,Ubi-p63E,AMPKalpha,Cdk1,sd,hay,MED24,RpII33,bon,gig,enok,Snoo,Rcd-1,Rga,chrb,Pgi,CG14977,SNF4Agamma,Cdk12,RpII215,prel,nrv1,Eip75B,MED17,Parp,E2f2,CG34213
R-DME-109704	PI3K Cascade	2.10261034158349e-05	-10.7697458723487	52	43	0.0199814126394052	2152	3921	47396,31059,37122,33203,34169,31543,117332,36497,38321,35793,42446,41071,38878,39564,43481,35055,3355041,45278,43999,38017,37733,64880,38454,42515,31903,42862,33569,42356,41096,39858,45525,42160,35931,43904,41673,38654,36059,43222,3355135,40193,40201,43839,41957	Tor,eIF4E-7,CG5189,Pi3K21B,CG13398,raptor,Rheb,drk,dos,RagC-D,Pi3K92E,RagA-B,eIF4E-5,btl,alph,CG5110,eIF-4B,csw,trbl,Pdk1,Pi3K59F,chico,CG14977,SNF4Agamma,Lst8,Tsc1,Thor,bnl,Vps15,Mo25,eIF-4E,htl,alc,AMPKalpha,Lkb1,S6k,14-3-3zeta,Tl,Stlk,CG14184,gig,eIF4G,Akt1
R-DME-3700989	Transcriptional Regulation by TP53	2.91235393532435e-05	-10.4439637982976	99	74	0.0343866171003717	2152	3921	35793,41498,41071,38637,31543,39366,34416,32574,42140,40617,39688,38248,47757,39961,42749,37414,35969,40683,39284,42515,35886,38454,32100,40385,39202,34796,40201,32966,37859,32257,36160,41290,43904,34411,42186,37586,53578,37618,117332,37767,47396,33111,37122,37246,42880,37925,35055,39168,36130,40509,261631,39658,36387,48312,42435,34883,42862,34752,31903,42520,41741,49816,36396,40429,41957,40193,5740252,36598,41552,36059,35931,39270,3885567,31681	RagC-D,MBD-R2,RagA-B,Eaf6,raptor,Pop2,Cnot4,Tob,CG7379,CG12007,mrn,dre4,betaggt-II,CycT,EloA,Xpd,prel,Rga,chrb,SNF4Agamma,Pgi,CG14977,RpII215,Cdk12,hay,RpII33,gig,Rcd-1,enok,lic,Rpb5,TfIIFbeta,AMPKalpha,Cdk1,14-3-3epsilon,Cdk9,Jafrac1,CycB,Rheb,Ssrp,Tor,dod,CG5189,Rep,twin,Fcp1,CG5110,CG6707,Mat1,Ssl1,Rpb7,CG6888,spt4,RpII18,EloB,TfIIS,Tsc1,CG9293,Lst8,Nelf-A,RpII15,CycK,GLS,CycH,Akt1,CG14184,Not1,Tfb1,Not10,14-3-3zeta,alc,scyl,Dyrk3,NELF-B
R-DME-5628897	TP53 Regulates Metabolic Genes	3.88014567962159e-05	-10.1570527657457	26	24	0.0111524163568773	2152	3921	41957,36396,40193,35055,40201,39658,39270,43904,35931,36059,41071,35793,42186,31543,117332,53578,35886,38454,31903,42862,42515,39284,37122,47396	Akt1,GLS,CG14184,CG5110,gig,CG6888,scyl,AMPKalpha,alc,14-3-3zeta,RagA-B,RagC-D,14-3-3epsilon,raptor,Rheb,Jafrac1,Pgi,CG14977,Lst8,Tsc1,SNF4Agamma,chrb,CG5189,Tor
R-DME-68886	M Phase	5.85520688011152e-05	-9.74559413462308	68	53	0.0246282527881041	2152	3921	3354896,33107,37618,36653,3354888,35001,42959,41804,37078,36302,31881,42816,31187,37467,3355136,45969,36830,36286,42853,44870,42825,46091,42209,38515,40232,34481,38640,32851,43041,36360,42342,35577,42524,39204,36440,35790,36264,35512,39879,40177,34527,42680,32630,33974,33782,34411,41830,36397,32627,32350,34549,48311,38167	vtd,Dd,CycB,SMC2,rl,glu,niki,Nup93-2,Nup75,CG8878,CG16892,Nup98-96,wapl,Rae1,Nipped-B,gwl,Nup62,pds5,SMC1,sub,Ndc1,Nup214,Nup43,pav,polo,Nup107,Sse,CG6540,Nup358,Nup54,Nup58,Rab2,Rab1,CG8009,Cap-G,Lpin,Mtor,Gp210,nudC,Grasp65,Nup154,Nup133,Nup153,SA,Lam,Cdk1,Mau2,CG8771,SMC3,Nup93-1,Nup160,Pkc53E,SA-2
R-DME-72203	Processing of Capped Intron-Containing Pre-mRNA	8.65764761366675e-05	-9.35448241744093	212	143	0.0664498141263941	2152	3921	48571,33235,42048,41413,32602,32630,44409,38693,34370,35571,35934,32851,33909,42240,48312,41840,36360,48535,35539,32866,33498,38756,44173,36314,40529,36830,41138,42842,37372,40723,34608,40661,33180,42028,41437,41068,33645,34080,39377,36397,36160,40987,33513,39483,38720,35099,38937,35112,34796,42680,32100,36264,35512,34481,49636,326153,40569,42209,46091,41666,32373,35523,36304,39218,43944,36984,38201,43348,34432,3346235,38033,40436,39456,3772012,35192,34527,33514,33201,37254,317878,32587,32245,33677,43862,41147,32881,41741,32168,41670,43331,36306,35003,261631,40960,42460,44250,31707,44668,37467,53443,39331,43427,37146,37078,41804,319028,31881,31840,43426,36494,40739,32350,34549,41290,43358,31442,39408,44238,33259,43041,42342,37769,39394,35713,31000,33305,39955,39655,43912,42166,42816,40698,42825,41431,35924,50007,43385,36527,43231,48782,36619,33982,36658	heph,CG2807,CG16941,CG14718,U2af50,Nup153,Cbp80,CG6610,Rsf1,CG17266,Prp38,CG6540,CG9548,Cpsf73,RpII18,Hsc70-4,Nup54,Hrb87F,Ars2,CG18259,Rbp9,CG10077,hoip,SmF,CG14641,Nup62,rump,LSm3,CG9344,Hpr1,CG6686,CG31550,CG3436,CG10324,CG31368,CG11964,Dim1,SmE,yps,CG8771,Rpb5,eIF4AIII,CG3542,SRm160,CG13298,ncm,CG7185,CG10333,RpII33,Nup133,RpII215,Mtor,Gp210,Nup107,hrg,tho2,Fip1,Nup43,Nup214,sqd,l(1)G0007,mle,Prp8,CG6418,sbr,cyp33,CG17249,BCAS2,holn1,scaf6,thoc7,mub,CG10754,CG17768,l(2)37Cb,Nup154,CG3605,U2af38,sm,Nxf3,caz,fne,CG3294,HnRNP-K,RnpS1,Usp39,RpII15,Tango4,B52,btz,SmD3,LSm7,Rpb7,CG9667,Syp,Cpsf160,mahe,SmD1,Rae1,SF2,CG10907,Slu7,CG30122,Nup75,Nup93-2,CG31922,CG16892,Bx42,Cpsf100,cbc,Rm62,Nup93-1,Nup160,TfIIFbeta,CG4849,snf,CG10418,sip1,Clp,Nup358,Nup58,Nxt1,thoc6,U2A,elav,CG4896,U4-U6-60K,Prp31,SF1,Cbp20,Nup98-96,CG1109,Ndc1,glo,tsu,CG11985,Hrb98DE,fl(2)d,Rb97D,Mtr4,tra2,snRNP-U1-70K,Pcf11
R-DME-380972	Energy dependent regulation of mTOR by LKB1-AMPK	0.000103924714874204	-9.17184381640207	20	19	0.00882899628252788	2152	3921	38454,31903,42515,42862,37122,47396,39858,41071,35793,31543,117332,3355135,43904,35931,41673,35055,43481,40193,40201	CG14977,Lst8,SNF4Agamma,Tsc1,CG5189,Tor,Mo25,RagA-B,RagC-D,raptor,Rheb,Stlk,AMPKalpha,alc,Lkb1,CG5110,alph,CG14184,gig
