TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP537	Translation Factors	0.0453177172816335	-3.09405721298688	38	29	0.0932475884244373	311	498	37070,36271,49809,44791,45249,45682,31256,32617,37846,36981,44261,32566,39433,45525,43549,33710,34363,36913,33835,3355041,40240,43736,42789,39877,36037,40653,35422,40563,43839	pAbp,Ef1alpha48D,Rbp2,Ef1gamma,Ef1beta,eIF-3p40,eIF2B-beta,eIF-2alpha,eIF-5A,eIF3-S9,eIF5B,eIF5,eIF-2beta,eIF-4E,eIF2B-alpha,Trip1,eEF1delta,CG8963,eIF-4a,eIF-4B,eRF1,Ef1alpha100E,eIF-3p66,Int6,Adam,PEK,EF2,eIF3-S10,eIF4G
WP565	DNA Replication	0.0915755264695977	-2.39059122128003	35	26	0.0836012861736334	311	498	38942,34423,38456,38661,35364,38989,44915,37290,40973,39014,38492,35679,36017,35686,40607,41296,37970,47121,40972,31052,32763,42553,41703,42758,31603,31598	DNApol-alpha50,RfC3,Ubi-p63E,DNApol-epsilon58,RPA2,Cdc6,DNApol-alpha60,PCNA,Mcm2,Mcm7,RfC4,dpa,Orc6,Orc1,Gnf1,Mcm5,Orc4,dup,RpA-70,CDC45L,CG8142,DNApol-alpha180,Orc2,DNApol-epsilon255,Mcm6,Cdc7
WP177	Eukaryotic Transcription Initiation	0.0915755264695977	-2.39059122128003	35	26	0.0836012861736334	311	498	40429,42822,39202,53573,40934,34430,36289,47900,32100,38527,261631,37476,37414,36160,39310,39688,33210,34796,48312,39313,41290,41741,40325,36598,36130,35297	CycH,TfIIA-S,hay,Ilk,Taf7,TfIIB,RpIII128,Taf5,RpII215,TfIIEbeta,Rpb7,Tbp,Xpd,Rpb5,CG7339,mrn,RpI135,RpII33,RpII18,TfIIEalpha,TfIIFbeta,RpII15,Sin,Tfb1,Mat1,Taf13
WP1204	Mismatch Repair	0.0938361321967511	-2.36620529248603	5	5	0.0160771704180064	311	498	39654,34842,40607,35119,35796	Msh6,spel1,Gnf1,tos,Mlh1
WP97	Wnt Signaling Pathway	0.129982243883446	-2.04035742336716	18	14	0.045016077170418	311	498	31404,42169,34009,42737,31669,35851,39013,43565,34284,42504,33196,31151,42871,31248	Pp2C1,PP2A-B',wg,hh,CBP,ptc,dally,Axn,Pka-C1,slmb,smo,arm,Apc2,sgg
WP208	Notch Signaling Pathway	0.152068567344184	-1.88342375890272	11	9	0.0289389067524116	311	498	31589,40314,30982,43275,36421,42445,43162,32078,34263	dx,fng,sc,Ser,vg,H,gro,dsh,numb
WP142	mRNA processing	0.158922857899675	-1.83933636493746	84	57	0.183279742765273	311	498	34648,44668,41294,33645,39408,39456,50007,31442,42693,48535,48571,36314,39483,43944,32587,33180,33259,40457,33909,43426,33235,41670,33514,53443,32100,35713,34432,32602,39377,35003,33982,250811,41138,44409,44250,33964,35192,37254,42853,33305,42460,36494,41704,39527,34080,49636,36306,35523,43415,32379,42240,42048,39955,32373,42937,36304,43358	bru1,SmD1,Rbp1,Dim1,CG10418,CG10754,CG11985,snf,Dcr-1,Hrb87F,heph,SmF,SRm160,sbr,caz,CG3436,Clp,Ddx1,CG9548,Cpsf100,CG2807,B52,CG3605,SF2,RpII215,U2A,holn1,U2af50,yps,LSm7,snRNP-U1-70K,bru2,rump,Cbp80,Cpsf160,Rat1,l(2)37Cb,sm,SMC1,CG4896,Syp,cbc,rdx,bru3,SmE,hrg,SmD3,mle,Doa,mRNA-cap,Cpsf73,CG16941,U4-U6-60K,l(1)G0007,CG6695,Prp8,CG4849
WP492	Hedgehog Signaling Pathway	0.207427214130614	-1.57297477612157	10	8	0.0257234726688103	311	498	34411,33196,37618,41965,40701,36382,35851,42737	Cdk1,smo,CycB,Bin1,Rab23,Sin3A,ptc,hh
WP3873	RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis	0.278519371056523	-1.27826766707305	9	7	0.022508038585209	311	498	42446,43991,41709,37235,37455,2768677,41957	Pi3K92E,Pten,foxo,RpL11,Egfr,p53,Akt1
WP281	Proteasome Degradation	0.362467489771634	-1.0148204920978	36	24	0.0771704180064309	311	498	40174,41531,36951,42802,40639,40717,36638,42805,37894,35176,34999,35998,36018,38456,31567,40388,42828,32274,33105,41785,34359,2768916,35701,43449	Rpn1,Prosalpha2,Prosalpha5,Rpn9,Prosbeta7,Rpn5,Rpn6,Rpt5,Rpn8,Rpn3,Prosbeta4,Uba1,Prosalpha7,Ubi-p63E,Rpt4,Rpn10,Rpt2,REG,Rpt6,eff,Prosalpha6,CG33303,Rpt1,Rpn2
WP269	Heme Biosynthesis	0.367170902261173	-1.00192786558376	8	6	0.0192926045016077	311	498	35986,39402,37815,43757,31817,44701	Updo,Pbgs,Alas,FeCH,CG1885,Coprox
WP279	Triacylglyceride Synthesis	0.403007039151348	-0.908801250311205	16	11	0.0353697749196141	311	498	33824,43350,53586,32230,39819,39611,35966,44887,43563,39820,37289	Gpdh,mino,Dhap-at,CG3812,CG4753,bmm,wun,mdy,Mgat2,CG4729,Hsl
WP3653	Equilibrium Signalling Pathway of Differentiated Cells	0.473639652972441	-0.74730847220177	7	5	0.0160771704180064	311	498	43532,34127,42737,42428,42816	RpS8,Pvr,hh,Stat92E,Nup98-96
WP551	TCA Cycle	0.482821298790665	-0.728108675589582	23	15	0.0482315112540193	311	498	35590,38447,44001,42586,35970,34021,39899,32940,39988,31605,43102,34414,31579,44149,36020	SdhB,Scsalpha,Sucb,CG6439,Pdk,muc,Nc73EF,l(1)G0156,CG7430,l(1)G0255,CG5028,Mdh1,kdn,Acon,PCB
WP568	Fatty Acid Biosynthesis	0.508432751488717	-0.676422321032248	12	8	0.0257234726688103	311	498	36536,40348,35761,46068,36020,36926,36540,34313	CG6543,AcCoAS,ACC,Acsl,PCB,CG6984,CG16935,yip2
WP25	Fatty Acid Beta Oxidation 3	0.757440720289789	-0.277810001704038	7	4	0.0128617363344051	311	498	34276,31695,36536,39988	Mtpalpha,CG10932,CG6543,CG7430
WP1201	Non-homologous End joining	0.848789524297458	-0.163944033538145	4	2	0.00643086816720257	311	498	34930,37564	Ku80,rad50
WP542	Electron Transport Chain	0.861797397073444	-0.148735074142111	48	27	0.0868167202572347	311	498	37809,40272,37946,39950,36159,43798,32007,39143,32434,39214,32764,44390,43829,42808,46069,44228,43693,37617,35590,32740,41845,31950,39846,31762,33744,37728,32936	CG3803,ND-39,ND-19,UQCR-Q,ND-B14,ND-49,sesB,ATPsynB,ND-B18,ND-13B,Ucp4A,RFeSP,ATPsynbeta,SdhD,ATPsynG,ND-PDSW,ATPsynC,blw,SdhB,ND-24,ATPsynO,ATPsyndelta,UQCR-C2,ND-75,ND-13A,levy,ND-18
WP39	Fatty Acid Beta Oxidation 1	0.911243600352556	-0.0929450186166532	18	9	0.0289389067524116	311	498	39611,36109,37289,46068,40787,37217,34276,40348,36536	bmm,whd,Hsl,Acsl,CRAT,CG7461,Mtpalpha,AcCoAS,CG6543
WP406	Mitochondrial LC-Fatty Acid Beta-Oxidation	0.929926300738205	-0.0726499424930662	11	5	0.0160771704180064	311	498	46068,37217,44183,36109,34276	Acsl,CG7461,ScpX,whd,Mtpalpha
WP187	Fatty Acid Beta Oxidation 2	0.931452074130626	-0.071010540472769	5	2	0.00643086816720257	311	498	34276,36536	Mtpalpha,CG6543
WP101	Synthesis and Degradation of Ketone Bodies	0.947584604007593	-0.0538390541832395	3	1	0.00321543408360129	311	498	31695	CG10932
WP3660	Humoral Immune Response to Fungal and Bacterial Pathogens	0.948507873391051	-0.0528651887548031	30	15	0.0482315112540193	311	498	32976,43222,36748,44339,34969,41087,40554,35047,42428,35045,39063,38419,37216,44432,39659	dome,Tl,Diap2,imd,cact,Rel,tub,dl,Stat92E,Dif,PGRP-LC,Drs,Tab2,IKKbeta,Tak1
WP443	Beta Oxidation Meta MAPP	0.953864422222967	-0.0472337327034196	23	11	0.0353697749196141	311	498	31695,39611,36109,39988,34276,36536,40348,37289,37217,40787,46068	CG10932,bmm,whd,CG7430,Mtpalpha,CG6543,AcCoAS,Hsl,CG7461,CRAT,Acsl
WP3830	Toll, IMD, JAK/STAT Pathways for Immune Response to Pathogens	0.963313770017535	-0.0373760946902525	45	23	0.0739549839228296	311	498	35045,38613,42821,32805,45908,40554,41087,32760,35047,43222,44339,37216,44432,39659,42428,39063,44801,31746,32534,34969,32976,32358,35927	Dif,Uev1A,Pli,upd2,nec,tub,Rel,Socs16D,dl,Tl,imd,Tab2,IKKbeta,Tak1,Stat92E,PGRP-LC,bsk,Traf6,PGRP-LE,cact,dome,ben,Su(var)2-10
WP421	Pentose Phosphate Pathway	0.970016752553057	-0.0304419369605907	6	2	0.00643086816720257	311	498	37804,35692	Taldo,CG30499
WP249	Beta Oxidation of Unsaturated Fatty Acids	0.980516297250884	-0.0196760121163188	4	1	0.00321543408360129	311	498	34276	Mtpalpha
WP1203	One Carbon Metabolism	0.991178176676178	-0.00886096598365761	12	4	0.0128617363344051	311	498	32471,47895,43699,38342	Ahcy,Nmdmc,CG1750,AhcyL1
WP144	Glycolysis and Gluconeogenesis	0.997061912395768	-0.00294241225649876	24	9	0.0289389067524116	311	498	36782,39988,34021,35886,43447,36020,34414,42620,36060	Got1,CG7430,muc,Pgi,Pglym78,PCB,Mdh1,PyK,Pfk
WP1205	Homologous Recombination	0.99733547313653	-0.00266808303358496	6	1	0.00321543408360129	311	498	37564	rad50
WP125	Biogenic Amine Synthesis	1.00000000001782	1.78196901678973e-11	9	0	0	311	498
