Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	99.0	2387068	-0.865
miRNA	6.0	51758	0.618
ncRNA	76.0	925379	0.120
TTS	1142.0	13498856	0.163
Exon	592.0	15458407	-0.980
Intron	2401.0	49840935	-0.649
Intergenic	1045.0	36634353	-1.405
Promoter	4877.0	19039859	1.761
5UTR	291.0	1504852	1.356
rRNA	0.0	7664	-13.362
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	99.0	2387068	-0.860
Other	1.0	33922	-1.353
RNA	0.0	13525	-13.362
miRNA	6.0	51758	0.623
ncRNA	76.0	925379	0.125
TTS	1142.0	13498856	0.168
LINE	45.0	6096484	-3.351
RC	0.0	554	-13.362
DNA	22.0	1399719	-2.260
Exon	592.0	15458407	-0.975
Intron	2257.0	41370791	-0.465
Intergenic	922.0	23796759	-0.959
Promoter	4877.0	19039859	1.766
5UTR	291.0	1504852	1.361
Low_complexity	21.0	795109	-1.511
LTR	91.0	10951629	-3.180
Simple_repeat	86.0	906945	0.333
Unknown	0.0	92061	-13.362
Satellite	1.0	1463755	-6.784
rRNA	0.0	49802	-13.362
