Tag Length (Average tag length = 28.130232)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000002
3	0.000033
4	0.000034
5	0.000060
6	0.000166
7	0.000150
8	0.000134
9	0.000124
10	0.000128
11	0.000279
12	0.000169
13	0.000139
14	0.000132
15	0.036570
16	0.049832
17	0.060482
18	0.058955
19	0.058692
20	0.052629
21	0.045690
22	0.041956
23	0.039082
24	0.034867
25	0.031956
26	0.030209
27	0.029987
28	0.027641
29	0.025916
30	0.025558
31	0.023515
32	0.021317
33	0.021137
34	0.019153
35	0.020420
36	0.019287
37	0.017421
38	0.015818
39	0.015409
40	0.014020
41	0.013021
42	0.012133
43	0.011489
44	0.010935
45	0.009549
46	0.009472
47	0.008970
48	0.008727
49	0.000597
50	0.000000
51	0.076039
