PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba2_ChIPnexus/Elba2_ChIPnexus_q10_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba2_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba2_ChIPnexus/Elba2_ChIPnexus_q10_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elba2_ChIPnexus_peak_2917	chrU	7316200	7316314	+	705	NA	Intergenic	(AATAG)n|Simple_repeat|Simple_repeat	-70613	NR_026615	7354454		NR_026615		Su(Ste):CR42421	CR42421|Dmel\CR42421	ncRNA	ncRNA
Elba2_ChIPnexus_peak_1578	chr3L	11091167	11091305	+	576	NA	promoter-TSS (NM_140178)	promoter-TSS (NM_140178)	50	NM_001274769	39243	Dm.20675	NM_140177		CG6272	BcDNA:GH10915|CT19628|DM10|Dmel\CG6272	CG6272	protein-coding
Elba2_ChIPnexus_peak_3413	chrX	21834860	21835028	+	571	NA	Intergenic	(CTATT)n|Simple_repeat|Simple_repeat	-11119	NM_001298593	33128	Dm.17217	NM_134614		CG14621	Dmel\CG14621|Slc35e1|lincRNA.1043	uncharacterized protein	protein-coding
Elba2_ChIPnexus_peak_1893	chr3L	20342822	20343033	+	528	NA	intron (NM_168845, intron 2 of 7)	intron (NM_168845, intron 2 of 7)	890	NM_176369	40240	Dm.2095	NM_140953		eRF1	CG5605|Dm0184|Dmel\CG5605|Group J|group J|l(3)00103|l(3)05637|l(3)77ABb|l(3)neo28	eukaryotic release factor 1	protein-coding
Elba2_ChIPnexus_peak_3184	chrX	11347317	11347483	+	522	NA	intron (NM_167285, intron 1 of 8)	intron (NM_167285, intron 1 of 8)	971	NM_001272521	32088	Dm.3712	NM_132488		Evi5	BcDNA:GH08923|BcDNA:LD11130|CG11727|Dmel\CG11727|MRE21	Ecotropic viral integration site 5	protein-coding
Elba2_ChIPnexus_peak_2938	chrU	10021939	10022115	+	521	NA	Intergenic	(CAATA)n|Simple_repeat|Simple_repeat	-7447	NR_133560	26067170		NR_133560		5.8SrRNA:CR45842	CR45842|Dmel\CR45842	5.8S ribosomal RNA:CR45842	rRNA
Elba2_ChIPnexus_peak_3397b	chrX	19760230	19760437	+	515	NA	promoter-TSS (NM_134517)	promoter-TSS (NM_134517)	106	NM_001258842	33000	Dm.31021	NM_134516		Hers	CG11936|CG15619|CG32529|Dmel\CG32529|HERS	Histone gene-specific Epigenetic Repressor in late S phase	protein-coding
Elba2_ChIPnexus_peak_499	chr2L	19127232	19127337	+	440	NA	promoter-TSS (NM_136103)	promoter-TSS (NM_136103)	24	NM_136103	35193	Dm.4597	NM_136103		l(2)37Cd	CG10563|Cd|Dmel\CG10563	lethal (2) 37Cd	protein-coding
Elba2_ChIPnexus_peak_2629	chr3R	19988628	19988804	+	440	NA	promoter-TSS (NM_058082)	promoter-TSS (NM_058082)	551	NM_079752	42870	Dm.13062	NM_079752		mRpS24	CG13608|Dmel\CG13608|MRP-S24|MrpS24	mitochondrial ribosomal protein S24	protein-coding
Elba2_ChIPnexus_peak_1519	chr3L	8991232	8991456	+	431	NA	promoter-TSS (NM_140022)	promoter-TSS (NM_140022)	60	NM_001274681	39035	Dm.10867	NM_140022		CG5087	Dmel\CG5087|NM_140022.1	CG5087	protein-coding
Elba2_ChIPnexus_peak_2342	chr3R	10482013	10482178	+	418	NA	promoter-TSS (NM_142122)	promoter-TSS (NM_142122)	-657	NM_142122	41776	Dm.11537	NM_142122		l(3)L1231	BEST:LD14744|CG7832|Dmel\CG7832|LD14744	lethal (3) L1231	protein-coding
Elba2_ChIPnexus_peak_853	chr2R	8039601	8039830	+	416	NA	promoter-TSS (NM_001169653)	promoter-TSS (NM_001169653)	-861	NM_001169653	36303	Dm.16147	NM_136890		CG8407	Dmel\CG8407	CG8407	protein-coding
Elba2_ChIPnexus_peak_3376	chrX	19180998	19181149	+	411	NA	intron (NM_133148, intron 1 of 3)	intron (NM_133148, intron 1 of 3)	-2239	NM_001169323	32924	Dm.219	NM_133148		CG8034	Dmel\CG8034	CG8034	protein-coding
Elba2_ChIPnexus_peak_2670	chr3R	21709702	21709865	+	409	NA	intron (NM_170245, intron 1 of 6)	intron (NM_170245, intron 1 of 6)	1487	NM_170245	43128	Dm.12003	NM_143180		SppL	CG17370|CG5901|Dmel\CG17370|SPPL3|Sppl|sppL	Signal peptide peptidase-like	protein-coding
Elba2_ChIPnexus_peak_1926	chr3L	21028432	21028606	+	400	NA	intron (NM_168881, intron 1 of 5)	intron (NM_168881, intron 1 of 5)	884	NM_168881	40327	Dm.1023	NM_168881		siz	CG10577|CG12980|CG12981|CG32434|Dmel\CG32434|Loner|loner	schizo	protein-coding
