TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH-like_dom_sf	2.29935158777872e-16	-36.0087343230732	137	111	0.0208842897460019	5315	11265	36643,40205,33552,38806,35715,2768892,39026,34398,33845,42672,35554,33849,33268,34882,3355013,43149,38017,38050,64880,34263,41656,40704,32698,35306,32028,35425,34790,36876,43892,32569,36028,36952,38785,35696,41144,38248,32601,36881,39907,41163,45928,33882,35237,41427,40361,37749,36915,36598,49968,35496,42412,33445,38488,39158,32746,41219,32920,34803,2768948,39866,37205,35971,38978,39900,34633,41425,38879,38113,43130,31224,42981,37233,39344,38059,40327,42203,31815,34237,37201,31031,41957,43041,37134,43402,38321,44052,33218,34030,42985,43163,34850,42050,41675,38945,34354,38418,5740131,32522,43916,31667,38406,35116,37767,37858,42735,35783,31816,33003,37707,40608,38928	Spred,CG42674,CG34394,RhoGEF4,LRR,CG42271,CG5026,CG5022,mtm,loco,Pld,CG12393,aru,ck,Gprk1,Nf1,Pdk1,RhoGEF3,chico,numb,yrt,plx,CG5004,RtGEF,Myo10A,step,Sos,unc-104,sif,vap,CG1513,cnk,melt,scra,by,dre4,sl,CG5522,Fit2,CG8312,shi,Pez,CG10188,Sbf,CG7324,CG30183,RhoGEF2,Tfb1,Cadps,CG30440,CG42668,Drp1,Fit1,RasGAP1,beta-Spec,Art4,Vav,CenG1A,Pura,Dab,cora,ced-6,rhea,Exn,Ced-12,CG17360,pbl,CG9205,Lnk,PsGEF,CG11168,Fak,Sprn,Ptpmeg,siz,PKD,CG12075,CG32982,ena,CG43867,Akt1,Nup358,GEFmeso,WASp,dos,Shc,ex,Ziz,Osbp,Exo84,osp,CG8907,flfl,GAPcenA,CG5734,kst,CG34383,Graf,Rok,Dok,CG14968,MESR3,Ssrp,gek,CenB1A,Asap,Moe,pico,CG3530,Cdep,cert
IPR000719	Prot_kinase_dom	1.41132345486133e-14	-31.8916634172863	221	160	0.0301034807149577	5315	11265	40560,37893,38890,32120,43916,40653,42366,41362,42187,42772,34411,3355134,41772,3355135,42289,43673,32207,44030,42447,42064,34348,40143,33139,38654,38489,47594,34993,5740442,49701,53425,34284,42453,43828,44353,32257,38649,42126,35731,38070,31877,36283,36442,31696,2768852,34127,39241,39732,31607,41673,44111,45969,35207,38433,43423,41446,37586,43792,31598,41398,34367,44801,36302,35524,36404,33758,40384,39564,34705,41020,43415,44039,40461,37203,35288,32256,42549,41957,318600,40232,40292,43814,35329,35522,37247,48311,41361,44817,48973,32948,34504,37858,32771,44573,32753,35950,39516,42866,40165,32221,36579,3355064,34780,42160,44355,42233,318206,35154,39429,53573,43508,36854,37233,40385,34831,31221,33965,42203,40391,35900,34132,45821,31248,42358,39454,37938,32631,43794,45970,3354888,3885567,5740349,43643,43904,43651,43999,40660,36706,41256,41995,41096,44672,43875,37455,42959,43428,37152,39157,44432,8674026,41118,3355013,38017,32538,39686,48448,37376,33753,32097,35758,39659	CG32944,Slik,nmo,PhKgamma,Rok,PEK,Ask1,KP78a,CG7156,CG10177,Cdk1,CG17528,put,Stlk,cdi,dco,LIMK1,msn,Lrrk,GckIII,CG4839,wnd,S6kII,S6k,Ack,aPKC,grp,bma,gish,Alk,Pka-C1,Cdk2,CaMKII,Shark,lic,Myt1,Mps1,sax,Hipk,Erk7,otk,Ack-like,Nek2,par-1,Pvr,JIL-1,sff,Pink1,Lkb1,slpr,gwl,dnt,Eip63E,CG1951,aurA,Cdk9,CaMKI,Cdc7,Csk,Ror,bsk,CG8878,Src42A,Mos,Bub1,SAK,btl,Pk34A,Mkk4,Doa,Pak,Srpk79D,hppy,lok,hep,InR,Akt1,Wsck,polo,Pitslre,bt,IKKepsilon,BubR1,hpo,Pkc53E,KP78b,for,Src64B,Tao,aurB,gek,mnb,MAPk-Ak2,CG8173,Pkn,CG10738,p38a,trc,CkIalpha,CG8485,Haspin,p38b,htl,drl,CG14305,Tlk,Nak,sti,Ilk,yata,Cdk4,Fak,Cdk12,Dyrk2,Raf,Wee1,PKD,Wnk,babo,Btk29A,Abl,sgg,Ire1,Atg1,Adck,mbt,Asator,S6KL,rl,Dyrk3,CG34357,CG12069,AMPKalpha,wts,trbl,ksr,SRPK,CG43143,Pak3,Vps15,Lk6,Ret,Egfr,niki,Pkc98E,Sik3,Cdk8,IKKbeta,Gyc76C,FER,Gprk1,Pdk1,CG8565,dop,CkIIalpha,CG3216,tkv,Drak,CG8726,Tak1
IPR001452	SH3_domain	1.65262639041854e-14	-31.7338255277295	64	59	0.0111006585136406	5315	11265	37218,32920,43775,36497,42840,33268,34882,5740318,39900,39258,38534,35524,36462,8673992,37014,50225,42491,38050,43654,45821,39136,44013,42601,34132,38231,41062,36990,36383,35306,36442,36084,44861,32569,42817,32522,42265,32601,42467,42050,41718,38418,44111,35783,35267,39864,37422,48973,39052,35378,34557,47260,38021,43404,39520,32083,34505,36176,31729,33262	EndoB,Vav,Crk,drk,CG13604,aru,ck,CG43729,Exn,IRSp53,Cip4,Src42A,Pex13,Nost,CG10933,Prosap,Cortactin,RhoGEF3,cindr,Abl,SH3PX1,sls,SKIP,Btk29A,alpha-Spec,pyd,POSH,Amph,RtGEF,Ack-like,CAP,sdt,vap,mbc,Graf,EndoA,sl,Synd,CG8907,Abi,kst,slpr,Asap,CdGAPr,Lasp,ASPP,Src64B,nwk,Dap160,Ca-beta,l(3)05822,p130CAS,spg,Abp1,dlg1,Stam,metro,CG2258,dock
IPR036028	SH3-like_dom_sf	1.17676354828117e-12	-27.4682532013911	68	60	0.0112888052681091	5315	11265	44111,35783,39864,35267,37422,48973,39052,35378,34557,47260,43404,38021,39520,32083,34505,36176,31729,33262,36084,44861,32122,42817,32569,32522,42265,32601,42467,42050,41718,38418,37014,50225,42491,38050,43654,45821,44013,39136,41062,34132,42601,38231,36990,36383,35306,36442,37218,32920,43775,36497,42840,34882,33268,39258,39900,5740318,38534,35524,36462,8673992	slpr,Asap,Lasp,CdGAPr,ASPP,Src64B,nwk,Dap160,Ca-beta,l(3)05822,spg,p130CAS,Abp1,dlg1,Stam,metro,CG2258,dock,CAP,sdt,FucT6,mbc,vap,Graf,EndoA,sl,Synd,CG8907,Abi,kst,CG10933,Prosap,Cortactin,RhoGEF3,cindr,Abl,sls,SH3PX1,pyd,Btk29A,SKIP,alpha-Spec,POSH,Amph,RtGEF,Ack-like,EndoB,Vav,Crk,drk,CG13604,ck,aru,IRSp53,Exn,CG43729,Cip4,Src42A,Pex13,Nost
IPR016024	ARM-type_fold	1.18895390812261e-12	-27.4579472642172	196	141	0.0265286923800564	5315	11265	35123,42497,31793,31874,37733,40201,44642,43312,44409,35336,40174,31247,40786,32970,44819,34378,43392,47396,246445,37708,42169,43242,3346238,44747,43839,33489,41943,41096,3355136,35340,33001,33974,35895,31724,35016,40950,40596,36286,38167,34633,35155,39329,2768940,42171,40626,318680,38303,43508,33960,42935,36732,37475,2768951,35099,34514,31151,33398,41675,43180,39858,39561,38721,38895,32566,31731,37840,37462,31625,33819,41094,35664,31842,43749,35209,39413,43149,41367,41068,41952,53436,32510,39141,36913,32608,31026,42517,37355,118436,40581,38785,43034,34785,42632,43449,40680,40127,39122,31187,39164,44531,32966,3355143,35483,43423,2768674,5740442,33235,34338,46020,32919,43762,42871,33211,35053,41158,32537,192509,40160,35925,35146,39034,42446,33778,32987,39240,43901,35865,31543,37570,35386,31142,35939,42130,37084,38675,32820,41189,31075,36440,43740,3355040	CG10383,CG7044,IntS4,ric8a,Pi3K59F,gig,Apc,wdb,Cbp80,Fs(2)Ket,Rpn1,PI4KIIIalpha,CG10286,Ranbp21,g,CG5604,htt,Tor,Rif1,CG3520,PP2A-B',CG5521,form3,msk,eIF4G,CG31694,Hel89B,Vps15,Nipped-B,dia,CG15618,SA,FANCI,Upf2,Cas,CG2747,ctrip,pds5,SA-2,Ced-12,Tango6,Pi3K68D,Pp2A-29B,cdm,Mms19,HEATR2,CG9004,yata,l(2)k09022,puf,Ranbp11,CG10306,CG33217,ncm,CG33129,arm,CG10880,flfl,CG6073,Mo25,Frl,Trn,Ect4,eIF5,CG1575,IntS1,mahj,nonC,bchs,pum,CG11123,AP-1gamma,faf,CG17349,CG32104,Nf1,Ranbp9,CG11964,msps,c11.1,CG8184,defl,CG8963,mei-41,CG16989,Smyd5,insc,Ranbp16,Karybeta3,melt,CG10420,Sec71,lqfR,Rpn2,kra,Ltn1,fry,wapl,Taf2,rg,Rcd-1,p120ctn,Nipped-A,CG1951,Fancd2,bma,CG2807,Pen,NAT1,rictor,CG2053,Apc2,AP-2alpha,Aac11,Kap-alpha3,Chc,CG12084,Kap-alpha1,Mys45A,CG10602,smg,Pi3K92E,Cap-D3,AP-1-2beta,CG7839,chb,stmA,raptor,CG4554,CG9246,CG14803,Rme-8,osa,CG5721,alphaKap4,betaCOP,CG16908,DAAM,Cap-G,nero,CG17514
IPR001849	PH_domain	1.40200654779198e-12	-27.2931166570047	71	62	0.0116650987770461	5315	11265	33849,2768948,34633,3355013,39158,2768892,38488,36915,38806,49968,42412,35496,32920,34803,32746,34237,42203,32698,35306,35425,34790,36876,31031,34132,41425,38113,64880,43130,38418,43163,42985,35696,34850,32601,31667,36881,5740131,32522,43916,37134,32569,43892,41957,34030,38785,38321,36028,36952,5740235,33003,45928,40608,41427,38928,35237,37749,32686,37858,39907,42735,35783,32729	CG12393,Pura,Ced-12,Gprk1,RasGAP1,CG42271,Fit1,RhoGEF2,RhoGEF4,Cadps,CG42668,CG30440,Vav,CenG1A,beta-Spec,CG32982,PKD,CG5004,RtGEF,step,Sos,unc-104,CG43867,Btk29A,CG17360,CG9205,chico,Lnk,kst,Exo84,Osbp,scra,osp,sl,Dok,CG5522,CG34383,Graf,Rok,GEFmeso,vap,sif,Akt1,Ziz,melt,dos,CG1513,cnk,RhoGAP1A,pico,shi,Cdep,Sbf,cert,CG10188,CG30183,RhoGAP15B,gek,Fit2,CenB1A,Asap,CG43658
IPR017441	Protein_kinase_ATP_BS	2.72402106070583e-11	-24.3263269031405	164	119	0.0223894637817498	5315	11265	34504,37858,32771,3355134,34411,44817,32948,48973,42289,44573,35950,43673,32207,40165,38654,38489,44030,42064,42447,33139,42866,41957,42549,40560,37893,32120,43814,35329,38890,35522,37247,41361,42366,40653,41362,48311,43916,36854,40385,42126,34831,38649,33965,31221,38070,35731,35900,36442,42203,31248,34132,45821,32221,36579,47594,42160,3355064,34780,34993,318206,49701,42233,53425,44353,42453,39429,34284,43828,41256,41995,41673,36706,38433,44672,43792,43875,31598,37586,41446,32631,2768852,39454,34127,43794,3885567,3354888,39732,39241,40660,43904,43651,41020,34705,43415,44039,48448,37203,33753,40461,35288,32256,39659,41398,37455,34367,42959,37152,36302,39157,43428,36404,33758,41118,35524,38017,39564,32538,3355013,40384	aurB,gek,mnb,CG17528,Cdk1,for,Tao,Src64B,cdi,MAPk-Ak2,Pkn,dco,LIMK1,trc,S6k,Ack,msn,GckIII,Lrrk,S6kII,p38a,Akt1,InR,CG32944,Slik,PhKgamma,bt,IKKepsilon,nmo,BubR1,hpo,KP78b,Ask1,PEK,KP78a,Pkc53E,Rok,Cdk4,Cdk12,Mps1,Dyrk2,Myt1,Wee1,Raf,Hipk,sax,babo,Ack-like,PKD,sgg,Btk29A,Abl,CkIalpha,CG8485,aPKC,htl,Haspin,p38b,grp,Tlk,gish,CG14305,Alk,Shark,Cdk2,sti,Pka-C1,CaMKII,CG43143,Pak3,Lkb1,SRPK,Eip63E,Lk6,CaMKI,Ret,Cdc7,Cdk9,aurA,mbt,par-1,Atg1,Pvr,Asator,Dyrk3,rl,sff,JIL-1,ksr,AMPKalpha,wts,Mkk4,Pk34A,Doa,Pak,CkIIalpha,hppy,tkv,Srpk79D,lok,hep,Tak1,Csk,Egfr,Ror,niki,Sik3,CG8878,Cdk8,Pkc98E,Mos,Bub1,FER,Src42A,Pdk1,btl,CG8565,Gprk1,SAK
IPR036236	Znf_C2H2_sf	5.84674824952907e-11	-23.5625503710166	265	177	0.0333019755409219	5315	11265	42143,42237,35260,41404,38063,33957,44505,33602,33657,38717,44786,34483,41042,36679,48785,31977,40594,42057,36170,37992,34328,33639,31912,31648,41768,37464,43398,32104,36156,32224,37730,33606,34568,35157,42736,34887,44272,31735,34292,42144,42767,35445,31070,39095,42145,38436,43070,34592,36603,31265,49638,14462577,36763,42393,2768685,42226,38718,40061,32353,34622,35198,31430,41423,40795,41395,41831,38159,319028,43795,39089,42717,33692,34908,39456,59239,41345,42300,38719,35135,43694,36024,41981,39539,42392,34906,37818,40789,43566,31611,31429,39764,326152,44548,35682,43572,32517,318709,38713,33861,33581,34784,42391,39548,39228,38012,34303,38817,35555,48317,2768719,37155,33077,192528,37379,34903,41355,36171,40643,43570,35427,34569,31660,43531,39721,45961,41041,32770,31913,41040,35262,35843,41038,32613,39697,40242,32994,38660,31577,38638,31391,36678,37785,32014,43924,39549,40375,40414,41837,43727,40309,40605,39947,45871,36571,41194,33225,38733,42413,32663,40351,33343,33224,31600,41848,38520,31743,43819,31572,42162,36087,31420,34177,31523,35770,36986,35430,33975	CG17802,CG31224,CG10462,CG18476,CG1233,sens-2,br,bowl,CG15436,D19B,nerfin-1,CG12299,M1BP,CG8089,wek,CG2889,CG14655,CG3995,CG12391,CG2790,Dref,CG17612,btd,CG3032,CG7987,CG10321,wdn,CG11696,CG30020,CG15725,pita,CG3407,salr,CG10431,CG31365,CG15269,tio,CG2116,zf30C,CG17801,CG4374,Clamp,CG11398,phol,CG7357,dar1,CG11902,crol,CG17385,dwg,drm,pre-lola-G,CG8388,CG4936,mld,fru,D19A,arx,mamo,Plzf,CG17568,CG32767,l(3)neo38,Zif,CG14711,CG6654,CG2199,CG31922,zfh2,MTF-1,lmd,Cf2,sna,CG10754,CG18764,CG6689,sqz,CG7386,ham,CG12054,CG12744,pad,Meics,trem,wor,CG3065,CG1024,ZIPIC,CG14441,ovo,Zn72D,erm,lola,az2,Sry-delta,CG8944,CG42726,CG13296,Kr-h1,sob,CG16863,CG4854,CG17361,klu,Kr,CG13123,CTCF,jing,ttk,luna,CG15073,CG1529,CG31381,CG10543,esg,CG31388,shn,CG14667,Sry-beta,CG31612,salm,CG9650,CG15514,CkIIalpha-i1,Pep,ranshi,CG6769,Sp1,CG8159,CG10631,rgr,nom,hang,CG7372,kin17,zld,CG13287,CG3847,Blimp-1,peb,chn,ken,CG2202,jim,CG17359,Neu2,CG11247,Art3,CG1792,CG11456,opa,CG18265,grau,cg,CG8478,ush,CG10147,CG4360,CG9609,pzg,chinmo,cbt,CG3224,Cp190,CG11586,CG10959,pho,CG12219,sr,CG12909,CG32772,fu2,CG12236,CG12769,MESR4,tsh,CG13775
IPR008271	Ser/Thr_kinase_AS	6.44207742179226e-11	-23.4655849538127	147	108	0.0203198494825964	5315	11265	41957,40560,40232,40292,37893,43814,38890,35522,32120,43916,48311,41361,40653,42366,41362,44817,34504,42772,37858,34411,32771,3355134,32753,44573,41772,35950,43673,42447,44030,40143,34348,33139,38654,40165,47594,32221,36579,34993,49701,42233,318206,39429,42453,34284,43828,32257,38649,36854,40385,42126,34831,38070,35731,31221,31877,40391,42203,35900,31248,42358,31696,39454,2768852,39241,3354888,3885567,39732,43643,43904,43651,31607,41673,36706,41256,41995,44111,41096,45969,44672,38433,37586,41446,43792,31598,42959,44801,43428,37152,36302,39157,44432,36404,33758,3355013,38017,32538,41020,34705,39686,43415,44039,48448,33753,40461,32097,35288,32256,39659	Akt1,CG32944,polo,Pitslre,Slik,bt,nmo,BubR1,PhKgamma,Rok,Pkc53E,KP78b,PEK,Ask1,KP78a,for,aurB,CG10177,gek,Cdk1,mnb,CG17528,CG8173,MAPk-Ak2,put,Pkn,dco,Lrrk,msn,wnd,CG4839,S6kII,S6k,trc,aPKC,CkIalpha,CG8485,grp,gish,CG14305,Tlk,sti,Cdk2,Pka-C1,CaMKII,lic,Myt1,Cdk4,Cdk12,Mps1,Dyrk2,Hipk,sax,Raf,Erk7,Wnk,PKD,babo,sgg,Ire1,Nek2,Atg1,par-1,JIL-1,rl,Dyrk3,sff,CG12069,AMPKalpha,wts,Pink1,Lkb1,SRPK,CG43143,Pak3,slpr,Vps15,gwl,Lk6,Eip63E,Cdk9,aurA,CaMKI,Cdc7,niki,bsk,Pkc98E,Sik3,CG8878,Cdk8,IKKbeta,Mos,Bub1,Gprk1,Pdk1,CG8565,Mkk4,Pk34A,dop,Doa,Pak,CkIIalpha,tkv,Srpk79D,Drak,lok,hep,Tak1
IPR013087	Znf_C2H2_type	2.72447178533729e-09	-19.7209912678638	297	190	0.0357478833490122	5315	11265	37155,33077,2768719,34903,41355,37379,192528,43570,40643,36171,31660,34569,2768981,35427,39721,32613,39697,35843,41498,41038,31913,41040,35262,45961,32770,41041,38638,31391,38660,31577,32994,40375,39549,43924,32014,37785,44027,33221,36678,40309,43727,40414,37209,41194,39947,36571,45871,41217,34560,40605,40720,40351,41391,42413,32663,40021,38733,33225,41848,31600,33343,33224,31743,42162,31572,43819,34177,31523,31420,32046,42322,35430,36986,40509,35770,33602,33657,41404,38063,33957,44505,42237,35260,42143,41073,44786,38717,36170,48785,36679,40594,31977,41042,43401,34483,32104,36156,43398,31648,37464,41768,31912,33639,37992,34887,44272,33606,37730,34568,42736,35157,32224,36685,42145,38436,43070,31070,39095,39613,42767,35445,38888,31735,34292,42144,42393,14462577,49638,36763,36603,31265,34592,34622,2768685,43676,42226,38718,32353,37923,38159,41831,31430,41395,40795,41423,35198,43795,64875,59239,34908,42717,33692,39089,38719,34992,42300,41345,41981,35135,43694,36024,44548,35682,39764,326152,31611,43566,40789,31429,39539,42392,34906,37818,33581,38713,33861,40693,32517,43572,318709,35555,48317,39548,34303,39228,38817,38012,38327,32579,42391	CG15073,CG1529,luna,esg,CG31388,CG10543,CG31381,Sry-beta,CG14667,shn,CG9650,salm,Trl,CG31612,CkIIalpha-i1,hang,CG7372,rgr,MBD-R2,nom,Sp1,CG8159,CG10631,Pep,CG6769,ranshi,Blimp-1,peb,CG13287,CG3847,zld,Neu2,CG17359,jim,CG2202,ken,sbb,CG4133,chn,CG11456,CG1792,CG11247,CG11906,CG8478,CG18265,cg,grau,Glut4EF,ab,opa,CG10979,pzg,CG6791,CG4360,CG9609,CG7271,CG10147,ush,Cp190,CG3224,chinmo,cbt,CG10959,sr,CG12219,pho,fu2,CG12236,CG32772,CG11122,CG5316,tsh,MESR4,Ssl1,CG12769,bowl,CG15436,CG18476,CG1233,sens-2,br,CG31224,CG10462,CG17802,E(var)3-9,nerfin-1,D19B,CG12391,wek,CG8089,CG14655,CG2889,M1BP,CG1647,CG12299,CG11696,CG30020,wdn,CG3032,CG10321,CG7987,btd,CG17612,CG2790,CG15269,tio,CG3407,pita,salr,CG31365,CG10431,CG15725,row,CG7357,dar1,CG11902,CG11398,phol,CG9425,CG4374,Clamp,CG8209,CG2116,zf30C,CG17801,CG4936,pre-lola-G,drm,CG8388,CG17385,dwg,crol,Plzf,mld,CG11317,fru,D19A,mamo,CG11414,CG2199,CG6654,CG32767,CG14711,Zif,l(3)neo38,CG17568,zfh2,disco-r,CG18764,sna,lmd,Cf2,MTF-1,CG7386,her,sqz,CG6689,pad,ham,CG12054,CG12744,lola,az2,Zn72D,erm,CG14441,ZIPIC,CG1024,ovo,Meics,trem,wor,CG3065,sob,CG13296,Kr-h1,MTA1-like,CG8944,Sry-delta,CG42726,jing,ttk,CG17361,CG13123,klu,CTCF,Kr,MEP-1,disco,CG4854
