PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q10_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q10_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Insv_ChIPnexus_peak_12067	chr3RHet	1955285	1955504	+	900	NA	intron (NM_001110982, intron 3 of 5)	FW_DM|LINE|Jockey	20188	NM_001110982	3355109	Dm.7847	NM_001110982		Parp	BEST:LD21673|CG17685|CG17696|CG17718|CG40411|D.PARP|Dm.pARTa|Dmel\CG40411|LD21673.3prime|PARP|PARP-1|PARP1|Parp1|dPARP|dmparp|parp	Poly-(ADP-ribose) polymerase	protein-coding
Insv_ChIPnexus_peak_9083	chr3R	3130197	3130451	+	862	NA	promoter-TSS (NM_001170068)	promoter-TSS (NM_001170068)	10	NM_001170068	8674002	Dm.37650	NM_001170068		CG42544	Dmel\CG42544|HCD12266	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_6965	chr3L	11869089	11869465	+	811	NA	intron (NM_001300108, intron 2 of 3)	intron (NM_001300108, intron 2 of 3)	-2938	NM_001169954	39344	Dm.23995	NM_140262		Sprn	CG14128|Dmel\CG14128|sprn	Spermitin	protein-coding
Insv_ChIPnexus_peak_8885	chr3R	1672455	1672713	+	781	NA	promoter-TSS (NM_141343)	promoter-TSS (NM_141343)	-358	NM_141343	40729	Dm.25464	NM_141343		CG14676	Dmel\CG14676	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_11915c	chr3R	26772249	26772620	+	776	NA	Intergenic	Intergenic	-9610	NM_143578	43666	Dm.27989	NM_143578		CG15550	Dmel\CG15550	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_13936	chrX	13314908	13315534	+	749	NA	TTS (NM_001169269)	TTS (NM_001169269)	7946	NM_132660	32301	Dm.155	NM_132660		Set2	CG1716|Dmel\CG1716|Hypb|SET2|dHypb|dSet2|set2	SET domain containing 2	protein-coding
Insv_ChIPnexus_peak_9806	chr3R	9111924	9112159	+	746	NA	exon (NM_001038961, exon 1 of 2)	exon (NM_001038961, exon 1 of 2)	210	NM_001038961	41630	Dm.27282	NM_001038961		CG15888	Dmel\CG15888	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_1722b	chr2L	13445536	13445924	+	741	NA	promoter-TSS (NM_135811)	promoter-TSS (NM_135811)	-79	NM_135811	34762	Dm.5879	NM_135811		CG9267	Dmel\CG9267|HADC[CG9267]|Q9VJX8	CG9267	protein-coding
Insv_ChIPnexus_peak_2906c	chr2R	2337540	2338106	+	740	NA	Intergenic	Copia_I|LTR|Copia	51454	NR_133106	26067392		NR_133106		CR46075	Dmel\CR46075|lincRNA.255	ncRNA	ncRNA
Insv_ChIPnexus_peak_12350	chrU	6140572	6140793	+	730	NA	Intergenic	Intergenic	22228	NR_125439	7354397		NR_125439		Su(Ste):CR42444	CR42444|Dmel\CR42444|RR41456	ncRNA	ncRNA
Insv_ChIPnexus_peak_12609b	chrX	1816794	1817137	+	723	NA	promoter-TSS (NM_130606)	promoter-TSS (NM_130606)	-49	NM_130606	31157	Dm.3547	NM_130606		Ocrl	CG3573|Dmel\CG3573|EG:86E4.5|dOCRL|ocrl	Oculocerebrorenal syndrome of Lowe	protein-coding
Insv_ChIPnexus_peak_5482d	chr2RHet	1359953	1360542	+	711	NA	Intergenic	Copia_I|LTR|Copia	-24199	NM_001110894	3354861	Dm.28163	NM_001015095		MFS17	BEST:LD07241|CG40263|Dmel\CG40263|bs24e02.y1	Major Facilitator Superfamily Transporter 17	protein-coding
Insv_ChIPnexus_peak_3952a	chr2R	9733710	9734201	+	709	NA	promoter-TSS (NM_137065)	promoter-TSS (NM_137065)	57	NM_137065	36534		NM_137065		CG30484	CG13342|Dmel\CG30484	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5715b	chr3L	1206367	1206963	+	707	NA	promoter-TSS (NM_079158)	promoter-TSS (NM_079158)	-706	NM_079158	38125	Dm.23958	NM_079158		LysB	CG1179|Dmel\CG1179|Lys B|lysB	Lysozyme B	protein-coding
Insv_ChIPnexus_peak_13053a	chrX	6119495	6120130	+	702	NA	promoter-TSS (NM_132072)	promoter-TSS (NM_132072)	132	NM_001258618	31555		NM_132072		dtn	CG14446|Dmel\CG14446|MRE2|lincRNA.S8753	detonator	protein-coding
Insv_ChIPnexus_peak_6355a	chr3L	6777725	6778275	+	700	NA	Intergenic	Intergenic	2205	NR_124821	19834999		NR_124821		CR45759	Dmel\CR45759|lincRNA.458	ncRNA	ncRNA
Insv_ChIPnexus_peak_13265d	chrX	7642267	7642732	+	699	NA	Intergenic	Intergenic	11105	NM_143746	44978	Dm.3000	NM_143746		Tom40	CG12157|Dmel\CG12157|dtom40|l(1)G0216|mit|ms(1)15|ms15|tom40	Translocase of outer membrane 40	protein-coding
Insv_ChIPnexus_peak_2774b	chr2R	590167	590471	+	698	NA	intron (NM_001273774, intron 10 of 21)	intron (NM_001273774, intron 10 of 21)	26203	NM_001169583	3355136	Dm.1465	NM_001042986		Nipped-B	CG17704|CG40281|Dmel\CG17704|NIPPED-B|NipB|l(2)02047|nipped-B	Nipped-B	protein-coding
