TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00326	SH3	1.33363046547761e-10	-22.7379460332076	61	53	0.0218827415359207	2422	5082	34882,31729,45821,35378,32083,42601,34505,32601,38021,43775,37218,39864,38050,42817,8673992,32920,37014,36462,5740318,48973,36442,42491,36383,42467,47260,44013,32522,35306,35783,44111,38418,42265,35524,37422,35267,34132,44861,42050,43404,36990,33262,38231,36176,39520,43654,38534,50225,32569,33268,36497,39052,39258,41718	ck,CG2258,Abl,Dap160,dlg1,SKIP,Stam,sl,p130CAS,Crk,EndoB,Lasp,RhoGEF3,mbc,Nost,Vav,CG10933,Pex13,CG43729,Src64B,Ack-like,Cortactin,Amph,Synd,l(3)05822,sls,Graf,RtGEF,Asap,slpr,kst,EndoA,Src42A,ASPP,CdGAPr,Btk29A,sdt,CG8907,spg,POSH,dock,alpha-Spec,metro,Abp1,cindr,Cip4,Prosap,vap,aru,drk,nwk,IRSp53,Abi
SM00233	PH	9.43592755572828e-10	-20.781326445859	67	56	0.023121387283237	2422	5082	38488,41957,34790,32746,38113,2768892,34030,42412,38785,49968,45928,32601,31031,43130,43892,36876,38928,32729,40608,32698,37858,32920,42985,31667,34237,38806,39907,64880,38418,35306,35783,33849,32522,34132,33003,32686,38321,34803,36952,41427,37749,5740235,36915,34850,36881,35237,35696,36028,32569,37134,43916,39158,5740131,41425,35425,42735	Fit1,Akt1,Sos,beta-Spec,CG9205,CG42271,Ziz,CG42668,melt,Cadps,shi,sl,CG43867,Lnk,sif,unc-104,cert,CG43658,Cdep,CG5004,gek,Vav,Osbp,Dok,CG32982,RhoGEF4,Fit2,chico,kst,RtGEF,Asap,CG12393,Graf,Btk29A,pico,RhoGAP15B,dos,CenG1A,cnk,Sbf,CG30183,RhoGAP1A,RhoGEF2,osp,CG5522,CG10188,scra,CG1513,vap,GEFmeso,Rok,RasGAP1,CG34383,CG17360,step,CenB1A
SM00220	S_TKc	3.69434469060825e-08	-17.1138775555896	167	114	0.0470685383980182	2422	5082	41020,38649,34705,34993,32948,43916,42203,32257,43651,34504,31696,41673,32097,33753,36302,39454,32221,42233,37938,36706,31248,47594,31877,42447,43415,35154,34831,38433,37247,48311,37152,32120,35950,36579,39516,41446,37858,35758,48448,32753,44817,43508,318206,44672,44030,36404,42358,42126,41361,42866,32771,38890,43999,42453,40385,44801,38070,39157,43904,2768852,39429,43423,39686,43673,40165,40232,33965,40143,35329,42187,40391,33758,33139,40653,35288,37586,31221,39659,43794,32256,44111,42366,3354888,40461,41256,37893,44573,43792,40292,43428,36854,31598,39241,41096,3355134,37203,34367,38654,34411,35731,41995,32538,49701,40560,34284,45969,35900,31607,34348,34780,41957,43828,44039,38017	Mkk4,Myt1,Pk34A,grp,Tao,Rok,PKD,lic,wts,aurB,Nek2,Lkb1,Drak,tkv,CG8878,Atg1,CkIalpha,CG14305,Adck,SRPK,sgg,aPKC,Erk7,Lrrk,Doa,Nak,Dyrk2,Eip63E,hpo,Pkc53E,Sik3,PhKgamma,Pkn,CG8485,CG10738,aurA,gek,CG8726,CkIIalpha,CG8173,for,yata,Tlk,Lk6,msn,Mos,Ire1,Mps1,KP78b,p38a,mnb,nmo,trbl,Cdk2,Cdk12,bsk,Hipk,Cdk8,AMPKalpha,par-1,sti,CG1951,dop,dco,trc,polo,Wee1,wnd,IKKepsilon,CG7156,Wnk,Bub1,S6kII,PEK,lok,Cdk9,Raf,Tak1,Asator,hep,slpr,Ask1,rl,Srpk79D,CG43143,Slik,MAPk-Ak2,CaMKI,Pitslre,Pkc98E,Cdk4,Cdc7,JIL-1,Vps15,CG17528,hppy,Ror,S6k,Cdk1,sax,Pak3,CG8565,gish,CG32944,Pka-C1,gwl,babo,Pink1,CG4839,p38b,Akt1,CaMKII,Pak,Pdk1
SM00355	ZnF_C2H2	5.48964334264391e-08	-16.7178174554513	271	172	0.0710156895127993	2422	5082	32014,32046,38436,34887,41391,32663,31611,31912,43694,41041,31391,34903,42413,43795,43924,39947,31420,42392,34906,42237,43572,40309,35260,31743,41355,40720,318709,33581,36156,36171,33639,36685,33957,44272,59239,38660,41768,33861,34560,34622,35198,38719,41404,42143,39228,38733,326152,43566,41040,48317,32579,42322,37818,45961,48785,44505,36170,36679,37923,39764,31648,41831,33692,42226,33077,34592,38817,40795,33657,44548,36986,40351,39549,34483,43398,34177,43676,33606,33224,43070,33225,39548,36603,14462577,31430,34568,31070,37379,32994,3772396,39721,37730,43727,38718,35427,37992,40414,41423,37464,38327,37785,36763,35843,49638,64875,41345,35555,39539,32613,41038,37155,41073,40643,36571,38717,37209,43401,40375,42300,32517,42393,41848,32770,42144,35157,31429,31572,34292,34908,35770,38159,42736,39697,42145,34303,31735,35682,43570,36678,34569,31265,38063,41042,31660,39095,31577,33343,40789,42391,36024,2768685,41194,35135,32224,40605,32353,38713,41981,35430,31523,35445,33602,32104,34992,41395,44786,31977,40594,45871,38638,42162,2768719	CG2202,CG11122,dar1,CG15269,CG6791,CG9609,CG14441,btd,CG12054,ranshi,peb,esg,CG4360,zfh2,jim,CG18265,CG32772,trem,wor,CG31224,Sry-delta,CG11456,CG10462,CG10959,CG31388,CG10979,CG42726,sob,CG30020,shn,CG17612,row,sens-2,tio,CG18764,CG13287,CG7987,Kr-h1,ab,Plzf,CG17568,CG7386,CG18476,CG17802,klu,CG10147,erm,ZIPIC,CG8159,ttk,disco,CG5316,CG3065,Pep,wek,br,CG12391,CG8089,CG11414,Zn72D,CG3032,CG6654,Cf2,fru,CG1529,crol,CTCF,Zif,CG15436,lola,MESR4,pzg,CG17359,CG12299,wdn,fu2,CG11317,CG3407,cbt,CG11902,ush,CG17361,CG17385,pre-lola-G,CG32767,salr,CG11398,CG10543,zld,seq,CkIIalpha-i1,pita,CG1792,D19A,CG31612,CG2790,CG11247,l(3)neo38,CG10321,MEP-1,ken,CG8388,rgr,drm,disco-r,CG6689,jing,Meics,hang,nom,CG15073,E(var)3-9,CG14667,cg,D19B,CG11906,CG1647,Neu2,sqz,CG8944,CG4936,Cp190,CG6769,CG17801,CG10431,ovo,CG12219,zf30C,sna,CG12769,CG2199,CG31365,CG7372,CG7357,CG13123,CG2116,az2,Sry-beta,chn,salm,dwg,CG1233,M1BP,CG9650,phol,CG3847,chinmo,CG1024,CG4854,CG12744,mld,CG8478,ham,CG15725,opa,mamo,CG13296,pad,tsh,CG12236,Clamp,bowl,CG11696,her,CG14711,nerfin-1,CG2889,CG14655,grau,Blimp-1,sr,luna
SM00252	SH2	1.76369021222118e-05	-10.9455171394627	29	25	0.0103220478943022	2422	5082	41398,43775,32601,35085,43584,34132,35524,45821,31987,32760,38677,41144,48973,36497,32569,3885637,44353,45278,32202,32920,43130,41118,33203,44052,33262	Csk,Crk,sl,Socs36E,CG15529,Btk29A,Src42A,Abl,spri,Socs16D,PVRAP,by,Src64B,drk,vap,CG33993,Shark,csw,CG43921,Vav,Lnk,FER,Pi3K21B,Shc,dock
SM00490	HELICc	3.3834676479546e-05	-10.2940243500357	73	52	0.0214698596201486	2422	5082	34364,53438,39202,31707,33185,32933,40530,39871,42693,36993,32742,33709,33835,32715,33680,35917,40739,41571,31205,44087,38756,39744,35192,40974,42543,34357,42314,40987,40959,45894,42595,40457,35339,40543,33118,37296,35112,32373,43080,32725,34311,35523,45826,41943,38905,39218,48782,39594,326208,36390,37860,45655	me31B,RecQ4,hay,mahe,kis,CG32533,abs,Dbp73D,Dcr-1,Dcr-2,CG5800,Marcal1,eIF-4a,CG8915,CG3225,Dbp45A,Rm62,mus308,kz,Rs1,CG10077,brm,l(2)37Cb,CG9630,Fancm,CG4901,Ino80,eIF4AIII,CG7878,lds,pit,Ddx1,CG9323,Suv3,Hlc,CG9143,CG10333,l(1)G0007,XNP,CG8611,Etl1,mle,bel,Hel89B,mus301,CG6418,Mtr4,RecQ5,CG32344,Iswi,CG4049,dom
SM00248	ANK	3.83720854076038e-05	-10.1681803052317	80	56	0.023121387283237	2422	5082	36122,39160,39368,35783,318909,31351,34969,43298,38055,37422,49070,37433,36396,2768995,36139,35395,43387,42447,36668,326173,39571,40032,30971,43770,35170,32718,50225,36824,44353,34874,39750,42735,42076,36427,42676,37199,50070,42981,39159,39747,34378,36696,31293,3355072,39438,38863,41816,41087,33303,39015,38865,37344,53573,39210,40046,31826	Git,iPLA2-VIA,rols,Asap,CG31715,CG6428,cact,CG42534,Atac3,ASPP,Mbs,CG42672,GLS,CG43980,dgo,CG8679,CG10011,Lrrk,Kank,CG44001,nan,MYPT-75D,G9a,Ank,mib2,f,Prosap,CG8060,Shark,l(2)35Be,mib1,CenB1A,m-cup,Sans,wake,CG15118,mask,CG11168,CG10809,Hip14,CG5604,CG8152,N,CG41099,sowah,Ank2,CG6966,Rel,CG5118,TrpA1,CG7457,Fem-1,Ilk,CG8003,CG14073,rdgA
SM00487	DEXDc	5.14287096620867e-05	-9.87531398769914	72	51	0.0210569777043765	2422	5082	36390,326208,39594,48782,45655,37860,34311,32725,38905,39218,41943,45826,35523,35339,40457,42595,45894,43080,35112,32373,37296,33118,42543,42314,34357,35192,40974,40959,40987,31205,41571,40739,39744,44087,38756,32715,38715,33680,35917,40530,39871,33835,33709,32742,36993,31707,53438,39202,34364,32933,33185	Iswi,CG32344,RecQ5,Mtr4,dom,CG4049,Etl1,CG8611,mus301,CG6418,Hel89B,bel,mle,CG9323,Ddx1,pit,lds,XNP,CG10333,l(1)G0007,CG9143,Hlc,Fancm,Ino80,CG4901,l(2)37Cb,CG9630,CG7878,eIF4AIII,kz,mus308,Rm62,brm,Rs1,CG10077,CG8915,CG7376,CG3225,Dbp45A,abs,Dbp73D,eIF-4a,Marcal1,CG5800,Dcr-2,mahe,RecQ4,hay,me31B,CG32533,kis
SM00360	RRM	6.96763407176293e-05	-9.57164974233246	125	81	0.0334434351775392	2422	5082	39919,34648,19834761,42752,31448,38937,35756,34370,41666,35924,38720,33968,43385,43087,36619,42166,32602,32293,42460,39049,32587,38811,39527,33305,41147,41670,31481,33652,41431,36981,3355041,31243,32009,34667,38605,47998,40529,37254,39119,42848,32866,36984,42958,40369,38795,32603,33982,45840,31000,53443,44095,37781,250811,35027,43467,39198,40562,3772180,32245,43231,48571,37070,42026,31023,41138,49809,37681,48535,44205,33498,37411,42957,35305,38526,39018,40673,41413,31442,41294,33677,43764	Rbp6,bru1,CG44249,orb,Rnp4F,CG7185,nito,Rsf1,sqd,tsu,CG13298,Hrb27C,Hrb98DE,msi,tra2,Cbp20,U2af50,Rbp1-like,Syp,bol,caz,lark,bru3,CG4896,RnpS1,B52,CG4119,CG15440,glo,eIF3-S9,eIF-4B,eIF3ga,Imp,Ref2,shep,rin,CG14641,sm,CG3335,Rox8,CG18259,cyp33,Saf-B,barc,Neos,nonA,snRNP-U1-70K,cpo,elav,SF2,fus,TBPH,bru2,CG12288,CG14506,Rbfox1,srl,Sxl,fne,Rb97D,heph,pAbp,nonA-l,fz3,rump,Rbp2,LS2,Hrb87F,spen,Rbp9,CG4266,CG5808,La,CG1316,orb2,CG2931,CG14718,snf,Rbp1,CG3294,mod
SM00314	RA	0.000598636421799201	-7.42085611942639	10	10	0.00412881915772089	2422	5082	33814,33881,42836,33003,44115,42734,40620,31987,42676,43096	rau,PDZ-GEF,CG31140,pico,Rgl,Rassf,cno,spri,wake,RASSF8
