TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	7.67520126789102e-10	-20.9878564129816	66	55	0.0188549880013713	2917	6231	41425,34030,31667,38321,40608,42412,43130,41957,36876,32601,42985,35237,32746,5740235,37134,34132,38785,38806,42203,34790,37858,36881,41427,32569,42735,34850,2768892,32920,35696,32522,38928,38113,33003,32698,39158,43916,35783,37749,34237,64880,36952,35306,36028,38418,45928,38488,5740131,49968,39907,34803,43163,33849,31031,43892,35425	CG17360,Ziz,Dok,dos,Cdep,CG42668,Lnk,Akt1,unc-104,sl,Osbp,CG10188,beta-Spec,RhoGAP1A,GEFmeso,Btk29A,melt,RhoGEF4,PKD,Sos,gek,CG5522,Sbf,vap,CenB1A,osp,CG42271,Vav,scra,Graf,cert,CG9205,pico,CG5004,RasGAP1,Rok,Asap,CG30183,CG32982,chico,cnk,RtGEF,CG1513,kst,shi,Fit1,CG34383,Cadps,Fit2,CenG1A,Exo84,CG12393,CG43867,sif,step
PS50002	SH3	7.81725626087105e-10	-20.9695172987308	63	53	0.0181693520740487	2917	6231	35378,48973,38418,32122,33262,38231,38534,39864,42467,35306,43775,44013,34882,39258,42265,43404,34505,5740318,44861,44111,39520,35524,32522,35267,8673992,42840,42491,35783,36462,42050,36442,34132,36383,43654,32569,42817,32920,31729,36497,33268,39052,45821,37014,38050,36176,33930,32083,37422,36990,41718,32601,47260,38021	Dap160,Src64B,kst,FucT6,dock,alpha-Spec,Cip4,Lasp,Synd,RtGEF,Crk,sls,ck,IRSp53,EndoA,spg,Stam,CG43729,sdt,slpr,Abp1,Src42A,Graf,CdGAPr,Nost,CG13604,Cortactin,Asap,Pex13,CG8907,Ack-like,Btk29A,Amph,cindr,vap,mbc,Vav,CG2258,drk,aru,nwk,Abl,CG10933,RhoGEF3,metro,Tango1,dlg1,ASPP,POSH,Abi,sl,l(3)05822,p130CAS
PS50011	PROTEIN_KINASE_DOM	3.4496518185805e-09	-19.4849925331467	221	146	0.0500514226945492	2917	6231	32207,42203,44353,31877,37858,37455,41398,32948,34993,34780,34504,43428,53425,43828,48973,31248,42187,32221,37247,36579,34411,3354888,34367,40143,42866,40232,44111,43792,43916,40391,35154,38433,318600,49701,33139,48448,34348,43415,31598,34705,41020,37152,42549,44817,44039,53573,43673,37893,32097,39659,36854,41957,44672,38890,42358,36404,39686,44030,32771,44355,35731,33758,38649,35207,40660,45970,39454,44573,41772,37586,34132,36442,37938,41446,42160,42233,35329,3355135,45969,34127,40385,40461,33753,39564,43508,39157,37203,43999,38070,36283,41096,42447,41673,35950,39241,42126,43904,42289,31696,43651,41361,40384,43875,32257,39429,44801,34284,42453,32631,8674026,2768852,32120,32538,31221,45821,38017,33965,40560,38489,318206,43423,35288,47594,48311,40653,32256,38654,40165,31607,41256,43794,41118,36706,34831,39516,42366,35758,37376,41995,32753,36302,35524,35900,37233,3355134,40292	LIMK1,PKD,Shark,Erk7,gek,Egfr,Csk,Tao,grp,p38b,aurB,Pkc98E,Alk,CaMKII,Src64B,sgg,CG7156,CkIalpha,hpo,CG8485,Cdk1,rl,Ror,wnd,p38a,polo,slpr,CaMKI,Rok,Wnk,Nak,Eip63E,Wsck,gish,S6kII,CkIIalpha,CG4839,Doa,Cdc7,Pk34A,Mkk4,Sik3,InR,for,Pak,Ilk,dco,Slik,Drak,Tak1,Cdk4,Akt1,Lk6,nmo,Ire1,Mos,dop,msn,mnb,drl,sax,Bub1,Myt1,dnt,ksr,S6KL,Atg1,MAPk-Ak2,put,Cdk9,Btk29A,Ack-like,Adck,aurA,htl,CG14305,IKKepsilon,Stlk,gwl,Pvr,Cdk12,Srpk79D,tkv,btl,yata,Cdk8,hppy,trbl,Hipk,otk,Vps15,Lrrk,Lkb1,Pkn,JIL-1,Mps1,AMPKalpha,cdi,Nek2,wts,KP78b,SAK,Ret,lic,sti,bsk,Pka-C1,Cdk2,mbt,Gyc76C,par-1,PhKgamma,CG8565,Raf,Abl,Pdk1,Wee1,CG32944,Ack,Tlk,CG1951,lok,aPKC,Pkc53E,PEK,hep,S6k,trc,Pink1,CG43143,Asator,FER,SRPK,Dyrk2,CG10738,Ask1,CG8726,CG3216,Pak3,CG8173,CG8878,Src42A,babo,Fak,CG17528,Pitslre
PS50157	ZINC_FINGER_C2H2_2	5.66802124041367e-08	-16.6858406747044	273	171	0.0586218717860816	2917	6231	44027,31577,43401,31429,35445,38436,41848,43570,32517,36603,34592,41042,33861,31912,33957,33602,38717,31523,34560,34887,36171,39228,36685,36678,33692,37730,31735,39539,35135,34906,36156,34568,38063,3772396,32046,32994,35157,40720,31611,36024,40795,31430,326152,39548,34483,38713,40351,42736,33224,31648,42393,33581,43572,37379,38718,32224,37464,43795,38159,31660,35843,35198,41831,42237,41040,45961,41038,41194,36763,41768,49638,35682,34903,33606,43727,34908,43676,32104,41073,38719,42391,37785,42143,31070,34622,41395,42145,34303,36679,40375,31391,34992,39549,31420,41041,32014,40309,31572,41355,40021,39095,42162,35260,43398,59239,44505,33639,64875,37155,31600,36986,43070,44272,41404,40789,39697,34292,41981,318709,42413,33657,42144,36170,35430,31265,41423,32579,48317,44548,2768719,39947,34569,31743,41345,41391,38638,32613,42300,31977,35770,38733,32663,35555,36571,37209,40693,33343,42392,42226,38660,45871,38817,40414,48785,43924,40605,43566,40594,37818,39721,41498,33225,14462577,40643,44786,32353,2768685,34177,35427,33077,43694	sbb,CG3847,CG1647,ovo,Clamp,dar1,Cp190,Sry-beta,CG8944,CG17385,crol,M1BP,Kr-h1,btd,sens-2,bowl,D19B,CG12236,ab,CG15269,shn,klu,row,chn,Cf2,pita,CG2116,Meics,ham,wor,CG30020,salr,CG1233,seq,CG11122,zld,CG10431,CG10979,CG14441,CG12744,Zif,CG32767,erm,CG17361,CG12299,CG13296,pzg,CG31365,cbt,CG3032,CG4936,sob,Sry-delta,CG10543,D19A,CG15725,CG10321,zfh2,CG2199,CG9650,rgr,CG17568,CG6654,CG31224,CG8159,Pep,nom,CG8478,CG8388,CG7987,drm,az2,esg,CG3407,CG1792,sna,CG11317,CG11696,E(var)3-9,CG7386,CG4854,ken,CG17802,CG11398,Plzf,CG14711,CG7357,CG13123,CG8089,Neu2,peb,her,CG17359,CG32772,ranshi,CG2202,CG11456,CG12219,CG31388,CG7271,phol,sr,CG10462,wdn,CG18764,br,CG17612,disco-r,CG15073,CG3224,MESR4,CG11902,tio,CG18476,CG1024,CG7372,zf30C,pad,CG42726,CG4360,CG15436,CG17801,CG12391,tsh,dwg,l(3)neo38,disco,ttk,lola,luna,CG18265,salm,CG10959,CG6689,CG6791,Blimp-1,hang,sqz,CG2889,CG12769,CG10147,CG9609,jing,cg,CG11906,MTA1-like,chinmo,trem,fru,CG13287,grau,CTCF,CG11247,wek,jim,opa,ZIPIC,CG14655,CG3065,CkIIalpha-i1,MBD-R2,ush,pre-lola-G,CG14667,nerfin-1,mamo,mld,fu2,CG31612,CG1529,CG12054
PS00028	ZINC_FINGER_C2H2_1	8.41788905723554e-08	-16.2903216529216	287	178	0.0610215975317107	2917	6231	59239,44505,42162,35260,43398,41355,39095,40309,32014,37923,31572,31420,41041,39549,31391,33657,39764,318709,34292,41981,42413,43070,41404,44272,40789,39697,41217,37155,31600,36986,64875,33639,35555,36571,37209,40693,33343,42392,2768981,32663,31977,35770,38733,38638,32613,42300,44548,39947,2768719,34569,41391,41345,31743,48317,32579,31265,36170,42144,35430,41423,33077,43694,2768685,39613,34177,35427,41498,32353,44786,40643,40414,48785,40594,43924,40605,43566,37818,39721,38817,45871,38888,42226,38660,31523,34560,37992,38717,33602,33861,31912,33957,43570,32517,34592,36603,41042,31429,43401,35445,41848,38436,31577,44027,40720,40795,31611,36024,326152,38327,31430,32046,35157,32994,36156,34568,38063,3772396,35135,34906,39539,31735,33692,37730,36678,34887,39228,36171,42237,41040,35198,41831,31660,35843,38159,37379,38718,32224,37464,40509,43795,33224,31648,42393,33581,43572,40351,38713,42736,39548,34483,34303,42145,36679,40375,38603,41395,42143,31070,34622,32104,41073,32770,42391,38719,37785,33606,43727,43676,34908,48071,34903,35682,45961,41194,41038,41768,36763,49638	CG18764,br,sr,CG10462,wdn,CG31388,phol,CG11456,CG2202,CG11414,CG12219,CG32772,ranshi,CG17359,peb,CG15436,Zn72D,CG42726,zf30C,pad,CG4360,CG11902,CG18476,tio,CG1024,CG7372,Glut4EF,CG15073,CG3224,MESR4,disco-r,CG17612,jing,cg,CG11906,MTA1-like,chinmo,trem,Trl,CG9609,CG2889,CG12769,CG10147,Blimp-1,hang,sqz,lola,CG18265,luna,salm,CG6791,CG6689,CG10959,ttk,disco,dwg,CG12391,CG17801,tsh,l(3)neo38,CG1529,CG12054,mld,CG9425,fu2,CG31612,MBD-R2,mamo,nerfin-1,CG14667,CG11247,wek,CG14655,jim,opa,ZIPIC,CG3065,CkIIalpha-i1,CTCF,grau,CG8209,fru,CG13287,CG12236,ab,CG2790,D19B,bowl,Kr-h1,btd,sens-2,Sry-beta,CG8944,crol,CG17385,M1BP,ovo,CG1647,Clamp,Cp190,dar1,CG3847,sbb,CG10979,Zif,CG14441,CG12744,erm,MEP-1,CG32767,CG11122,CG10431,zld,CG30020,salr,CG1233,seq,ham,wor,Meics,CG2116,Cf2,pita,chn,CG15269,klu,shn,CG31224,CG8159,CG17568,CG6654,CG9650,rgr,CG2199,CG10543,D19A,CG15725,CG10321,Ssl1,zfh2,cbt,CG3032,CG4936,sob,Sry-delta,pzg,CG13296,CG31365,CG17361,CG12299,CG13123,CG7357,CG8089,Neu2,CG4603,CG14711,CG17802,CG11398,Plzf,CG11696,E(var)3-9,CG6769,CG4854,CG7386,ken,CG3407,CG1792,CG11317,sna,Su(z)12,esg,az2,Pep,CG8478,nom,CG7987,CG8388,drm
PS00107	PROTEIN_KINASE_ATP	9.21220868147609e-08	-16.200151109029	164	110	0.0377099760027425	2917	6231	41020,37152,38017,43415,31598,34705,45821,33139,31221,48448,32538,49701,32120,34284,32631,42453,2768852,38890,44672,40165,41957,36854,38654,32256,48311,39659,40653,37893,318206,35288,47594,40560,33965,38489,43673,44817,42549,44039,42366,36706,34831,32771,41256,44030,41118,43794,36404,3355134,40660,35900,35524,36302,41995,35731,33758,38649,32948,37455,41398,37858,41446,42160,42203,36442,44353,37586,34132,44573,32207,39454,39564,53425,40461,33753,43428,34127,34504,40385,34780,34993,35329,42233,34411,36579,3354888,42126,43904,32221,42289,37247,31248,35950,39241,41673,48973,42447,38070,43828,39157,37203,39429,38433,43875,43916,40384,43792,41361,42866,43651,34367	Mkk4,Sik3,Pdk1,Doa,Cdc7,Pk34A,Abl,S6kII,Raf,CkIIalpha,CG8565,gish,PhKgamma,Pka-C1,mbt,Cdk2,par-1,nmo,Lk6,trc,Akt1,Cdk4,S6k,hep,Pkc53E,Tak1,PEK,Slik,Tlk,lok,aPKC,CG32944,Wee1,Ack,dco,for,InR,Pak,Ask1,SRPK,Dyrk2,mnb,CG43143,msn,FER,Asator,Mos,CG17528,ksr,babo,Src42A,CG8878,Pak3,sax,Bub1,Myt1,Tao,Egfr,Csk,gek,aurA,htl,PKD,Ack-like,Shark,Cdk9,Btk29A,MAPk-Ak2,LIMK1,Atg1,btl,Alk,Srpk79D,tkv,Pkc98E,Pvr,aurB,Cdk12,p38b,grp,IKKepsilon,CG14305,Cdk1,CG8485,rl,Mps1,AMPKalpha,CkIalpha,cdi,hpo,sgg,Pkn,JIL-1,Lkb1,Src64B,Lrrk,Hipk,CaMKII,Cdk8,hppy,sti,Eip63E,Ret,Rok,SAK,CaMKI,KP78b,p38a,wts,Ror
PS00108	PROTEIN_KINASE_ST	7.21905838591342e-07	-14.1413711240222	147	98	0.033596160438807	2917	6231	45969,34993,42233,43428,40461,33753,40385,34504,42203,37586,41772,44573,39454,37858,41446,31877,44111,40232,40143,41361,43651,31696,38433,39429,40391,32257,43916,43792,42447,41096,43828,38070,39157,3354888,36579,34411,32221,43904,42126,39241,35950,31248,41673,40653,39659,48311,47594,35288,37893,32097,318206,43673,40560,44817,44039,42358,38890,31607,44672,41957,40165,32256,38654,36854,32538,49701,32120,2768852,42453,44801,34284,37152,38017,41020,31598,34705,43415,34348,48448,33139,31221,32753,41995,36302,33758,38649,35731,40292,3355134,35900,32771,41256,44030,39686,36404,42366,34831,36706	gwl,grp,CG14305,Pkc98E,Srpk79D,tkv,Cdk12,aurB,PKD,Cdk9,put,MAPk-Ak2,Atg1,gek,aurA,Erk7,slpr,polo,wnd,KP78b,wts,Nek2,Eip63E,sti,Wnk,lic,Rok,CaMKI,Lrrk,Vps15,CaMKII,Hipk,Cdk8,rl,CG8485,Cdk1,CkIalpha,AMPKalpha,Mps1,JIL-1,Pkn,sgg,Lkb1,PEK,Tak1,Pkc53E,aPKC,lok,Slik,Drak,Tlk,dco,CG32944,for,Pak,Ire1,nmo,Pink1,Lk6,Akt1,trc,hep,S6k,Cdk4,CG8565,gish,PhKgamma,par-1,Cdk2,bsk,Pka-C1,Sik3,Pdk1,Mkk4,Cdc7,Pk34A,Doa,CG4839,CkIIalpha,S6kII,Raf,CG8173,Pak3,CG8878,Bub1,Myt1,sax,Pitslre,CG17528,babo,mnb,CG43143,msn,dop,Mos,Ask1,Dyrk2,SRPK
PS50001	SH2	6.45130012086316e-06	-11.9512288783428	30	26	0.00891326705519369	2917	6231	43130,44052,45278,32601,35085,43584,32760,35524,33203,38677,3885637,45821,41144,32569,43775,41398,32920,36497,34132,41118,31987,32202,44353,48973,42428,33262	Lnk,Shc,csw,sl,Socs36E,CG15529,Socs16D,Src42A,Pi3K21B,PVRAP,CG33993,Abl,by,vap,Crk,Csk,Vav,drk,Btk29A,FER,spri,CG43921,Shark,Src64B,Stat92E,dock
PS50102	RRM	8.83483068218678e-06	-11.6368086168146	131	86	0.0294823448748714	2917	6231	40673,38937,37681,43231,38720,39919,45840,42026,33982,32009,32866,3355041,42958,41413,42460,53443,250811,32602,41670,36981,37070,41147,34370,34648,43467,36984,48571,44205,35027,49809,31000,44095,41294,33968,33305,33652,35924,34667,37781,42166,43087,32603,40074,31023,37411,31243,47998,38605,42848,39119,3772180,33498,44271,31448,31442,48535,19834761,41431,41666,39527,43764,33677,36619,40369,39018,39198,35305,43385,31481,42957,32293,40562,5740386,39049,42752,32587,40529,34416,41138,35756,38795,37254,38811,32245,33201,38526	CG2931,CG7185,LS2,Rb97D,CG13298,Rbp6,cpo,nonA-l,snRNP-U1-70K,Imp,CG18259,eIF-4B,Saf-B,CG14718,Syp,SF2,bru2,U2af50,B52,eIF3-S9,pAbp,RnpS1,Rsf1,bru1,CG14506,cyp33,heph,spen,CG12288,Rbp2,elav,fus,Rbp1,Hrb27C,CG4896,CG15440,tsu,Ref2,TBPH,Cbp20,msi,nonA,CG3808,fz3,CG4266,eIF3ga,rin,shep,Rox8,CG3335,Sxl,Rbp9,xmas-2,Rnp4F,snf,Hrb87F,CG44249,glo,sqd,bru3,mod,CG3294,tra2,barc,orb2,Rbfox1,La,Hrb98DE,CG4119,CG5808,Rbp1-like,srl,CG40813,bol,orb,caz,CG14641,Cnot4,rump,nito,Neos,sm,lark,fne,U2af38,CG1316
PS51194	HELICASE_CTER	1.20125932490228e-05	-11.3295550210322	74	53	0.0181693520740487	2917	6231	39218,33835,34311,35917,33680,35112,37296,38905,39594,33118,32742,44087,38756,38715,31205,40457,35523,48782,32373,32933,40959,39744,40987,41943,41571,45655,32725,39202,40530,42314,45894,35339,33185,40974,35192,53438,34357,42693,32715,31707,36390,40739,42595,326208,43080,33709,37860,42543,36993,34364,45826,40543,39871	CG6418,eIF-4a,Etl1,Dbp45A,CG3225,CG10333,CG9143,mus301,RecQ5,Hlc,CG5800,Rs1,CG10077,CG7376,kz,Ddx1,mle,Mtr4,l(1)G0007,CG32533,CG7878,brm,eIF4AIII,Hel89B,mus308,dom,CG8611,hay,abs,Ino80,lds,CG9323,kis,CG9630,l(2)37Cb,RecQ4,CG4901,Dcr-1,CG8915,mahe,Iswi,Rm62,pit,CG32344,XNP,Marcal1,CG4049,Fancm,Dcr-2,me31B,bel,Suv3,Dbp73D
