TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50002	SH3	1.85680640260053e-11	-24.7095779987716	63	57	0.0179358086847074	3178	6231	44111,35524,38021,43404,33268,38231,43775,36176,36383,8673992,39258,5740318,47260,39864,32522,33930,34505,36462,41718,42840,31729,37014,44861,39900,35378,36084,43654,42467,39052,32083,48973,37422,36442,32920,32601,39520,42265,34882,32569,35306,42491,35783,45821,34132,38418,35267,42050,42817,36497,38534,33262,36990,39136,34557,44013,32122,38050	slpr,Src42A,p130CAS,spg,aru,alpha-Spec,Crk,metro,Amph,Nost,IRSp53,CG43729,l(3)05822,Lasp,Graf,Tango1,Stam,Pex13,Abi,CG13604,CG2258,CG10933,sdt,Exn,Dap160,CAP,cindr,Synd,nwk,dlg1,Src64B,ASPP,Ack-like,Vav,sl,Abp1,EndoA,ck,vap,RtGEF,Cortactin,Asap,Abl,Btk29A,kst,CdGAPr,CG8907,mbc,drk,Cip4,dock,POSH,SH3PX1,Ca-beta,sls,FucT6,RhoGEF3
PS50011	PROTEIN_KINASE_DOM	3.38669745030086e-11	-24.1085807798378	221	160	0.0503461296412838	3178	6231	39732,36442,44801,35207,40232,49701,3355134,41446,41020,37233,31877,42160,41957,32753,44573,42959,34780,41398,40461,40384,40653,43828,41673,40143,38070,44353,41772,42233,41096,36404,42289,37858,43415,36283,31248,37893,35288,8674026,35154,34993,34132,43428,35758,41995,39516,42203,3354888,33758,43651,32221,40385,35329,31221,34367,37938,53573,48448,31696,44355,35522,43814,43875,3885567,34127,41361,40391,36706,37247,40660,33965,34348,43999,5740442,3355135,45969,53425,44030,41118,3355013,38649,42453,34504,32538,39429,38433,44039,33753,44432,37586,41362,42549,37455,48311,40560,42866,43904,43423,44111,39157,39564,42126,42772,39454,32771,44817,2768852,34284,43508,35900,45970,34411,37152,5740349,36854,40165,42447,36302,39659,40292,43916,43792,48973,42358,32948,42366,42064,45821,35731,42187,32257,37376,43794,32097,38654,41256,39241,36579,35950,39686,3355064,43643,32631,34831,35524,32120,32207,44672,43673,37203,31598,318206,38890,318600,31607,32256,33139,38489,38017,47594,34705	sff,Ack-like,bsk,dnt,polo,gish,CG17528,aurA,Mkk4,Fak,Erk7,htl,Akt1,CG8173,MAPk-Ak2,niki,p38b,Csk,Srpk79D,SAK,PEK,CaMKII,Lkb1,wnd,Hipk,Shark,put,CG14305,Vps15,Mos,cdi,gek,Doa,otk,sgg,Slik,lok,Gyc76C,Nak,grp,Btk29A,Pkc98E,CG8726,Pak3,CG10738,PKD,rl,Bub1,wts,CkIalpha,Cdk12,IKKepsilon,Raf,Ror,Adck,Ilk,CkIIalpha,Nek2,drl,BubR1,bt,Ret,Dyrk3,Pvr,KP78b,Wnk,SRPK,hpo,ksr,Wee1,CG4839,trbl,bma,Stlk,gwl,Alk,msn,FER,Gprk1,Myt1,Cdk2,aurB,CG8565,sti,Eip63E,Pak,tkv,IKKbeta,Cdk9,KP78a,InR,Egfr,Pkc53E,CG32944,p38a,AMPKalpha,CG1951,slpr,Cdk8,btl,Mps1,CG10177,Atg1,mnb,for,par-1,Pka-C1,yata,babo,S6KL,Cdk1,Sik3,CG34357,Cdk4,trc,Lrrk,CG8878,Tak1,Pitslre,Rok,CaMKI,Src64B,Ire1,Tao,Ask1,GckIII,Abl,sax,CG7156,lic,CG3216,Asator,Drak,S6k,CG43143,JIL-1,CG8485,Pkn,dop,Haspin,CG12069,mbt,Dyrk2,Src42A,PhKgamma,LIMK1,Lk6,dco,hppy,Cdc7,Tlk,nmo,Wsck,Pink1,hep,S6kII,Ack,Pdk1,aPKC,Pk34A
PS50003	PH_DOMAIN	2.01061706300496e-10	-22.3274092584634	66	58	0.0182504719949654	3178	6231	38418,34132,2768892,43130,39158,35783,32569,35306,36876,31667,41425,2768948,32601,32920,39907,36952,3355013,38321,5740235,37134,36028,38488,35696,43892,34237,41957,42203,33003,42412,35237,49968,35496,32522,38928,33849,34803,43163,38806,64880,32698,42735,38785,35425,45928,37749,32746,41427,5740131,40608,31031,43916,34030,38113,34850,36881,34790,42985,37858	kst,Btk29A,CG42271,Lnk,RasGAP1,Asap,vap,RtGEF,unc-104,Dok,CG17360,Pura,sl,Vav,Fit2,cnk,Gprk1,dos,RhoGAP1A,GEFmeso,CG1513,Fit1,scra,sif,CG32982,Akt1,PKD,pico,CG42668,CG10188,Cadps,CG30440,Graf,cert,CG12393,CenG1A,Exo84,RhoGEF4,chico,CG5004,CenB1A,melt,step,shi,CG30183,beta-Spec,Sbf,CG34383,Cdep,CG43867,Rok,Ziz,CG9205,osp,CG5522,Sos,Osbp,gek
PS00107	PROTEIN_KINASE_ATP	9.65584622570379e-09	-18.4557022785365	164	119	0.0374449339207048	3178	6231	32631,40385,35329,3355064,32221,43651,33758,35950,3354888,42203,36579,39241,41995,43794,38654,41256,43428,34993,35731,45821,34132,42064,42366,35288,32948,48973,37893,34705,37247,40660,47594,33965,38489,36706,41361,38017,3885567,32256,34127,33139,38890,43875,31598,318206,35522,43814,37203,43673,48448,44672,32207,32120,31221,35524,34367,34831,48311,41362,41398,37455,42549,37586,42959,34780,42160,44039,33753,44573,41957,39429,38433,41446,41020,3355134,32538,34504,49701,42453,38649,41118,3355013,39732,53425,36442,44030,43916,31248,43792,36302,39659,42447,43415,37858,36854,40165,36404,42289,37152,35900,34411,2768852,34284,42233,44817,44353,38070,41673,39454,32771,42126,40653,39564,43828,39157,42866,40384,43904,40461,40560	mbt,Cdk12,IKKepsilon,Haspin,CkIalpha,wts,Bub1,Pkn,rl,PKD,CG8485,JIL-1,Pak3,Asator,S6k,CG43143,Pkc98E,grp,sax,Abl,Btk29A,GckIII,Ask1,lok,Tao,Src64B,Slik,Pk34A,hpo,ksr,aPKC,Wee1,Ack,SRPK,KP78b,Pdk1,Dyrk3,hep,Pvr,S6kII,nmo,Ret,Cdc7,Tlk,BubR1,bt,hppy,dco,CkIIalpha,Lk6,LIMK1,PhKgamma,Raf,Src42A,Ror,Dyrk2,Pkc53E,KP78a,Csk,Egfr,InR,Cdk9,niki,p38b,htl,Pak,tkv,MAPk-Ak2,Akt1,sti,Eip63E,aurA,Mkk4,CG17528,CG8565,aurB,gish,Cdk2,Myt1,FER,Gprk1,sff,Alk,Ack-like,msn,Rok,sgg,CaMKI,CG8878,Tak1,Lrrk,Doa,gek,Cdk4,trc,Mos,cdi,Sik3,babo,Cdk1,par-1,Pka-C1,CG14305,for,Shark,Hipk,Lkb1,Atg1,mnb,Mps1,PEK,btl,CaMKII,Cdk8,p38a,SAK,AMPKalpha,Srpk79D,CG32944
PS00108	PROTEIN_KINASE_ST	1.52795364240139e-08	-17.9967513924108	147	108	0.0339836375078666	3178	6231	34705,34348,47594,40391,38017,36706,41361,3885567,32256,33139,31607,38890,31598,318206,43814,35522,31696,43673,48448,44672,32120,31221,34831,40385,43651,32221,43643,33758,39686,35950,3354888,42203,36579,39241,41995,38654,32097,41256,43428,35731,34993,32257,42366,35288,42358,37893,43916,43792,31248,36302,39659,40292,42447,43415,37858,36854,40165,36404,37152,35900,34411,41772,2768852,34284,42233,41096,44817,40143,41673,38070,39454,32771,42126,40653,42772,43828,44111,39157,43904,40560,40461,48311,41362,37586,42959,44432,33753,44039,32753,44573,41957,39429,38433,31877,41020,3355134,41446,32538,34504,40232,49701,42453,38649,3355013,39732,44030,44801,45969	Pk34A,CG4839,aPKC,Wnk,Pdk1,SRPK,KP78b,Dyrk3,hep,S6kII,Pink1,nmo,Cdc7,Tlk,bt,BubR1,Nek2,dco,CkIIalpha,Lk6,PhKgamma,Raf,Dyrk2,Cdk12,wts,CkIalpha,CG12069,Bub1,dop,Pkn,rl,PKD,CG8485,JIL-1,Pak3,S6k,Drak,CG43143,Pkc98E,sax,grp,lic,Ask1,lok,Ire1,Slik,Rok,CaMKI,sgg,CG8878,Tak1,Pitslre,Lrrk,Doa,gek,Cdk4,trc,Mos,Sik3,babo,Cdk1,put,par-1,Pka-C1,CG14305,Vps15,for,wnd,Lkb1,Hipk,Atg1,mnb,Mps1,PEK,CG10177,CaMKII,slpr,Cdk8,AMPKalpha,CG32944,Srpk79D,Pkc53E,KP78a,Cdk9,niki,IKKbeta,tkv,Pak,CG8173,MAPk-Ak2,Akt1,sti,Eip63E,Erk7,Mkk4,CG17528,aurA,CG8565,aurB,polo,gish,Cdk2,Myt1,Gprk1,sff,msn,bsk,gwl
PS50001	SH2	6.93093460199486e-07	-14.182100983647	30	28	0.00881057268722467	3178	6231	31987,33262,42428,36497,35085,38677,33840,41398,38674,32202,32601,48973,43775,44052,32920,3885637,35524,41118,45278,41144,45821,34132,33203,43584,44353,43130,32760,32569	spri,dock,Stat92E,drk,Socs36E,PVRAP,CG9098,Csk,CG10479,CG43921,sl,Src64B,Crk,Shc,Vav,CG33993,Src42A,FER,csw,by,Abl,Btk29A,Pi3K21B,CG15529,Shark,Lnk,Socs16D,vap
PS50157	ZINC_FINGER_C2H2_2	8.98675368729544e-07	-13.9223439703248	273	178	0.0560100692259283	3178	6231	35198,36024,34177,44027,37155,41040,33861,31913,34568,43676,35427,31648,32224,40643,31429,35157,35135,48785,34906,42237,35262,34292,44548,32104,32014,49638,41038,42413,43694,36763,33221,35770,40789,37785,31070,36171,36679,42144,43070,32046,39549,42226,43401,41041,41355,33225,41073,31977,41345,33692,32613,41981,39947,43398,36603,38817,31611,34592,34303,37818,42300,42145,34483,36678,41848,34622,35843,45961,40720,32663,34992,35430,38638,41194,31572,42162,38012,59239,40375,37209,41395,40594,36571,42391,39095,38717,33077,42143,34560,32579,31265,41831,35260,32517,32353,40795,38713,37730,42392,38733,38660,38719,31660,43795,44272,40414,43924,36156,35445,31600,42736,2768719,43566,43727,34908,33602,33581,38063,38436,42767,31391,31420,41042,34887,40021,48317,36170,41404,41498,34903,40309,33639,44786,31430,42717,31912,33343,31523,41391,31735,36986,40351,39548,44505,2768685,43570,39697,36685,41423,35555,43572,33957,326152,32994,318709,39539,38159,37379,35682,31577,40693,64875,42393,33224,34569,31743,41768,43819,14462577,33606,33657,38718,39228,37464,40605,45871,39721,39089	CG17568,CG12744,fu2,sbb,CG15073,CG8159,Kr-h1,Sp1,salr,CG11317,CG31612,CG3032,CG15725,CG14667,ovo,CG10431,ham,wek,wor,CG31224,CG10631,zf30C,lola,CG11696,CG2202,drm,nom,CG4360,CG12054,CG8388,CG4133,CG12769,CG1024,ken,CG11398,shn,CG8089,CG17801,CG11902,CG11122,CG17359,fru,CG1647,ranshi,CG31388,ush,E(var)3-9,CG2889,CG6689,Cf2,hang,pad,CG18265,wdn,CG17385,CTCF,CG14441,crol,CG13123,CG3065,sqz,CG7357,CG12299,chn,Cp190,Plzf,rgr,Pep,CG10979,CG9609,her,tsh,Blimp-1,CG8478,CG12219,sr,Kr,CG18764,Neu2,CG11906,CG14711,CG14655,cg,CG4854,phol,D19B,CG1529,CG17802,ab,disco,dwg,CG6654,CG10462,CG8944,mamo,Zif,CG13296,pita,trem,CG10147,CG13287,CG7386,CG9650,zfh2,tio,CG11247,jim,CG30020,Clamp,CG3224,CG31365,luna,ZIPIC,CG1792,sna,bowl,sob,CG1233,dar1,CG4374,peb,CG32772,M1BP,CG15269,CG7271,ttk,CG12391,CG18476,MBD-R2,esg,CG11456,CG17612,nerfin-1,CG32767,lmd,btd,chinmo,CG12236,CG6791,CG2116,MESR4,pzg,CG17361,br,mld,Sry-beta,CG7372,row,l(3)neo38,jing,Sry-delta,sens-2,erm,zld,CG42726,Meics,CG2199,CG10543,az2,CG3847,MTA1-like,disco-r,CG4936,cbt,salm,CG10959,CG7987,pho,pre-lola-G,CG3407,CG15436,D19A,klu,CG10321,opa,grau,CkIIalpha-i1,MTF-1
PS00028	ZINC_FINGER_C2H2_1	9.42802698975415e-07	-13.8744088031654	287	186	0.0585273757079924	3178	6231	42717,31912,31430,31523,33343,40309,41404,41498,34903,41217,44786,33639,2768685,44505,39697,43570,31735,41391,36986,39548,40351,42736,31600,38888,2768719,43795,38719,31660,43924,35445,36156,44272,40414,31391,31420,41042,39613,42767,36170,34887,48317,34908,33602,43727,38327,43566,38436,33581,38063,43819,41768,31743,37923,33657,33606,34569,33224,40605,32770,39721,39089,45871,38718,39228,37464,43572,32994,326152,318709,33957,41423,35555,31577,40693,42393,64875,37379,39539,38159,35682,43070,39549,32046,42144,41041,43401,42226,40789,37785,31070,36763,33221,35770,36679,36171,32613,41981,33692,38603,40509,41355,41345,41073,31977,43676,35427,31648,32224,192528,34568,35157,31429,35135,48785,39764,40643,36024,35198,34177,44027,37155,33861,31913,41040,32014,49638,43694,41038,42413,35262,34906,42237,44548,32104,34292,42143,34560,38717,33077,31265,41831,32579,36571,41395,40594,42391,39095,38713,40795,32353,37730,42392,38733,38660,32517,48071,35260,37992,37818,38817,31611,34592,34303,42300,34483,2768981,42145,43398,39947,36603,38012,42162,41194,31572,37209,59239,40375,35843,45961,40720,32663,36678,41848,34622,35430,38638	lmd,btd,CG32767,CG12236,chinmo,CG11456,CG18476,MBD-R2,esg,Glut4EF,nerfin-1,CG17612,mld,br,CG7372,Sry-beta,CG2116,CG6791,MESR4,CG17361,pzg,CG31365,CG3224,CG8209,luna,zfh2,CG7386,CG9650,jim,Clamp,CG30020,tio,CG11247,peb,CG32772,M1BP,CG9425,CG4374,CG12391,CG15269,ttk,sna,bowl,CG1792,MEP-1,ZIPIC,dar1,sob,CG1233,pho,CG7987,CG10959,CG11414,CG15436,CG3407,salm,cbt,opa,CG6769,CkIIalpha-i1,MTF-1,grau,D19A,klu,CG10321,Sry-delta,zld,erm,CG42726,sens-2,l(3)neo38,jing,CG3847,MTA1-like,CG4936,disco-r,CG10543,Meics,CG2199,az2,CG11902,CG17359,CG11122,CG17801,ranshi,CG1647,fru,CG1024,ken,CG11398,CG8388,CG4133,CG12769,CG8089,shn,hang,pad,Cf2,CG4603,Ssl1,CG31388,CG6689,E(var)3-9,CG2889,CG11317,CG31612,CG3032,CG15725,CG31381,salr,CG10431,ovo,ham,wek,Zn72D,CG14667,CG12744,CG17568,fu2,sbb,CG15073,Kr-h1,Sp1,CG8159,CG2202,drm,CG12054,nom,CG4360,CG10631,wor,CG31224,lola,CG11696,zf30C,CG17802,ab,D19B,CG1529,dwg,CG6654,disco,cg,CG14711,CG14655,CG4854,phol,CG13296,Zif,mamo,pita,trem,CG10147,CG13287,CG8944,Su(z)12,CG10462,CG2790,CG3065,CTCF,CG14441,crol,CG13123,sqz,CG12299,Trl,CG7357,wdn,CG18265,CG17385,Kr,sr,CG8478,CG12219,CG11906,CG18764,Neu2,rgr,Pep,CG10979,CG9609,chn,Cp190,Plzf,tsh,Blimp-1
PS00027	HOMEOBOX_1	1.41134815610193e-05	-11.1683800783106	92	67	0.0210824417872876	3178	6231	31802,40817,38752,42110,39441,45396,35266,39440,33240,38005,35147,43795,37367,43812,39405,3355151,42536,36240,35662,43664,44540,42037,37322,42544,39439,32758,42542,31469,34669,33239,35341,42034,32724,39419,32213,32943,35184,40830,34673,42541,36239,37973,41697,47894,32723,35509,37668,47285,38254,47763,40834,2768974,33208,42547,35942,32567,40833,31003,40297,32757,53446,36039,40835,39418,31470,38004,42537	oc,lab,vvl,Hmx,mirr,E5,bsh,caup,Gsc,gsb,tup,zfh2,Rx,ey,CG4328,scro,tin,en,so,Ptx1,ct,abd-A,lms,C15,ara,OdsH,lbe,Vsx2,nub,Pph13,cad,Ubx,B-H1,eyg,CG11085,CG32532,Lim3,bcd,pdm2,lbl,inv,Dll,ems,hbn,B-H2,ap,CG9876,repo,Dbx,Abd-B,ftz,ind,al,slou,unpg,exd,Scr,vnd,Six4,unc-4,HGTX,eve,Antp,toe,Vsx1,gsb-n,bap
PS50071	HOMEOBOX_2	1.62831976246908e-05	-11.0253768023836	102	73	0.0229704216488357	3178	6231	40817,38752,42110,39441,45396,45816,50392,31802,37367,43795,43812,39405,3355151,44108,35266,33240,39440,38005,35147,39439,42544,32758,42542,36240,35662,42536,44540,43664,42037,38451,37322,42034,32724,32213,32943,39419,31469,34669,33239,35341,32723,47894,37668,35509,35184,34673,40830,36239,37973,42541,41697,42547,32567,35942,40833,38254,47763,47285,33208,2768974,40834,37546,36039,31003,40297,53446,32757,31470,38004,42537,41273,39418,40835	lab,vvl,Hmx,mirr,E5,onecut,schlank,oc,Rx,zfh2,ey,CG4328,scro,Optix,bsh,Gsc,caup,gsb,tup,ara,C15,OdsH,lbe,en,so,tin,ct,Ptx1,abd-A,Awh,lms,Ubx,B-H1,CG11085,CG32532,eyg,Vsx2,nub,Pph13,cad,B-H2,hbn,CG9876,ap,Lim3,pdm2,bcd,inv,Dll,lbl,ems,slou,exd,unpg,Scr,Dbx,Abd-B,repo,al,ind,ftz,dve,eve,vnd,Six4,HGTX,unc-4,Vsx1,gsb-n,bap,hth,toe,Antp
