TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00326	SH3	1.57194099864888e-11	-24.876124862298	61	56	0.0212121212121212	2640	5082	35524,35267,32920,38418,45821,38534,8673992,42601,37422,38021,42817,43654,35378,36176,32569,34132,36497,39052,32083,42467,36084,48973,43404,36383,32601,37014,33268,42265,42491,44861,43775,36462,36442,5740318,37218,47260,34505,33262,39520,35783,41718,44013,39258,42050,31729,39900,34882,38231,50225,36990,32522,35306,39136,38050,44111,39864	Src42A,CdGAPr,Vav,kst,Abl,Cip4,Nost,SKIP,ASPP,p130CAS,mbc,cindr,Dap160,metro,vap,Btk29A,drk,nwk,dlg1,Synd,CAP,Src64B,spg,Amph,sl,CG10933,aru,EndoA,Cortactin,sdt,Crk,Pex13,Ack-like,CG43729,EndoB,l(3)05822,Stam,dock,Abp1,Asap,Abi,sls,IRSp53,CG8907,CG2258,Exn,ck,alpha-Spec,Prosap,POSH,Graf,RtGEF,SH3PX1,RhoGEF3,slpr,Lasp
SM00220	S_TKc	1.99311021261985e-10	-22.3361545903793	167	126	0.0477272727272727	2640	5082	38433,43904,42203,37247,32097,34831,48311,35758,44801,38654,40461,32538,35522,38070,42126,40391,34780,42358,39686,39732,32120,2768852,35900,43999,36854,39516,44432,43415,41361,40385,31598,43916,40653,36302,42064,37938,41673,33965,37152,34705,42366,47594,45969,39429,40143,3354888,40232,39241,318206,41957,32256,31696,35731,42447,35154,32221,40292,44030,44111,43794,37586,32753,35288,35950,36706,43643,43792,41362,41446,40560,3355134,42233,44817,3885567,40165,42187,43828,41020,5740442,43423,34411,38649,44672,44039,32948,42453,39454,49701,42772,34284,43428,33139,3355013,36404,39659,33758,41995,41096,44573,37893,34993,34504,31248,31877,37858,32771,37203,43508,42959,39157,36579,35329,31221,34367,33753,32257,43651,38017,34348,48448,43814,41256,43673,31607,38890,42866	Eip63E,AMPKalpha,PKD,hpo,Drak,Dyrk2,Pkc53E,CG8726,bsk,S6k,Srpk79D,CG8565,BubR1,Hipk,Mps1,Wnk,p38b,Ire1,dop,sff,PhKgamma,par-1,babo,trbl,Cdk4,CG10738,IKKbeta,Doa,KP78b,Cdk12,Cdc7,Rok,PEK,CG8878,GckIII,Adck,Lkb1,Wee1,Sik3,Pk34A,Ask1,aPKC,gwl,sti,wnd,rl,polo,JIL-1,Tlk,Akt1,hep,Nek2,sax,Lrrk,Nak,CkIalpha,Pitslre,msn,slpr,Asator,Cdk9,CG8173,lok,Pkn,SRPK,CG12069,CaMKI,KP78a,aurA,CG32944,CG17528,CG14305,for,Dyrk3,trc,CG7156,CaMKII,Mkk4,bma,CG1951,Cdk1,Myt1,Lk6,Pak,Tao,Cdk2,Atg1,gish,CG10177,Pka-C1,Pkc98E,S6kII,Gprk1,Mos,Tak1,Bub1,Pak3,Vps15,MAPk-Ak2,Slik,grp,aurB,sgg,Erk7,gek,mnb,hppy,yata,niki,Cdk8,CG8485,IKKepsilon,Raf,Ror,tkv,lic,wts,Pdk1,CG4839,CkIIalpha,bt,CG43143,dco,Pink1,nmo,p38a
SM00233	PH	2.83475294104827e-10	-21.9838961425729	67	59	0.0223484848484849	2640	5082	42985,32569,34132,32698,41427,37134,33849,2768892,35496,35237,32686,35425,36876,45928,38113,43130,38928,36881,38785,5740235,34803,34237,32746,36915,38418,32920,34850,37749,43892,42735,34030,35696,42412,34790,41957,35783,36952,38488,49968,35306,32522,36028,2768948,39907,64880,31031,39158,38321,31667,3355013,32601,5740131,43916,38806,41425,37858,33003,40608,32729	Osbp,vap,Btk29A,CG5004,Sbf,GEFmeso,CG12393,CG42271,CG30440,CG10188,RhoGAP15B,step,unc-104,shi,CG9205,Lnk,cert,CG5522,melt,RhoGAP1A,CenG1A,CG32982,beta-Spec,RhoGEF2,kst,Vav,osp,CG30183,sif,CenB1A,Ziz,scra,CG42668,Sos,Akt1,Asap,cnk,Fit1,Cadps,RtGEF,Graf,CG1513,Pura,Fit2,chico,CG43867,RasGAP1,dos,Dok,Gprk1,sl,CG34383,Rok,RhoGEF4,CG17360,gek,pico,Cdep,CG43658
SM00355	ZnF_C2H2	1.82810026173021e-06	-13.2122332386628	271	178	0.0674242424242424	2640	5082	34292,36571,42300,43727,43566,38063,31735,41040,14462577,42392,34568,42237,37730,35430,41073,37379,42413,36679,34903,33861,39764,34992,34177,32663,36678,41345,42143,39549,31912,33957,41038,43401,32046,40309,42322,31429,39539,31572,34887,38012,36603,32353,37785,34303,37155,38159,33692,31523,45871,40351,39947,41041,35843,38660,48317,39228,35427,34908,31577,45961,41848,35770,44272,38327,31391,33606,31913,41831,36763,31070,59239,40795,34592,36171,39548,38717,39697,43694,31743,43070,35260,44548,36170,38719,35445,35262,49638,42144,33639,31611,38436,44505,40720,31648,35157,42145,35198,41423,35555,32770,36156,40605,38638,35135,32517,39095,37992,41355,31265,318709,42767,38733,32613,42226,48785,42391,40789,41395,43572,41981,43676,42717,31977,31660,41194,36024,33602,44786,40643,31430,38817,34622,38718,33657,41768,42162,43795,32224,41391,37464,33581,31420,34560,40375,42736,2768719,33224,39089,43570,34569,36986,64875,40594,40414,32994,33077,34483,2768685,326152,38713,43398,37818,42393,39721,34906,43819,43924,36685,33225,37923,37209,32579,35682,32014,41042,33343,41404,32104	zf30C,cg,sqz,CG1792,ZIPIC,CG1233,CG2116,CG8159,pre-lola-G,trem,salr,CG31224,pita,tsh,E(var)3-9,CG10543,CG4360,CG8089,esg,Kr-h1,Zn72D,her,fu2,CG9609,chn,CG6689,CG17802,CG17359,btd,sens-2,nom,CG1647,CG11122,CG11456,CG5316,ovo,Meics,CG12219,CG15269,Kr,CG17385,mamo,ken,CG13123,CG15073,CG2199,Cf2,CG12236,grau,pzg,CG18265,ranshi,rgr,CG13287,ttk,klu,CG31612,sna,CG3847,Pep,Cp190,CG12769,tio,MEP-1,peb,CG3407,Sp1,CG6654,CG8388,CG11398,CG18764,Zif,crol,shn,CG17361,D19B,CG7372,CG12054,CG10959,CG11902,CG10462,lola,CG12391,CG7386,Clamp,CG10631,drm,CG17801,CG17612,CG14441,dar1,br,CG10979,CG3032,CG10431,CG7357,CG17568,l(3)neo38,jing,CG6769,CG30020,opa,Blimp-1,ham,CG8944,phol,CG2790,CG31388,dwg,CG42726,CG4374,CG10147,hang,fru,wek,CG4854,CG1024,CG14711,Sry-delta,pad,CG11317,lmd,CG2889,CG9650,CG8478,CG12744,bowl,nerfin-1,CG14667,CG32767,CTCF,Plzf,D19A,CG15436,CG7987,sr,zfh2,CG15725,CG6791,CG10321,sob,CG32772,ab,Neu2,CG31365,luna,cbt,MTF-1,Sry-beta,salm,MESR4,disco-r,CG14655,CG11247,zld,CG1529,CG12299,mld,erm,CG13296,wdn,CG3065,CG4936,CkIIalpha-i1,wor,pho,jim,row,ush,CG11414,CG11906,disco,az2,CG2202,M1BP,chinmo,CG18476,CG11696
SM00252	SH2	2.00493515153708e-06	-13.1198988411018	29	27	0.0102272727272727	2640	5082	32920,45278,45821,38677,35524,38674,32601,44052,41398,33840,43775,41144,44353,33203,32569,34132,33262,32202,35085,43130,32760,48973,41118,31987,36497,43584,3885637	Vav,csw,Abl,PVRAP,Src42A,CG10479,sl,Shc,Csk,CG9098,Crk,by,Shark,Pi3K21B,vap,Btk29A,dock,CG43921,Socs36E,Lnk,Socs16D,Src64B,FER,spri,drk,CG15529,CG33993
SM00389	HOX	3.55884782214033e-05	-10.243488617957	102	73	0.0276515151515152	2640	5082	31469,41697,42544,38004,40830,40297,40817,41273,39419,36039,37973,39440,45816,42537,43795,39405,31003,50392,38752,38005,44108,35266,42037,43664,42536,42110,34669,37668,34673,35341,2768974,35147,40834,36239,39441,32724,39418,45396,32723,47763,37367,38451,42034,36240,42547,44540,32943,35509,37546,35662,53446,43812,40835,42541,31802,40833,39439,42542,35184,32567,32758,47285,37322,33208,35942,32757,47894,33240,32213,33239,31470,38254,3355151	Vsx2,ems,C15,gsb-n,bcd,Six4,lab,hth,eyg,eve,Dll,caup,onecut,bap,zfh2,CG4328,vnd,schlank,vvl,gsb,Optix,bsh,abd-A,Ptx1,tin,Hmx,nub,CG9876,pdm2,cad,ind,tup,ftz,inv,mirr,B-H1,toe,E5,B-H2,Abd-B,Rx,Awh,Ubx,en,slou,ct,CG32532,ap,dve,so,HGTX,ey,Antp,lbl,oc,Scr,ara,lbe,Lim3,exd,OdsH,repo,lms,al,unpg,unc-4,hbn,Gsc,CG11085,Pph13,Vsx1,Dbx,scro
SM00490	HELICc	0.000569629272500269	-7.47052480785928	73	52	0.0196969696969697	2640	5082	39218,32933,37296,39744,42693,32725,40530,40543,33680,32373,40974,53438,36993,31205,39594,35112,40457,35339,39871,38905,39202,44087,33835,34364,35192,38756,43080,41943,33185,326208,35523,36390,40959,31707,34311,42314,32742,45894,34357,41571,33709,45655,48782,37860,40987,42595,45826,35917,42543,40739,32715,33118	CG6418,CG32533,CG9143,brm,Dcr-1,CG8611,abs,Suv3,CG3225,l(1)G0007,CG9630,RecQ4,Dcr-2,kz,RecQ5,CG10333,Ddx1,CG9323,Dbp73D,mus301,hay,Rs1,eIF-4a,me31B,l(2)37Cb,CG10077,XNP,Hel89B,kis,CG32344,mle,Iswi,CG7878,mahe,Etl1,Ino80,CG5800,lds,CG4901,mus308,Marcal1,dom,Mtr4,CG4049,eIF4AIII,pit,bel,Dbp45A,Fancm,Rm62,CG8915,Hlc
SM00487	DEXDc	0.000795074644956615	-7.13707455469043	72	51	0.0193181818181818	2640	5082	32373,33680,40974,32725,40530,39744,32933,37296,39218,39202,44087,33835,38905,39871,40457,35339,35112,39594,53438,36993,31205,32742,45894,42314,31707,34311,40959,36390,35523,41943,33185,326208,38756,43080,35192,34364,33118,32715,40739,35917,42543,42595,45826,48782,40987,37860,38715,41571,33709,45655,34357	l(1)G0007,CG3225,CG9630,CG8611,abs,brm,CG32533,CG9143,CG6418,hay,Rs1,eIF-4a,mus301,Dbp73D,Ddx1,CG9323,CG10333,RecQ5,RecQ4,Dcr-2,kz,CG5800,lds,Ino80,mahe,Etl1,CG7878,Iswi,mle,Hel89B,kis,CG32344,CG10077,XNP,l(2)37Cb,me31B,Hlc,CG8915,Rm62,Dbp45A,Fancm,pit,bel,Mtr4,eIF4AIII,CG4049,CG7376,mus308,Marcal1,dom,CG4901
SM00360	RRM	0.00123204727273139	-6.69907804388342	125	82	0.0310606060606061	2640	5082	33677,32245,42752,31481,39527,3355041,34648,44095,48571,38811,43385,33982,31023,41294,41431,40529,32603,36984,32009,42166,42026,38526,42848,40369,38795,34370,32866,41892,44205,33305,41138,43087,36981,42958,39049,38937,36619,32394,49809,38605,42460,41413,32293,38720,32587,32602,31243,39275,41666,31448,37781,37254,37411,40673,35305,43764,39198,35756,31442,48535,35027,33652,45840,39119,47998,41670,35924,43467,42957,33968,40562,43231,37681,53443,34667,37070,39919,3772180,31000,33498,250811,41147	CG3294,fne,orb,CG4119,bru3,eIF-4B,bru1,fus,heph,lark,Hrb98DE,snRNP-U1-70K,fz3,Rbp1,glo,CG14641,nonA,cyp33,Imp,Cbp20,nonA-l,CG1316,Rox8,barc,Neos,Rsf1,CG18259,CG5213,spen,CG4896,rump,msi,eIF3-S9,Saf-B,bol,CG7185,tra2,CG14414,Rbp2,shep,Syp,CG14718,Rbp1-like,CG13298,caz,U2af50,eIF3ga,CG11726,sqd,Rnp4F,TBPH,sm,CG4266,CG2931,La,mod,Rbfox1,nito,snf,Hrb87F,CG12288,CG15440,cpo,CG3335,rin,B52,tsu,CG14506,CG5808,Hrb27C,srl,Rb97D,LS2,SF2,Ref2,pAbp,Rbp6,Sxl,elav,Rbp9,bru2,RnpS1
SM00314	RA	0.00141947909329203	-6.55746531037948	10	10	0.00378787878787879	2640	5082	33814,43096,44115,40620,33881,42676,42836,33003,42734,31987	rau,RASSF8,Rgl,cno,PDZ-GEF,wake,CG31140,pico,Rassf,spri
