TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00069	Pkinase	1.3144737605379e-11	-25.0549996194995	168	122	0.0251235584843493	4856	10296	42187,43904,40165,34705,43916,33753,38654,45969,43792,3355134,43423,36854,44801,38070,39686,42959,33965,32948,41673,33758,41256,37893,42772,43651,43415,45970,31607,47594,34284,32257,40560,43794,43428,31598,32538,35950,36404,31248,35329,49701,48311,32753,35758,37152,32097,36706,40461,43643,41096,34348,33139,42866,2768852,40653,43508,34504,42064,41772,42203,41446,39732,41020,32207,40391,3355135,42358,38017,32771,3885567,39429,44432,37858,36579,37247,41957,35288,41995,34411,41361,34780,40384,39241,42366,32256,31696,37203,32221,40385,42233,37586,43828,44672,34831,34993,31877,44039,38890,3355013,44817,3354888,40292,32631,43999,32120,42126,44573,40232,5740442,35522,43673,38433,41362,35154,42453,39157,38649,43814,42447,44030,48448,39454,318206	CG7156,AMPKalpha,trc,Pk34A,Rok,tkv,S6k,gwl,CaMKI,CG17528,CG1951,Cdk4,bsk,Hipk,dop,niki,Wee1,Tao,Lkb1,Bub1,CG43143,Slik,CG10177,wts,Doa,S6KL,Pink1,aPKC,Pka-C1,lic,CG32944,Asator,Pkc98E,Cdc7,CG8565,Pkn,Mos,sgg,IKKepsilon,gish,Pkc53E,CG8173,CG8726,Sik3,Drak,SRPK,Srpk79D,CG12069,Vps15,CG4839,S6kII,p38a,par-1,PEK,yata,aurB,GckIII,put,PKD,aurA,sff,Mkk4,LIMK1,Wnk,Stlk,Ire1,Pdk1,mnb,Dyrk3,sti,IKKbeta,gek,CG8485,hpo,Akt1,lok,Pak3,Cdk1,KP78b,p38b,SAK,JIL-1,Ask1,hep,Nek2,hppy,CkIalpha,Cdk12,CG14305,Cdk9,CaMKII,Lk6,Dyrk2,grp,Erk7,Pak,nmo,Gprk1,for,rl,Pitslre,mbt,trbl,PhKgamma,Mps1,MAPk-Ak2,polo,bma,BubR1,dco,Eip63E,KP78a,Nak,Cdk2,Cdk8,Myt1,bt,Lrrk,msn,CkIIalpha,Atg1,Tlk
PF00018	SH3_1	2.95859515782512e-10	-21.9411363831098	34	33	0.00679571663920923	4856	10296	35524,36084,36990,38534,37014,34132,39136,33262,39258,32083,39052,34505,38050,43775,37422,39864,48973,44111,42467,32569,36497,38231,44013,42050,38021,45821,33268,47260,42265,31729,32601,5740318,43654	Src42A,CAP,POSH,Cip4,CG10933,Btk29A,SH3PX1,dock,IRSp53,dlg1,nwk,Stam,RhoGEF3,Crk,ASPP,Lasp,Src64B,slpr,Synd,vap,drk,alpha-Spec,sls,CG8907,p130CAS,Abl,aru,l(3)05822,EndoA,CG2258,sl,CG43729,cindr
PF00169	PH	4.62866844512767e-09	-19.190996603056	45	40	0.00823723228995058	4856	10296	35783,32698,35696,34030,41957,38113,35425,31031,32569,41427,45928,37749,5740131,34790,42985,38488,49968,36952,41425,42412,42735,31667,39158,3355013,33849,38928,36028,34132,34850,38321,43892,36881,36876,32522,39907,33003,43130,2768892,40608,35496	Asap,CG5004,scra,Ziz,Akt1,CG9205,step,CG43867,vap,Sbf,shi,CG30183,CG34383,Sos,Osbp,Fit1,Cadps,cnk,CG17360,CG42668,CenB1A,Dok,RasGAP1,Gprk1,CG12393,cert,CG1513,Btk29A,osp,dos,sif,CG5522,unc-104,Graf,Fit2,pico,Lnk,CG42271,Cdep,CG30440
PF00017	SH2	9.04472104379665e-08	-16.2184994665098	30	28	0.0057660626029654	4856	10296	44353,38674,41118,36497,34132,32569,41398,32202,32920,35524,32760,45278,42428,41144,43584,31987,48973,3885637,35085,43775,38677,32601,33203,33262,33840,45821,44052,43130	Shark,CG10479,FER,drk,Btk29A,vap,Csk,CG43921,Vav,Src42A,Socs16D,csw,Stat92E,by,CG15529,spri,Src64B,CG33993,Socs36E,Crk,PVRAP,sl,Pi3K21B,dock,CG9098,Abl,Shc,Lnk
PF00046	Homeobox	3.71925123404261e-07	-14.8045732841044	95	69	0.0142092257001647	4856	10296	45396,33208,32724,47894,40833,36239,43812,43664,37367,33239,36039,32758,45816,35184,35147,40297,42541,47763,34669,47285,35266,42544,39405,42110,43795,31469,31470,32757,40835,40830,35662,42034,40834,3355151,35942,37546,36240,31003,32567,2768974,32943,38752,32723,40817,42537,37668,32213,42536,44540,38254,42542,34673,37322,38005,35509,31802,38451,42547,37973,53446,39418,50392,38004,35341,33240,39419,42037,41697,44108	E5,al,B-H1,hbn,Scr,inv,ey,Ptx1,Rx,Pph13,eve,OdsH,onecut,Lim3,tup,Six4,lbl,Abd-B,nub,repo,bsh,C15,CG4328,Hmx,zfh2,Vsx2,Vsx1,unc-4,Antp,bcd,so,Ubx,ftz,scro,unpg,dve,en,vnd,exd,ind,CG32532,vvl,B-H2,lab,bap,CG9876,CG11085,tin,ct,Dbx,lbe,pdm2,lms,gsb,ap,oc,Awh,slou,Dll,HGTX,toe,schlank,gsb-n,cad,Gsc,eyg,abd-A,ems,Optix
PF12796	Ank_2	6.81885391634171e-06	-11.8958191476877	71	52	0.0107084019769358	4856	10296	39747,34969,3355072,44353,40032,42981,39160,42447,31826,41816,37433,36427,39750,38863,50225,35170,30971,43387,38055,36139,37422,35783,34874,36668,36824,2768995,39015,34378,246518,43770,49070,31293,36696,39159,37344,40046,38865,37199,39571,318909,43298,42076,31351,35395,36396,33303,41087,39368,32718,53573,50070,42735	Hip14,cact,CG41099,Shark,MYPT-75D,CG11168,iPLA2-VIA,Lrrk,rdgA,CG6966,CG42672,Sans,mib1,Ank2,Prosap,mib2,G9a,CG10011,Atac3,dgo,ASPP,Asap,l(2)35Be,Kank,CG8060,CG43980,TrpA1,CG5604,CG30271,Ank,Mbs,N,CG8152,CG10809,Fem-1,CG14073,CG7457,CG15118,nan,CG31715,CG42534,m-cup,CG6428,CG8679,GLS,CG5118,Rel,rols,f,Ilk,mask,CenB1A
PF00271	Helicase_C	2.51407356978895e-05	-10.5910210911934	73	52	0.0107084019769358	4856	10296	33185,35192,45826,42693,38756,35523,44087,32715,32933,33118,33709,39744,32725,36993,35339,31707,53438,45894,37296,34311,42543,326208,36390,31205,34357,35917,42595,40457,39218,41943,40959,40543,41571,43080,32742,38715,40987,48782,45655,33835,40530,42314,38905,39871,33680,40739,40974,32373,37860,35112,39594,34364	kis,l(2)37Cb,bel,Dcr-1,CG10077,mle,Rs1,CG8915,CG32533,Hlc,Marcal1,brm,CG8611,Dcr-2,CG9323,mahe,RecQ4,lds,CG9143,Etl1,Fancm,CG32344,Iswi,kz,CG4901,Dbp45A,pit,Ddx1,CG6418,Hel89B,CG7878,Suv3,mus308,XNP,CG5800,CG7376,eIF4AIII,Mtr4,dom,eIF-4a,abs,Ino80,mus301,Dbp73D,CG3225,Rm62,CG9630,l(1)G0007,CG4049,CG10333,RecQ5,me31B
PF00076	RRM_1	5.31629599626458e-05	-9.84214864540886	127	82	0.0168863261943987	4856	10296	31000,41892,250811,39919,37411,38811,41431,48571,44205,42460,34416,32293,32866,33201,33652,49809,41666,38720,36981,34370,38937,42166,40673,36619,32603,31481,48535,39049,41294,33968,32602,42958,33677,43385,43231,38526,34667,31442,37781,43467,37070,32009,41413,31448,31243,39198,40562,43087,45840,42848,40369,38605,42957,39119,37681,34648,38795,42026,43764,3772180,3355041,32394,39527,33982,41138,33498,53443,41670,47998,32587,36984,40529,35924,41147,37254,31023,35756,32245,33305,39275,5740386,35027	elav,CG5213,bru2,Rbp6,CG4266,lark,glo,heph,spen,Syp,Cnot4,Rbp1-like,CG18259,U2af38,CG15440,Rbp2,sqd,CG13298,eIF3-S9,Rsf1,CG7185,Cbp20,CG2931,tra2,nonA,CG4119,Hrb87F,bol,Rbp1,Hrb27C,U2af50,Saf-B,CG3294,Hrb98DE,Rb97D,CG1316,Ref2,snf,TBPH,CG14506,pAbp,Imp,CG14718,Rnp4F,eIF3ga,Rbfox1,srl,msi,cpo,Rox8,barc,shep,CG5808,CG3335,LS2,bru1,Neos,nonA-l,mod,Sxl,eIF-4B,CG14414,bru3,snRNP-U1-70K,rump,Rbp9,SF2,B52,rin,caz,cyp33,CG14641,tsu,RnpS1,sm,fz3,nito,fne,CG4896,CG11726,CG40813,CG12288
PF14604	SH3_9	7.6622721976667e-05	-9.47661689365499	20	18	0.00370675453047776	4856	10296	35306,43654,32522,42840,36462,36383,37014,8673992,41718,37218,32920,39900,35783,35378,39520,36990,36084,42491	RtGEF,cindr,Graf,CG13604,Pex13,Amph,CG10933,Nost,Abi,EndoB,Vav,Exn,Asap,Dap160,Abp1,POSH,CAP,Cortactin
PF00400	WD40	0.00023645277152624	-8.34976206753797	129	81	0.0166803953871499	4856	10296	39669,33367,326115,33862,34488,39955,32581,34616,47900,46662,34153,37467,41419,36150,36144,31680,31146,31155,35529,43162,33819,37329,47877,36038,38505,41647,33180,45922,38516,38199,39997,33854,39394,31557,44531,38994,43218,33399,39774,34955,33710,42504,40698,31744,37801,42272,32526,37036,41226,45757,34070,37073,43490,45432,36259,34793,318566,32544,31881,41096,38957,31903,42750,32168,40386,39505,35596,39624,36199,40239,43978,31213,34540,37727,34595,34096,33212,3346176,35349,36791,42196	CG7275,Wdr62,Atg16,CG9175,CG6724,U4-U6-60K,kat80,CG6734,Taf5,l(2)09851,Wdr82,Rae1,CG14722,nclb,CG12325,Hira,CG14805,Rbcn-3B,SCAP,gro,bchs,CG9945,tws,CG12134,CG43367,CG9799,CG3436,rap,ago,alphaCOP,CG14353,Fbw5,thoc6,Rbcn-3A,rg,Pex7,CG6420,mio,l(3)72Dn,CG4935,Trip1,slmb,CG1109,Gbeta5,CG2812,Smu1,CG33172,CG5033,CG3909,beta'COP,Rack1,adp,Bub3,can,CG13192,Arpc1,CG34133,Gbeta13F,CG16892,Vps15,Oseg1,Lst8,wda,Tango4,CG7611,flr,coro,CG5114,CG9062,Rbbp5,Plap,CG3071,Wdr59,wmd,esc,Cka,ebi,U3-55K,Oseg5,Lis-1,CG8064
