PeakID (cmd=annotatePeaks.pl merge_chipseq_chipnexus_q10/merge2chip_q10_given.txt dm3 -go merge_chipseq_chipnexus_q10/GO/merge2chip_q10_given/ -genomeOntology merge_chipseq_chipnexus_q10/GenomeOntology/merge2chip_q10_given/ -annStats merge_chipseq_chipnexus_q10/merge2chip_q10_given_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr3R-10645460-1	chr3R	10645303	10645617	+	0.000000	wtElba3__elba3Elba3	exon (NM_001014624, exon 1 of 7)	exon (NM_001014624, exon 1 of 7)	1413	NM_001014624	3346167	Dm.16866	NM_001014622		btsz	BcDNA:GH06647|Btsz|CG14858|CG17304|CG18280|CG31306|CG33555|CG44012|CG7343|Dmel\CG44012|Dmel_CG17304|Dmel_CG33555|Granulophilin|l(3)10418	bitesize	protein-coding
Merged-chr2L-2493121-13	chr2L	2492219	2494215	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001144297)	promoter-TSS (NM_001144297)	262	NM_175949	33435	Dm.7946	NM_057692		oaf	CG9884|Dmel\CG9884|l(2)22Fb|l(2)ND1|tnd	out at first	protein-coding
Merged-chr3L-866852-3	chr3L	866504	867200	+	0.000000	wtInsv__insvInsv	5' UTR (NM_138223, exon 1 of 6)	5' UTR (NM_138223, exon 1 of 6)	245	NM_138223	38102	Dm.27032	NM_138223		CG12502	Dmel\CG12502	uncharacterized protein	protein-coding
Merged-chr3R-2203267-1	chr3R	2203192	2203342	+	0.000000	Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001170059)	promoter-TSS (NM_001170059)	-252	NM_001170059	8674074	Dm.31231	NM_001170059		CG42537	BRG-A3|CG10284|Dmel\CG42537	uncharacterized protein	protein-coding
Merged-chr2L-8166042-3	chr2L	8165712	8166314	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1	intron (NM_164795, intron 1 of 29)	intron (NM_164795, intron 1 of 29)	2940	NM_001273297	34112	Dm.18615	NM_135344		Piezo	CG18103|CG31608|CG44122|CG8486|DmPiezo|Dmel\CG44122|Dmel_CG18103|Dmel_CG8486|Dmpiezo|OrfKD|anon-EST:Liang-1.32|clone 1.32|fos28F|fos500|piezo	piezo	protein-coding
Merged-chr3L-9847199-1	chr3L	9846901	9847498	+	0.000000	wtElba3__elba3Elba3	intron (NM_168382, intron 1 of 4)	intron (NM_168382, intron 1 of 4)	1186	NM_079290	39158	Dm.919	NM_079290		RasGAP1	CG6721|Dmel\CG6721|FBpp0076097|GAP|GAP1|Gap|Gap 1|Gap1|Ras-GAP|RasGAP|RasGap1|gap|gap1|mip|rI533|rasGAP|sxt	Ras GTPase activating protein 1	protein-coding
Merged-chr3R-20923409-2	chr3R	20923196	20923623	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001170248)	promoter-TSS (NM_001170248)	15	NM_001032039	43012	Dm.20797	NM_176561		CG33095	CG11935|CG11938|Dmel\CG33095|FBgn0039275	uncharacterized protein	protein-coding
Merged-chr3L-7707039-14	chr3L	7705427	7708484	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104068)	promoter-TSS (NM_001104068)	-205	NM_001202141	38863	Dm.3260	NM_139891		Ank2	CG18025|CG18227|CG18768|CG32373|CG32375|CG32377|CG32377/CG34416|CG34121|CG34158|CG34416|CG42734|CG7462|CG7493|DAnk2|Dank2|Dmel\CG42734|Dmel_CG32375|Dmel_CG32377|Dmel_CG34121|Dmel_CG34158|Dmel_CG34416|Dmel_CG7462|ESTS:149B10S|SP2523|ank2|ank2-L|dank2|sp2523	Ankyrin 2	protein-coding
Merged-chr3L-5530322-1	chr3L	5530220	5530425	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-1463	NM_001259709	38623	Dm.15624	NM_139712		CG13285	Dmel\CG13285|FBgn0035611	uncharacterized protein	protein-coding
Merged-chr2R-19520033-15	chr2R	19519150	19520907	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_057516)	promoter-TSS (NM_057516)	-105	NM_001299844	45976	Dm.20640	NM_057516		retn	2535|BcDNA:LD35748|CG5403|DRI|Dead Ringer/Retain|Dmel\CG5403|Dri|EHMT|EY2-10|Retn|dri|l(2)02535|retn/dri	retained	protein-coding
