#name (cmd = mergePeaks -d 50 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_50_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3R-3833825-1	chr3R	3833800	3833850	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9126a
Merged-chr3L-141341-1	chr3L	141316	141366	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5533b
Merged-chr2L-15498957-1	chr2L	15498932	15498982	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940a
Merged-chr2L-15499624-1	chr2L	15499599	15499649	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940f
Merged-chr2R-3901886-1	chr2R	3901861	3901911	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130b
Merged-chr2R-3902043-1	chr2R	3902018	3902068	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130c
Merged-chr2R-12417125-1	chr2R	12417100	12417150	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4332b
Merged-chr3R-3835080-1	chr3R	3835055	3835105	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9128b
Merged-chr3R-4983663-1	chr3R	4983638	4983688	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9289a
Merged-chr3R-4983748-1	chr3R	4983723	4983773	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9289b
Merged-chrX-4093003-1	chrX	4092978	4093028	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12862d
Merged-chr2L-16825289-1	chr2L	16825264	16825314	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2090e
Merged-chr2L-1715928-1	chr2L	1715903	1715953	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_207
Merged-chrX-13150666-1	chrX	13150641	13150691	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13904a
Merged-chr2L-1728739-1	chr2L	1728714	1728764	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_210
Merged-chr2L-1819912-1	chr2L	1819887	1819937	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_217
Merged-chrX-14968809-1	chrX	14968784	14968834	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14053b
Merged-chrX-13151326-1	chrX	13151301	13151351	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13905b
Merged-chr2R-12459723-1	chr2R	12459698	12459748	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4336a
Merged-chr2R-12459802-1	chr2R	12459777	12459827	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4336b
Merged-chr3L-162062-1	chr3L	162037	162087	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538a
Merged-chr3L-162312-1	chr3L	162287	162337	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538b
Merged-chr3R-24865103-1	chr3R	24865078	24865128	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11664b
Merged-chrX-2479307-1	chrX	2479282	2479332	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12706a
Merged-chrX-2479377-1	chrX	2479352	2479402	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_12706b
Merged-chr2R-3936025-1	chr2R	3936000	3936050	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3136b
Merged-chr3R-12724014-1	chr3R	12723989	12724039	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303a
Merged-chr3R-12724197-1	chr3R	12724172	12724222	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303b
Merged-chr2L-2221185-1	chr2L	2221160	2221210	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_258
Merged-chr3R-12725241-1	chr3R	12725216	12725266	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303h
Merged-chr3R-12725683-1	chr3R	12725658	12725708	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10303i
Merged-chr2L-2357364-1	chr2L	2357339	2357389	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_266
Merged-chr3L-15801980-1	chr3L	15801955	15802005	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7504
Merged-chr2R-5313957-1	chr2R	5313932	5313982	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3299b
Merged-chr2L-2380887-1	chr2L	2380862	2380912	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_272
Merged-chr2L-6356841-1	chr2L	6356816	6356866	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750b
Merged-chr2L-6357115-1	chr2L	6357090	6357140	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_750c
Merged-chr3R-12744585-1	chr3R	12744560	12744610	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10305f
Merged-chr2L-2420577-1	chr2L	2420552	2420602	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_277
Merged-chr3R-12744696-1	chr3R	12744671	12744721	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10305g
Merged-chr3L-15828531-1	chr3L	15828506	15828556	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7512
Merged-chr3L-15830580-1	chr3L	15830555	15830605	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7513
Merged-chr3L-15948165-1	chr3L	15948140	15948190	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_7519
Merged-chr3R-22791607-1	chr3R	22791582	22791632	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508a
Merged-chr2L-2575088-1	chr2L	2575063	2575113	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_287
Merged-chr3R-22792065-1	chr3R	22792040	22792090	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_11508e
Merged-chr3R-13996558-1	chr3R	13996533	13996583	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_10467e
Merged-chr2L-2767858-1	chr2L	2767833	2767883	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_299
