#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 Insv_ChIPnexus_narrowPeak_q10.bed Elba3_ChIPnexus_narrowPeak_q10.bed Elba2_ChIPnexus_narrowPeak_q5.bed Elba1_ChIPnexus_narrowPeak_q10.bed -venn merge2chip_q10_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	Insv_ChIPnexus_narrowPeak_q10.bed	Elba3_ChIPnexus_narrowPeak_q10.bed	Elba2_ChIPnexus_narrowPeak_q5.bed	Elba1_ChIPnexus_narrowPeak_q10.bed
Merged-chr3L-5180491-3	chr3L	5180268	5180672	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2263				Insv_ChIPnexus_peak_6192	Elba3_ChIPnexus_peak_6161		
Merged-chr3R-13460035-3	chr3R	13459934	13460172	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_3889				Insv_ChIPnexus_peak_10395	Elba3_ChIPnexus_peak_10302		
Merged-chr3L-22789823-4	chr3L	22789564	22790075	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_3150a,diff__wtInsv_q20__insvInsv_q20_peak_3150b				Insv_ChIPnexus_peak_8469b	Elba3_ChIPnexus_peak_8320		
Merged-chr3L-6211108-3	chr3L	6210951	6211251	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2309				Insv_ChIPnexus_peak_6312b	Elba3_ChIPnexus_peak_6260		
Merged-chr3R-13889275-3	chr3R	13888910	13890163	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_3920				Insv_ChIPnexus_peak_10452a	Elba3_ChIPnexus_peak_10350		
Merged-chr3L-8084855-3	chr3L	8084694	8084966	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2390				Insv_ChIPnexus_peak_6501	Elba3_ChIPnexus_peak_6442		
Merged-chrX-1010127-5	chrX	1009712	1010559	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_4603a,diff__wtInsv_q20__insvInsv_q20_peak_4603b				Insv_ChIPnexus_peak_12512a,Insv_ChIPnexus_peak_12512b	Elba3_ChIPnexus_peak_12412		
Merged-chr2R-9033261-5	chr2R	9032945	9033587	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_1411a,diff__wtInsv_q20__insvInsv_q20_peak_1411b				Insv_ChIPnexus_peak_3835a,Insv_ChIPnexus_peak_3835b	Elba3_ChIPnexus_peak_3836b		
Merged-chr2L-14657546-3	chr2L	14657455	14657746	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_621				Insv_ChIPnexus_peak_1857	Elba3_ChIPnexus_peak_1813		
Merged-chr3L-9204603-3	chr3L	9204484	9204692	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2430				Insv_ChIPnexus_peak_6643	Elba3_ChIPnexus_peak_6578		
