#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 -venn merge_major_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1
Merged-chr3L-18804451-1	chr3L	18804339	18804564	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2043
Merged-chrX-16228926-1	chrX	16228797	16229055	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3663
Merged-chr3L-20224056-1	chr3L	20223915	20224197	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2090
Merged-chr2R-5298716-1	chr2R	5298545	5298888	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_865
Merged-chr2R-5484294-1	chr2R	5484155	5484434	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_880
Merged-chr2R-5966695-1	chr2R	5966488	5966903	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_894
Merged-chr3L-20329821-1	chr3L	20329720	20329922	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2102
Merged-chrX-18209323-1	chrX	18209142	18209505	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3729
Merged-chr3L-20914170-1	chr3L	20914071	20914270	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2127
Merged-chr3L-21339456-1	chr3L	21339342	21339570	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2149
Merged-chrX-19666540-1	chrX	19666431	19666650	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_3771
Merged-chr3L-22269946-1	chr3L	22269808	22270084	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2187
Merged-chr3L-22862917-1	chr3L	22862631	22863203	+	0.000000	wtElba1__elba1Elba1	1				diff__wtElba1_q20__elba1Elba1_q20_peak_2194
