TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00452	SH3DOMAIN	4.09674561265124e-08	-17.0104878384427	27	24	0.0292682926829268	820	2180	44111,36990,47260,34505,35306,39520,33262,45821,39052,36497,43654,42491,42265,43775,35783,48973,5740318,41718,38231,8673992,35378,35524,42467,39864	slpr,POSH,l(3)05822,Stam,RtGEF,Abp1,dock,Abl,nwk,drk,cindr,Cortactin,EndoA,Crk,Asap,Src64B,CG43729,Abi,alpha-Spec,Nost,Dap160,Src42A,Synd,Lasp
PR00401	SH2DOMAIN	2.48937375952665e-07	-15.2060644743118	19	18	0.0219512195121951	820	2180	41398,36497,45821,33262,48973,43775,38677,32569,32202,32601,44052,34132,44353,33203,35524,3885637,45278,43130	Csk,drk,Abl,dock,Src64B,Crk,PVRAP,vap,CG43921,sl,Shc,Btk29A,Shark,Pi3K21B,Src42A,CG33993,csw,Lnk
PR00109	TYRKINASE	1.66384323217637e-05	-11.0037953384419	32	24	0.0292682926829268	820	2180	48973,38489,35207,37455,41398,45821,39659,41118,34367,44355,318600,43875,44111,42549,39564,35524,42160,36442,36283,34132,37233,44353,53425,40143	Src64B,Ack,dnt,Egfr,Csk,Abl,Tak1,FER,Ror,drl,Wsck,Ret,slpr,InR,btl,Src42A,htl,Ack-like,otk,Btk29A,Fak,Shark,Alk,wnd
PR00320	GPROTEINBRPT	2.12845490191941e-05	-10.7575291466373	57	37	0.0451219512195122	820	2180	42750,38199,34153,45757,36144,34955,32168,32581,41226,43490,37727,31903,34488,43978,40386,33180,326115,42272,42593,36199,34096,41096,47900,33212,31744,36791,39955,42504,42196,38516,32544,31680,46662,318566,40698,37467,34070	wda,alphaCOP,Wdr82,beta'COP,CG12325,CG4935,Tango4,kat80,CG3909,Bub3,wmd,Lst8,CG6724,Plap,CG7611,CG3436,Atg16,Smu1,CG6015,CG9062,Cka,Vps15,Taf5,ebi,Gbeta5,Lis-1,U4-U6-60K,slmb,CG8064,ago,Gbeta13F,Hira,l(2)09851,CG34133,CG1109,Rae1,Rack1
PR00024	HOMEOBOX	0.00113241626174817	-6.78340164440208	38	24	0.0292682926829268	820	2180	35942,35341,40834,42537,31003,40835,36240,3355151,42034,47763,32724,32213,42110,42544,40833,40817,42037,32723,37322,2768974,53446,36239,37973,35266	unpg,cad,ftz,bap,vnd,Antp,en,scro,Ubx,Abd-B,B-H1,CG11085,Hmx,C15,Scr,lab,abd-A,B-H2,lms,ind,HGTX,inv,Dll,bsh
PR00031	HTHREPRESSR	0.00158122113534897	-6.44955785997982	12	10	0.0121951219512195	820	2180	33208,36239,53446,37973,35266,42542,38254,35341,36240,38005	al,inv,HGTX,Dll,bsh,lbe,Dbx,cad,en,gsb
PR01415	ANKYRIN	0.00360386269536801	-5.6257490378064	28	18	0.0219512195121951	820	2180	39015,43387,38865,39750,43298,50070,30971,40032,37344,43770,36668,34969,3355072,41816,34874,42981,38863,318909	TrpA1,CG10011,CG7457,mib1,CG42534,mask,G9a,MYPT-75D,Fem-1,Ank,Kank,cact,CG41099,CG6966,l(2)35Be,CG11168,Ank2,CG31715
PR00193	MYOSINHEAVY	0.00454556019716683	-5.39360430324578	13	10	0.0121951219512195	820	2180	35680,38001,34445,35007,42889,34179,32028,41955,38153,34882	didum,zip,Myo31DF,Mhc,jar,d,Myo10A,Mhcl,Myo61F,ck
PR00205	CADHERIN	0.00529090946810445	-5.2417651257519	15	11	0.0134146341463415	820	2180	33245,41302,41441,39936,35071,36125,35070,33627,43824,37386,40191	ds,Cad86C,Cad87A,Cad74A,CadN2,stan,CadN,ft,Cals,shg,kug
PR00489	FRIZZLED	0.00747264504944798	-4.89650625289414	5	5	0.00609756097560976	820	2180	45307,40090,31659,31023,33196	fz,fz2,fz4,fz3,smo
